"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6244"
"Passenger Movement","1961M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","3230"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Sea to All Countries","Number","216724"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Sea to Great Britain","Number","214934"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1790"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement Cross-Border Rail","Number","45330"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement Cross-Border Bus","Number","85331"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from All Airports","Number","101920"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","88123"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","13797"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3081"
"Passenger Movement","1961M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","10716"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","79360"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","78082"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1278"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","36812"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","49964"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from All Airports","Number","59328"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","53820"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","5508"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","2813"
"Passenger Movement","1961M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2695"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Sea to All Countries","Number","115636"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Sea to Great Britain","Number","114189"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1447"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement Cross-Border Rail","Number","36250"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement Cross-Border Bus","Number","50762"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from All Airports","Number","74944"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","63327"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from Cork Airport","Number","0"
"Passenger Movement","1961M09","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","11617"
