"STATISTIC Label","Month","Direction","Type of Passenger Movement","UNIT","VALUE"
"Passenger Movement","1987M07","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","196698"
"Passenger Movement","1987M07","Departing Eire","Passenger Movement by Air from Cork Airport","Number","21000"
"Passenger Movement","1987M07","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","61487"
"Passenger Movement","1987M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","16115"
"Passenger Movement","1987M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","45372"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","279665"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","247130"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","32535"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","19703"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","16090"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from All Airports","Number","314455"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","213546"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","24464"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","69400"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","50392"
"Passenger Movement","1987M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","19008"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Sea to All Countries","Number","270939"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Sea to Great Britain","Number","237272"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","33667"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement Cross-Border Rail","Number","18684"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement Cross-Border Bus","Number","16201"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from All Airports","Number","317110"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","212387"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from Cork Airport","Number","24859"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","72580"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","18362"
"Passenger Movement","1987M08","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","54218"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","138439"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","124428"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","14011"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","17679"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","20701"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from All Airports","Number","238453"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","167183"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","17664"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","49623"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","35051"
"Passenger Movement","1987M09","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","14572"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Sea to All Countries","Number","159299"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Sea to Great Britain","Number","144675"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","14624"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement Cross-Border Rail","Number","16571"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement Cross-Border Bus","Number","20909"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from All Airports","Number","252088"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","173948"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from Cork Airport","Number","20262"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","42647"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","15533"
"Passenger Movement","1987M09","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","27114"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","104599"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","97615"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","6984"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","18227"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","23119"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from All Airports","Number","191343"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","143017"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","15374"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","29327"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","19411"
"Passenger Movement","1987M10","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","9916"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Sea to All Countries","Number","111650"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Sea to Great Britain","Number","104948"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","6702"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement Cross-Border Rail","Number","16594"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement Cross-Border Bus","Number","23350"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from All Airports","Number","192895"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","138552"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from Cork Airport","Number","15151"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","35348"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","11000"
"Passenger Movement","1987M10","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","24348"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","56899"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","55498"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1401"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","18690"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","25603"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from All Airports","Number","127111"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","94711"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","10592"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","19320"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","11200"
"Passenger Movement","1987M11","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","8120"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Sea to All Countries","Number","58598"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Sea to Great Britain","Number","56710"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1888"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement Cross-Border Rail","Number","17547"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement Cross-Border Bus","Number","26112"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from All Airports","Number","127539"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","95097"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from Cork Airport","Number","11229"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","18585"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8184"
"Passenger Movement","1987M11","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","10401"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","96151"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","93977"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2174"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","19877"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","21554"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from All Airports","Number","153113"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","109789"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","13162"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","25550"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","14459"
"Passenger Movement","1987M12","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","11091"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Sea to All Countries","Number","56651"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Sea to Great Britain","Number","55072"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1579"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement Cross-Border Rail","Number","18303"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement Cross-Border Bus","Number","22013"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from All Airports","Number","119719"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","89885"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from Cork Airport","Number","9814"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","16914"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","8014"
"Passenger Movement","1987M12","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","8900"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","37243"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","35862"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1381"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","15413"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","21933"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from All Airports","Number","116700"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","90132"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","9475"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","14770"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","7479"
"Passenger Movement","1988M01","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","7291"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Sea to All Countries","Number","77912"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Sea to Great Britain","Number","75993"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1919"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement Cross-Border Rail","Number","13564"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement Cross-Border Bus","Number","21580"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from All Airports","Number","157062"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","114451"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from Cork Airport","Number","14249"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","23699"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","9722"
"Passenger Movement","1988M01","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","13977"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","37044"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","35138"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1906"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","14448"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","21768"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from All Airports","Number","116083"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","89426"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","9989"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","13976"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","6691"
"Passenger Movement","1988M02","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","7285"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Sea to All Countries","Number","39016"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Sea to Great Britain","Number","37006"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2010"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement Cross-Border Rail","Number","13297"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement Cross-Border Bus","Number","20879"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from All Airports","Number","120894"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","92577"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from Cork Airport","Number","10452"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","14807"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","7209"
"Passenger Movement","1988M02","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","7598"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","86563"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","80625"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","5938"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","19042"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","23217"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from All Airports","Number","172130"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","129641"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","13278"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","25072"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","13993"
"Passenger Movement","1988M03","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","11079"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Sea to All Countries","Number","77123"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Sea to Great Britain","Number","72484"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","4639"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement Cross-Border Rail","Number","16848"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement Cross-Border Bus","Number","22670"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from All Airports","Number","172147"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","129057"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from Cork Airport","Number","12762"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","26276"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","10564"
"Passenger Movement","1988M03","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","15712"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","103527"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","91300"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","12227"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","17590"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","22836"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from All Airports","Number","182224"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","134775"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","13575"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","29003"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","16117"
"Passenger Movement","1988M04","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","12886"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Sea to All Countries","Number","106487"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Sea to Great Britain","Number","55589"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","10901"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement Cross-Border Rail","Number","16608"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement Cross-Border Bus","Number","22289"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from All Airports","Number","189483"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","140672"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from Cork Airport","Number","14466"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","28888"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","12453"
"Passenger Movement","1988M04","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","16435"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","99270"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","87561"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","11709"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","15933"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","24331"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from All Airports","Number","220256"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","154009"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","17700"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","41692"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","25300"
"Passenger Movement","1988M05","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","16392"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Sea to All Countries","Number","85719"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Sea to Great Britain","Number","72861"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","12858"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement Cross-Border Rail","Number","14381"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement Cross-Border Bus","Number","24144"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from All Airports","Number","233228"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","165901"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from Cork Airport","Number","19581"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","40704"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","17374"
"Passenger Movement","1988M05","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","23330"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","133975"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","113474"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","20501"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","16872"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","24303"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from All Airports","Number","274816"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","190119"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","21636"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","55139"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","36432"
"Passenger Movement","1988M06","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","18707"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Sea to All Countries","Number","180041"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Sea to Great Britain","Number","147232"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","32809"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement Cross-Border Rail","Number","15947"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement Cross-Border Bus","Number","23942"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from All Airports","Number","298391"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","202533"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from Cork Airport","Number","22454"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","64085"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","19382"
"Passenger Movement","1988M06","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","44703"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","263485"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","214034"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","49451"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","19923"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","24549"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from All Airports","Number","357211"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","243107"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","27788"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","74991"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","50207"
"Passenger Movement","1988M07","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","24784"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Sea to All Countries","Number","222308"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Sea to Great Britain","Number","183859"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","38449"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement Cross-Border Rail","Number","19703"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement Cross-Border Bus","Number","24449"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from All Airports","Number","344972"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from Dublin Airport","Number","235314"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from Cork Airport","Number","26597"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from Shannon Airport","Number","72194"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","21190"
"Passenger Movement","1988M07","Departing Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","51004"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Sea to All Countries","Number","274861"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Sea to Great Britain","Number","237782"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","37079"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement Cross-Border Rail","Number","20449"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement Cross-Border Bus","Number","25314"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from All Airports","Number","360184"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from Dublin Airport","Number","246421"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from Cork Airport","Number","25821"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport","Number","73715"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","48210"
"Passenger Movement","1988M08","Arriving in Eire","Passenger Movement by Air from Shannon Airport (Westbound)","Number","25505"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement by Sea to All Countries","Number","276139"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement by Sea to Great Britain","Number","238286"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement by Sea to Countries Other Than Great Britain","Number","37853"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement Cross-Border Rail","Number","19701"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement Cross-Border Bus","Number","25295"
"Passenger Movement","1988M08","Departing Eire","Passenger Movement by Air from All Airports","Number","370879"
