"Statistic Label","Type of Accommodation Used","Reason for Journey","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2015","Thousand","11676"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2016","Thousand","12369"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2017","Thousand","12853"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2018","Thousand","14144"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Holiday/leisure/recreation","2019","Thousand","14533"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2009","Thousand","1309"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2010","Thousand","1213"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2011","Thousand","1175"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2012","Thousand","1180"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2013","Thousand","1466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2014","Thousand","1606"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2015","Thousand","1794"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2016","Thousand","1769"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2017","Thousand","2050"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2018","Thousand","1911"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Visit to friends/relatives","2019","Thousand","2076"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2009","Thousand","2346"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2010","Thousand","2414"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2011","Thousand","2575"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2012","Thousand","3099"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2013","Thousand","2936"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2014","Thousand","3074"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2015","Thousand","3471"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2016","Thousand","3856"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2017","Thousand","3814"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2018","Thousand","3466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Business","2019","Thousand","3683"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2009","Thousand","301"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2010","Thousand","503"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2011","Thousand","543"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2012","Thousand","711"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2013","Thousand","490"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2014","Thousand","424"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2015","Thousand","433"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2016","Thousand","528"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2017","Thousand","465"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2018","Thousand","540"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other reason for journey","2019","Thousand","598"
