"Statistic Label","Area of Residence","Reason for Journey","Year","UNIT","VALUE"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2013","%","82"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2014","%","82"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2015","%","83"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2016","%","81"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2017","%","77"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2018","%","75"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Business","2019","%","76"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2009","%","18"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2010","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2011","%","26"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2012","%","31"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2013","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2014","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2015","%","36"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2016","%","34"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2017","%","30"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2018","%","28"
"Overseas Same-Day Trips to Ireland by Non-Residents","Great Britain","Other reason for journey","2019","%","29"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2009","%","24"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2010","%","23"
"Overseas Same-Day Trips to Ireland by Non-Residents","Other Europe (23)","All reasons for journey","2011","%","23"
