"Statistic Label","Type of Accommodation Used","Area of Residence","Year","UNIT","VALUE"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2010","Thousand","740"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2011","Thousand","987"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2012","Thousand","1113"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2013","Thousand","1184"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2014","Thousand","1143"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2015","Thousand","1397"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2016","Thousand","1495"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2017","Thousand","1623"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2018","Thousand","1641"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Hotels","Other Areas","2019","Thousand","1858"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2009","Thousand","9422"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2010","Thousand","8346"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2011","Thousand","8494"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2012","Thousand","6048"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2013","Thousand","6935"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2014","Thousand","7852"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2015","Thousand","9429"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2016","Thousand","10387"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2017","Thousand","10825"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2018","Thousand","11075"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","All areas of residence","2019","Thousand","10971"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2009","Thousand","1538"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2010","Thousand","1466"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2011","Thousand","1337"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2012","Thousand","1132"
"Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","Rented house/apartment","Great Britain","2013","Thousand","1171"
