"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Holiday/leisure/recreation","1992","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Holiday/leisure/recreation","1992","Expenditure by Irish Residents Abroad","Euro Million","554"
"Holiday/leisure/recreation","1992","Visits Abroad by Irish Residents","Thousand","827"
"Holiday/leisure/recreation","1992","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"Holiday/leisure/recreation","1993","Expenditure by Vistors to Ireland","Euro Million","701"
"Holiday/leisure/recreation","1993","Visitors to Ireland","Thousand","1622"
"Holiday/leisure/recreation","1993","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"Holiday/leisure/recreation","1993","Expenditure by Irish Residents Abroad","Euro Million","543"
"Holiday/leisure/recreation","1993","Visits Abroad by Irish Residents","Thousand","857"
"Holiday/leisure/recreation","1993","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Holiday/leisure/recreation","1994","Expenditure by Vistors to Ireland","Euro Million","697"
"Holiday/leisure/recreation","1994","Visitors to Ireland","Thousand","1807"
"Holiday/leisure/recreation","1994","Average Length of Stay by Visitors to Ireland","Nights","9"
"Holiday/leisure/recreation","1994","Expenditure by Irish Residents Abroad","Euro Million","672"
"Holiday/leisure/recreation","1994","Visits Abroad by Irish Residents","Thousand","1006"
"Holiday/leisure/recreation","1994","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Holiday/leisure/recreation","1995","Expenditure by Vistors to Ireland","Euro Million","871"
"Holiday/leisure/recreation","1995","Visitors to Ireland","Thousand","2314"
"Holiday/leisure/recreation","1995","Average Length of Stay by Visitors to Ireland","Nights","8.5"
"Holiday/leisure/recreation","1995","Expenditure by Irish Residents Abroad","Euro Million","832"
"Holiday/leisure/recreation","1995","Visits Abroad by Irish Residents","Thousand","1176"
"Holiday/leisure/recreation","1995","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Holiday/leisure/recreation","1996","Expenditure by Vistors to Ireland","Euro Million","959"
"Holiday/leisure/recreation","1996","Visitors to Ireland","Thousand","2466"
"Holiday/leisure/recreation","1996","Average Length of Stay by Visitors to Ireland","Nights","9"
"Holiday/leisure/recreation","1996","Expenditure by Irish Residents Abroad","Euro Million","863"
"Holiday/leisure/recreation","1996","Visits Abroad by Irish Residents","Thousand","1182"
"Holiday/leisure/recreation","1996","Average Length of Stay Abroad by Irish Residents","Nights","9.9"
"Holiday/leisure/recreation","1997","Expenditure by Vistors to Ireland","Euro Million","1064"
"Holiday/leisure/recreation","1997","Visitors to Ireland","Thousand","2767"
"Holiday/leisure/recreation","1997","Average Length of Stay by Visitors to Ireland","Nights","8.5"
"Holiday/leisure/recreation","1997","Expenditure by Irish Residents Abroad","Euro Million","955"
"Holiday/leisure/recreation","1997","Visits Abroad by Irish Residents","Thousand","1299"
"Holiday/leisure/recreation","1997","Average Length of Stay Abroad by Irish Residents","Nights","9.2"
"Holiday/leisure/recreation","1998","Expenditure by Vistors to Ireland","Euro Million","1147"
"Holiday/leisure/recreation","1998","Visitors to Ireland","Thousand","3097"
"Holiday/leisure/recreation","1998","Average Length of Stay by Visitors to Ireland","Nights","8"
"Holiday/leisure/recreation","1998","Expenditure by Irish Residents Abroad","Euro Million","1152"
"Holiday/leisure/recreation","1998","Visits Abroad by Irish Residents","Thousand","1474"
"Holiday/leisure/recreation","1998","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Holiday/leisure/recreation","1999","Expenditure by Vistors to Ireland","Euro Million","1228"
"Holiday/leisure/recreation","1999","Visitors to Ireland","Thousand","3306"
"Holiday/leisure/recreation","1999","Average Length of Stay by Visitors to Ireland","Nights","7.4"
"Holiday/leisure/recreation","1999","Expenditure by Irish Residents Abroad","Euro Million","1501"
"Holiday/leisure/recreation","1999","Visits Abroad by Irish Residents","Thousand","1752"
"Holiday/leisure/recreation","1999","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Holiday/leisure/recreation","2000","Expenditure by Vistors to Ireland","Euro Million","1386"
"Holiday/leisure/recreation","2000","Visitors to Ireland","Thousand","3346"
"Holiday/leisure/recreation","2000","Average Length of Stay by Visitors to Ireland","Nights","7.4"
"Holiday/leisure/recreation","2000","Expenditure by Irish Residents Abroad","Euro Million","1737"
"Holiday/leisure/recreation","2000","Visits Abroad by Irish Residents","Thousand","1963"
"Holiday/leisure/recreation","2000","Average Length of Stay Abroad by Irish Residents","Nights","10.3"
"Holiday/leisure/recreation","2001","Expenditure by Vistors to Ireland","Euro Million","1594"
"Holiday/leisure/recreation","2001","Visitors to Ireland","Thousand","3177"
"Holiday/leisure/recreation","2001","Average Length of Stay by Visitors to Ireland","Nights","7.4"
"Holiday/leisure/recreation","2001","Expenditure by Irish Residents Abroad","Euro Million","2205"
"Holiday/leisure/recreation","2001","Visits Abroad by Irish Residents","Thousand","2402"
"Holiday/leisure/recreation","2001","Average Length of Stay Abroad by Irish Residents","Nights","10.4"
"Holiday/leisure/recreation","2002","Expenditure by Vistors to Ireland","Euro Million","1696"
"Holiday/leisure/recreation","2002","Visitors to Ireland","Thousand","3242"
"Holiday/leisure/recreation","2002","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"Holiday/leisure/recreation","2002","Expenditure by Irish Residents Abroad","Euro Million","2720"
"Holiday/leisure/recreation","2002","Visits Abroad by Irish Residents","Thousand","2706"
"Holiday/leisure/recreation","2002","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Holiday/leisure/recreation","2003","Expenditure by Vistors to Ireland","Euro Million","1779"
"Holiday/leisure/recreation","2003","Visitors to Ireland","Thousand","3334"
"Holiday/leisure/recreation","2003","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"Holiday/leisure/recreation","2003","Expenditure by Irish Residents Abroad","Euro Million","2895"
"Holiday/leisure/recreation","2003","Visits Abroad by Irish Residents","Thousand","2876"
"Holiday/leisure/recreation","2003","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"Holiday/leisure/recreation","2004","Expenditure by Vistors to Ireland","Euro Million","1774"
"Holiday/leisure/recreation","2004","Visitors to Ireland","Thousand","3413"
"Holiday/leisure/recreation","2004","Average Length of Stay by Visitors to Ireland","Nights","7"
"Holiday/leisure/recreation","2004","Expenditure by Irish Residents Abroad","Euro Million","2882"
"Holiday/leisure/recreation","2004","Visits Abroad by Irish Residents","Thousand","3081"
"Holiday/leisure/recreation","2004","Average Length of Stay Abroad by Irish Residents","Nights","8.7"
"Holiday/leisure/recreation","2005","Expenditure by Vistors to Ireland","Euro Million","1822"
"Holiday/leisure/recreation","2005","Visitors to Ireland","Thousand","3428"
"Holiday/leisure/recreation","2005","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"Holiday/leisure/recreation","2005","Expenditure by Irish Residents Abroad","Euro Million","3220"
"Holiday/leisure/recreation","2005","Visits Abroad by Irish Residents","Thousand","3518"
"Holiday/leisure/recreation","2005","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"Holiday/leisure/recreation","2006","Expenditure by Vistors to Ireland","Euro Million","2029"
"Holiday/leisure/recreation","2006","Visitors to Ireland","Thousand","3775"
"Holiday/leisure/recreation","2006","Average Length of Stay by Visitors to Ireland","Nights","7"
"Holiday/leisure/recreation","2006","Expenditure by Irish Residents Abroad","Euro Million","3557"
"Holiday/leisure/recreation","2006","Visits Abroad by Irish Residents","Thousand","3864"
"Holiday/leisure/recreation","2006","Average Length of Stay Abroad by Irish Residents","Nights","8"
"Holiday/leisure/recreation","2007","Expenditure by Vistors to Ireland","Euro Million","2108"
"Holiday/leisure/recreation","2007","Visitors to Ireland","Thousand","4035"
"Holiday/leisure/recreation","2007","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Holiday/leisure/recreation","2007","Expenditure by Irish Residents Abroad","Euro Million","4388"
"Holiday/leisure/recreation","2007","Visits Abroad by Irish Residents","Thousand","4654"
"Holiday/leisure/recreation","2007","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"Holiday/leisure/recreation","2008","Expenditure by Vistors to Ireland","Euro Million","1939"
"Holiday/leisure/recreation","2008","Visitors to Ireland","Thousand","3698"
"Holiday/leisure/recreation","2008","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"Holiday/leisure/recreation","2008","Expenditure by Irish Residents Abroad","Euro Million","4975"
"Holiday/leisure/recreation","2008","Visits Abroad by Irish Residents","Thousand","4824"
