"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"Transatlantic","2011","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.6"
"Transatlantic","2012","Overseas Trips to Ireland by Non-Residents","Thousand","631"
"Transatlantic","2012","Overseas Trips by Irish Residents","Thousand","306"
"Transatlantic","2012","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.8"
"Transatlantic","2013","Overseas Trips to Ireland by Non-Residents","Thousand","727"
"Transatlantic","2013","Overseas Trips by Irish Residents","Thousand","327"
"Transatlantic","2013","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.9"
"Transatlantic","2014","Overseas Trips to Ireland by Non-Residents","Thousand","894"
"Transatlantic","2014","Overseas Trips by Irish Residents","Thousand","404"
"Transatlantic","2014","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11"
"Transatlantic","2015","Overseas Trips to Ireland by Non-Residents","Thousand","1188"
"Transatlantic","2015","Overseas Trips by Irish Residents","Thousand","577"
"Transatlantic","2015","Average Length of Stay by Irish Residents on Overseas Trips","Nights","13.6"
"Transatlantic","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1411"
"Transatlantic","2016","Overseas Trips by Irish Residents","Thousand","580"
"Transatlantic","2016","Average Length of Stay by Irish Residents on Overseas Trips","Nights","11.9"
"Transatlantic","2017","Overseas Trips to Ireland by Non-Residents","Thousand","1812"
"Transatlantic","2017","Overseas Trips by Irish Residents","Thousand","686"
"Transatlantic","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.3"
"Transatlantic","2018","Overseas Trips to Ireland by Non-Residents","Thousand","2004"
"Transatlantic","2018","Overseas Trips by Irish Residents","Thousand","773"
"Transatlantic","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","10.1"
"Transatlantic","2019","Overseas Trips to Ireland by Non-Residents","Thousand","1989"
"Transatlantic","2019","Overseas Trips by Irish Residents","Thousand","820"
"Transatlantic","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","9.6"
