"Route of Travel","Year","Statistic Label","UNIT","VALUE"
"Air Cross Channel","1977","Visits Abroad by Irish Residents","Thousand","362"
"Air Cross Channel","1977","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"Air Cross Channel","1978","Visitors to Ireland","Thousand","558"
"Air Cross Channel","1978","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"Air Cross Channel","1978","Visits Abroad by Irish Residents","Thousand","413"
"Air Cross Channel","1978","Average Length of Stay Abroad by Irish Residents","Nights","9"
"Air Cross Channel","1979","Visitors to Ireland","Thousand","576"
"Air Cross Channel","1979","Average Length of Stay by Visitors to Ireland","Nights","7.5"
"Air Cross Channel","1979","Visits Abroad by Irish Residents","Thousand","443"
"Air Cross Channel","1979","Average Length of Stay Abroad by Irish Residents","Nights","7.9"
"Air Cross Channel","1980","Visitors to Ireland","Thousand","559"
"Air Cross Channel","1980","Average Length of Stay by Visitors to Ireland","Nights","7.8"
"Air Cross Channel","1980","Visits Abroad by Irish Residents","Thousand","389"
"Air Cross Channel","1980","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"Air Cross Channel","1981","Visitors to Ireland","Thousand","538"
"Air Cross Channel","1981","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Air Cross Channel","1981","Visits Abroad by Irish Residents","Thousand","373"
"Air Cross Channel","1981","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"Air Cross Channel","1982","Visitors to Ireland","Thousand","537"
"Air Cross Channel","1982","Average Length of Stay by Visitors to Ireland","Nights","6.6"
"Air Cross Channel","1982","Visits Abroad by Irish Residents","Thousand","335"
"Air Cross Channel","1982","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"Air Cross Channel","1983","Visitors to Ireland","Thousand","530"
"Air Cross Channel","1983","Average Length of Stay by Visitors to Ireland","Nights","6.4"
"Air Cross Channel","1983","Visits Abroad by Irish Residents","Thousand","311"
"Air Cross Channel","1983","Average Length of Stay Abroad by Irish Residents","Nights","7.6"
"Air Cross Channel","1984","Visitors to Ireland","Thousand","551"
"Air Cross Channel","1984","Average Length of Stay by Visitors to Ireland","Nights","6.6"
"Air Cross Channel","1984","Visits Abroad by Irish Residents","Thousand","319"
"Air Cross Channel","1984","Average Length of Stay Abroad by Irish Residents","Nights","7.4"
"Air Cross Channel","1985","Visitors to Ireland","Thousand","551"
"Air Cross Channel","1985","Average Length of Stay by Visitors to Ireland","Nights","6.9"
"Air Cross Channel","1985","Visits Abroad by Irish Residents","Thousand","364"
"Air Cross Channel","1985","Average Length of Stay Abroad by Irish Residents","Nights","8"
"Air Cross Channel","1986","Visitors to Ireland","Thousand","578"
"Air Cross Channel","1986","Average Length of Stay by Visitors to Ireland","Nights","7"
"Air Cross Channel","1986","Visits Abroad by Irish Residents","Thousand","462"
"Air Cross Channel","1986","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"Air Cross Channel","1987","Visitors to Ireland","Thousand","768"
"Air Cross Channel","1987","Average Length of Stay by Visitors to Ireland","Nights","7.2"
"Air Cross Channel","1987","Visits Abroad by Irish Residents","Thousand","596"
"Air Cross Channel","1987","Average Length of Stay Abroad by Irish Residents","Nights","9"
"Air Cross Channel","1988","Visitors to Ireland","Thousand","998"
"Air Cross Channel","1988","Average Length of Stay by Visitors to Ireland","Nights","6.9"
"Air Cross Channel","1988","Visits Abroad by Irish Residents","Thousand","762"
"Air Cross Channel","1988","Average Length of Stay Abroad by Irish Residents","Nights","9.2"
"Air Cross Channel","1989","Visitors to Ireland","Thousand","1207"
"Air Cross Channel","1989","Average Length of Stay by Visitors to Ireland","Nights","7.4"
"Air Cross Channel","1989","Visits Abroad by Irish Residents","Thousand","832"
"Air Cross Channel","1989","Average Length of Stay Abroad by Irish Residents","Nights","9"
"Air Cross Channel","1990","Visitors to Ireland","Thousand","1352"
"Air Cross Channel","1990","Average Length of Stay by Visitors to Ireland","Nights","7"
"Air Cross Channel","1990","Visits Abroad by Irish Residents","Thousand","859"
"Air Cross Channel","1990","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"Air Cross Channel","1991","Visitors to Ireland","Thousand","1198"
"Air Cross Channel","1991","Average Length of Stay by Visitors to Ireland","Nights","7.3"
"Air Cross Channel","1991","Visits Abroad by Irish Residents","Thousand","770"
"Air Cross Channel","1991","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"Air Cross Channel","1992","Visitors to Ireland","Thousand","1273"
"Air Cross Channel","1992","Average Length of Stay by Visitors to Ireland","Nights","7"
"Air Cross Channel","1992","Visits Abroad by Irish Residents","Thousand","874"
"Air Cross Channel","1992","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"Air Cross Channel","1993","Visitors to Ireland","Thousand","1304"
"Air Cross Channel","1993","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Air Cross Channel","1993","Visits Abroad by Irish Residents","Thousand","871"
"Air Cross Channel","1993","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"Air Cross Channel","1994","Visitors to Ireland","Thousand","1488"
"Air Cross Channel","1994","Average Length of Stay by Visitors to Ireland","Nights","7.1"
"Air Cross Channel","1994","Visits Abroad by Irish Residents","Thousand","1071"
"Air Cross Channel","1994","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"Air Cross Channel","1995","Visitors to Ireland","Thousand","1799"
"Air Cross Channel","1995","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Air Cross Channel","1995","Visits Abroad by Irish Residents","Thousand","1200"
"Air Cross Channel","1995","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"Air Cross Channel","1996","Visitors to Ireland","Thousand","2064"
"Air Cross Channel","1996","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Air Cross Channel","1996","Visits Abroad by Irish Residents","Thousand","1398"
"Air Cross Channel","1996","Average Length of Stay Abroad by Irish Residents","Nights","8.7"
"Air Cross Channel","1997","Visitors to Ireland","Thousand","2305"
"Air Cross Channel","1997","Average Length of Stay by Visitors to Ireland","Nights","6.8"
"Air Cross Channel","1997","Visits Abroad by Irish Residents","Thousand","1570"
"Air Cross Channel","1997","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"Air Cross Channel","1998","Visitors to Ireland","Thousand","2570"
"Air Cross Channel","1998","Average Length of Stay by Visitors to Ireland","Nights","6.2"
"Air Cross Channel","1998","Visits Abroad by Irish Residents","Thousand","1641"
"Air Cross Channel","1998","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"Air Cross Channel","1999","Visitors to Ireland","Thousand","2836"
"Air Cross Channel","1999","Average Length of Stay by Visitors to Ireland","Nights","6"
"Air Cross Channel","1999","Visits Abroad by Irish Residents","Thousand","1618"
"Air Cross Channel","1999","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"Air Cross Channel","2000","Visitors to Ireland","Thousand","3047"
"Air Cross Channel","2000","Average Length of Stay by Visitors to Ireland","Nights","6.3"
"Air Cross Channel","2000","Visits Abroad by Irish Residents","Thousand","1577"
"Air Cross Channel","2000","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"Air Cross Channel","2001","Visitors to Ireland","Thousand","2969"
"Air Cross Channel","2001","Average Length of Stay by Visitors to Ireland","Nights","6.3"
"Air Cross Channel","2001","Visits Abroad by Irish Residents","Thousand","1670"
"Air Cross Channel","2001","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"Air Cross Channel","2002","Visitors to Ireland","Thousand","3073"
"Air Cross Channel","2002","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"Air Cross Channel","2002","Visits Abroad by Irish Residents","Thousand","1825"
"Air Cross Channel","2002","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"Air Cross Channel","2003","Visitors to Ireland","Thousand","3253"
"Air Cross Channel","2003","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"Air Cross Channel","2003","Visits Abroad by Irish Residents","Thousand","1825"
"Air Cross Channel","2003","Average Length of Stay Abroad by Irish Residents","Nights","8.9"
"Air Cross Channel","2004","Visitors to Ireland","Thousand","3413"
"Air Cross Channel","2004","Average Length of Stay by Visitors to Ireland","Nights","5.7"
"Air Cross Channel","2004","Visits Abroad by Irish Residents","Thousand","1982"
"Air Cross Channel","2004","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"Air Cross Channel","2005","Visitors to Ireland","Thousand","3595"
"Air Cross Channel","2005","Average Length of Stay by Visitors to Ireland","Nights","5.5"
"Air Cross Channel","2005","Visits Abroad by Irish Residents","Thousand","2215"
"Air Cross Channel","2005","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"Air Cross Channel","2006","Visitors to Ireland","Thousand","3900"
"Air Cross Channel","2006","Average Length of Stay by Visitors to Ireland","Nights","5.1"
"Air Cross Channel","2006","Visits Abroad by Irish Residents","Thousand","2252"
"Air Cross Channel","2006","Average Length of Stay Abroad by Irish Residents","Nights","7.5"
"Air Cross Channel","2007","Visitors to Ireland","Thousand","3754"
"Air Cross Channel","2007","Average Length of Stay by Visitors to Ireland","Nights","4.8"
"Air Cross Channel","2007","Visits Abroad by Irish Residents","Thousand","2356"
"Air Cross Channel","2007","Average Length of Stay Abroad by Irish Residents","Nights","8.5"
"Air Cross Channel","2008","Visitors to Ireland","Thousand","3690"
"Air Cross Channel","2008","Average Length of Stay by Visitors to Ireland","Nights","5.1"
"Air Cross Channel","2008","Visits Abroad by Irish Residents","Thousand","2468"
"Air Cross Channel","2008","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"Sea Cross Channel","1976","Visitors to Ireland","Thousand","515"
"Sea Cross Channel","1976","Average Length of Stay by Visitors to Ireland","Nights","13.7"
"Sea Cross Channel","1976","Visits Abroad by Irish Residents","Thousand","274"
"Sea Cross Channel","1976","Average Length of Stay Abroad by Irish Residents","Nights","10.1"
"Sea Cross Channel","1977","Visitors to Ireland","Thousand","630"
"Sea Cross Channel","1977","Average Length of Stay by Visitors to Ireland","Nights","12.6"
"Sea Cross Channel","1977","Visits Abroad by Irish Residents","Thousand","341"
"Sea Cross Channel","1977","Average Length of Stay Abroad by Irish Residents","Nights","9.6"
"Sea Cross Channel","1978","Visitors to Ireland","Thousand","758"
"Sea Cross Channel","1978","Average Length of Stay by Visitors to Ireland","Nights","11.8"
"Sea Cross Channel","1978","Visits Abroad by Irish Residents","Thousand","413"
"Sea Cross Channel","1978","Average Length of Stay Abroad by Irish Residents","Nights","10.5"
"Sea Cross Channel","1979","Visitors to Ireland","Thousand","769"
"Sea Cross Channel","1979","Average Length of Stay by Visitors to Ireland","Nights","11.8"
"Sea Cross Channel","1979","Visits Abroad by Irish Residents","Thousand","401"
"Sea Cross Channel","1979","Average Length of Stay Abroad by Irish Residents","Nights","9.4"
"Sea Cross Channel","1980","Visitors to Ireland","Thousand","778"
"Sea Cross Channel","1980","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Sea Cross Channel","1980","Visits Abroad by Irish Residents","Thousand","453"
"Sea Cross Channel","1980","Average Length of Stay Abroad by Irish Residents","Nights","9.3"
"Sea Cross Channel","1981","Visitors to Ireland","Thousand","763"
"Sea Cross Channel","1981","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"Sea Cross Channel","1981","Visits Abroad by Irish Residents","Thousand","438"
"Sea Cross Channel","1981","Average Length of Stay Abroad by Irish Residents","Nights","9.1"
"Sea Cross Channel","1982","Visitors to Ireland","Thousand","804"
"Sea Cross Channel","1982","Average Length of Stay by Visitors to Ireland","Nights","10.9"
"Sea Cross Channel","1982","Visits Abroad by Irish Residents","Thousand","496"
"Sea Cross Channel","1982","Average Length of Stay Abroad by Irish Residents","Nights","7.7"
"Sea Cross Channel","1983","Visitors to Ireland","Thousand","859"
"Sea Cross Channel","1983","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Sea Cross Channel","1983","Visits Abroad by Irish Residents","Thousand","510"
"Sea Cross Channel","1983","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
"Sea Cross Channel","1984","Visitors to Ireland","Thousand","912"
"Sea Cross Channel","1984","Average Length of Stay by Visitors to Ireland","Nights","10.1"
"Sea Cross Channel","1984","Visits Abroad by Irish Residents","Thousand","502"
"Sea Cross Channel","1984","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"Sea Cross Channel","1985","Visitors to Ireland","Thousand","896"
"Sea Cross Channel","1985","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Sea Cross Channel","1985","Visits Abroad by Irish Residents","Thousand","512"
"Sea Cross Channel","1985","Average Length of Stay Abroad by Irish Residents","Nights","7.8"
"Sea Cross Channel","1986","Visitors to Ireland","Thousand","800"
"Sea Cross Channel","1986","Average Length of Stay by Visitors to Ireland","Nights","10.5"
"Sea Cross Channel","1986","Visits Abroad by Irish Residents","Thousand","494"
"Sea Cross Channel","1986","Average Length of Stay Abroad by Irish Residents","Nights","9.5"
"Sea Cross Channel","1987","Visitors to Ireland","Thousand","787"
"Sea Cross Channel","1987","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Sea Cross Channel","1987","Visits Abroad by Irish Residents","Thousand","488"
"Sea Cross Channel","1987","Average Length of Stay Abroad by Irish Residents","Nights","9.7"
"Sea Cross Channel","1988","Visitors to Ireland","Thousand","824"
"Sea Cross Channel","1988","Average Length of Stay by Visitors to Ireland","Nights","10"
"Sea Cross Channel","1988","Visits Abroad by Irish Residents","Thousand","409"
"Sea Cross Channel","1988","Average Length of Stay Abroad by Irish Residents","Nights","10.1"
"Sea Cross Channel","1989","Visitors to Ireland","Thousand","921"
"Sea Cross Channel","1989","Average Length of Stay by Visitors to Ireland","Nights","10.4"
"Sea Cross Channel","1989","Visits Abroad by Irish Residents","Thousand","411"
"Sea Cross Channel","1989","Average Length of Stay Abroad by Irish Residents","Nights","10.2"
"Sea Cross Channel","1990","Visitors to Ireland","Thousand","1005"
"Sea Cross Channel","1990","Average Length of Stay by Visitors to Ireland","Nights","10.8"
"Sea Cross Channel","1990","Visits Abroad by Irish Residents","Thousand","408"
"Sea Cross Channel","1990","Average Length of Stay Abroad by Irish Residents","Nights","10"
"Sea Cross Channel","1991","Visitors to Ireland","Thousand","1060"
"Sea Cross Channel","1991","Average Length of Stay by Visitors to Ireland","Nights","11.4"
"Sea Cross Channel","1991","Visits Abroad by Irish Residents","Thousand","472"
"Sea Cross Channel","1991","Average Length of Stay Abroad by Irish Residents","Nights","8.6"
"Sea Cross Channel","1992","Visitors to Ireland","Thousand","1063"
"Sea Cross Channel","1992","Average Length of Stay by Visitors to Ireland","Nights","11.3"
"Sea Cross Channel","1992","Visits Abroad by Irish Residents","Thousand","485"
"Sea Cross Channel","1992","Average Length of Stay Abroad by Irish Residents","Nights","8.7"
"Sea Cross Channel","1993","Visitors to Ireland","Thousand","1170"
"Sea Cross Channel","1993","Average Length of Stay by Visitors to Ireland","Nights","10.2"
"Sea Cross Channel","1993","Visits Abroad by Irish Residents","Thousand","526"
"Sea Cross Channel","1993","Average Length of Stay Abroad by Irish Residents","Nights","8.3"
"Sea Cross Channel","1994","Visitors to Ireland","Thousand","1225"
"Sea Cross Channel","1994","Average Length of Stay by Visitors to Ireland","Nights","9.3"
"Sea Cross Channel","1994","Visits Abroad by Irish Residents","Thousand","552"
"Sea Cross Channel","1994","Average Length of Stay Abroad by Irish Residents","Nights","7.6"
"Sea Cross Channel","1995","Visitors to Ireland","Thousand","1394"
"Sea Cross Channel","1995","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"Sea Cross Channel","1995","Visits Abroad by Irish Residents","Thousand","512"
"Sea Cross Channel","1995","Average Length of Stay Abroad by Irish Residents","Nights","8.1"
"Sea Cross Channel","1996","Visitors to Ireland","Thousand","1477"
"Sea Cross Channel","1996","Average Length of Stay by Visitors to Ireland","Nights","9.4"
"Sea Cross Channel","1996","Visits Abroad by Irish Residents","Thousand","458"
"Sea Cross Channel","1996","Average Length of Stay Abroad by Irish Residents","Nights","7.5"
"Sea Cross Channel","1997","Visitors to Ireland","Thousand","1635"
"Sea Cross Channel","1997","Average Length of Stay by Visitors to Ireland","Nights","9.2"
"Sea Cross Channel","1997","Visits Abroad by Irish Residents","Thousand","491"
"Sea Cross Channel","1997","Average Length of Stay Abroad by Irish Residents","Nights","6.9"
"Sea Cross Channel","1998","Visitors to Ireland","Thousand","1753"
"Sea Cross Channel","1998","Average Length of Stay by Visitors to Ireland","Nights","8.9"
"Sea Cross Channel","1998","Visits Abroad by Irish Residents","Thousand","490"
"Sea Cross Channel","1998","Average Length of Stay Abroad by Irish Residents","Nights","6.9"
"Sea Cross Channel","1999","Visitors to Ireland","Thousand","1677"
"Sea Cross Channel","1999","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"Sea Cross Channel","1999","Visits Abroad by Irish Residents","Thousand","454"
"Sea Cross Channel","1999","Average Length of Stay Abroad by Irish Residents","Nights","6.4"
"Sea Cross Channel","2000","Visitors to Ireland","Thousand","1518"
"Sea Cross Channel","2000","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"Sea Cross Channel","2000","Visits Abroad by Irish Residents","Thousand","414"
"Sea Cross Channel","2000","Average Length of Stay Abroad by Irish Residents","Nights","6.8"
"Sea Cross Channel","2001","Visitors to Ireland","Thousand","1313"
"Sea Cross Channel","2001","Average Length of Stay by Visitors to Ireland","Nights","8"
"Sea Cross Channel","2001","Visits Abroad by Irish Residents","Thousand","439"
"Sea Cross Channel","2001","Average Length of Stay Abroad by Irish Residents","Nights","7.4"
"Sea Cross Channel","2002","Visitors to Ireland","Thousand","1335"
"Sea Cross Channel","2002","Average Length of Stay by Visitors to Ireland","Nights","8.3"
"Sea Cross Channel","2002","Visits Abroad by Irish Residents","Thousand","413"
"Sea Cross Channel","2002","Average Length of Stay Abroad by Irish Residents","Nights","8"
"Sea Cross Channel","2003","Visitors to Ireland","Thousand","1262"
"Sea Cross Channel","2003","Average Length of Stay by Visitors to Ireland","Nights","7.9"
"Sea Cross Channel","2003","Visits Abroad by Irish Residents","Thousand","408"
"Sea Cross Channel","2003","Average Length of Stay Abroad by Irish Residents","Nights","8.2"
"Sea Cross Channel","2004","Visitors to Ireland","Thousand","1192"
"Sea Cross Channel","2004","Average Length of Stay by Visitors to Ireland","Nights","7.7"
"Sea Cross Channel","2004","Visits Abroad by Irish Residents","Thousand","384"
"Sea Cross Channel","2004","Average Length of Stay Abroad by Irish Residents","Nights","8.4"
