"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Italy","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.5"
"Italy","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","23"
"Italy","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"United States and Canada","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"United States and Canada","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","679"
"United States and Canada","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"United States and Canada","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"United States and Canada","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","742"
"United States and Canada","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"United States and Canada","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"United States and Canada","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","822"
"United States and Canada","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"United States and Canada","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"United States and Canada","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","935"
"United States and Canada","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"United States and Canada","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1197"
"United States and Canada","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"United States and Canada","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"United States and Canada","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1335"
"United States and Canada","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","17"
"United States and Canada","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"United States and Canada","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1523"
"United States and Canada","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"United States and Canada","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"United States and Canada","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1735"
"United States and Canada","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"United States and Canada","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"United States and Canada","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1691"
"United States and Canada","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","20"
"United States and Canada","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"United States and Canada","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","472"
"United States and Canada","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"United States and Canada","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","519"
"United States and Canada","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","22"
"United States and Canada","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"United States and Canada","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","581"
"United States and Canada","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"United States and Canada","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"United States and Canada","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","665"
"United States and Canada","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"United States and Canada","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"United States and Canada","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","869"
"United States and Canada","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","23"
"United States and Canada","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","963"
"United States and Canada","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","24"
"United States and Canada","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.3"
"United States and Canada","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1124"
"United States and Canada","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"United States and Canada","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"United States and Canada","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1334"
"United States and Canada","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","28"
"United States and Canada","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"United States and Canada","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1290"
"United States and Canada","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"United States and Canada","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"United States and Canada","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","95"
"United States and Canada","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.7"
"United States and Canada","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","85"
"United States and Canada","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","8"
"United States and Canada","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"United States and Canada","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","104"
"United States and Canada","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"United States and Canada","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","123"
"United States and Canada","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.7"
"United States and Canada","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","136"
"United States and Canada","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"United States and Canada","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","143"
"United States and Canada","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"United States and Canada","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","164"
"United States and Canada","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"United States and Canada","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"United States and Canada","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","173"
"United States and Canada","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"United States and Canada","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"United States and Canada","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"United States and Canada","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"United States and Canada","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"United States and Canada","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","64"
"United States and Canada","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","91"
"United States and Canada","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"United States and Canada","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"United States and Canada","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"United States and Canada","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"United States and Canada","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","92"
"United States and Canada","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.7"
"United States and Canada","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","112"
"United States and Canada","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"United States and Canada","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","130"
"United States and Canada","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"United States and Canada","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"United States and Canada","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","150"
"United States and Canada","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"United States and Canada","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"United States and Canada","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","148"
"United States and Canada","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"United States and Canada","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"United States and Canada","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","112"
"United States and Canada","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","9"
"United States and Canada","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.2"
"United States and Canada","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","48"
"United States and Canada","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","10"
"United States and Canada","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.8"
"United States and Canada","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","47"
"United States and Canada","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","12"
"United States and Canada","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"United States and Canada","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","57"
"United States and Canada","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"United States and Canada","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
"United States and Canada","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","55"
"United States and Canada","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","14"
"United States and Canada","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"United States and Canada","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","79"
"United States and Canada","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","15"
"United States and Canada","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"United States and Canada","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","98"
"United States and Canada","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","16"
"United States and Canada","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"United States and Canada","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","86"
"United States and Canada","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","18"
"United States and Canada","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.7"
"United States and Canada","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","80"
"United States and Canada","Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"United States and Canada","Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"United States and Canada","Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","109"
"United States and Canada","Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","21"
"Great Britain","All reasons for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain","All reasons for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","830"
"Great Britain","All reasons for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","All reasons for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"Great Britain","All reasons for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","819"
"Great Britain","All reasons for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","42"
"Great Britain","All reasons for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Great Britain","All reasons for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","847"
"Great Britain","All reasons for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","41"
"Great Britain","All reasons for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain","All reasons for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","885"
"Great Britain","All reasons for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","41"
"Great Britain","All reasons for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","All reasons for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","971"
"Great Britain","All reasons for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","All reasons for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain","All reasons for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1061"
"Great Britain","All reasons for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","40"
"Great Britain","All reasons for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","All reasons for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1007"
"Great Britain","All reasons for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","37"
"Great Britain","All reasons for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain","All reasons for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","981"
"Great Britain","All reasons for journey","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"Great Britain","All reasons for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain","All reasons for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","977"
"Great Britain","All reasons for journey","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","35"
"Great Britain","Holiday/leisure/recreation","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"Great Britain","Holiday/leisure/recreation","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"Great Britain","Holiday/leisure/recreation","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","34"
"Great Britain","Holiday/leisure/recreation","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain","Holiday/leisure/recreation","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","294"
"Great Britain","Holiday/leisure/recreation","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Great Britain","Holiday/leisure/recreation","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Holiday/leisure/recreation","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","312"
"Great Britain","Holiday/leisure/recreation","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Great Britain","Holiday/leisure/recreation","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"Great Britain","Holiday/leisure/recreation","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","338"
"Great Britain","Holiday/leisure/recreation","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Great Britain","Holiday/leisure/recreation","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain","Holiday/leisure/recreation","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","403"
"Great Britain","Holiday/leisure/recreation","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","30"
"Great Britain","Holiday/leisure/recreation","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","Holiday/leisure/recreation","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","455"
"Great Britain","Holiday/leisure/recreation","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","31"
"Great Britain","Holiday/leisure/recreation","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain","Holiday/leisure/recreation","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","410"
"Great Britain","Holiday/leisure/recreation","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","27"
"Great Britain","Holiday/leisure/recreation","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain","Holiday/leisure/recreation","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","421"
"Great Britain","Holiday/leisure/recreation","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Great Britain","Holiday/leisure/recreation","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain","Holiday/leisure/recreation","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","422"
"Great Britain","Holiday/leisure/recreation","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","25"
"Great Britain","Visit to friends/relatives","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"Great Britain","Visit to friends/relatives","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","294"
"Great Britain","Visit to friends/relatives","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","61"
"Great Britain","Visit to friends/relatives","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.5"
"Great Britain","Visit to friends/relatives","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","273"
"Great Britain","Visit to friends/relatives","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","62"
"Great Britain","Visit to friends/relatives","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Great Britain","Visit to friends/relatives","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","307"
"Great Britain","Visit to friends/relatives","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","60"
"Great Britain","Visit to friends/relatives","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"Great Britain","Visit to friends/relatives","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"Great Britain","Visit to friends/relatives","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"Great Britain","Visit to friends/relatives","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"Great Britain","Visit to friends/relatives","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","316"
"Great Britain","Visit to friends/relatives","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","58"
"Great Britain","Visit to friends/relatives","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Visit to friends/relatives","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"Great Britain","Visit to friends/relatives","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"Great Britain","Visit to friends/relatives","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","344"
"Great Britain","Visit to friends/relatives","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","56"
"Great Britain","Visit to friends/relatives","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Great Britain","Visit to friends/relatives","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","313"
"Great Britain","Visit to friends/relatives","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","54"
"Great Britain","Visit to friends/relatives","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"Great Britain","Visit to friends/relatives","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","311"
"Great Britain","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","53"
"Great Britain","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.6"
"Great Britain","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","185"
"Great Britain","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"Great Britain","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"Great Britain","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","217"
"Great Britain","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"Great Britain","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"Great Britain","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","203"
"Great Britain","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","50"
"Great Britain","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.9"
"Great Britain","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","207"
"Great Britain","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"Great Britain","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.7"
"Great Britain","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","226"
"Great Britain","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","48"
"Great Britain","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.8"
"Great Britain","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","234"
"Great Britain","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","47"
"Great Britain","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.6"
"Great Britain","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","223"
"Great Britain","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","2.8"
"Great Britain","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"Great Britain","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","44"
"Great Britain","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","3"
"Great Britain","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","220"
"Great Britain","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","43"
"Great Britain","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Great Britain","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","19"
"Great Britain","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","35"
"Great Britain","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Great Britain","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.1"
"Great Britain","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","24"
"Great Britain","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","11"
"Great Britain","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","3.4"
