"Area of Residence","Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"All Countries","Visit to friends/relatives","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.1"
"All Countries","Business","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","478"
"All Countries","Business","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"All Countries","Business","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","529"
"All Countries","Business","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.4"
"All Countries","Business","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"All Countries","Business","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.6"
"All Countries","Business","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","587"
"All Countries","Business","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.3"
"All Countries","Business","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","675"
"All Countries","Business","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.7"
"All Countries","Business","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","724"
"All Countries","Business","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.1"
"All Countries","Business","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","766"
"All Countries","Business","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"All Countries","Business","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","744"
"All Countries","Business","2018","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Business","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.9"
"All Countries","Business","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","721"
"All Countries","Business","2019","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"All Countries","Other reason for journey","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"All Countries","Other reason for journey","2011","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"All Countries","Other reason for journey","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"All Countries","Other reason for journey","2012","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","14"
"All Countries","Other reason for journey","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","324"
"All Countries","Other reason for journey","2013","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.1"
"All Countries","Other reason for journey","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","353"
"All Countries","Other reason for journey","2014","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.9"
"All Countries","Other reason for journey","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","400"
"All Countries","Other reason for journey","2015","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"All Countries","Other reason for journey","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","443"
"All Countries","Other reason for journey","2016","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"All Countries","Other reason for journey","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","456"
"All Countries","Other reason for journey","2017","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"All Countries","Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"All Countries","Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","419"
