"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Other Europe","1994","Visitors to Ireland","Thousand","970"
"Other Europe","1994","Average Length of Stay in Nights by Visitors to Ireland","Nights","12"
"Other Europe","1995","Expenditure by Visitors to Ireland","Euro Million","519"
"Other Europe","1995","Visitors to Ireland","Thousand","1085"
"Other Europe","1995","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.5"
"Other Europe","1996","Expenditure by Visitors to Ireland","Euro Million","587"
"Other Europe","1996","Visitors to Ireland","Thousand","1164"
"Other Europe","1996","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.8"
"Other Europe","1997","Expenditure by Visitors to Ireland","Euro Million","576"
"Other Europe","1997","Visitors to Ireland","Thousand","1175"
"Other Europe","1997","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.3"
"Other Europe","1998","Expenditure by Visitors to Ireland","Euro Million","585"
"Other Europe","1998","Visitors to Ireland","Thousand","1262"
"Other Europe","1998","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.8"
"Other Europe","1999","Expenditure by Visitors to Ireland","Euro Million","623"
"Other Europe","1999","Visitors to Ireland","Thousand","1333"
"Other Europe","1999","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.3"
"Other Europe","2000","Expenditure by Visitors to Ireland","Euro Million","721"
"Other Europe","2000","Visitors to Ireland","Thousand","1453"
"Other Europe","2000","Average Length of Stay in Nights by Visitors to Ireland","Nights","10"
"Other Europe","2001","Expenditure by Visitors to Ireland","Euro Million","810"
"Other Europe","2001","Visitors to Ireland","Thousand","1357"
"Other Europe","2001","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.1"
"Other Europe","2002","Expenditure by Visitors to Ireland","Euro Million","862"
"Other Europe","2002","Visitors to Ireland","Thousand","1392"
"Other Europe","2002","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.2"
"Other Europe","2003","Expenditure by Visitors to Ireland","Euro Million","884"
"Other Europe","2003","Visitors to Ireland","Thousand","1497"
"Other Europe","2003","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.1"
"Other Europe","2004","Expenditure by Visitors to Ireland","Euro Million","927"
"Other Europe","2004","Visitors to Ireland","Thousand","1600"
"Other Europe","2004","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.5"
"Other Europe","2005","Expenditure by Visitors to Ireland","Euro Million","1232"
"Other Europe","2005","Visitors to Ireland","Thousand","1917"
"Other Europe","2005","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.9"
"Other Europe","2006","Expenditure by Visitors to Ireland","Euro Million","1352"
"Other Europe","2006","Visitors to Ireland","Thousand","2281"
"Other Europe","2006","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.2"
"Other Europe","2007","Expenditure by Visitors to Ireland","Euro Million","1400"
"Other Europe","2007","Visitors to Ireland","Thousand","2590"
"Other Europe","2007","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.6"
"Other Europe","2008","Expenditure by Visitors to Ireland","Euro Million","1503"
"Other Europe","2008","Visitors to Ireland","Thousand","2610"
"Other Europe","2008","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.4"
"USA and Canada","1983","Expenditure by Visitors to Ireland","Euro Million","131"
"USA and Canada","1983","Visitors to Ireland","Thousand","292"
"USA and Canada","1983","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.4"
"USA and Canada","1984","Expenditure by Visitors to Ireland","Euro Million","166"
"USA and Canada","1984","Visitors to Ireland","Thousand","324"
"USA and Canada","1984","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.3"
"USA and Canada","1985","Expenditure by Visitors to Ireland","Euro Million","216"
"USA and Canada","1985","Visitors to Ireland","Thousand","404"
"USA and Canada","1985","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.2"
"USA and Canada","1986","Expenditure by Visitors to Ireland","Euro Million","173"
"USA and Canada","1986","Visitors to Ireland","Thousand","327"
"USA and Canada","1986","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.2"
"USA and Canada","1987","Expenditure by Visitors to Ireland","Euro Million","197"
"USA and Canada","1987","Visitors to Ireland","Thousand","383"
"USA and Canada","1987","Average Length of Stay in Nights by Visitors to Ireland","Nights","11"
"USA and Canada","1988","Expenditure by Visitors to Ireland","Euro Million","202"
"USA and Canada","1988","Visitors to Ireland","Thousand","401"
"USA and Canada","1988","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.5"
"USA and Canada","1989","Expenditure by Visitors to Ireland","Euro Million","222"
"USA and Canada","1989","Visitors to Ireland","Thousand","417"
"USA and Canada","1989","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.1"
"USA and Canada","1990","Expenditure by Visitors to Ireland","Euro Million","208"
"USA and Canada","1990","Visitors to Ireland","Thousand","434"
"USA and Canada","1990","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.5"
"USA and Canada","1991","Expenditure by Visitors to Ireland","Euro Million","190"
"USA and Canada","1991","Visitors to Ireland","Thousand","342"
"USA and Canada","1991","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.4"
"USA and Canada","1992","Expenditure by Visitors to Ireland","Euro Million","196"
"USA and Canada","1992","Visitors to Ireland","Thousand","405"
"USA and Canada","1992","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.7"
"USA and Canada","1993","Expenditure by Visitors to Ireland","Euro Million","225"
"USA and Canada","1993","Visitors to Ireland","Thousand","406"
"USA and Canada","1993","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.1"
"USA and Canada","1994","Expenditure by Visitors to Ireland","Euro Million","263"
"USA and Canada","1994","Visitors to Ireland","Thousand","474"
"USA and Canada","1994","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.6"
"USA and Canada","1995","Expenditure by Visitors to Ireland","Euro Million","340"
"USA and Canada","1995","Visitors to Ireland","Thousand","617"
"USA and Canada","1995","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.3"
"USA and Canada","1996","Expenditure by Visitors to Ireland","Euro Million","390"
"USA and Canada","1996","Visitors to Ireland","Thousand","703"
"USA and Canada","1996","Average Length of Stay in Nights by Visitors to Ireland","Nights","10.1"
"USA and Canada","1997","Expenditure by Visitors to Ireland","Euro Million","436"
"USA and Canada","1997","Visitors to Ireland","Thousand","764"
"USA and Canada","1997","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.9"
"USA and Canada","1998","Expenditure by Visitors to Ireland","Euro Million","484"
"USA and Canada","1998","Visitors to Ireland","Thousand","855"
"USA and Canada","1998","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.6"
"USA and Canada","1999","Expenditure by Visitors to Ireland","Euro Million","549"
"USA and Canada","1999","Visitors to Ireland","Thousand","943"
"USA and Canada","1999","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.5"
"USA and Canada","2000","Expenditure by Visitors to Ireland","Euro Million","679"
"USA and Canada","2000","Visitors to Ireland","Thousand","1043"
"USA and Canada","2000","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.6"
"USA and Canada","2001","Expenditure by Visitors to Ireland","Euro Million","713"
"USA and Canada","2001","Visitors to Ireland","Thousand","912"
"USA and Canada","2001","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.7"
"USA and Canada","2002","Expenditure by Visitors to Ireland","Euro Million","705"
"USA and Canada","2002","Visitors to Ireland","Thousand","849"
"USA and Canada","2002","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.6"
"USA and Canada","2003","Expenditure by Visitors to Ireland","Euro Million","784"
"USA and Canada","2003","Visitors to Ireland","Thousand","904"
"USA and Canada","2003","Average Length of Stay in Nights by Visitors to Ireland","Nights","10"
"USA and Canada","2004","Expenditure by Visitors to Ireland","Euro Million","769"
"USA and Canada","2004","Visitors to Ireland","Thousand","977"
"USA and Canada","2004","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.3"
"USA and Canada","2005","Expenditure by Visitors to Ireland","Euro Million","731"
"USA and Canada","2005","Visitors to Ireland","Thousand","953"
"USA and Canada","2005","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.5"
"USA and Canada","2006","Expenditure by Visitors to Ireland","Euro Million","803"
"USA and Canada","2006","Visitors to Ireland","Thousand","1055"
"USA and Canada","2006","Average Length of Stay in Nights by Visitors to Ireland","Nights","9"
"USA and Canada","2007","Expenditure by Visitors to Ireland","Euro Million","806"
"USA and Canada","2007","Visitors to Ireland","Thousand","1073"
"USA and Canada","2007","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.1"
"USA and Canada","2008","Expenditure by Visitors to Ireland","Euro Million","660"
"USA and Canada","2008","Visitors to Ireland","Thousand","1005"
"USA and Canada","2008","Average Length of Stay in Nights by Visitors to Ireland","Nights","9.3"
"Other Areas","1983","Expenditure by Visitors to Ireland","Euro Million","20"
"Other Areas","1983","Visitors to Ireland","Thousand","60"
"Other Areas","1983","Average Length of Stay in Nights by Visitors to Ireland","Nights","11.2"
"Other Areas","1984","Expenditure by Visitors to Ireland","Euro Million","24"
"Other Areas","1984","Visitors to Ireland","Thousand","63"
"Other Areas","1984","Average Length of Stay in Nights by Visitors to Ireland","Nights","13.4"
"Other Areas","1985","Expenditure by Visitors to Ireland","Euro Million","34"
"Other Areas","1985","Visitors to Ireland","Thousand","78"
"Other Areas","1985","Average Length of Stay in Nights by Visitors to Ireland","Nights","12.3"
"Other Areas","1986","Expenditure by Visitors to Ireland","Euro Million","33"
"Other Areas","1986","Visitors to Ireland","Thousand","76"
