"Reason for Journey","Year","Statistic Label","UNIT","VALUE"
"Other reason for journey","2017","Overseas Trips by Irish Residents","Thousand","212"
"Other reason for journey","2017","Average Length of Stay by Irish Residents on Overseas Trips","Nights","6.8"
"Other reason for journey","2017","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","156"
"Other reason for journey","2018","Overseas Trips to Ireland by Non-Residents","Thousand","1294"
"Other reason for journey","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.1"
"Other reason for journey","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","419"
"Other reason for journey","2018","Overseas Trips by Irish Residents","Thousand","200"
"Other reason for journey","2018","Average Length of Stay by Irish Residents on Overseas Trips","Nights","7.2"
"Other reason for journey","2018","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","152"
"Other reason for journey","2019","Overseas Trips to Ireland by Non-Residents","Thousand","1440"
"Other reason for journey","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Other reason for journey","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","398"
"Other reason for journey","2019","Overseas Trips by Irish Residents","Thousand","180"
"Other reason for journey","2019","Average Length of Stay by Irish Residents on Overseas Trips","Nights","8"
"Other reason for journey","2019","Expenditure by Irish Residents on Overseas Trips (including fares)","Euro Million","161"
