"Area of Residence","Year","Statistic Label","UNIT","VALUE"
"Germany","2012","Overseas Trips to Ireland by Non-Residents","Thousand","448"
"Germany","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Germany","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","227"
"Germany","2013","Overseas Trips to Ireland by Non-Residents","Thousand","483"
"Germany","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.6"
"Germany","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","286"
"Germany","2014","Overseas Trips to Ireland by Non-Residents","Thousand","557"
"Germany","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Germany","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","334"
"Germany","2015","Overseas Trips to Ireland by Non-Residents","Thousand","629"
"Germany","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Germany","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","397"
"Germany","2016","Overseas Trips to Ireland by Non-Residents","Thousand","652"
"Germany","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Germany","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","388"
"Germany","2017","Overseas Trips to Ireland by Non-Residents","Thousand","681"
"Germany","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Germany","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","399"
"Germany","2018","Overseas Trips to Ireland by Non-Residents","Thousand","818"
"Germany","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"Germany","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","467"
"Germany","2019","Overseas Trips to Ireland by Non-Residents","Thousand","812"
"Germany","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"Germany","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","446"
"France","2009","Overseas Trips to Ireland by Non-Residents","Thousand",""
"France","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"France","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"France","2010","Overseas Trips to Ireland by Non-Residents","Thousand",""
"France","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"France","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"France","2011","Overseas Trips to Ireland by Non-Residents","Thousand","401"
"France","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.3"
"France","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","197"
"France","2012","Overseas Trips to Ireland by Non-Residents","Thousand","396"
"France","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.2"
"France","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","189"
"France","2013","Overseas Trips to Ireland by Non-Residents","Thousand","434"
"France","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"France","2014","Overseas Trips to Ireland by Non-Residents","Thousand","456"
"France","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"France","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","202"
"France","2015","Overseas Trips to Ireland by Non-Residents","Thousand","505"
"France","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"France","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","236"
"France","2016","Overseas Trips to Ireland by Non-Residents","Thousand","531"
"France","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.4"
"France","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","274"
"France","2017","Overseas Trips to Ireland by Non-Residents","Thousand","549"
"France","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"France","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","295"
"France","2018","Overseas Trips to Ireland by Non-Residents","Thousand","565"
"France","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"France","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","291"
"France","2019","Overseas Trips to Ireland by Non-Residents","Thousand","577"
"France","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"France","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","268"
"Italy","2009","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Italy","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Italy","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Italy","2010","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Italy","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Italy","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Italy","2011","Overseas Trips to Ireland by Non-Residents","Thousand","220"
"Italy","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","102"
"Italy","2012","Overseas Trips to Ireland by Non-Residents","Thousand","252"
"Italy","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","108"
"Italy","2013","Overseas Trips to Ireland by Non-Residents","Thousand","234"
"Italy","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Italy","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","119"
"Italy","2014","Overseas Trips to Ireland by Non-Residents","Thousand","258"
"Italy","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.5"
"Italy","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","132"
"Italy","2015","Overseas Trips to Ireland by Non-Residents","Thousand","321"
"Italy","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.6"
"Italy","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","153"
"Italy","2016","Overseas Trips to Ireland by Non-Residents","Thousand","344"
"Italy","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Italy","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","175"
"Italy","2017","Overseas Trips to Ireland by Non-Residents","Thousand","363"
"Italy","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"Italy","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","190"
"Italy","2018","Overseas Trips to Ireland by Non-Residents","Thousand","409"
"Italy","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.3"
"Italy","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","198"
"Italy","2019","Overseas Trips to Ireland by Non-Residents","Thousand","392"
"Italy","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Italy","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","178"
"United States and Canada","2009","Overseas Trips to Ireland by Non-Residents","Thousand","991"
"United States and Canada","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"United States and Canada","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","722"
"United States and Canada","2010","Overseas Trips to Ireland by Non-Residents","Thousand","929"
"United States and Canada","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.3"
"United States and Canada","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","695"
"United States and Canada","2011","Overseas Trips to Ireland by Non-Residents","Thousand","987"
"United States and Canada","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"United States and Canada","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","679"
"United States and Canada","2012","Overseas Trips to Ireland by Non-Residents","Thousand","1017"
"United States and Canada","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.5"
"United States and Canada","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","742"
"United States and Canada","2013","Overseas Trips to Ireland by Non-Residents","Thousand","1158"
"United States and Canada","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.2"
"United States and Canada","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","822"
"United States and Canada","2014","Overseas Trips to Ireland by Non-Residents","Thousand","1329"
"United States and Canada","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"United States and Canada","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","935"
"United States and Canada","2015","Overseas Trips to Ireland by Non-Residents","Thousand","1514"
"United States and Canada","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.7"
"United States and Canada","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1197"
"United States and Canada","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1808"
"United States and Canada","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.2"
"United States and Canada","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1335"
"United States and Canada","2017","Overseas Trips to Ireland by Non-Residents","Thousand","2101"
"United States and Canada","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"United States and Canada","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1523"
"United States and Canada","2018","Overseas Trips to Ireland by Non-Residents","Thousand","2384"
"United States and Canada","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"United States and Canada","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1735"
"United States and Canada","2019","Overseas Trips to Ireland by Non-Residents","Thousand","2412"
"United States and Canada","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"United States and Canada","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1691"
"Great Britain (includes England, Scotland, Wales)","2009","Overseas Trips to Ireland by Non-Residents","Thousand","3224"
"Great Britain (includes England, Scotland, Wales)","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain (includes England, Scotland, Wales)","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1037"
"Great Britain (includes England, Scotland, Wales)","2010","Overseas Trips to Ireland by Non-Residents","Thousand","2806"
"Great Britain (includes England, Scotland, Wales)","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","5"
"Great Britain (includes England, Scotland, Wales)","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","859"
"Great Britain (includes England, Scotland, Wales)","2011","Overseas Trips to Ireland by Non-Residents","Thousand","2878"
"Great Britain (includes England, Scotland, Wales)","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.8"
"Great Britain (includes England, Scotland, Wales)","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","830"
"Great Britain (includes England, Scotland, Wales)","2012","Overseas Trips to Ireland by Non-Residents","Thousand","2774"
"Great Britain (includes England, Scotland, Wales)","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.6"
"Great Britain (includes England, Scotland, Wales)","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","819"
"Great Britain (includes England, Scotland, Wales)","2013","Overseas Trips to Ireland by Non-Residents","Thousand","2929"
"Great Britain (includes England, Scotland, Wales)","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.7"
"Great Britain (includes England, Scotland, Wales)","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","847"
"Great Britain (includes England, Scotland, Wales)","2014","Overseas Trips to Ireland by Non-Residents","Thousand","3164"
"Great Britain (includes England, Scotland, Wales)","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.5"
"Great Britain (includes England, Scotland, Wales)","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","885"
"Great Britain (includes England, Scotland, Wales)","2015","Overseas Trips to Ireland by Non-Residents","Thousand","3547"
"Great Britain (includes England, Scotland, Wales)","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.3"
"Great Britain (includes England, Scotland, Wales)","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","971"
"Great Britain (includes England, Scotland, Wales)","2016","Overseas Trips to Ireland by Non-Residents","Thousand","3924"
"Great Britain (includes England, Scotland, Wales)","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.2"
"Great Britain (includes England, Scotland, Wales)","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1061"
"Great Britain (includes England, Scotland, Wales)","2017","Overseas Trips to Ireland by Non-Residents","Thousand","3729"
"Great Britain (includes England, Scotland, Wales)","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.4"
"Great Britain (includes England, Scotland, Wales)","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1007"
"Great Britain (includes England, Scotland, Wales)","2018","Overseas Trips to Ireland by Non-Residents","Thousand","3759"
"Great Britain (includes England, Scotland, Wales)","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain (includes England, Scotland, Wales)","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","981"
"Great Britain (includes England, Scotland, Wales)","2019","Overseas Trips to Ireland by Non-Residents","Thousand","3788"
"Great Britain (includes England, Scotland, Wales)","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","4.1"
"Great Britain (includes England, Scotland, Wales)","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","977"
"Australia and New Zealand","2009","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Australia and New Zealand","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Australia and New Zealand","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Australia and New Zealand","2010","Overseas Trips to Ireland by Non-Residents","Thousand",""
"Australia and New Zealand","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights",""
"Australia and New Zealand","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million",""
"Australia and New Zealand","2011","Overseas Trips to Ireland by Non-Residents","Thousand","141"
"Australia and New Zealand","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.7"
"Australia and New Zealand","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","117"
"Australia and New Zealand","2012","Overseas Trips to Ireland by Non-Residents","Thousand","155"
"Australia and New Zealand","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"Australia and New Zealand","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","133"
"Australia and New Zealand","2013","Overseas Trips to Ireland by Non-Residents","Thousand","187"
"Australia and New Zealand","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.8"
"Australia and New Zealand","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","168"
"Australia and New Zealand","2014","Overseas Trips to Ireland by Non-Residents","Thousand","190"
"Australia and New Zealand","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Australia and New Zealand","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","177"
"Australia and New Zealand","2015","Overseas Trips to Ireland by Non-Residents","Thousand","207"
"Australia and New Zealand","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.3"
"Australia and New Zealand","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","200"
"Australia and New Zealand","2016","Overseas Trips to Ireland by Non-Residents","Thousand","204"
"Australia and New Zealand","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.5"
"Australia and New Zealand","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","204"
"Australia and New Zealand","2017","Overseas Trips to Ireland by Non-Residents","Thousand","208"
"Australia and New Zealand","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","12.6"
"Australia and New Zealand","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","207"
"Australia and New Zealand","2018","Overseas Trips to Ireland by Non-Residents","Thousand","228"
"Australia and New Zealand","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","12"
"Australia and New Zealand","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","218"
"Australia and New Zealand","2019","Overseas Trips to Ireland by Non-Residents","Thousand","225"
"Australia and New Zealand","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","11.6"
"Australia and New Zealand","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","206"
"Other Europe (14)","2009","Overseas Trips to Ireland by Non-Residents","Thousand","2388"
"Other Europe (14)","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.9"
"Other Europe (14)","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1342"
"Other Europe (14)","2010","Overseas Trips to Ireland by Non-Residents","Thousand","2092"
"Other Europe (14)","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","10"
"Other Europe (14)","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1134"
"Other Europe (14)","2011","Overseas Trips to Ireland by Non-Residents","Thousand","1239"
"Other Europe (14)","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","10.2"
"Other Europe (14)","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","580"
"Other Europe (14)","2012","Overseas Trips to Ireland by Non-Residents","Thousand","1251"
"Other Europe (14)","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","9.1"
"Other Europe (14)","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","544"
"Other Europe (14)","2013","Overseas Trips to Ireland by Non-Residents","Thousand","1312"
"Other Europe (14)","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.8"
"Other Europe (14)","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","629"
"Other Europe (14)","2014","Overseas Trips to Ireland by Non-Residents","Thousand","1368"
"Other Europe (14)","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","9"
"Other Europe (14)","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","639"
"Other Europe (14)","2015","Overseas Trips to Ireland by Non-Residents","Thousand","1588"
"Other Europe (14)","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.7"
"Other Europe (14)","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","771"
"Other Europe (14)","2016","Overseas Trips to Ireland by Non-Residents","Thousand","1774"
"Other Europe (14)","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","8.9"
"Other Europe (14)","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","821"
"Other Europe (14)","2017","Overseas Trips to Ireland by Non-Residents","Thousand","1888"
"Other Europe (14)","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.8"
"Other Europe (14)","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","883"
"Other Europe (14)","2018","Overseas Trips to Ireland by Non-Residents","Thousand","2021"
"Other Europe (14)","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.9"
"Other Europe (14)","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","890"
"Other Europe (14)","2019","Overseas Trips to Ireland by Non-Residents","Thousand","2129"
"Other Europe (14)","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.5"
"Other Europe (14)","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","959"
"Other countries (18)","2009","Overseas Trips to Ireland by Non-Residents","Thousand","304"
"Other countries (18)","2009","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.3"
"Other countries (18)","2009","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","309"
"Other countries (18)","2010","Overseas Trips to Ireland by Non-Residents","Thousand","311"
"Other countries (18)","2010","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.5"
"Other countries (18)","2010","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","287"
"Other countries (18)","2011","Overseas Trips to Ireland by Non-Residents","Thousand","216"
"Other countries (18)","2011","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.4"
"Other countries (18)","2011","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","154"
"Other countries (18)","2012","Overseas Trips to Ireland by Non-Residents","Thousand","223"
"Other countries (18)","2012","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.9"
"Other countries (18)","2012","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","155"
"Other countries (18)","2013","Overseas Trips to Ireland by Non-Residents","Thousand","248"
"Other countries (18)","2013","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.1"
"Other countries (18)","2013","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","191"
"Other countries (18)","2014","Overseas Trips to Ireland by Non-Residents","Thousand","284"
"Other countries (18)","2014","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.8"
"Other countries (18)","2014","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","244"
"Other countries (18)","2015","Overseas Trips to Ireland by Non-Residents","Thousand","331"
"Other countries (18)","2015","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.1"
"Other countries (18)","2015","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","283"
"Other countries (18)","2016","Overseas Trips to Ireland by Non-Residents","Thousand","346"
"Other countries (18)","2016","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.6"
"Other countries (18)","2016","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","319"
"Other countries (18)","2017","Overseas Trips to Ireland by Non-Residents","Thousand","411"
"Other countries (18)","2017","Average Length of Stay by Overseas Travellers to Ireland","Nights","15.5"
"Other countries (18)","2017","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","370"
"Other countries (18)","2018","Overseas Trips to Ireland by Non-Residents","Thousand","433"
"Other countries (18)","2018","Average Length of Stay by Overseas Travellers to Ireland","Nights","14.4"
"Other countries (18)","2018","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","369"
"Other countries (18)","2019","Overseas Trips to Ireland by Non-Residents","Thousand","473"
"Other countries (18)","2019","Average Length of Stay by Overseas Travellers to Ireland","Nights","13.5"
"Other countries (18)","2019","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","377"
