"Type of Expenditure","Year","Statistic Label","UNIT","VALUE"
"Air Cross-Channel","2002","Visits Abroad by Irish Residents","Euro Million","1464"
"Air Cross-Channel","2003","Visitors to Ireland","Euro Million","1334"
"Air Cross-Channel","2003","Visits Abroad by Irish Residents","Euro Million","1393"
"Air Cross-Channel","2004","Visitors to Ireland","Euro Million","1388"
"Air Cross-Channel","2004","Visits Abroad by Irish Residents","Euro Million","1419"
"Air Cross-Channel","2005","Visitors to Ireland","Euro Million","1372"
"Air Cross-Channel","2005","Visits Abroad by Irish Residents","Euro Million","1610"
"Air Cross-Channel","2006","Visitors to Ireland","Euro Million","1471"
"Air Cross-Channel","2006","Visits Abroad by Irish Residents","Euro Million","1638"
"Air Cross-Channel","2007","Visitors to Ireland","Euro Million","1424"
"Air Cross-Channel","2007","Visits Abroad by Irish Residents","Euro Million","1897"
"Air Cross-Channel","2008","Visitors to Ireland","Euro Million","1441"
"Air Cross-Channel","2008","Visits Abroad by Irish Residents","Euro Million","2183"
"Sea Cross-Channel","1976","Visitors to Ireland","Euro Million","43"
"Sea Cross-Channel","1976","Visits Abroad by Irish Residents","Euro Million","29"
"Sea Cross-Channel","1977","Visitors to Ireland","Euro Million","62"
"Sea Cross-Channel","1977","Visits Abroad by Irish Residents","Euro Million","44"
"Sea Cross-Channel","1978","Visitors to Ireland","Euro Million","81"
"Sea Cross-Channel","1978","Visits Abroad by Irish Residents","Euro Million","62"
"Sea Cross-Channel","1979","Visitors to Ireland","Euro Million","90"
"Sea Cross-Channel","1979","Visits Abroad by Irish Residents","Euro Million","67"
"Sea Cross-Channel","1980","Visitors to Ireland","Euro Million","110"
"Sea Cross-Channel","1980","Visits Abroad by Irish Residents","Euro Million","88"
"Sea Cross-Channel","1981","Visitors to Ireland","Euro Million","119"
"Sea Cross-Channel","1981","Visits Abroad by Irish Residents","Euro Million","85"
"Sea Cross-Channel","1982","Visitors to Ireland","Euro Million","135"
"Sea Cross-Channel","1982","Visits Abroad by Irish Residents","Euro Million","95"
"Sea Cross-Channel","1983","Visitors to Ireland","Euro Million","151"
"Sea Cross-Channel","1983","Visits Abroad by Irish Residents","Euro Million","118"
"Sea Cross-Channel","1984","Visitors to Ireland","Euro Million","170"
"Sea Cross-Channel","1984","Visits Abroad by Irish Residents","Euro Million","116"
"Sea Cross-Channel","1985","Visitors to Ireland","Euro Million","182"
"Sea Cross-Channel","1985","Visits Abroad by Irish Residents","Euro Million","130"
"Sea Cross-Channel","1986","Visitors to Ireland","Euro Million","185"
"Sea Cross-Channel","1986","Visits Abroad by Irish Residents","Euro Million","159"
"Sea Cross-Channel","1987","Visitors to Ireland","Euro Million","187"
"Sea Cross-Channel","1987","Visits Abroad by Irish Residents","Euro Million","156"
"Sea Cross-Channel","1988","Visitors to Ireland","Euro Million","198"
"Sea Cross-Channel","1988","Visits Abroad by Irish Residents","Euro Million","132"
"Sea Cross-Channel","1989","Visitors to Ireland","Euro Million","213"
"Sea Cross-Channel","1989","Visits Abroad by Irish Residents","Euro Million","138"
"Sea Cross-Channel","1990","Visitors to Ireland","Euro Million","251"
"Sea Cross-Channel","1990","Visits Abroad by Irish Residents","Euro Million","143"
"Sea Cross-Channel","1991","Visitors to Ireland","Euro Million","286"
"Sea Cross-Channel","1991","Visits Abroad by Irish Residents","Euro Million","175"
"Sea Cross-Channel","1992","Visitors to Ireland","Euro Million","272"
"Sea Cross-Channel","1992","Visits Abroad by Irish Residents","Euro Million","173"
"Sea Cross-Channel","1993","Visitors to Ireland","Euro Million","319"
"Sea Cross-Channel","1993","Visits Abroad by Irish Residents","Euro Million","192"
"Sea Cross-Channel","1994","Visitors to Ireland","Euro Million","339"
"Sea Cross-Channel","1994","Visits Abroad by Irish Residents","Euro Million","198"
"Sea Cross-Channel","1995","Visitors to Ireland","Euro Million","387"
"Sea Cross-Channel","1995","Visits Abroad by Irish Residents","Euro Million","215"
"Sea Cross-Channel","1996","Visitors to Ireland","Euro Million","399"
"Sea Cross-Channel","1996","Visits Abroad by Irish Residents","Euro Million","169"
"Sea Cross-Channel","1997","Visitors to Ireland","Euro Million","475"
"Sea Cross-Channel","1997","Visits Abroad by Irish Residents","Euro Million","184"
"Sea Cross-Channel","1998","Visitors to Ireland","Euro Million","527"
"Sea Cross-Channel","1998","Visits Abroad by Irish Residents","Euro Million","185"
"Sea Cross-Channel","1999","Visitors to Ireland","Euro Million","494"
"Sea Cross-Channel","1999","Visits Abroad by Irish Residents","Euro Million","171"
"Sea Cross-Channel","2000","Visitors to Ireland","Euro Million","485"
"Sea Cross-Channel","2000","Visits Abroad by Irish Residents","Euro Million","172"
"Sea Cross-Channel","2001","Visitors to Ireland","Euro Million","513"
"Sea Cross-Channel","2001","Visits Abroad by Irish Residents","Euro Million","208"
"Sea Cross-Channel","2002","Visitors to Ireland","Euro Million","566"
"Sea Cross-Channel","2002","Visits Abroad by Irish Residents","Euro Million","213"
"Sea Cross-Channel","2003","Visitors to Ireland","Euro Million","515"
"Sea Cross-Channel","2003","Visits Abroad by Irish Residents","Euro Million","220"
"Sea Cross-Channel","2004","Visitors to Ireland","Euro Million","487"
"Sea Cross-Channel","2004","Visits Abroad by Irish Residents","Euro Million","211"
