"Statistic Label","Quarter","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q3","Other Europe (21)","Thousand","69"
"Number of Trips by Irish Residents","2018Q3","Other countries (24)","Thousand","141"
"Number of Trips by Irish Residents","2018Q4","All Countries","Thousand","2015"
"Number of Trips by Irish Residents","2018Q4","United States and Canada","Thousand","158"
"Number of Trips by Irish Residents","2018Q4","EU28 excluding Ireland","Thousand","1725"
"Number of Trips by Irish Residents","2018Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2018Q4","Other Europe (21)","Thousand","31"
"Number of Trips by Irish Residents","2018Q4","Other countries (24)","Thousand","101"
"Number of Trips by Irish Residents","2019Q1","All Countries","Thousand","1811"
"Number of Trips by Irish Residents","2019Q1","United States and Canada","Thousand","123"
"Number of Trips by Irish Residents","2019Q1","EU28 excluding Ireland","Thousand","1495"
"Number of Trips by Irish Residents","2019Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2019Q1","Other Europe (21)","Thousand","43"
"Number of Trips by Irish Residents","2019Q1","Other countries (24)","Thousand","149"
"Number of Trips by Irish Residents","2019Q2","All Countries","Thousand","2555"
"Number of Trips by Irish Residents","2019Q2","United States and Canada","Thousand","120"
"Number of Trips by Irish Residents","2019Q2","EU28 excluding Ireland","Thousand","2255"
"Number of Trips by Irish Residents","2019Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Other Europe (21)","Thousand","53"
"Number of Trips by Irish Residents","2019Q2","Other countries (24)","Thousand","127"
"Number of Trips by Irish Residents","2019Q3","All Countries","Thousand","2905"
"Number of Trips by Irish Residents","2019Q3","United States and Canada","Thousand","177"
"Number of Trips by Irish Residents","2019Q3","EU28 excluding Ireland","Thousand","2574"
"Number of Trips by Irish Residents","2019Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Other Europe (21)","Thousand","61"
"Number of Trips by Irish Residents","2019Q3","Other countries (24)","Thousand","92"
"Number of Trips by Irish Residents","2019Q4","All Countries","Thousand","2079"
"Number of Trips by Irish Residents","2019Q4","United States and Canada","Thousand","163"
"Number of Trips by Irish Residents","2019Q4","EU28 excluding Ireland","Thousand","1740"
"Number of Trips by Irish Residents","2019Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Other Europe (21)","Thousand","51"
"Number of Trips by Irish Residents","2019Q4","Other countries (24)","Thousand","125"
"Number of Trips by Irish Residents","2020Q1","All Countries","Thousand","1575"
"Number of Trips by Irish Residents","2020Q1","United States and Canada","Thousand","134"
"Number of Trips by Irish Residents","2020Q1","EU28 excluding Ireland","Thousand","1236"
"Number of Trips by Irish Residents","2020Q1","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Other Europe (21)","Thousand","62"
"Number of Trips by Irish Residents","2020Q1","Other countries (24)","Thousand","143"
"Number of Trips by Irish Residents","2020Q2","All Countries","Thousand","60"
"Number of Trips by Irish Residents","2020Q2","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q2","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","All Countries","Thousand","530"
"Number of Trips by Irish Residents","2020Q3","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q3","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","All Countries","Thousand","200"
"Number of Trips by Irish Residents","2020Q4","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2020Q4","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Other countries (24)","Thousand",""
"Number of Trips by Irish Residents","2021Q1","All Countries","Thousand","108"
"Number of Trips by Irish Residents","2021Q1","United States and Canada","Thousand",""
"Number of Trips by Irish Residents","2021Q1","EU28 excluding Ireland","Thousand",""
