"Domestic or Outbound","Mode of Transport","Quarter","Statistic Label","UNIT","VALUE"
"Outbound","Private vehicle","2004Q2","Number of Trips by Irish Residents","Thousand","71"
"Outbound","Private vehicle","2004Q2","Number of Nights by Irish Residents","Thousand","487"
"Outbound","Private vehicle","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Outbound","Private vehicle","2004Q3","Number of Trips by Irish Residents","Thousand","90"
"Outbound","Private vehicle","2004Q3","Number of Nights by Irish Residents","Thousand","625"
"Outbound","Private vehicle","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Outbound","Private vehicle","2004Q4","Number of Trips by Irish Residents","Thousand","91"
"Outbound","Private vehicle","2004Q4","Number of Nights by Irish Residents","Thousand","325"
"Outbound","Private vehicle","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Outbound","Private vehicle","2005Q1","Number of Trips by Irish Residents","Thousand","52"
"Outbound","Private vehicle","2005Q1","Number of Nights by Irish Residents","Thousand","278"
"Outbound","Private vehicle","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Outbound","Private vehicle","2005Q2","Number of Trips by Irish Residents","Thousand","101"
"Outbound","Private vehicle","2005Q2","Number of Nights by Irish Residents","Thousand","619"
"Outbound","Private vehicle","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Outbound","Private vehicle","2005Q3","Number of Trips by Irish Residents","Thousand","101"
"Outbound","Private vehicle","2005Q3","Number of Nights by Irish Residents","Thousand","725"
"Outbound","Private vehicle","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"Outbound","Private vehicle","2005Q4","Number of Trips by Irish Residents","Thousand","98"
"Outbound","Private vehicle","2005Q4","Number of Nights by Irish Residents","Thousand","312"
"Outbound","Private vehicle","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"Outbound","Private vehicle","2006Q1","Number of Trips by Irish Residents","Thousand","59"
"Outbound","Private vehicle","2006Q1","Number of Nights by Irish Residents","Thousand","211"
"Outbound","Private vehicle","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.6"
"Outbound","Private vehicle","2006Q2","Number of Trips by Irish Residents","Thousand","92"
"Outbound","Private vehicle","2006Q2","Number of Nights by Irish Residents","Thousand","452"
"Outbound","Private vehicle","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"Outbound","Private vehicle","2006Q3","Number of Trips by Irish Residents","Thousand","117"
"Outbound","Private vehicle","2006Q3","Number of Nights by Irish Residents","Thousand","791"
"Outbound","Private vehicle","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","Private vehicle","2006Q4","Number of Trips by Irish Residents","Thousand","76"
"Outbound","Private vehicle","2006Q4","Number of Nights by Irish Residents","Thousand","296"
"Outbound","Private vehicle","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"Outbound","Private vehicle","2007Q1","Number of Trips by Irish Residents","Thousand","60"
"Outbound","Private vehicle","2007Q1","Number of Nights by Irish Residents","Thousand","186"
"Outbound","Private vehicle","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Outbound","Private vehicle","2007Q2","Number of Trips by Irish Residents","Thousand","103"
"Outbound","Private vehicle","2007Q2","Number of Nights by Irish Residents","Thousand","603"
"Outbound","Private vehicle","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Outbound","Private vehicle","2007Q3","Number of Trips by Irish Residents","Thousand","131"
"Outbound","Private vehicle","2007Q3","Number of Nights by Irish Residents","Thousand","990"
"Outbound","Private vehicle","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Outbound","Private vehicle","2007Q4","Number of Trips by Irish Residents","Thousand","96"
"Outbound","Private vehicle","2007Q4","Number of Nights by Irish Residents","Thousand","270"
"Outbound","Private vehicle","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Outbound","Private vehicle","2008Q1","Number of Trips by Irish Residents","Thousand","83"
"Outbound","Private vehicle","2008Q1","Number of Nights by Irish Residents","Thousand","316"
"Outbound","Private vehicle","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.8"
"Outbound","Private vehicle","2008Q2","Number of Trips by Irish Residents","Thousand","97"
"Outbound","Private vehicle","2008Q2","Number of Nights by Irish Residents","Thousand","499"
"Outbound","Private vehicle","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Outbound","Private vehicle","2008Q3","Number of Trips by Irish Residents","Thousand","134"
"Outbound","Private vehicle","2008Q3","Number of Nights by Irish Residents","Thousand","807"
"Outbound","Private vehicle","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Outbound","Private vehicle","2008Q4","Number of Trips by Irish Residents","Thousand","121"
"Outbound","Private vehicle","2008Q4","Number of Nights by Irish Residents","Thousand","424"
"Outbound","Private vehicle","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"Outbound","Private vehicle","2009Q1","Number of Trips by Irish Residents","Thousand","115"
"Outbound","Private vehicle","2009Q1","Number of Nights by Irish Residents","Thousand","319"
"Outbound","Private vehicle","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Outbound","Private vehicle","2009Q2","Number of Trips by Irish Residents","Thousand","133"
"Outbound","Private vehicle","2009Q2","Number of Nights by Irish Residents","Thousand","723"
"Outbound","Private vehicle","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Outbound","Private vehicle","2009Q3","Number of Trips by Irish Residents","Thousand","197"
"Outbound","Private vehicle","2009Q3","Number of Nights by Irish Residents","Thousand","1200"
"Outbound","Private vehicle","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Outbound","Private vehicle","2009Q4","Number of Trips by Irish Residents","Thousand","127"
"Outbound","Private vehicle","2009Q4","Number of Nights by Irish Residents","Thousand","467"
"Outbound","Private vehicle","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"Outbound","Sea/Cruise","2003Q1","Number of Trips by Irish Residents","Thousand","56"
"Outbound","Sea/Cruise","2003Q1","Number of Nights by Irish Residents","Thousand","324"
"Outbound","Sea/Cruise","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Outbound","Sea/Cruise","2003Q2","Number of Trips by Irish Residents","Thousand","107"
"Outbound","Sea/Cruise","2003Q2","Number of Nights by Irish Residents","Thousand","1068"
"Outbound","Sea/Cruise","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","10"
"Outbound","Sea/Cruise","2003Q3","Number of Trips by Irish Residents","Thousand","166"
"Outbound","Sea/Cruise","2003Q3","Number of Nights by Irish Residents","Thousand","1765"
"Outbound","Sea/Cruise","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.6"
"Outbound","Sea/Cruise","2003Q4","Number of Trips by Irish Residents","Thousand","55"
"Outbound","Sea/Cruise","2003Q4","Number of Nights by Irish Residents","Thousand","311"
"Outbound","Sea/Cruise","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"Outbound","Sea/Cruise","2004Q1","Number of Trips by Irish Residents","Thousand","47"
"Outbound","Sea/Cruise","2004Q1","Number of Nights by Irish Residents","Thousand","318"
"Outbound","Sea/Cruise","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","Sea/Cruise","2004Q2","Number of Trips by Irish Residents","Thousand","115"
"Outbound","Sea/Cruise","2004Q2","Number of Nights by Irish Residents","Thousand","1010"
"Outbound","Sea/Cruise","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Outbound","Sea/Cruise","2004Q3","Number of Trips by Irish Residents","Thousand","165"
"Outbound","Sea/Cruise","2004Q3","Number of Nights by Irish Residents","Thousand","2031"
"Outbound","Sea/Cruise","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.3"
"Outbound","Sea/Cruise","2004Q4","Number of Trips by Irish Residents","Thousand","52"
"Outbound","Sea/Cruise","2004Q4","Number of Nights by Irish Residents","Thousand","299"
"Outbound","Sea/Cruise","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Outbound","Sea/Cruise","2005Q1","Number of Trips by Irish Residents","Thousand","60"
"Outbound","Sea/Cruise","2005Q1","Number of Nights by Irish Residents","Thousand","352"
"Outbound","Sea/Cruise","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"Outbound","Sea/Cruise","2005Q2","Number of Trips by Irish Residents","Thousand","85"
"Outbound","Sea/Cruise","2005Q2","Number of Nights by Irish Residents","Thousand","762"
"Outbound","Sea/Cruise","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","9"
"Outbound","Sea/Cruise","2005Q3","Number of Trips by Irish Residents","Thousand","170"
"Outbound","Sea/Cruise","2005Q3","Number of Nights by Irish Residents","Thousand","1601"
"Outbound","Sea/Cruise","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Outbound","Sea/Cruise","2005Q4","Number of Trips by Irish Residents","Thousand","43"
"Outbound","Sea/Cruise","2005Q4","Number of Nights by Irish Residents","Thousand","190"
"Outbound","Sea/Cruise","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Outbound","Sea/Cruise","2006Q1","Number of Trips by Irish Residents","Thousand","46"
"Outbound","Sea/Cruise","2006Q1","Number of Nights by Irish Residents","Thousand","307"
"Outbound","Sea/Cruise","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.7"
"Outbound","Sea/Cruise","2006Q2","Number of Trips by Irish Residents","Thousand","120"
"Outbound","Sea/Cruise","2006Q2","Number of Nights by Irish Residents","Thousand","1088"
"Outbound","Sea/Cruise","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"Outbound","Sea/Cruise","2006Q3","Number of Trips by Irish Residents","Thousand","157"
"Outbound","Sea/Cruise","2006Q3","Number of Nights by Irish Residents","Thousand","1438"
"Outbound","Sea/Cruise","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.2"
"Outbound","Sea/Cruise","2006Q4","Number of Trips by Irish Residents","Thousand","41"
"Outbound","Sea/Cruise","2006Q4","Number of Nights by Irish Residents","Thousand","222"
"Outbound","Sea/Cruise","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Outbound","Sea/Cruise","2007Q1","Number of Trips by Irish Residents","Thousand","51"
"Outbound","Sea/Cruise","2007Q1","Number of Nights by Irish Residents","Thousand","273"
"Outbound","Sea/Cruise","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Outbound","Sea/Cruise","2007Q2","Number of Trips by Irish Residents","Thousand","87"
"Outbound","Sea/Cruise","2007Q2","Number of Nights by Irish Residents","Thousand","810"
"Outbound","Sea/Cruise","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.3"
"Outbound","Sea/Cruise","2007Q3","Number of Trips by Irish Residents","Thousand","138"
"Outbound","Sea/Cruise","2007Q3","Number of Nights by Irish Residents","Thousand","1542"
"Outbound","Sea/Cruise","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.2"
"Outbound","Sea/Cruise","2007Q4","Number of Trips by Irish Residents","Thousand","50"
"Outbound","Sea/Cruise","2007Q4","Number of Nights by Irish Residents","Thousand","270"
"Outbound","Sea/Cruise","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Outbound","Sea/Cruise","2008Q1","Number of Trips by Irish Residents","Thousand","56"
"Outbound","Sea/Cruise","2008Q1","Number of Nights by Irish Residents","Thousand","357"
"Outbound","Sea/Cruise","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.4"
"Outbound","Sea/Cruise","2008Q2","Number of Trips by Irish Residents","Thousand","88"
"Outbound","Sea/Cruise","2008Q2","Number of Nights by Irish Residents","Thousand","776"
"Outbound","Sea/Cruise","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Outbound","Sea/Cruise","2008Q3","Number of Trips by Irish Residents","Thousand","141"
"Outbound","Sea/Cruise","2008Q3","Number of Nights by Irish Residents","Thousand","1446"
"Outbound","Sea/Cruise","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Outbound","Sea/Cruise","2008Q4","Number of Trips by Irish Residents","Thousand","54"
"Outbound","Sea/Cruise","2008Q4","Number of Nights by Irish Residents","Thousand","328"
"Outbound","Sea/Cruise","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Outbound","Sea/Cruise","2009Q1","Number of Trips by Irish Residents","Thousand","43"
"Outbound","Sea/Cruise","2009Q1","Number of Nights by Irish Residents","Thousand","265"
"Outbound","Sea/Cruise","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Outbound","Sea/Cruise","2009Q2","Number of Trips by Irish Residents","Thousand","134"
"Outbound","Sea/Cruise","2009Q2","Number of Nights by Irish Residents","Thousand","1191"
"Outbound","Sea/Cruise","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"Outbound","Sea/Cruise","2009Q3","Number of Trips by Irish Residents","Thousand","183"
"Outbound","Sea/Cruise","2009Q3","Number of Nights by Irish Residents","Thousand","1767"
"Outbound","Sea/Cruise","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.7"
"Outbound","Sea/Cruise","2009Q4","Number of Trips by Irish Residents","Thousand","69"
"Outbound","Sea/Cruise","2009Q4","Number of Nights by Irish Residents","Thousand","381"
"Outbound","Sea/Cruise","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q3","Number of Trips by Irish Residents","Thousand","0"
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q3","Number of Nights by Irish Residents","Thousand","0"
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","0"
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q1","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q1","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q2","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q2","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q3","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q3","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q4","Number of Trips by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q4","Number of Nights by Irish Residents","Thousand",""
"Outbound","Other than: Air; bus/rail; private vehicle","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q1","Number of Trips by Irish Residents","Thousand","4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q1","Number of Nights by Irish Residents","Thousand","52"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","13"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q2","Number of Trips by Irish Residents","Thousand","8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q2","Number of Nights by Irish Residents","Thousand","106"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","13.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q3","Number of Trips by Irish Residents","Thousand","18"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q3","Number of Nights by Irish Residents","Thousand","205"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q4","Number of Trips by Irish Residents","Thousand","4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q4","Number of Nights by Irish Residents","Thousand","27"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q1","Number of Trips by Irish Residents","Thousand","8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q1","Number of Nights by Irish Residents","Thousand","61"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q2","Number of Trips by Irish Residents","Thousand","8"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q2","Number of Nights by Irish Residents","Thousand","75"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q3","Number of Trips by Irish Residents","Thousand","17"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q3","Number of Nights by Irish Residents","Thousand","194"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q4","Number of Trips by Irish Residents","Thousand","7"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q4","Number of Nights by Irish Residents","Thousand","100"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","14.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q1","Number of Trips by Irish Residents","Thousand","9"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q1","Number of Nights by Irish Residents","Thousand","67"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q2","Number of Trips by Irish Residents","Thousand","18"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q2","Number of Nights by Irish Residents","Thousand","186"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q3","Number of Trips by Irish Residents","Thousand","16"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q3","Number of Nights by Irish Residents","Thousand","206"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","12.9"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q4","Number of Trips by Irish Residents","Thousand","5"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q4","Number of Nights by Irish Residents","Thousand","61"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","12.2"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q1","Number of Trips by Irish Residents","Thousand","6"
"Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","2006Q1","Number of Nights by Irish Residents","Thousand","43"
