"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","State","Thousand","187"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Border","Thousand","25"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Midland","Thousand","4"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","West","Thousand","32"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Dublin","Thousand","37"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Mid-East","Thousand","8"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","Mid-West","Thousand","17"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","South-East","Thousand","23"
"Number of Trips by Irish Residents","2001Q1","4 + Nights","South-West","Thousand","42"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","State","Thousand","1373"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Border","Thousand","129"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Midland","Thousand","53"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","West","Thousand","262"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Dublin","Thousand","145"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Mid-East","Thousand","90"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","Mid-West","Thousand","157"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","South-East","Thousand","235"
"Number of Trips by Irish Residents","2001Q2","1 + Nights","South-West","Thousand","301"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","State","Thousand","1023"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Border","Thousand","98"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Midland","Thousand","50"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","West","Thousand","187"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Dublin","Thousand","126"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Mid-East","Thousand","80"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","Mid-West","Thousand","113"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","South-East","Thousand","175"
"Number of Trips by Irish Residents","2001Q2","1 - 3 Nights","South-West","Thousand","196"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","State","Thousand","350"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Border","Thousand","32"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Midland","Thousand","3"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","West","Thousand","76"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Dublin","Thousand","19"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Mid-East","Thousand","11"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","Mid-West","Thousand","44"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","South-East","Thousand","60"
"Number of Trips by Irish Residents","2001Q2","4 + Nights","South-West","Thousand","105"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","State","Thousand","2128"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Border","Thousand","249"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Midland","Thousand","66"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","West","Thousand","422"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Dublin","Thousand","178"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Mid-East","Thousand","100"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","Mid-West","Thousand","241"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","South-East","Thousand","369"
"Number of Trips by Irish Residents","2001Q3","1 + Nights","South-West","Thousand","504"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","State","Thousand","1164"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Border","Thousand","129"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Midland","Thousand","48"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","West","Thousand","222"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Dublin","Thousand","138"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Mid-East","Thousand","65"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","Mid-West","Thousand","137"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","South-East","Thousand","194"
"Number of Trips by Irish Residents","2001Q3","1 - 3 Nights","South-West","Thousand","231"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","State","Thousand","965"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Border","Thousand","120"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Midland","Thousand","18"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","West","Thousand","200"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Dublin","Thousand","41"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Mid-East","Thousand","34"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","Mid-West","Thousand","104"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","South-East","Thousand","175"
"Number of Trips by Irish Residents","2001Q3","4 + Nights","South-West","Thousand","272"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","State","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q4","1 + Nights","Border","Thousand","162"
