"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2001Q1","Outbound","South-West","Thousand","96"
"Number of Trips by Irish Residents","2001Q2","Domestic","State","Thousand","1373"
"Number of Trips by Irish Residents","2001Q2","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q2","Domestic","Border","Thousand","101"
"Number of Trips by Irish Residents","2001Q2","Domestic","Midland","Thousand","57"
"Number of Trips by Irish Residents","2001Q2","Domestic","West","Thousand","141"
"Number of Trips by Irish Residents","2001Q2","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q2","Domestic","Dublin","Thousand","498"
"Number of Trips by Irish Residents","2001Q2","Domestic","Mid-East","Thousand","154"
"Number of Trips by Irish Residents","2001Q2","Domestic","Mid-West","Thousand","124"
"Number of Trips by Irish Residents","2001Q2","Domestic","South-East","Thousand","100"
"Number of Trips by Irish Residents","2001Q2","Domestic","South-West","Thousand","199"
"Number of Trips by Irish Residents","2001Q2","Outbound","State","Thousand","1115"
"Number of Trips by Irish Residents","2001Q2","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q2","Outbound","Border","Thousand","87"
"Number of Trips by Irish Residents","2001Q2","Outbound","Midland","Thousand","51"
"Number of Trips by Irish Residents","2001Q2","Outbound","West","Thousand","64"
"Number of Trips by Irish Residents","2001Q2","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q2","Outbound","Dublin","Thousand","461"
"Number of Trips by Irish Residents","2001Q2","Outbound","Mid-East","Thousand","147"
"Number of Trips by Irish Residents","2001Q2","Outbound","Mid-West","Thousand","82"
"Number of Trips by Irish Residents","2001Q2","Outbound","South-East","Thousand","92"
"Number of Trips by Irish Residents","2001Q2","Outbound","South-West","Thousand","131"
"Number of Trips by Irish Residents","2001Q3","Domestic","State","Thousand","2128"
"Number of Trips by Irish Residents","2001Q3","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q3","Domestic","Border","Thousand","191"
"Number of Trips by Irish Residents","2001Q3","Domestic","Midland","Thousand","105"
"Number of Trips by Irish Residents","2001Q3","Domestic","West","Thousand","176"
"Number of Trips by Irish Residents","2001Q3","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q3","Domestic","Dublin","Thousand","696"
"Number of Trips by Irish Residents","2001Q3","Domestic","Mid-East","Thousand","239"
"Number of Trips by Irish Residents","2001Q3","Domestic","Mid-West","Thousand","197"
"Number of Trips by Irish Residents","2001Q3","Domestic","South-East","Thousand","219"
"Number of Trips by Irish Residents","2001Q3","Domestic","South-West","Thousand","305"
"Number of Trips by Irish Residents","2001Q3","Outbound","State","Thousand","1380"
"Number of Trips by Irish Residents","2001Q3","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q3","Outbound","Border","Thousand","115"
"Number of Trips by Irish Residents","2001Q3","Outbound","Midland","Thousand","48"
"Number of Trips by Irish Residents","2001Q3","Outbound","West","Thousand","98"
"Number of Trips by Irish Residents","2001Q3","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q3","Outbound","Dublin","Thousand","571"
"Number of Trips by Irish Residents","2001Q3","Outbound","Mid-East","Thousand","167"
"Number of Trips by Irish Residents","2001Q3","Outbound","Mid-West","Thousand","90"
"Number of Trips by Irish Residents","2001Q3","Outbound","South-East","Thousand","108"
"Number of Trips by Irish Residents","2001Q3","Outbound","South-West","Thousand","184"
"Number of Trips by Irish Residents","2001Q4","Domestic","State","Thousand","1570"
"Number of Trips by Irish Residents","2001Q4","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q4","Domestic","Border","Thousand","155"
"Number of Trips by Irish Residents","2001Q4","Domestic","Midland","Thousand","82"
"Number of Trips by Irish Residents","2001Q4","Domestic","West","Thousand","138"
"Number of Trips by Irish Residents","2001Q4","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q4","Domestic","Dublin","Thousand","473"
"Number of Trips by Irish Residents","2001Q4","Domestic","Mid-East","Thousand","162"
"Number of Trips by Irish Residents","2001Q4","Domestic","Mid-West","Thousand","192"
"Number of Trips by Irish Residents","2001Q4","Domestic","South-East","Thousand","167"
"Number of Trips by Irish Residents","2001Q4","Domestic","South-West","Thousand","202"
"Number of Trips by Irish Residents","2001Q4","Outbound","State","Thousand","903"
"Number of Trips by Irish Residents","2001Q4","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2001Q4","Outbound","Border","Thousand","70"
"Number of Trips by Irish Residents","2001Q4","Outbound","Midland","Thousand","25"
"Number of Trips by Irish Residents","2001Q4","Outbound","West","Thousand","66"
"Number of Trips by Irish Residents","2001Q4","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2001Q4","Outbound","Dublin","Thousand","396"
"Number of Trips by Irish Residents","2001Q4","Outbound","Mid-East","Thousand","114"
"Number of Trips by Irish Residents","2001Q4","Outbound","Mid-West","Thousand","70"
"Number of Trips by Irish Residents","2001Q4","Outbound","South-East","Thousand","77"
"Number of Trips by Irish Residents","2001Q4","Outbound","South-West","Thousand","85"
"Number of Trips by Irish Residents","2002Q1","Domestic","State","Thousand","1360"
"Number of Trips by Irish Residents","2002Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q1","Domestic","Border","Thousand","106"
"Number of Trips by Irish Residents","2002Q1","Domestic","Midland","Thousand","48"
"Number of Trips by Irish Residents","2002Q1","Domestic","West","Thousand","124"
"Number of Trips by Irish Residents","2002Q1","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q1","Domestic","Dublin","Thousand","467"
"Number of Trips by Irish Residents","2002Q1","Domestic","Mid-East","Thousand","178"
"Number of Trips by Irish Residents","2002Q1","Domestic","Mid-West","Thousand","99"
"Number of Trips by Irish Residents","2002Q1","Domestic","South-East","Thousand","142"
"Number of Trips by Irish Residents","2002Q1","Domestic","South-West","Thousand","196"
"Number of Trips by Irish Residents","2002Q1","Outbound","State","Thousand","884"
"Number of Trips by Irish Residents","2002Q1","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q1","Outbound","Border","Thousand","53"
"Number of Trips by Irish Residents","2002Q1","Outbound","Midland","Thousand","30"
"Number of Trips by Irish Residents","2002Q1","Outbound","West","Thousand","52"
"Number of Trips by Irish Residents","2002Q1","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q1","Outbound","Dublin","Thousand","395"
"Number of Trips by Irish Residents","2002Q1","Outbound","Mid-East","Thousand","108"
"Number of Trips by Irish Residents","2002Q1","Outbound","Mid-West","Thousand","64"
"Number of Trips by Irish Residents","2002Q1","Outbound","South-East","Thousand","78"
"Number of Trips by Irish Residents","2002Q1","Outbound","South-West","Thousand","105"
"Number of Trips by Irish Residents","2002Q2","Domestic","State","Thousand","1446"
"Number of Trips by Irish Residents","2002Q2","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q2","Domestic","Border","Thousand","90"
"Number of Trips by Irish Residents","2002Q2","Domestic","Midland","Thousand","51"
"Number of Trips by Irish Residents","2002Q2","Domestic","West","Thousand","131"
"Number of Trips by Irish Residents","2002Q2","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q2","Domestic","Dublin","Thousand","560"
"Number of Trips by Irish Residents","2002Q2","Domestic","Mid-East","Thousand","174"
"Number of Trips by Irish Residents","2002Q2","Domestic","Mid-West","Thousand","122"
"Number of Trips by Irish Residents","2002Q2","Domestic","South-East","Thousand","116"
"Number of Trips by Irish Residents","2002Q2","Domestic","South-West","Thousand","201"
"Number of Trips by Irish Residents","2002Q2","Outbound","State","Thousand","1177"
"Number of Trips by Irish Residents","2002Q2","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q2","Outbound","Border","Thousand","85"
"Number of Trips by Irish Residents","2002Q2","Outbound","Midland","Thousand","42"
"Number of Trips by Irish Residents","2002Q2","Outbound","West","Thousand","92"
"Number of Trips by Irish Residents","2002Q2","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q2","Outbound","Dublin","Thousand","498"
"Number of Trips by Irish Residents","2002Q2","Outbound","Mid-East","Thousand","149"
"Number of Trips by Irish Residents","2002Q2","Outbound","Mid-West","Thousand","77"
"Number of Trips by Irish Residents","2002Q2","Outbound","South-East","Thousand","89"
"Number of Trips by Irish Residents","2002Q2","Outbound","South-West","Thousand","145"
"Number of Trips by Irish Residents","2002Q3","Domestic","State","Thousand","2070"
"Number of Trips by Irish Residents","2002Q3","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q3","Domestic","Border","Thousand","173"
"Number of Trips by Irish Residents","2002Q3","Domestic","Midland","Thousand","110"
"Number of Trips by Irish Residents","2002Q3","Domestic","West","Thousand","146"
"Number of Trips by Irish Residents","2002Q3","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q3","Domestic","Dublin","Thousand","681"
"Number of Trips by Irish Residents","2002Q3","Domestic","Mid-East","Thousand","248"
"Number of Trips by Irish Residents","2002Q3","Domestic","Mid-West","Thousand","218"
"Number of Trips by Irish Residents","2002Q3","Domestic","South-East","Thousand","186"
"Number of Trips by Irish Residents","2002Q3","Domestic","South-West","Thousand","308"
"Number of Trips by Irish Residents","2002Q3","Outbound","State","Thousand","1539"
"Number of Trips by Irish Residents","2002Q3","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q3","Outbound","Border","Thousand","140"
"Number of Trips by Irish Residents","2002Q3","Outbound","Midland","Thousand","72"
"Number of Trips by Irish Residents","2002Q3","Outbound","West","Thousand","101"
"Number of Trips by Irish Residents","2002Q3","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q3","Outbound","Dublin","Thousand","601"
"Number of Trips by Irish Residents","2002Q3","Outbound","Mid-East","Thousand","176"
"Number of Trips by Irish Residents","2002Q3","Outbound","Mid-West","Thousand","109"
"Number of Trips by Irish Residents","2002Q3","Outbound","South-East","Thousand","143"
"Number of Trips by Irish Residents","2002Q3","Outbound","South-West","Thousand","196"
"Number of Trips by Irish Residents","2002Q4","Domestic","State","Thousand","1575"
"Number of Trips by Irish Residents","2002Q4","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q4","Domestic","Border","Thousand","111"
"Number of Trips by Irish Residents","2002Q4","Domestic","Midland","Thousand","69"
"Number of Trips by Irish Residents","2002Q4","Domestic","West","Thousand","164"
"Number of Trips by Irish Residents","2002Q4","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q4","Domestic","Dublin","Thousand","549"
"Number of Trips by Irish Residents","2002Q4","Domestic","Mid-East","Thousand","176"
"Number of Trips by Irish Residents","2002Q4","Domestic","Mid-West","Thousand","162"
"Number of Trips by Irish Residents","2002Q4","Domestic","South-East","Thousand","141"
"Number of Trips by Irish Residents","2002Q4","Domestic","South-West","Thousand","205"
"Number of Trips by Irish Residents","2002Q4","Outbound","State","Thousand","997"
"Number of Trips by Irish Residents","2002Q4","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2002Q4","Outbound","Border","Thousand","78"
"Number of Trips by Irish Residents","2002Q4","Outbound","Midland","Thousand","35"
"Number of Trips by Irish Residents","2002Q4","Outbound","West","Thousand","76"
"Number of Trips by Irish Residents","2002Q4","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2002Q4","Outbound","Dublin","Thousand","413"
"Number of Trips by Irish Residents","2002Q4","Outbound","Mid-East","Thousand","126"
"Number of Trips by Irish Residents","2002Q4","Outbound","Mid-West","Thousand","67"
"Number of Trips by Irish Residents","2002Q4","Outbound","South-East","Thousand","83"
"Number of Trips by Irish Residents","2002Q4","Outbound","South-West","Thousand","119"
"Number of Trips by Irish Residents","2003Q1","Domestic","State","Thousand","1447"
"Number of Trips by Irish Residents","2003Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q1","Domestic","Border","Thousand","147"
"Number of Trips by Irish Residents","2003Q1","Domestic","Midland","Thousand","67"
"Number of Trips by Irish Residents","2003Q1","Domestic","West","Thousand","146"
"Number of Trips by Irish Residents","2003Q1","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q1","Domestic","Dublin","Thousand","445"
"Number of Trips by Irish Residents","2003Q1","Domestic","Mid-East","Thousand","164"
"Number of Trips by Irish Residents","2003Q1","Domestic","Mid-West","Thousand","112"
"Number of Trips by Irish Residents","2003Q1","Domestic","South-East","Thousand","144"
"Number of Trips by Irish Residents","2003Q1","Domestic","South-West","Thousand","221"
"Number of Trips by Irish Residents","2003Q1","Outbound","State","Thousand","954"
"Number of Trips by Irish Residents","2003Q1","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q1","Outbound","Border","Thousand","66"
"Number of Trips by Irish Residents","2003Q1","Outbound","Midland","Thousand","43"
"Number of Trips by Irish Residents","2003Q1","Outbound","West","Thousand","63"
"Number of Trips by Irish Residents","2003Q1","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q1","Outbound","Dublin","Thousand","427"
"Number of Trips by Irish Residents","2003Q1","Outbound","Mid-East","Thousand","123"
"Number of Trips by Irish Residents","2003Q1","Outbound","Mid-West","Thousand","57"
"Number of Trips by Irish Residents","2003Q1","Outbound","South-East","Thousand","68"
"Number of Trips by Irish Residents","2003Q1","Outbound","South-West","Thousand","107"
"Number of Trips by Irish Residents","2003Q2","Domestic","State","Thousand","1509"
"Number of Trips by Irish Residents","2003Q2","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q2","Domestic","Border","Thousand","105"
"Number of Trips by Irish Residents","2003Q2","Domestic","Midland","Thousand","75"
"Number of Trips by Irish Residents","2003Q2","Domestic","West","Thousand","137"
"Number of Trips by Irish Residents","2003Q2","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q2","Domestic","Dublin","Thousand","559"
"Number of Trips by Irish Residents","2003Q2","Domestic","Mid-East","Thousand","163"
"Number of Trips by Irish Residents","2003Q2","Domestic","Mid-West","Thousand","126"
"Number of Trips by Irish Residents","2003Q2","Domestic","South-East","Thousand","123"
"Number of Trips by Irish Residents","2003Q2","Domestic","South-West","Thousand","221"
"Number of Trips by Irish Residents","2003Q2","Outbound","State","Thousand","1330"
"Number of Trips by Irish Residents","2003Q2","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q2","Outbound","Border","Thousand","111"
"Number of Trips by Irish Residents","2003Q2","Outbound","Midland","Thousand","51"
"Number of Trips by Irish Residents","2003Q2","Outbound","West","Thousand","99"
"Number of Trips by Irish Residents","2003Q2","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q2","Outbound","Dublin","Thousand","553"
"Number of Trips by Irish Residents","2003Q2","Outbound","Mid-East","Thousand","168"
"Number of Trips by Irish Residents","2003Q2","Outbound","Mid-West","Thousand","84"
"Number of Trips by Irish Residents","2003Q2","Outbound","South-East","Thousand","108"
"Number of Trips by Irish Residents","2003Q2","Outbound","South-West","Thousand","158"
"Number of Trips by Irish Residents","2003Q3","Domestic","State","Thousand","2087"
"Number of Trips by Irish Residents","2003Q3","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Domestic","Border","Thousand","175"
"Number of Trips by Irish Residents","2003Q3","Domestic","Midland","Thousand","129"
"Number of Trips by Irish Residents","2003Q3","Domestic","West","Thousand","168"
"Number of Trips by Irish Residents","2003Q3","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Domestic","Dublin","Thousand","657"
"Number of Trips by Irish Residents","2003Q3","Domestic","Mid-East","Thousand","227"
"Number of Trips by Irish Residents","2003Q3","Domestic","Mid-West","Thousand","215"
"Number of Trips by Irish Residents","2003Q3","Domestic","South-East","Thousand","184"
"Number of Trips by Irish Residents","2003Q3","Domestic","South-West","Thousand","331"
"Number of Trips by Irish Residents","2003Q3","Outbound","State","Thousand","1595"
"Number of Trips by Irish Residents","2003Q3","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Outbound","Border","Thousand","115"
"Number of Trips by Irish Residents","2003Q3","Outbound","Midland","Thousand","61"
"Number of Trips by Irish Residents","2003Q3","Outbound","West","Thousand","111"
"Number of Trips by Irish Residents","2003Q3","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q3","Outbound","Dublin","Thousand","681"
"Number of Trips by Irish Residents","2003Q3","Outbound","Mid-East","Thousand","209"
"Number of Trips by Irish Residents","2003Q3","Outbound","Mid-West","Thousand","96"
"Number of Trips by Irish Residents","2003Q3","Outbound","South-East","Thousand","116"
"Number of Trips by Irish Residents","2003Q3","Outbound","South-West","Thousand","205"
"Number of Trips by Irish Residents","2003Q4","Domestic","State","Thousand","1614"
"Number of Trips by Irish Residents","2003Q4","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Domestic","Border","Thousand","118"
"Number of Trips by Irish Residents","2003Q4","Domestic","Midland","Thousand","90"
"Number of Trips by Irish Residents","2003Q4","Domestic","West","Thousand","184"
"Number of Trips by Irish Residents","2003Q4","Domestic","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Domestic","Dublin","Thousand","558"
"Number of Trips by Irish Residents","2003Q4","Domestic","Mid-East","Thousand","185"
"Number of Trips by Irish Residents","2003Q4","Domestic","Mid-West","Thousand","125"
"Number of Trips by Irish Residents","2003Q4","Domestic","South-East","Thousand","144"
"Number of Trips by Irish Residents","2003Q4","Domestic","South-West","Thousand","210"
"Number of Trips by Irish Residents","2003Q4","Outbound","State","Thousand","1095"
"Number of Trips by Irish Residents","2003Q4","Outbound","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Outbound","Border","Thousand","86"
"Number of Trips by Irish Residents","2003Q4","Outbound","Midland","Thousand","27"
"Number of Trips by Irish Residents","2003Q4","Outbound","West","Thousand","95"
"Number of Trips by Irish Residents","2003Q4","Outbound","Southern and Eastern","Thousand",""
"Number of Trips by Irish Residents","2003Q4","Outbound","Dublin","Thousand","495"
"Number of Trips by Irish Residents","2003Q4","Outbound","Mid-East","Thousand","142"
"Number of Trips by Irish Residents","2003Q4","Outbound","Mid-West","Thousand","68"
"Number of Trips by Irish Residents","2003Q4","Outbound","South-East","Thousand","60"
"Number of Trips by Irish Residents","2003Q4","Outbound","South-West","Thousand","121"
"Number of Trips by Irish Residents","2004Q1","Domestic","State","Thousand","1585"
"Number of Trips by Irish Residents","2004Q1","Domestic","Border, Midland and Western","Thousand",""
"Number of Trips by Irish Residents","2004Q1","Domestic","Border","Thousand","125"
"Number of Trips by Irish Residents","2004Q1","Domestic","Midland","Thousand","110"
"Number of Trips by Irish Residents","2004Q1","Domestic","West","Thousand","150"
"Number of Trips by Irish Residents","2004Q1","Domestic","Southern and Eastern","Thousand",""
