"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2013Q3","Italy","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2013Q3","Portugal","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2013Q3","United States and Canada","Nights per Trip","21.4"
"Average Length of Stay by Irish Residents","2013Q3","Great Britain","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2013Q3","Northern Ireland","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2013Q3","Asia (7)","Nights per Trip","24.8"
"Average Length of Stay by Irish Residents","2013Q3","Other Europe (22)","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2013Q3","Other countries (26)","Nights per Trip","21.7"
"Average Length of Stay by Irish Residents","2013Q4","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2013Q4","Germany","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2013Q4","Spain","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2013Q4","France","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2013Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2013Q4","Italy","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2013Q4","Portugal","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q4","United States and Canada","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2013Q4","Great Britain","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2013Q4","Northern Ireland","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2013Q4","Asia (7)","Nights per Trip","15.6"
"Average Length of Stay by Irish Residents","2013Q4","Other Europe (22)","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2013Q4","Other countries (26)","Nights per Trip","21.7"
"Average Length of Stay by Irish Residents","2014Q1","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2014Q1","Germany","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2014Q1","Spain","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2014Q1","France","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2014Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2014Q1","Italy","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2014Q1","Portugal","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2014Q1","United States and Canada","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2014Q1","Great Britain","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2014Q1","Northern Ireland","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2014Q1","Asia (7)","Nights per Trip","17.5"
"Average Length of Stay by Irish Residents","2014Q1","Other Europe (22)","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2014Q1","Other countries (26)","Nights per Trip","16.9"
"Average Length of Stay by Irish Residents","2014Q2","All Countries","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2014Q2","Germany","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2014Q2","Spain","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2014Q2","France","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2014Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2014Q2","Italy","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2014Q2","Portugal","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2014Q2","United States and Canada","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2014Q2","Great Britain","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2014Q2","Northern Ireland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2014Q2","Asia (7)","Nights per Trip","12.8"
"Average Length of Stay by Irish Residents","2014Q2","Other Europe (22)","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2014Q2","Other countries (26)","Nights per Trip","15.2"
"Average Length of Stay by Irish Residents","2014Q3","All Countries","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2014Q3","Germany","Nights per Trip","10.4"
"Average Length of Stay by Irish Residents","2014Q3","Spain","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2014Q3","France","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2014Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2014Q3","Italy","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2014Q3","Portugal","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2014Q3","United States and Canada","Nights per Trip","19.7"
"Average Length of Stay by Irish Residents","2014Q3","Great Britain","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2014Q3","Northern Ireland","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2014Q3","Asia (7)","Nights per Trip","16"
"Average Length of Stay by Irish Residents","2014Q3","Other Europe (22)","Nights per Trip","12.2"
"Average Length of Stay by Irish Residents","2014Q3","Other countries (26)","Nights per Trip","23.4"
"Average Length of Stay by Irish Residents","2014Q4","All Countries","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2014Q4","Germany","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2014Q4","Spain","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2014Q4","France","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2014Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2014Q4","Italy","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2014Q4","Portugal","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2014Q4","United States and Canada","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2014Q4","Great Britain","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2014Q4","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2014Q4","Asia (7)","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2014Q4","Other Europe (22)","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2014Q4","Other countries (26)","Nights per Trip","18.3"
"Average Length of Stay by Irish Residents","2015Q1","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2015Q1","Germany","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2015Q1","Spain","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2015Q1","France","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2015Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2015Q1","Italy","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2015Q1","Portugal","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2015Q1","United States and Canada","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2015Q1","Great Britain","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2015Q1","Northern Ireland","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2015Q1","Asia (7)","Nights per Trip","20.8"
"Average Length of Stay by Irish Residents","2015Q1","Other Europe (22)","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2015Q1","Other countries (26)","Nights per Trip","22.4"
"Average Length of Stay by Irish Residents","2015Q2","All Countries","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2015Q2","Germany","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2015Q2","Spain","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2015Q2","France","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2015Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2015Q2","Italy","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2015Q2","Portugal","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2015Q2","United States and Canada","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2015Q2","Great Britain","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2015Q2","Northern Ireland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2015Q2","Asia (7)","Nights per Trip","14.5"
"Average Length of Stay by Irish Residents","2015Q2","Other Europe (22)","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2015Q2","Other countries (26)","Nights per Trip","17.3"
"Average Length of Stay by Irish Residents","2015Q3","All Countries","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents","2015Q3","Germany","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2015Q3","Spain","Nights per Trip","10.2"
"Average Length of Stay by Irish Residents","2015Q3","France","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2015Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2015Q3","Italy","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2015Q3","Portugal","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2015Q3","United States and Canada","Nights per Trip","18.4"
"Average Length of Stay by Irish Residents","2015Q3","Great Britain","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2015Q3","Northern Ireland","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2015Q3","Asia (7)","Nights per Trip","15.5"
"Average Length of Stay by Irish Residents","2015Q3","Other Europe (22)","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2015Q3","Other countries (26)","Nights per Trip","17.6"
"Average Length of Stay by Irish Residents","2015Q4","All Countries","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2015Q4","Germany","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2015Q4","Spain","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2015Q4","France","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2015Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2015Q4","Italy","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2015Q4","Portugal","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2015Q4","United States and Canada","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents","2015Q4","Great Britain","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2015Q4","Northern Ireland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2015Q4","Asia (7)","Nights per Trip","15.1"
"Average Length of Stay by Irish Residents","2015Q4","Other Europe (22)","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2015Q4","Other countries (26)","Nights per Trip","16.5"
"Average Length of Stay by Irish Residents","2016Q1","All Countries","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2016Q1","Germany","Nights per Trip","5.2"
"Average Length of Stay by Irish Residents","2016Q1","Spain","Nights per Trip","10.1"
"Average Length of Stay by Irish Residents","2016Q1","France","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2016Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2016Q1","Italy","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2016Q1","Portugal","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2016Q1","United States and Canada","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2016Q1","Great Britain","Nights per Trip","0.5"
"Average Length of Stay by Irish Residents","2016Q1","Northern Ireland","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016Q1","Asia (7)","Nights per Trip","15.4"
"Average Length of Stay by Irish Residents","2016Q1","Other Europe (22)","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2016Q1","Other countries (26)","Nights per Trip","21.4"
"Average Length of Stay by Irish Residents","2016Q2","All Countries","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2016Q2","Germany","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2016Q2","Spain","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2016Q2","France","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2016Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2016Q2","Italy","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2016Q2","Portugal","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2016Q2","United States and Canada","Nights per Trip","11.4"
"Average Length of Stay by Irish Residents","2016Q2","Great Britain","Nights per Trip","0.4"
"Average Length of Stay by Irish Residents","2016Q2","Northern Ireland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2016Q2","Asia (7)","Nights per Trip","14.3"
"Average Length of Stay by Irish Residents","2016Q2","Other Europe (22)","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2016Q2","Other countries (26)","Nights per Trip","19.2"
"Average Length of Stay by Irish Residents","2016Q3","All Countries","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2016Q3","Germany","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2016Q3","Spain","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2016Q3","France","Nights per Trip","13.4"
"Average Length of Stay by Irish Residents","2016Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2016Q3","Italy","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2016Q3","Portugal","Nights per Trip","9.7"
"Average Length of Stay by Irish Residents","2016Q3","United States and Canada","Nights per Trip","17.6"
"Average Length of Stay by Irish Residents","2016Q3","Great Britain","Nights per Trip","0.4"
"Average Length of Stay by Irish Residents","2016Q3","Northern Ireland","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2016Q3","Asia (7)","Nights per Trip","18.5"
"Average Length of Stay by Irish Residents","2016Q3","Other Europe (22)","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2016Q3","Other countries (26)","Nights per Trip","21.5"
"Average Length of Stay by Irish Residents","2016Q4","All Countries","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2016Q4","Germany","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2016Q4","Spain","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2016Q4","France","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2016Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2016Q4","Italy","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2016Q4","Portugal","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2016Q4","United States and Canada","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2016Q4","Great Britain","Nights per Trip","0.7"
"Average Length of Stay by Irish Residents","2016Q4","Northern Ireland","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2016Q4","Asia (7)","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2016Q4","Other Europe (22)","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2016Q4","Other countries (26)","Nights per Trip","16.3"
"Average Length of Stay by Irish Residents","2017Q1","All Countries","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2017Q1","Germany","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2017Q1","Spain","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2017Q1","France","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2017Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2017Q1","Italy","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2017Q1","Portugal","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2017Q1","United States and Canada","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2017Q1","Great Britain","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2017Q1","Northern Ireland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017Q1","Asia (7)","Nights per Trip","16.5"
"Average Length of Stay by Irish Residents","2017Q1","Other Europe (22)","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2017Q1","Other countries (26)","Nights per Trip","20.3"
"Average Length of Stay by Irish Residents","2017Q2","All Countries","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2017Q2","Germany","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2017Q2","Spain","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2017Q2","France","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2017Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2017Q2","Italy","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2017Q2","Portugal","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2017Q2","United States and Canada","Nights per Trip","12"
"Average Length of Stay by Irish Residents","2017Q2","Great Britain","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2017Q2","Northern Ireland","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2017Q2","Asia (7)","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents","2017Q2","Other Europe (22)","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2017Q2","Other countries (26)","Nights per Trip","17.5"
"Average Length of Stay by Irish Residents","2017Q3","All Countries","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2017Q3","Germany","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2017Q3","Spain","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents","2017Q3","France","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2017Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2017Q3","Italy","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2017Q3","Portugal","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2017Q3","United States and Canada","Nights per Trip","17.7"
"Average Length of Stay by Irish Residents","2017Q3","Great Britain","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2017Q3","Northern Ireland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2017Q3","Asia (7)","Nights per Trip","16.3"
"Average Length of Stay by Irish Residents","2017Q3","Other Europe (22)","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2017Q3","Other countries (26)","Nights per Trip","15.1"
"Average Length of Stay by Irish Residents","2017Q4","All Countries","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2017Q4","Germany","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2017Q4","Spain","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2017Q4","France","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2017Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2017Q4","Italy","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2017Q4","Portugal","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2017Q4","United States and Canada","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2017Q4","Great Britain","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2017Q4","Northern Ireland","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2017Q4","Asia (7)","Nights per Trip","17.2"
"Average Length of Stay by Irish Residents","2017Q4","Other Europe (22)","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2017Q4","Other countries (26)","Nights per Trip","16.7"
"Average Length of Stay by Irish Residents","2018Q1","All Countries","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2018Q1","Germany","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2018Q1","Spain","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2018Q1","France","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2018Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2018Q1","Italy","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2018Q1","Portugal","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2018Q1","United States and Canada","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2018Q1","Great Britain","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2018Q1","Northern Ireland","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2018Q1","Asia (7)","Nights per Trip","16.1"
"Average Length of Stay by Irish Residents","2018Q1","Other Europe (22)","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2018Q1","Other countries (26)","Nights per Trip","24.1"
"Average Length of Stay by Irish Residents","2018Q2","All Countries","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2018Q2","Germany","Nights per Trip","4.1"
"Average Length of Stay by Irish Residents","2018Q2","Spain","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2018Q2","France","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2018Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2018Q2","Italy","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018Q2","Portugal","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2018Q2","United States and Canada","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2018Q2","Great Britain","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2018Q2","Northern Ireland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2018Q2","Asia (7)","Nights per Trip","16"
"Average Length of Stay by Irish Residents","2018Q2","Other Europe (22)","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2018Q2","Other countries (26)","Nights per Trip","30.5"
"Average Length of Stay by Irish Residents","2018Q3","All Countries","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2018Q3","Germany","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2018Q3","Spain","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2018Q3","France","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2018Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2018Q3","Italy","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2018Q3","Portugal","Nights per Trip","9.8"
"Average Length of Stay by Irish Residents","2018Q3","United States and Canada","Nights per Trip","15.7"
"Average Length of Stay by Irish Residents","2018Q3","Great Britain","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2018Q3","Northern Ireland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2018Q3","Asia (7)","Nights per Trip","18.7"
"Average Length of Stay by Irish Residents","2018Q3","Other Europe (22)","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2018Q3","Other countries (26)","Nights per Trip","16.5"
"Average Length of Stay by Irish Residents","2018Q4","All Countries","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2018Q4","Germany","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2018Q4","Spain","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2018Q4","France","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2018Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2018Q4","Italy","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2018Q4","Portugal","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2018Q4","United States and Canada","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2018Q4","Great Britain","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2018Q4","Northern Ireland","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2018Q4","Asia (7)","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2018Q4","Other Europe (22)","Nights per Trip","5.6"
"Average Length of Stay by Irish Residents","2018Q4","Other countries (26)","Nights per Trip","14.2"
"Average Length of Stay by Irish Residents","2019Q1","All Countries","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2019Q1","Germany","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2019Q1","Spain","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2019Q1","France","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2019Q1","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2019Q1","Italy","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2019Q1","Portugal","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2019Q1","United States and Canada","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2019Q1","Great Britain","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2019Q1","Northern Ireland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2019Q1","Asia (7)","Nights per Trip","14.7"
"Average Length of Stay by Irish Residents","2019Q1","Other Europe (22)","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2019Q1","Other countries (26)","Nights per Trip","17.1"
"Average Length of Stay by Irish Residents","2019Q2","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2019Q2","Germany","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2019Q2","Spain","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2019Q2","France","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2019Q2","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2019Q2","Italy","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2019Q2","Portugal","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2019Q2","United States and Canada","Nights per Trip","13"
"Average Length of Stay by Irish Residents","2019Q2","Great Britain","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2019Q2","Northern Ireland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2019Q2","Asia (7)","Nights per Trip","13.8"
"Average Length of Stay by Irish Residents","2019Q2","Other Europe (22)","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2019Q2","Other countries (26)","Nights per Trip","14.9"
"Average Length of Stay by Irish Residents","2019Q3","All Countries","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2019Q3","Germany","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2019Q3","Spain","Nights per Trip","9.9"
"Average Length of Stay by Irish Residents","2019Q3","France","Nights per Trip","12"
"Average Length of Stay by Irish Residents","2019Q3","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2019Q3","Italy","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2019Q3","Portugal","Nights per Trip","9"
"Average Length of Stay by Irish Residents","2019Q3","United States and Canada","Nights per Trip","15.2"
"Average Length of Stay by Irish Residents","2019Q3","Great Britain","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2019Q3","Northern Ireland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2019Q3","Asia (7)","Nights per Trip","17.6"
"Average Length of Stay by Irish Residents","2019Q3","Other Europe (22)","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2019Q3","Other countries (26)","Nights per Trip","27.2"
"Average Length of Stay by Irish Residents","2019Q4","All Countries","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2019Q4","Germany","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2019Q4","Spain","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2019Q4","France","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2019Q4","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip","3.4"
