"Statistic Label","Quarter","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2014Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","591"
"Number of Trips by Irish Residents","2014Q3","Italy","Thousand","118"
"Number of Trips by Irish Residents","2014Q3","Portugal","Thousand","176"
"Number of Trips by Irish Residents","2014Q3","United States and Canada","Thousand","140"
"Number of Trips by Irish Residents","2014Q3","Great Britain","Thousand","487"
"Number of Trips by Irish Residents","2014Q3","Northern Ireland","Thousand","104"
"Number of Trips by Irish Residents","2014Q3","Asia (7)","Thousand","34"
"Number of Trips by Irish Residents","2014Q3","Other Europe (22)","Thousand","269"
"Number of Trips by Irish Residents","2014Q3","Other countries (26)","Thousand","37"
"Number of Trips by Irish Residents","2014Q4","All Countries","Thousand","1522"
"Number of Trips by Irish Residents","2014Q4","Germany","Thousand","80"
"Number of Trips by Irish Residents","2014Q4","Spain","Thousand","242"
"Number of Trips by Irish Residents","2014Q4","France","Thousand","73"
"Number of Trips by Irish Residents","2014Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","657"
"Number of Trips by Irish Residents","2014Q4","Italy","Thousand","28"
"Number of Trips by Irish Residents","2014Q4","Portugal","Thousand","73"
"Number of Trips by Irish Residents","2014Q4","United States and Canada","Thousand","120"
"Number of Trips by Irish Residents","2014Q4","Great Britain","Thousand","523"
"Number of Trips by Irish Residents","2014Q4","Northern Ireland","Thousand","134"
"Number of Trips by Irish Residents","2014Q4","Asia (7)","Thousand","43"
"Number of Trips by Irish Residents","2014Q4","Other Europe (22)","Thousand","155"
"Number of Trips by Irish Residents","2014Q4","Other countries (26)","Thousand","50"
"Number of Trips by Irish Residents","2015Q1","All Countries","Thousand","1350"
"Number of Trips by Irish Residents","2015Q1","Germany","Thousand","29"
"Number of Trips by Irish Residents","2015Q1","Spain","Thousand","195"
"Number of Trips by Irish Residents","2015Q1","France","Thousand","97"
"Number of Trips by Irish Residents","2015Q1","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","575"
"Number of Trips by Irish Residents","2015Q1","Italy","Thousand","64"
"Number of Trips by Irish Residents","2015Q1","Portugal","Thousand","10"
"Number of Trips by Irish Residents","2015Q1","United States and Canada","Thousand","99"
"Number of Trips by Irish Residents","2015Q1","Great Britain","Thousand","493"
"Number of Trips by Irish Residents","2015Q1","Northern Ireland","Thousand","82"
"Number of Trips by Irish Residents","2015Q1","Asia (7)","Thousand","57"
"Number of Trips by Irish Residents","2015Q1","Other Europe (22)","Thousand","188"
"Number of Trips by Irish Residents","2015Q1","Other countries (26)","Thousand","37"
"Number of Trips by Irish Residents","2015Q2","All Countries","Thousand","1926"
"Number of Trips by Irish Residents","2015Q2","Germany","Thousand","44"
"Number of Trips by Irish Residents","2015Q2","Spain","Thousand","505"
"Number of Trips by Irish Residents","2015Q2","France","Thousand","200"
"Number of Trips by Irish Residents","2015Q2","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","516"
"Number of Trips by Irish Residents","2015Q2","Italy","Thousand","130"
"Number of Trips by Irish Residents","2015Q2","Portugal","Thousand","110"
"Number of Trips by Irish Residents","2015Q2","United States and Canada","Thousand","95"
"Number of Trips by Irish Residents","2015Q2","Great Britain","Thousand","457"
"Number of Trips by Irish Residents","2015Q2","Northern Ireland","Thousand","59"
"Number of Trips by Irish Residents","2015Q2","Asia (7)","Thousand","31"
"Number of Trips by Irish Residents","2015Q2","Other Europe (22)","Thousand","249"
"Number of Trips by Irish Residents","2015Q2","Other countries (26)","Thousand","45"
"Number of Trips by Irish Residents","2015Q3","All Countries","Thousand","2218"
"Number of Trips by Irish Residents","2015Q3","Germany","Thousand","56"
"Number of Trips by Irish Residents","2015Q3","Spain","Thousand","587"
"Number of Trips by Irish Residents","2015Q3","France","Thousand","259"
"Number of Trips by Irish Residents","2015Q3","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","556"
"Number of Trips by Irish Residents","2015Q3","Italy","Thousand","152"
"Number of Trips by Irish Residents","2015Q3","Portugal","Thousand","143"
"Number of Trips by Irish Residents","2015Q3","United States and Canada","Thousand","118"
"Number of Trips by Irish Residents","2015Q3","Great Britain","Thousand","470"
"Number of Trips by Irish Residents","2015Q3","Northern Ireland","Thousand","85"
"Number of Trips by Irish Residents","2015Q3","Asia (7)","Thousand","31"
"Number of Trips by Irish Residents","2015Q3","Other Europe (22)","Thousand","276"
"Number of Trips by Irish Residents","2015Q3","Other countries (26)","Thousand","39"
"Number of Trips by Irish Residents","2015Q4","All Countries","Thousand","1600"
"Number of Trips by Irish Residents","2015Q4","Germany","Thousand","73"
"Number of Trips by Irish Residents","2015Q4","Spain","Thousand","264"
"Number of Trips by Irish Residents","2015Q4","France","Thousand","76"
"Number of Trips by Irish Residents","2015Q4","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","623"
"Number of Trips by Irish Residents","2015Q4","Italy","Thousand","72"
"Number of Trips by Irish Residents","2015Q4","Portugal","Thousand","50"
"Number of Trips by Irish Residents","2015Q4","United States and Canada","Thousand","110"
"Number of Trips by Irish Residents","2015Q4","Great Britain","Thousand","513"
"Number of Trips by Irish Residents","2015Q4","Northern Ireland","Thousand","111"
"Number of Trips by Irish Residents","2015Q4","Asia (7)","Thousand","47"
