"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2019Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Eastern and Midland","Thousand","1452"
"Number of Trips by Irish Residents","2019Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","State","Thousand","2555"
"Number of Trips by Irish Residents","2019Q2","Outbound","Northern and Western","Thousand","373"
"Number of Trips by Irish Residents","2019Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","Southern","Thousand","700"
"Number of Trips by Irish Residents","2019Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","Eastern and Midland","Thousand","1482"
"Number of Trips by Irish Residents","2019Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","State","Thousand","3898"
"Number of Trips by Irish Residents","2019Q3","Domestic","Northern and Western","Thousand","649"
"Number of Trips by Irish Residents","2019Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","Southern","Thousand","1273"
"Number of Trips by Irish Residents","2019Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","Eastern and Midland","Thousand","1976"
"Number of Trips by Irish Residents","2019Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","State","Thousand","2905"
"Number of Trips by Irish Residents","2019Q3","Outbound","Northern and Western","Thousand","342"
"Number of Trips by Irish Residents","2019Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","Southern","Thousand","880"
"Number of Trips by Irish Residents","2019Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","Eastern and Midland","Thousand","1683"
"Number of Trips by Irish Residents","2019Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","State","Thousand","2641"
"Number of Trips by Irish Residents","2019Q4","Domestic","Northern and Western","Thousand","465"
"Number of Trips by Irish Residents","2019Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","Southern","Thousand","912"
"Number of Trips by Irish Residents","2019Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","Eastern and Midland","Thousand","1264"
"Number of Trips by Irish Residents","2019Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","State","Thousand","2079"
"Number of Trips by Irish Residents","2019Q4","Outbound","Northern and Western","Thousand","307"
"Number of Trips by Irish Residents","2019Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","Southern","Thousand","591"
"Number of Trips by Irish Residents","2019Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","Eastern and Midland","Thousand","1180"
"Number of Trips by Irish Residents","2019Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","State","Thousand","2160"
"Number of Trips by Irish Residents","2020Q1","Domestic","Northern and Western","Thousand","376"
"Number of Trips by Irish Residents","2020Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","Southern","Thousand","678"
"Number of Trips by Irish Residents","2020Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","Eastern and Midland","Thousand","1106"
"Number of Trips by Irish Residents","2020Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","State","Thousand","1575"
"Number of Trips by Irish Residents","2020Q1","Outbound","Northern and Western","Thousand","223"
"Number of Trips by Irish Residents","2020Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","Southern","Thousand","402"
"Number of Trips by Irish Residents","2020Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","Eastern and Midland","Thousand","950"
"Number of Trips by Irish Residents","2020Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","State","Thousand","237"
"Number of Trips by Irish Residents","2020Q2","Domestic","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","State","Thousand","60"
"Number of Trips by Irish Residents","2020Q2","Outbound","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","State","Thousand","4188"
"Number of Trips by Irish Residents","2020Q3","Domestic","Northern and Western","Thousand","612"
"Number of Trips by Irish Residents","2020Q3","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","Southern","Thousand","1404"
"Number of Trips by Irish Residents","2020Q3","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","Eastern and Midland","Thousand","2173"
"Number of Trips by Irish Residents","2020Q3","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","State","Thousand","530"
"Number of Trips by Irish Residents","2020Q3","Outbound","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q3","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","State","Thousand","1136"
"Number of Trips by Irish Residents","2020Q4","Domestic","Northern and Western","Thousand","194"
"Number of Trips by Irish Residents","2020Q4","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","Southern","Thousand","422"
"Number of Trips by Irish Residents","2020Q4","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","Eastern and Midland","Thousand","520"
"Number of Trips by Irish Residents","2020Q4","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","State","Thousand","200"
"Number of Trips by Irish Residents","2020Q4","Outbound","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q4","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","State","Thousand","278"
"Number of Trips by Irish Residents","2021Q1","Domestic","Northern and Western","Thousand","68"
"Number of Trips by Irish Residents","2021Q1","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","Southern","Thousand","93"
"Number of Trips by Irish Residents","2021Q1","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","Eastern and Midland","Thousand","117"
"Number of Trips by Irish Residents","2021Q1","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","State","Thousand","108"
"Number of Trips by Irish Residents","2021Q1","Outbound","Northern and Western","Thousand","6"
"Number of Trips by Irish Residents","2021Q1","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","Southern","Thousand","27"
"Number of Trips by Irish Residents","2021Q1","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","Eastern and Midland","Thousand","75"
"Number of Trips by Irish Residents","2021Q1","Outbound","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q1","Outbound","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","State","Thousand","990"
"Number of Trips by Irish Residents","2021Q2","Domestic","Northern and Western","Thousand","262"
"Number of Trips by Irish Residents","2021Q2","Domestic","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","Southern","Thousand","250"
"Number of Trips by Irish Residents","2021Q2","Domestic","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","South-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","South-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","Eastern and Midland","Thousand","478"
"Number of Trips by Irish Residents","2021Q2","Domestic","Dublin","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Domestic","Midland","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","State","Thousand","168"
"Number of Trips by Irish Residents","2021Q2","Outbound","Northern and Western","Thousand","14"
"Number of Trips by Irish Residents","2021Q2","Outbound","Border","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","Southern","Thousand","60"
"Number of Trips by Irish Residents","2021Q2","Outbound","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2021Q2","Outbound","South-East","Thousand",""
