"Statistic Label","Quarter","Domestic","Region of Residence","UNIT","VALUE"
"Number of Nights by Irish Residents","2019Q4","Domestic","Eastern and Midland","Thousand","2756"
"Number of Nights by Irish Residents","2019Q4","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","State","Thousand","12848"
"Number of Nights by Irish Residents","2019Q4","Outbound","Northern and Western","Thousand","1726"
"Number of Nights by Irish Residents","2019Q4","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","Southern","Thousand","3837"
"Number of Nights by Irish Residents","2019Q4","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","Eastern and Midland","Thousand","7286"
"Number of Nights by Irish Residents","2019Q4","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2019Q4","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","State","Thousand","4533"
"Number of Nights by Irish Residents","2020Q1","Domestic","Northern and Western","Thousand","788"
"Number of Nights by Irish Residents","2020Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","Southern","Thousand","1409"
"Number of Nights by Irish Residents","2020Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","Eastern and Midland","Thousand","2336"
"Number of Nights by Irish Residents","2020Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","State","Thousand","10082"
"Number of Nights by Irish Residents","2020Q1","Outbound","Northern and Western","Thousand","1406"
"Number of Nights by Irish Residents","2020Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","Southern","Thousand","2535"
"Number of Nights by Irish Residents","2020Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","Eastern and Midland","Thousand","6141"
"Number of Nights by Irish Residents","2020Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","State","Thousand","875"
"Number of Nights by Irish Residents","2020Q2","Domestic","Northern and Western","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Southern","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Eastern and Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","State","Thousand","427"
"Number of Nights by Irish Residents","2020Q2","Outbound","Northern and Western","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Southern","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Eastern and Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","State","Thousand","14777"
"Number of Nights by Irish Residents","2020Q3","Domestic","Northern and Western","Thousand","1933"
"Number of Nights by Irish Residents","2020Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","Southern","Thousand","4501"
"Number of Nights by Irish Residents","2020Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","Eastern and Midland","Thousand","8343"
"Number of Nights by Irish Residents","2020Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","State","Thousand","3820"
"Number of Nights by Irish Residents","2020Q3","Outbound","Northern and Western","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Southern","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Eastern and Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","State","Thousand","3333"
"Number of Nights by Irish Residents","2020Q4","Domestic","Northern and Western","Thousand","544"
"Number of Nights by Irish Residents","2020Q4","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","Southern","Thousand","1094"
"Number of Nights by Irish Residents","2020Q4","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","Eastern and Midland","Thousand","1695"
"Number of Nights by Irish Residents","2020Q4","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","State","Thousand","1268"
"Number of Nights by Irish Residents","2020Q4","Outbound","Northern and Western","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Southern","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Eastern and Midland","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020Q4","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","State","Thousand","1123"
"Number of Nights by Irish Residents","2021Q1","Domestic","Northern and Western","Thousand","397"
"Number of Nights by Irish Residents","2021Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","Southern","Thousand","243"
"Number of Nights by Irish Residents","2021Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","Eastern and Midland","Thousand","483"
"Number of Nights by Irish Residents","2021Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","State","Thousand","1367"
"Number of Nights by Irish Residents","2021Q1","Outbound","Northern and Western","Thousand","9"
"Number of Nights by Irish Residents","2021Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","Southern","Thousand","216"
"Number of Nights by Irish Residents","2021Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","Eastern and Midland","Thousand","1142"
"Number of Nights by Irish Residents","2021Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","State","Thousand","2968"
"Number of Nights by Irish Residents","2021Q2","Domestic","Northern and Western","Thousand","866"
"Number of Nights by Irish Residents","2021Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","Southern","Thousand","643"
"Number of Nights by Irish Residents","2021Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","Eastern and Midland","Thousand","1458"
"Number of Nights by Irish Residents","2021Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","State","Thousand","1706"
"Number of Nights by Irish Residents","2021Q2","Outbound","Northern and Western","Thousand","70"
"Number of Nights by Irish Residents","2021Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","Southern","Thousand","763"
"Number of Nights by Irish Residents","2021Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","Eastern and Midland","Thousand","873"
"Number of Nights by Irish Residents","2021Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","State","Thousand","10043"
"Number of Nights by Irish Residents","2021Q3","Domestic","Northern and Western","Thousand","1240"
"Number of Nights by Irish Residents","2021Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","Southern","Thousand","3720"
"Number of Nights by Irish Residents","2021Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","Eastern and Midland","Thousand","5083"
"Number of Nights by Irish Residents","2021Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","State","Thousand","7116"
"Number of Nights by Irish Residents","2021Q3","Outbound","Northern and Western","Thousand","752"
"Number of Nights by Irish Residents","2021Q3","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","Southern","Thousand","1780"
"Number of Nights by Irish Residents","2021Q3","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","Eastern and Midland","Thousand","4584"
"Number of Nights by Irish Residents","2021Q3","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","State","Thousand","3752"
"Number of Nights by Irish Residents","2021Q4","Domestic","Northern and Western","Thousand","832"
"Number of Nights by Irish Residents","2021Q4","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","Southern","Thousand","1263"
"Number of Nights by Irish Residents","2021Q4","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","Eastern and Midland","Thousand","1657"
"Number of Nights by Irish Residents","2021Q4","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","State","Thousand","7254"
"Number of Nights by Irish Residents","2021Q4","Outbound","Northern and Western","Thousand","977"
"Number of Nights by Irish Residents","2021Q4","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","Southern","Thousand","1876"
"Number of Nights by Irish Residents","2021Q4","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","Eastern and Midland","Thousand","4401"
"Number of Nights by Irish Residents","2021Q4","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2021Q4","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","State","Thousand","5201"
"Number of Nights by Irish Residents","2022Q1","Domestic","Northern and Western","Thousand","996"
"Number of Nights by Irish Residents","2022Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","Southern","Thousand","1912"
"Number of Nights by Irish Residents","2022Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","Eastern and Midland","Thousand","2292"
"Number of Nights by Irish Residents","2022Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","State","Thousand","6068"
"Number of Nights by Irish Residents","2022Q1","Outbound","Northern and Western","Thousand","933"
"Number of Nights by Irish Residents","2022Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","Southern","Thousand","1096"
"Number of Nights by Irish Residents","2022Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","Eastern and Midland","Thousand","4040"
"Number of Nights by Irish Residents","2022Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","State","Thousand","7975"
"Number of Nights by Irish Residents","2022Q2","Domestic","Northern and Western","Thousand","1255"
"Number of Nights by Irish Residents","2022Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","Southern","Thousand","2656"
"Number of Nights by Irish Residents","2022Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","Eastern and Midland","Thousand","4064"
"Number of Nights by Irish Residents","2022Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","State","Thousand","17000"
"Number of Nights by Irish Residents","2022Q2","Outbound","Northern and Western","Thousand","2457"
"Number of Nights by Irish Residents","2022Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","Southern","Thousand","3488"
"Number of Nights by Irish Residents","2022Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","Eastern and Midland","Thousand","11055"
"Number of Nights by Irish Residents","2022Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","State","Thousand","14084"
"Number of Nights by Irish Residents","2022Q3","Domestic","Northern and Western","Thousand","2910"
"Number of Nights by Irish Residents","2022Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","Southern","Thousand","4290"
"Number of Nights by Irish Residents","2022Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","Eastern and Midland","Thousand","6884"
"Number of Nights by Irish Residents","2022Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","State","Thousand","25593"
"Number of Nights by Irish Residents","2022Q3","Outbound","Northern and Western","Thousand","2767"
"Number of Nights by Irish Residents","2022Q3","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","Southern","Thousand","6168"
"Number of Nights by Irish Residents","2022Q3","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","Eastern and Midland","Thousand","16657"
"Number of Nights by Irish Residents","2022Q3","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q3","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","State","Thousand","6976"
"Number of Nights by Irish Residents","2022Q4","Domestic","Northern and Western","Thousand","1587"
"Number of Nights by Irish Residents","2022Q4","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","Southern","Thousand","1754"
"Number of Nights by Irish Residents","2022Q4","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","Eastern and Midland","Thousand","3635"
"Number of Nights by Irish Residents","2022Q4","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","State","Thousand","12544"
"Number of Nights by Irish Residents","2022Q4","Outbound","Northern and Western","Thousand","2543"
"Number of Nights by Irish Residents","2022Q4","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","Southern","Thousand","3048"
"Number of Nights by Irish Residents","2022Q4","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","Eastern and Midland","Thousand","6953"
"Number of Nights by Irish Residents","2022Q4","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2022Q4","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","State","Thousand","5206"
"Number of Nights by Irish Residents","2023Q1","Domestic","Northern and Western","Thousand","1098"
"Number of Nights by Irish Residents","2023Q1","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","Southern","Thousand","1574"
"Number of Nights by Irish Residents","2023Q1","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","Eastern and Midland","Thousand","2535"
"Number of Nights by Irish Residents","2023Q1","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","State","Thousand","15289"
"Number of Nights by Irish Residents","2023Q1","Outbound","Northern and Western","Thousand","1485"
"Number of Nights by Irish Residents","2023Q1","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","Southern","Thousand","3811"
"Number of Nights by Irish Residents","2023Q1","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","Eastern and Midland","Thousand","9993"
"Number of Nights by Irish Residents","2023Q1","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2023Q1","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","State","Thousand","8267"
"Number of Nights by Irish Residents","2023Q2","Domestic","Northern and Western","Thousand","1215"
"Number of Nights by Irish Residents","2023Q2","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","Southern","Thousand","2924"
"Number of Nights by Irish Residents","2023Q2","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","Eastern and Midland","Thousand","4128"
"Number of Nights by Irish Residents","2023Q2","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","State","Thousand","21024"
"Number of Nights by Irish Residents","2023Q2","Outbound","Northern and Western","Thousand","2729"
"Number of Nights by Irish Residents","2023Q2","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","Southern","Thousand","6779"
"Number of Nights by Irish Residents","2023Q2","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","Eastern and Midland","Thousand","11516"
"Number of Nights by Irish Residents","2023Q2","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2023Q2","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","State","Thousand","13201"
"Number of Nights by Irish Residents","2023Q3","Domestic","Northern and Western","Thousand","2085"
"Number of Nights by Irish Residents","2023Q3","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","Southern","Thousand","4399"
"Number of Nights by Irish Residents","2023Q3","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","Eastern and Midland","Thousand","6717"
"Number of Nights by Irish Residents","2023Q3","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2023Q3","Outbound","State","Thousand","27145"
