"Method of Booking","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"Direct","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","1414"
"Direct","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Direct","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","828"
"Direct","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","3347"
"Direct","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4"
"Direct","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","479"
"Direct","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","1021"
"Direct","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.1"
"Direct","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","445"
"Direct","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","936"
"Direct","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.1"
"Direct","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","566"
"Direct","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","1675"
"Direct","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Direct","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","746"
"Direct","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","3314"
"Direct","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"Direct","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","457"
"Direct","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","1071"
"Direct","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Direct","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","399"
"Direct","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","918"
"Direct","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"Direct","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","484"
"Direct","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","1409"
"Direct","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"Direct","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","669"
"Direct","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","2576"
"Direct","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"Direct","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","461"
"Direct","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","1006"
"Direct","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Direct","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","396"
"Direct","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","855"
"Direct","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"Direct","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","478"
"Direct","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand","1522"
"Direct","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"Direct","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand","665"
"Direct","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand","2666"
"Direct","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","4"
"Direct","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand","437"
"Direct","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand","1030"
"Direct","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","1.8"
"Direct","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand",""
"Direct","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand",""
"Direct","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Direct","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","90"
"Direct","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","537"
"Direct","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Direct","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","69"
"Direct","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","427"
"Direct","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.2"
"Direct","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","128"
"Direct","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","1125"
"Direct","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"Direct","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","132"
"Direct","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","1047"
"Direct","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"Direct","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","77"
"Direct","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","536"
"Direct","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","7"
"Direct","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","79"
"Direct","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","581"
"Direct","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"Direct","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","124"
"Direct","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","1006"
"Direct","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.1"
"Direct","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand","158"
"Direct","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand","1400"
"Direct","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"Direct","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand","78"
"Direct","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand","424"
"Direct","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"Direct","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand","65"
"Direct","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand","506"
"Direct","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"Direct","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand","100"
"Direct","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand","791"
"Direct","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"Direct","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand","133"
"Direct","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand","1211"
"Direct","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"Direct","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand","90"
"Direct","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand","478"
"Direct","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"Direct","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand","86"
"Direct","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand","493"
"Direct","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"Direct","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand","111"
"Direct","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand","876"
"Direct","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.9"
"Direct","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand","117"
"Direct","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand","1019"
"Direct","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"Direct","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand","67"
"Direct","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand","390"
"Direct","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Privately booked/No pre-booking","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","1296"
"Privately booked/No pre-booking","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","3406"
"Privately booked/No pre-booking","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Privately booked/No pre-booking","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","1360"
"Privately booked/No pre-booking","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","4104"
"Privately booked/No pre-booking","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Privately booked/No pre-booking","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","1892"
"Privately booked/No pre-booking","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","9496"
"Privately booked/No pre-booking","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"Privately booked/No pre-booking","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","1445"
"Privately booked/No pre-booking","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","4457"
"Privately booked/No pre-booking","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Privately booked/No pre-booking","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","1421"
"Privately booked/No pre-booking","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","3724"
"Privately booked/No pre-booking","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Privately booked/No pre-booking","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","1346"
"Privately booked/No pre-booking","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","3979"
"Privately booked/No pre-booking","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Privately booked/No pre-booking","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","1985"
"Privately booked/No pre-booking","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","9919"
"Privately booked/No pre-booking","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"Privately booked/No pre-booking","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","1550"
"Privately booked/No pre-booking","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","4277"
"Privately booked/No pre-booking","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Privately booked/No pre-booking","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","1322"
"Privately booked/No pre-booking","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","3729"
"Privately booked/No pre-booking","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"Privately booked/No pre-booking","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","1527"
"Privately booked/No pre-booking","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","4645"
"Privately booked/No pre-booking","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"Privately booked/No pre-booking","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","2137"
"Privately booked/No pre-booking","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","10041"
"Privately booked/No pre-booking","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Privately booked/No pre-booking","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","1554"
"Privately booked/No pre-booking","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","4183"
"Privately booked/No pre-booking","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"Privately booked/No pre-booking","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","1342"
"Privately booked/No pre-booking","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","3434"
"Privately booked/No pre-booking","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"Privately booked/No pre-booking","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","1585"
"Privately booked/No pre-booking","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","4930"
"Privately booked/No pre-booking","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.1"
"Privately booked/No pre-booking","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","2176"
"Privately booked/No pre-booking","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","10120"
"Privately booked/No pre-booking","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"Privately booked/No pre-booking","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","1707"
"Privately booked/No pre-booking","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","4170"
"Privately booked/No pre-booking","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"Privately booked/No pre-booking","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","1464"
"Privately booked/No pre-booking","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","3709"
"Privately booked/No pre-booking","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"Privately booked/No pre-booking","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","592"
"Privately booked/No pre-booking","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","4101"
"Privately booked/No pre-booking","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"Privately booked/No pre-booking","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","668"
"Privately booked/No pre-booking","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","5575"
"Privately booked/No pre-booking","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.3"
"Privately booked/No pre-booking","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","821"
"Privately booked/No pre-booking","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","8483"
"Privately booked/No pre-booking","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Privately booked/No pre-booking","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","724"
"Privately booked/No pre-booking","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","5323"
"Privately booked/No pre-booking","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","7.4"
"Privately booked/No pre-booking","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","701"
"Privately booked/No pre-booking","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","5020"
"Privately booked/No pre-booking","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","7.2"
"Privately booked/No pre-booking","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","776"
"Privately booked/No pre-booking","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","6747"
"Privately booked/No pre-booking","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"Privately booked/No pre-booking","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","957"
"Privately booked/No pre-booking","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","9856"
"Privately booked/No pre-booking","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.3"
"Privately booked/No pre-booking","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","813"
"Privately booked/No pre-booking","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","4926"
"Privately booked/No pre-booking","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"Privately booked/No pre-booking","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","796"
"Privately booked/No pre-booking","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","5433"
"Privately booked/No pre-booking","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"Privately booked/No pre-booking","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","1029"
"Privately booked/No pre-booking","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","8711"
"Privately booked/No pre-booking","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"Privately booked/No pre-booking","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","1201"
"Privately booked/No pre-booking","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","12189"
"Privately booked/No pre-booking","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.1"
"Privately booked/No pre-booking","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","996"
"Privately booked/No pre-booking","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","5732"
"Privately booked/No pre-booking","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Privately booked/No pre-booking","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","1016"
"Privately booked/No pre-booking","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","6090"
"Privately booked/No pre-booking","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6"
"Privately booked/No pre-booking","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","1263"
"Privately booked/No pre-booking","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","9591"
"Privately booked/No pre-booking","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"Privately booked/No pre-booking","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","1464"
"Privately booked/No pre-booking","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","13312"
"Privately booked/No pre-booking","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"Privately booked/No pre-booking","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","1206"
"Privately booked/No pre-booking","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","6944"
"Privately booked/No pre-booking","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"Privately booked/No pre-booking","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","1186"
"Privately booked/No pre-booking","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","7422"
"Privately booked/No pre-booking","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"Privately booked/No pre-booking","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"Privately booked/No pre-booking","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"Privately booked/No pre-booking","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
