"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"0 - 14 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","890"
"0 - 14 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"0 - 14 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","143"
"0 - 14 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","944"
"0 - 14 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.6"
"0 - 14 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","238"
"0 - 14 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","2432"
"0 - 14 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"0 - 14 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","340"
"0 - 14 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","3898"
"0 - 14 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.5"
"0 - 14 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","132"
"0 - 14 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","838"
"0 - 14 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"0 - 14 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","138"
"0 - 14 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","835"
"0 - 14 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.1"
"0 - 14 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","283"
"0 - 14 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","2567"
"0 - 14 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","9.1"
"0 - 14 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","348"
"0 - 14 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","3890"
"0 - 14 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","11.2"
"0 - 14 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","159"
"0 - 14 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","934"
"0 - 14 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"0 - 14 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","145"
"0 - 14 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","920"
"0 - 14 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"0 - 14 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","255"
"0 - 14 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","2222"
"0 - 14 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"0 - 14 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 14 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 14 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"0 - 19 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand",""
"0 - 19 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand",""
