"Age Group","Domestic or Outbound","Quarter","Statistic Label","UNIT","VALUE"
"40 - 49 years","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"40 - 49 years","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand","398"
"40 - 49 years","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand","1882"
"40 - 49 years","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.7"
"40 - 49 years","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand","307"
"40 - 49 years","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand","742"
"40 - 49 years","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"40 - 49 years","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand","298"
"40 - 49 years","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand","690"
"40 - 49 years","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.3"
"40 - 49 years","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand","278"
"40 - 49 years","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand","741"
"40 - 49 years","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"40 - 49 years","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand","408"
"40 - 49 years","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand","1938"
"40 - 49 years","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.8"
"40 - 49 years","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand","335"
"40 - 49 years","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand","927"
"40 - 49 years","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"40 - 49 years","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand","327"
"40 - 49 years","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand","769"
"40 - 49 years","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"40 - 49 years","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand","333"
"40 - 49 years","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand","931"
"40 - 49 years","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"40 - 49 years","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand","399"
"40 - 49 years","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand","2007"
"40 - 49 years","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","5"
"40 - 49 years","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand","360"
"40 - 49 years","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand","856"
"40 - 49 years","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"40 - 49 years","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","317"
"40 - 49 years","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","805"
"40 - 49 years","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"40 - 49 years","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","314"
"40 - 49 years","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","816"
"40 - 49 years","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"40 - 49 years","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","458"
"40 - 49 years","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","2000"
"40 - 49 years","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"40 - 49 years","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","379"
"40 - 49 years","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","901"
"40 - 49 years","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"40 - 49 years","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","347"
"40 - 49 years","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","774"
"40 - 49 years","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"40 - 49 years","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","361"
"40 - 49 years","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","1018"
"40 - 49 years","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"40 - 49 years","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","453"
"40 - 49 years","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","1939"
"40 - 49 years","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.3"
"40 - 49 years","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","419"
"40 - 49 years","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","923"
"40 - 49 years","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.2"
"40 - 49 years","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","296"
"40 - 49 years","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","607"
"40 - 49 years","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.1"
"40 - 49 years","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","361"
"40 - 49 years","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","917"
"40 - 49 years","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"40 - 49 years","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q2","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2009Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Domestic","2009Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Domestic","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2000Q1","Number of Trips by Irish Residents","Thousand","144"
"40 - 49 years","Outbound","2000Q1","Number of Nights by Irish Residents","Thousand","832"
"40 - 49 years","Outbound","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.8"
"40 - 49 years","Outbound","2000Q2","Number of Trips by Irish Residents","Thousand","175"
"40 - 49 years","Outbound","2000Q2","Number of Nights by Irish Residents","Thousand","1570"
"40 - 49 years","Outbound","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip","9"
"40 - 49 years","Outbound","2000Q3","Number of Trips by Irish Residents","Thousand","195"
"40 - 49 years","Outbound","2000Q3","Number of Nights by Irish Residents","Thousand","1942"
"40 - 49 years","Outbound","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip","10"
"40 - 49 years","Outbound","2000Q4","Number of Trips by Irish Residents","Thousand","187"
"40 - 49 years","Outbound","2000Q4","Number of Nights by Irish Residents","Thousand","1127"
"40 - 49 years","Outbound","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip","6"
"40 - 49 years","Outbound","2001Q1","Number of Trips by Irish Residents","Thousand","171"
"40 - 49 years","Outbound","2001Q1","Number of Nights by Irish Residents","Thousand","921"
"40 - 49 years","Outbound","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"40 - 49 years","Outbound","2001Q2","Number of Trips by Irish Residents","Thousand","238"
"40 - 49 years","Outbound","2001Q2","Number of Nights by Irish Residents","Thousand","2062"
"40 - 49 years","Outbound","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.7"
"40 - 49 years","Outbound","2001Q3","Number of Trips by Irish Residents","Thousand","297"
"40 - 49 years","Outbound","2001Q3","Number of Nights by Irish Residents","Thousand","2873"
"40 - 49 years","Outbound","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.7"
"40 - 49 years","Outbound","2001Q4","Number of Trips by Irish Residents","Thousand","208"
"40 - 49 years","Outbound","2001Q4","Number of Nights by Irish Residents","Thousand","1190"
"40 - 49 years","Outbound","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.7"
"40 - 49 years","Outbound","2002Q1","Number of Trips by Irish Residents","Thousand","215"
"40 - 49 years","Outbound","2002Q1","Number of Nights by Irish Residents","Thousand","1189"
"40 - 49 years","Outbound","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"40 - 49 years","Outbound","2002Q2","Number of Trips by Irish Residents","Thousand","240"
"40 - 49 years","Outbound","2002Q2","Number of Nights by Irish Residents","Thousand","2043"
"40 - 49 years","Outbound","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip","8.5"
"40 - 49 years","Outbound","2002Q3","Number of Trips by Irish Residents","Thousand","287"
"40 - 49 years","Outbound","2002Q3","Number of Nights by Irish Residents","Thousand","2802"
"40 - 49 years","Outbound","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.8"
"40 - 49 years","Outbound","2002Q4","Number of Trips by Irish Residents","Thousand","200"
"40 - 49 years","Outbound","2002Q4","Number of Nights by Irish Residents","Thousand","1196"
"40 - 49 years","Outbound","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip","6"
"40 - 49 years","Outbound","2003Q1","Number of Trips by Irish Residents","Thousand","200"
"40 - 49 years","Outbound","2003Q1","Number of Nights by Irish Residents","Thousand","1173"
"40 - 49 years","Outbound","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.9"
"40 - 49 years","Outbound","2003Q2","Number of Trips by Irish Residents","Thousand","285"
"40 - 49 years","Outbound","2003Q2","Number of Nights by Irish Residents","Thousand","2268"
"40 - 49 years","Outbound","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip","8"
"40 - 49 years","Outbound","2003Q3","Number of Trips by Irish Residents","Thousand","308"
"40 - 49 years","Outbound","2003Q3","Number of Nights by Irish Residents","Thousand","2948"
"40 - 49 years","Outbound","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip","9.6"
"40 - 49 years","Outbound","2003Q4","Number of Trips by Irish Residents","Thousand","247"
"40 - 49 years","Outbound","2003Q4","Number of Nights by Irish Residents","Thousand","1546"
"40 - 49 years","Outbound","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip","6.3"
"40 - 49 years","Outbound","2004Q1","Number of Trips by Irish Residents","Thousand","248"
"40 - 49 years","Outbound","2004Q1","Number of Nights by Irish Residents","Thousand","1328"
"40 - 49 years","Outbound","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.4"
"40 - 49 years","Outbound","2004Q2","Number of Trips by Irish Residents","Thousand","300"
"40 - 49 years","Outbound","2004Q2","Number of Nights by Irish Residents","Thousand","2341"
"40 - 49 years","Outbound","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.8"
"40 - 49 years","Outbound","2004Q3","Number of Trips by Irish Residents","Thousand","353"
"40 - 49 years","Outbound","2004Q3","Number of Nights by Irish Residents","Thousand","3593"
"40 - 49 years","Outbound","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip","10.2"
"40 - 49 years","Outbound","2004Q4","Number of Trips by Irish Residents","Thousand","268"
"40 - 49 years","Outbound","2004Q4","Number of Nights by Irish Residents","Thousand","1405"
"40 - 49 years","Outbound","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.2"
"40 - 49 years","Outbound","2005Q1","Number of Trips by Irish Residents","Thousand","303"
"40 - 49 years","Outbound","2005Q1","Number of Nights by Irish Residents","Thousand","1707"
"40 - 49 years","Outbound","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"40 - 49 years","Outbound","2005Q2","Number of Trips by Irish Residents","Thousand","309"
"40 - 49 years","Outbound","2005Q2","Number of Nights by Irish Residents","Thousand","2342"
"40 - 49 years","Outbound","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","7.6"
"40 - 49 years","Outbound","2005Q3","Number of Trips by Irish Residents","Thousand","386"
"40 - 49 years","Outbound","2005Q3","Number of Nights by Irish Residents","Thousand","3416"
"40 - 49 years","Outbound","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.8"
"40 - 49 years","Outbound","2005Q4","Number of Trips by Irish Residents","Thousand","334"
"40 - 49 years","Outbound","2005Q4","Number of Nights by Irish Residents","Thousand","1651"
"40 - 49 years","Outbound","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"40 - 49 years","Outbound","2006Q1","Number of Trips by Irish Residents","Thousand","334"
"40 - 49 years","Outbound","2006Q1","Number of Nights by Irish Residents","Thousand","1627"
"40 - 49 years","Outbound","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","4.9"
"40 - 49 years","Outbound","2006Q2","Number of Trips by Irish Residents","Thousand","416"
"40 - 49 years","Outbound","2006Q2","Number of Nights by Irish Residents","Thousand","2849"
"40 - 49 years","Outbound","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.8"
"40 - 49 years","Outbound","2006Q3","Number of Trips by Irish Residents","Thousand","471"
"40 - 49 years","Outbound","2006Q3","Number of Nights by Irish Residents","Thousand","4169"
"40 - 49 years","Outbound","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","8.9"
"40 - 49 years","Outbound","2006Q4","Number of Trips by Irish Residents","Thousand","332"
"40 - 49 years","Outbound","2006Q4","Number of Nights by Irish Residents","Thousand","1695"
"40 - 49 years","Outbound","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"40 - 49 years","Outbound","2007Q1","Number of Trips by Irish Residents","Thousand","317"
"40 - 49 years","Outbound","2007Q1","Number of Nights by Irish Residents","Thousand","1687"
"40 - 49 years","Outbound","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","5.3"
"40 - 49 years","Outbound","2007Q2","Number of Trips by Irish Residents","Thousand","368"
"40 - 49 years","Outbound","2007Q2","Number of Nights by Irish Residents","Thousand","2552"
"40 - 49 years","Outbound","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","6.9"
"40 - 49 years","Outbound","2007Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2007Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2007Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2007Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2008Q1","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q1","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2008Q2","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q2","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2008Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2008Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2009Q1","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q1","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2009Q2","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q2","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2009Q3","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q3","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"40 - 49 years","Outbound","2009Q4","Number of Trips by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q4","Number of Nights by Irish Residents","Thousand",""
"40 - 49 years","Outbound","2009Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2000Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2000Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2000Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2000Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2000Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2001Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2001Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2001Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2001Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2001Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2002Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2002Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2002Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2002Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2002Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2003Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2003Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2003Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2003Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2003Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2004Q1","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q1","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q1","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2004Q2","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q2","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q2","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2004Q3","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q3","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q3","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2004Q4","Number of Trips by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q4","Number of Nights by Irish Residents","Thousand",""
"50 years and over","Domestic","2004Q4","Average Length of Stay by Irish Residents","Nights per Trip",""
"50 years and over","Domestic","2005Q1","Number of Trips by Irish Residents","Thousand","346"
"50 years and over","Domestic","2005Q1","Number of Nights by Irish Residents","Thousand","1169"
"50 years and over","Domestic","2005Q1","Average Length of Stay by Irish Residents","Nights per Trip","3.4"
"50 years and over","Domestic","2005Q2","Number of Trips by Irish Residents","Thousand","463"
"50 years and over","Domestic","2005Q2","Number of Nights by Irish Residents","Thousand","1467"
"50 years and over","Domestic","2005Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"50 years and over","Domestic","2005Q3","Number of Trips by Irish Residents","Thousand","610"
"50 years and over","Domestic","2005Q3","Number of Nights by Irish Residents","Thousand","2825"
"50 years and over","Domestic","2005Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.6"
"50 years and over","Domestic","2005Q4","Number of Trips by Irish Residents","Thousand","474"
"50 years and over","Domestic","2005Q4","Number of Nights by Irish Residents","Thousand","1342"
"50 years and over","Domestic","2005Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"50 years and over","Domestic","2006Q1","Number of Trips by Irish Residents","Thousand","454"
"50 years and over","Domestic","2006Q1","Number of Nights by Irish Residents","Thousand","1270"
"50 years and over","Domestic","2006Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.8"
"50 years and over","Domestic","2006Q2","Number of Trips by Irish Residents","Thousand","586"
"50 years and over","Domestic","2006Q2","Number of Nights by Irish Residents","Thousand","1896"
"50 years and over","Domestic","2006Q2","Average Length of Stay by Irish Residents","Nights per Trip","3.2"
"50 years and over","Domestic","2006Q3","Number of Trips by Irish Residents","Thousand","718"
"50 years and over","Domestic","2006Q3","Number of Nights by Irish Residents","Thousand","3155"
"50 years and over","Domestic","2006Q3","Average Length of Stay by Irish Residents","Nights per Trip","4.4"
"50 years and over","Domestic","2006Q4","Number of Trips by Irish Residents","Thousand","628"
"50 years and over","Domestic","2006Q4","Number of Nights by Irish Residents","Thousand","1668"
"50 years and over","Domestic","2006Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.7"
"50 years and over","Domestic","2007Q1","Number of Trips by Irish Residents","Thousand","752"
"50 years and over","Domestic","2007Q1","Number of Nights by Irish Residents","Thousand","1989"
"50 years and over","Domestic","2007Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"50 years and over","Domestic","2007Q2","Number of Trips by Irish Residents","Thousand","926"
"50 years and over","Domestic","2007Q2","Number of Nights by Irish Residents","Thousand","2801"
"50 years and over","Domestic","2007Q2","Average Length of Stay by Irish Residents","Nights per Trip","3"
"50 years and over","Domestic","2007Q3","Number of Trips by Irish Residents","Thousand","1050"
"50 years and over","Domestic","2007Q3","Number of Nights by Irish Residents","Thousand","4112"
"50 years and over","Domestic","2007Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.9"
"50 years and over","Domestic","2007Q4","Number of Trips by Irish Residents","Thousand","757"
"50 years and over","Domestic","2007Q4","Number of Nights by Irish Residents","Thousand","1985"
"50 years and over","Domestic","2007Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"50 years and over","Domestic","2008Q1","Number of Trips by Irish Residents","Thousand","763"
"50 years and over","Domestic","2008Q1","Number of Nights by Irish Residents","Thousand","1949"
"50 years and over","Domestic","2008Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.6"
"50 years and over","Domestic","2008Q2","Number of Trips by Irish Residents","Thousand","819"
"50 years and over","Domestic","2008Q2","Number of Nights by Irish Residents","Thousand","2403"
"50 years and over","Domestic","2008Q2","Average Length of Stay by Irish Residents","Nights per Trip","2.9"
"50 years and over","Domestic","2008Q3","Number of Trips by Irish Residents","Thousand","1114"
"50 years and over","Domestic","2008Q3","Number of Nights by Irish Residents","Thousand","3923"
"50 years and over","Domestic","2008Q3","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"50 years and over","Domestic","2008Q4","Number of Trips by Irish Residents","Thousand","917"
"50 years and over","Domestic","2008Q4","Number of Nights by Irish Residents","Thousand","2333"
"50 years and over","Domestic","2008Q4","Average Length of Stay by Irish Residents","Nights per Trip","2.5"
"50 years and over","Domestic","2009Q1","Number of Trips by Irish Residents","Thousand","845"
"50 years and over","Domestic","2009Q1","Number of Nights by Irish Residents","Thousand","2035"
"50 years and over","Domestic","2009Q1","Average Length of Stay by Irish Residents","Nights per Trip","2.4"
"50 years and over","Domestic","2009Q2","Number of Trips by Irish Residents","Thousand","797"
