"Statistic Label","Quarter","Length of Stay","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Eastern and Midland","Thousand","683"
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","State","Thousand","365"
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Northern and Western","Thousand","86"
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Southern","Thousand","208"
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Eastern and Midland","Thousand","72"
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q2","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","State","Thousand","3807"
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Northern and Western","Thousand","962"
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Southern","Thousand","1917"
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Eastern and Midland","Thousand","928"
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","State","Thousand","2892"
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Northern and Western","Thousand","722"
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Southern","Thousand","1366"
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Eastern and Midland","Thousand","803"
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","State","Thousand","915"
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Northern and Western","Thousand","240"
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Southern","Thousand","550"
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Eastern and Midland","Thousand","125"
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q3","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","State","Thousand","2441"
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Northern and Western","Thousand","628"
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Southern","Thousand","1063"
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Eastern and Midland","Thousand","750"
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","State","Thousand","2149"
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Northern and Western","Thousand","527"
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Southern","Thousand","940"
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Eastern and Midland","Thousand","681"
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","State","Thousand","293"
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Northern and Western","Thousand","101"
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Southern","Thousand","123"
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Eastern and Midland","Thousand","69"
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2018Q4","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","State","Thousand","2223"
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Northern and Western","Thousand","568"
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Southern","Thousand","924"
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Eastern and Midland","Thousand","730"
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","State","Thousand","2046"
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Northern and Western","Thousand","511"
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Southern","Thousand","850"
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Eastern and Midland","Thousand","685"
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","State","Thousand","177"
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Northern and Western","Thousand","57"
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Southern","Thousand","74"
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Eastern and Midland","Thousand","45"
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","State","Thousand","2858"
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Northern and Western","Thousand","789"
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Southern","Thousand","1390"
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Eastern and Midland","Thousand","680"
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","State","Thousand","2431"
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Northern and Western","Thousand","634"
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Southern","Thousand","1181"
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Eastern and Midland","Thousand","616"
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","State","Thousand","427"
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Northern and Western","Thousand","155"
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Southern","Thousand","208"
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Eastern and Midland","Thousand","64"
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q2","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","State","Thousand","3898"
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Northern and Western","Thousand","1034"
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Southern","Thousand","1896"
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Eastern and Midland","Thousand","969"
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","State","Thousand","2877"
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Northern and Western","Thousand","749"
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Southern","Thousand","1310"
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Eastern and Midland","Thousand","817"
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","State","Thousand","1022"
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Northern and Western","Thousand","284"
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Southern","Thousand","586"
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Eastern and Midland","Thousand","151"
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q3","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","State","Thousand","2641"
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Northern and Western","Thousand","646"
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Southern","Thousand","1098"
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Eastern and Midland","Thousand","897"
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","State","Thousand","2284"
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Northern and Western","Thousand","527"
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Southern","Thousand","957"
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Eastern and Midland","Thousand","800"
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","State","Thousand","357"
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Northern and Western","Thousand","119"
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Southern","Thousand","141"
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Eastern and Midland","Thousand","97"
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2019Q4","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","State","Thousand","2160"
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Northern and Western","Thousand","524"
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Southern","Thousand","926"
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Eastern and Midland","Thousand","709"
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","State","Thousand","1906"
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Northern and Western","Thousand","452"
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Southern","Thousand","842"
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Eastern and Midland","Thousand","612"
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","1 - 3 Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","State","Thousand","254"
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Northern and Western","Thousand","72"
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Southern","Thousand","85"
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Eastern and Midland","Thousand","98"
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q1","4 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","State","Thousand","237"
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Border","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Southern","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Mid-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","South-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","South-West","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Eastern and Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Dublin","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Mid-East","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 + Nights","Midland","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 - 3 Nights","State","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 - 3 Nights","Northern and Western","Thousand",""
"Number of Trips by Irish Residents","2020Q2","1 - 3 Nights","Border","Thousand",""
