"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2009Q3","All types of accommodation","Outbound","Thousand","19731"
"Number of Nights by Irish Residents","2009Q3","Friends/relatives","Domestic","Thousand","2718"
"Number of Nights by Irish Residents","2009Q3","Friends/relatives","Outbound","Thousand","4756"
"Number of Nights by Irish Residents","2009Q3","Hotel/conference centre","Domestic","Thousand","2253"
"Number of Nights by Irish Residents","2009Q3","Hotel/conference centre","Outbound","Thousand","5255"
"Number of Nights by Irish Residents","2009Q3","Self catering/rented house","Domestic","Thousand","1823"
"Number of Nights by Irish Residents","2009Q3","Self catering/rented house","Outbound","Thousand","5144"
"Number of Nights by Irish Residents","2009Q3","Other","Domestic","Thousand","561"
"Number of Nights by Irish Residents","2009Q3","Other","Outbound","Thousand","981"
"Number of Nights by Irish Residents","2009Q4","All types of accommodation","Domestic","Thousand","5164"
"Number of Nights by Irish Residents","2009Q4","All types of accommodation","Outbound","Thousand","9761"
"Number of Nights by Irish Residents","2009Q4","Friends/relatives","Domestic","Thousand","2135"
"Number of Nights by Irish Residents","2009Q4","Friends/relatives","Outbound","Thousand","3661"
"Number of Nights by Irish Residents","2009Q4","Hotel/conference centre","Domestic","Thousand","1829"
"Number of Nights by Irish Residents","2009Q4","Hotel/conference centre","Outbound","Thousand","3364"
"Number of Nights by Irish Residents","2009Q4","Self catering/rented house","Domestic","Thousand","309"
"Number of Nights by Irish Residents","2009Q4","Self catering/rented house","Outbound","Thousand","1339"
"Number of Nights by Irish Residents","2009Q4","Other","Domestic","Thousand","298"
"Number of Nights by Irish Residents","2009Q4","Other","Outbound","Thousand","433"
"Number of Nights by Irish Residents","2012Q1","All types of accommodation","Domestic","Thousand","3403"
"Number of Nights by Irish Residents","2012Q1","All types of accommodation","Outbound","Thousand","9491"
"Number of Nights by Irish Residents","2012Q1","Friends/relatives","Domestic","Thousand","1347"
"Number of Nights by Irish Residents","2012Q1","Friends/relatives","Outbound","Thousand","3568"
"Number of Nights by Irish Residents","2012Q1","Hotel/conference centre","Domestic","Thousand","1332"
"Number of Nights by Irish Residents","2012Q1","Hotel/conference centre","Outbound","Thousand","2820"
"Number of Nights by Irish Residents","2012Q1","Self catering/rented house","Domestic","Thousand","293"
"Number of Nights by Irish Residents","2012Q1","Self catering/rented house","Outbound","Thousand","1772"
"Number of Nights by Irish Residents","2012Q1","Other","Domestic","Thousand","431"
"Number of Nights by Irish Residents","2012Q1","Other","Outbound","Thousand","1330"
"Number of Nights by Irish Residents","2012Q2","All types of accommodation","Domestic","Thousand","5175"
"Number of Nights by Irish Residents","2012Q2","All types of accommodation","Outbound","Thousand","12708"
"Number of Nights by Irish Residents","2012Q2","Friends/relatives","Domestic","Thousand","1801"
"Number of Nights by Irish Residents","2012Q2","Friends/relatives","Outbound","Thousand","2688"
"Number of Nights by Irish Residents","2012Q2","Hotel/conference centre","Domestic","Thousand","1491"
"Number of Nights by Irish Residents","2012Q2","Hotel/conference centre","Outbound","Thousand","3677"
"Number of Nights by Irish Residents","2012Q2","Self catering/rented house","Domestic","Thousand","623"
"Number of Nights by Irish Residents","2012Q2","Self catering/rented house","Outbound","Thousand","3820"
"Number of Nights by Irish Residents","2012Q2","Other","Domestic","Thousand","1260"
"Number of Nights by Irish Residents","2012Q2","Other","Outbound","Thousand","2522"
"Number of Nights by Irish Residents","2012Q3","All types of accommodation","Domestic","Thousand","10867"
"Number of Nights by Irish Residents","2012Q3","All types of accommodation","Outbound","Thousand","21314"
"Number of Nights by Irish Residents","2012Q3","Friends/relatives","Domestic","Thousand","2695"
"Number of Nights by Irish Residents","2012Q3","Friends/relatives","Outbound","Thousand","5189"
"Number of Nights by Irish Residents","2012Q3","Hotel/conference centre","Domestic","Thousand","2646"
"Number of Nights by Irish Residents","2012Q3","Hotel/conference centre","Outbound","Thousand","4773"
"Number of Nights by Irish Residents","2012Q3","Self catering/rented house","Domestic","Thousand","2026"
"Number of Nights by Irish Residents","2012Q3","Self catering/rented house","Outbound","Thousand","6478"
"Number of Nights by Irish Residents","2012Q3","Other","Domestic","Thousand","3499"
"Number of Nights by Irish Residents","2012Q3","Other","Outbound","Thousand","4875"
"Number of Nights by Irish Residents","2012Q4","All types of accommodation","Domestic","Thousand","4259"
"Number of Nights by Irish Residents","2012Q4","All types of accommodation","Outbound","Thousand","9600"
"Number of Nights by Irish Residents","2012Q4","Friends/relatives","Domestic","Thousand","2092"
"Number of Nights by Irish Residents","2012Q4","Friends/relatives","Outbound","Thousand","2899"
"Number of Nights by Irish Residents","2012Q4","Hotel/conference centre","Domestic","Thousand","1508"
"Number of Nights by Irish Residents","2012Q4","Hotel/conference centre","Outbound","Thousand","3222"
"Number of Nights by Irish Residents","2012Q4","Self catering/rented house","Domestic","Thousand","295"
"Number of Nights by Irish Residents","2012Q4","Self catering/rented house","Outbound","Thousand","2012"
"Number of Nights by Irish Residents","2012Q4","Other","Domestic","Thousand","364"
"Number of Nights by Irish Residents","2012Q4","Other","Outbound","Thousand","1467"
"Number of Nights by Irish Residents","2013Q1","All types of accommodation","Domestic","Thousand","3338"
"Number of Nights by Irish Residents","2013Q1","All types of accommodation","Outbound","Thousand","9110"
"Number of Nights by Irish Residents","2013Q1","Friends/relatives","Domestic","Thousand","1394"
"Number of Nights by Irish Residents","2013Q1","Friends/relatives","Outbound","Thousand","3112"
"Number of Nights by Irish Residents","2013Q1","Hotel/conference centre","Domestic","Thousand","1239"
"Number of Nights by Irish Residents","2013Q1","Hotel/conference centre","Outbound","Thousand","3066"
"Number of Nights by Irish Residents","2013Q1","Self catering/rented house","Domestic","Thousand","275"
"Number of Nights by Irish Residents","2013Q1","Self catering/rented house","Outbound","Thousand","1771"
"Number of Nights by Irish Residents","2013Q1","Other","Domestic","Thousand","430"
"Number of Nights by Irish Residents","2013Q1","Other","Outbound","Thousand","1161"
"Number of Nights by Irish Residents","2013Q2","All types of accommodation","Domestic","Thousand","5191"
"Number of Nights by Irish Residents","2013Q2","All types of accommodation","Outbound","Thousand","12936"
"Number of Nights by Irish Residents","2013Q2","Friends/relatives","Domestic","Thousand","1800"
"Number of Nights by Irish Residents","2013Q2","Friends/relatives","Outbound","Thousand","3475"
"Number of Nights by Irish Residents","2013Q2","Hotel/conference centre","Domestic","Thousand","1513"
"Number of Nights by Irish Residents","2013Q2","Hotel/conference centre","Outbound","Thousand","4288"
"Number of Nights by Irish Residents","2013Q2","Self catering/rented house","Domestic","Thousand","553"
"Number of Nights by Irish Residents","2013Q2","Self catering/rented house","Outbound","Thousand","2940"
"Number of Nights by Irish Residents","2013Q2","Other","Domestic","Thousand","1326"
"Number of Nights by Irish Residents","2013Q2","Other","Outbound","Thousand","2233"
"Number of Nights by Irish Residents","2013Q3","All types of accommodation","Domestic","Thousand","11560"
"Number of Nights by Irish Residents","2013Q3","All types of accommodation","Outbound","Thousand","20865"
"Number of Nights by Irish Residents","2013Q3","Friends/relatives","Domestic","Thousand","2669"
"Number of Nights by Irish Residents","2013Q3","Friends/relatives","Outbound","Thousand","4360"
"Number of Nights by Irish Residents","2013Q3","Hotel/conference centre","Domestic","Thousand","2583"
"Number of Nights by Irish Residents","2013Q3","Hotel/conference centre","Outbound","Thousand","5178"
"Number of Nights by Irish Residents","2013Q3","Self catering/rented house","Domestic","Thousand","2596"
"Number of Nights by Irish Residents","2013Q3","Self catering/rented house","Outbound","Thousand","7104"
"Number of Nights by Irish Residents","2013Q3","Other","Domestic","Thousand","3711"
"Number of Nights by Irish Residents","2013Q3","Other","Outbound","Thousand","4223"
"Number of Nights by Irish Residents","2013Q4","All types of accommodation","Domestic","Thousand","4106"
"Number of Nights by Irish Residents","2013Q4","All types of accommodation","Outbound","Thousand","9074"
"Number of Nights by Irish Residents","2013Q4","Friends/relatives","Domestic","Thousand","1832"
"Number of Nights by Irish Residents","2013Q4","Friends/relatives","Outbound","Thousand","2928"
"Number of Nights by Irish Residents","2013Q4","Hotel/conference centre","Domestic","Thousand","1445"
"Number of Nights by Irish Residents","2013Q4","Hotel/conference centre","Outbound","Thousand","2884"
"Number of Nights by Irish Residents","2013Q4","Self catering/rented house","Domestic","Thousand","290"
"Number of Nights by Irish Residents","2013Q4","Self catering/rented house","Outbound","Thousand","1890"
"Number of Nights by Irish Residents","2013Q4","Other","Domestic","Thousand","538"
"Number of Nights by Irish Residents","2013Q4","Other","Outbound","Thousand","1372"
"Number of Nights by Irish Residents","2014Q1","All types of accommodation","Domestic","Thousand","3802"
"Number of Nights by Irish Residents","2014Q1","All types of accommodation","Outbound","Thousand","8199"
"Number of Nights by Irish Residents","2014Q1","Friends/relatives","Domestic","Thousand","1330"
"Number of Nights by Irish Residents","2014Q1","Friends/relatives","Outbound","Thousand","2753"
"Number of Nights by Irish Residents","2014Q1","Hotel/conference centre","Domestic","Thousand","1395"
"Number of Nights by Irish Residents","2014Q1","Hotel/conference centre","Outbound","Thousand","3345"
"Number of Nights by Irish Residents","2014Q1","Self catering/rented house","Domestic","Thousand","211"
"Number of Nights by Irish Residents","2014Q1","Self catering/rented house","Outbound","Thousand","1123"
"Number of Nights by Irish Residents","2014Q1","Other","Domestic","Thousand","866"
"Number of Nights by Irish Residents","2014Q1","Other","Outbound","Thousand","978"
"Number of Nights by Irish Residents","2014Q2","All types of accommodation","Domestic","Thousand","5624"
"Number of Nights by Irish Residents","2014Q2","All types of accommodation","Outbound","Thousand","13466"
"Number of Nights by Irish Residents","2014Q2","Friends/relatives","Domestic","Thousand","1770"
"Number of Nights by Irish Residents","2014Q2","Friends/relatives","Outbound","Thousand","3324"
"Number of Nights by Irish Residents","2014Q2","Hotel/conference centre","Domestic","Thousand","1813"
"Number of Nights by Irish Residents","2014Q2","Hotel/conference centre","Outbound","Thousand","4153"
"Number of Nights by Irish Residents","2014Q2","Self catering/rented house","Domestic","Thousand","704"
"Number of Nights by Irish Residents","2014Q2","Self catering/rented house","Outbound","Thousand","2900"
"Number of Nights by Irish Residents","2014Q2","Other","Domestic","Thousand","1336"
"Number of Nights by Irish Residents","2014Q2","Other","Outbound","Thousand","3089"
"Number of Nights by Irish Residents","2014Q3","All types of accommodation","Domestic","Thousand","11786"
"Number of Nights by Irish Residents","2014Q3","All types of accommodation","Outbound","Thousand","21791"
"Number of Nights by Irish Residents","2014Q3","Friends/relatives","Domestic","Thousand","2829"
"Number of Nights by Irish Residents","2014Q3","Friends/relatives","Outbound","Thousand","5611"
"Number of Nights by Irish Residents","2014Q3","Hotel/conference centre","Domestic","Thousand","2505"
"Number of Nights by Irish Residents","2014Q3","Hotel/conference centre","Outbound","Thousand","6005"
"Number of Nights by Irish Residents","2014Q3","Self catering/rented house","Domestic","Thousand","2963"
"Number of Nights by Irish Residents","2014Q3","Self catering/rented house","Outbound","Thousand","6123"
"Number of Nights by Irish Residents","2014Q3","Other","Domestic","Thousand","3490"
"Number of Nights by Irish Residents","2014Q3","Other","Outbound","Thousand","4052"
"Number of Nights by Irish Residents","2014Q4","All types of accommodation","Domestic","Thousand","4874"
"Number of Nights by Irish Residents","2014Q4","All types of accommodation","Outbound","Thousand","10196"
"Number of Nights by Irish Residents","2014Q4","Friends/relatives","Domestic","Thousand","2227"
"Number of Nights by Irish Residents","2014Q4","Friends/relatives","Outbound","Thousand","2472"
"Number of Nights by Irish Residents","2014Q4","Hotel/conference centre","Domestic","Thousand","1494"
"Number of Nights by Irish Residents","2014Q4","Hotel/conference centre","Outbound","Thousand","4574"
"Number of Nights by Irish Residents","2014Q4","Self catering/rented house","Domestic","Thousand","362"
"Number of Nights by Irish Residents","2014Q4","Self catering/rented house","Outbound","Thousand","1574"
"Number of Nights by Irish Residents","2014Q4","Other","Domestic","Thousand","791"
"Number of Nights by Irish Residents","2014Q4","Other","Outbound","Thousand","1576"
"Number of Nights by Irish Residents","2015Q1","All types of accommodation","Domestic","Thousand","3545"
"Number of Nights by Irish Residents","2015Q1","All types of accommodation","Outbound","Thousand","9440"
"Number of Nights by Irish Residents","2015Q1","Friends/relatives","Domestic","Thousand","1257"
"Number of Nights by Irish Residents","2015Q1","Friends/relatives","Outbound","Thousand","3154"
"Number of Nights by Irish Residents","2015Q1","Hotel/conference centre","Domestic","Thousand","1399"
"Number of Nights by Irish Residents","2015Q1","Hotel/conference centre","Outbound","Thousand","3169"
"Number of Nights by Irish Residents","2015Q1","Self catering/rented house","Domestic","Thousand","336"
"Number of Nights by Irish Residents","2015Q1","Self catering/rented house","Outbound","Thousand","2061"
"Number of Nights by Irish Residents","2015Q1","Other","Domestic","Thousand","553"
"Number of Nights by Irish Residents","2015Q1","Other","Outbound","Thousand","1057"
"Number of Nights by Irish Residents","2015Q2","All types of accommodation","Domestic","Thousand","5308"
"Number of Nights by Irish Residents","2015Q2","All types of accommodation","Outbound","Thousand","13262"
"Number of Nights by Irish Residents","2015Q2","Friends/relatives","Domestic","Thousand","1575"
"Number of Nights by Irish Residents","2015Q2","Friends/relatives","Outbound","Thousand","3083"
"Number of Nights by Irish Residents","2015Q2","Hotel/conference centre","Domestic","Thousand","1551"
"Number of Nights by Irish Residents","2015Q2","Hotel/conference centre","Outbound","Thousand","5223"
"Number of Nights by Irish Residents","2015Q2","Self catering/rented house","Domestic","Thousand","849"
"Number of Nights by Irish Residents","2015Q2","Self catering/rented house","Outbound","Thousand","2396"
"Number of Nights by Irish Residents","2015Q2","Other","Domestic","Thousand","1333"
"Number of Nights by Irish Residents","2015Q2","Other","Outbound","Thousand","2560"
"Number of Nights by Irish Residents","2015Q3","All types of accommodation","Domestic","Thousand","12054"
"Number of Nights by Irish Residents","2015Q3","All types of accommodation","Outbound","Thousand","21135"
"Number of Nights by Irish Residents","2015Q3","Friends/relatives","Domestic","Thousand","3289"
"Number of Nights by Irish Residents","2015Q3","Friends/relatives","Outbound","Thousand","4609"
"Number of Nights by Irish Residents","2015Q3","Hotel/conference centre","Domestic","Thousand","2601"
"Number of Nights by Irish Residents","2015Q3","Hotel/conference centre","Outbound","Thousand","6174"
"Number of Nights by Irish Residents","2015Q3","Self catering/rented house","Domestic","Thousand","2422"
"Number of Nights by Irish Residents","2015Q3","Self catering/rented house","Outbound","Thousand","6156"
"Number of Nights by Irish Residents","2015Q3","Other","Domestic","Thousand","3741"
"Number of Nights by Irish Residents","2015Q3","Other","Outbound","Thousand","4196"
"Number of Nights by Irish Residents","2015Q4","All types of accommodation","Domestic","Thousand","4360"
"Number of Nights by Irish Residents","2015Q4","All types of accommodation","Outbound","Thousand","9678"
"Number of Nights by Irish Residents","2015Q4","Friends/relatives","Domestic","Thousand","1795"
"Number of Nights by Irish Residents","2015Q4","Friends/relatives","Outbound","Thousand","3496"
"Number of Nights by Irish Residents","2015Q4","Hotel/conference centre","Domestic","Thousand","1582"
"Number of Nights by Irish Residents","2015Q4","Hotel/conference centre","Outbound","Thousand","3625"
"Number of Nights by Irish Residents","2015Q4","Self catering/rented house","Domestic","Thousand","289"
"Number of Nights by Irish Residents","2015Q4","Self catering/rented house","Outbound","Thousand","1537"
"Number of Nights by Irish Residents","2015Q4","Other","Domestic","Thousand","694"
"Number of Nights by Irish Residents","2015Q4","Other","Outbound","Thousand","1020"
"Number of Nights by Irish Residents","2016Q1","All types of accommodation","Domestic","Thousand","4594"
"Number of Nights by Irish Residents","2016Q1","All types of accommodation","Outbound","Thousand","10840"
"Number of Nights by Irish Residents","2016Q1","Friends/relatives","Domestic","Thousand","1727"
"Number of Nights by Irish Residents","2016Q1","Friends/relatives","Outbound","Thousand","3025"
"Number of Nights by Irish Residents","2016Q1","Hotel/conference centre","Domestic","Thousand","1681"
"Number of Nights by Irish Residents","2016Q1","Hotel/conference centre","Outbound","Thousand","3857"
"Number of Nights by Irish Residents","2016Q1","Self catering/rented house","Domestic","Thousand","388"
"Number of Nights by Irish Residents","2016Q1","Self catering/rented house","Outbound","Thousand","2502"
"Number of Nights by Irish Residents","2016Q1","Other","Domestic","Thousand","798"
"Number of Nights by Irish Residents","2016Q1","Other","Outbound","Thousand","1457"
"Number of Nights by Irish Residents","2016Q2","All types of accommodation","Domestic","Thousand","4923"
"Number of Nights by Irish Residents","2016Q2","All types of accommodation","Outbound","Thousand","14054"
"Number of Nights by Irish Residents","2016Q2","Friends/relatives","Domestic","Thousand","1500"
"Number of Nights by Irish Residents","2016Q2","Friends/relatives","Outbound","Thousand","3034"
"Number of Nights by Irish Residents","2016Q2","Hotel/conference centre","Domestic","Thousand","1492"
"Number of Nights by Irish Residents","2016Q2","Hotel/conference centre","Outbound","Thousand","5036"
"Number of Nights by Irish Residents","2016Q2","Self catering/rented house","Domestic","Thousand","818"
"Number of Nights by Irish Residents","2016Q2","Self catering/rented house","Outbound","Thousand","3623"
"Number of Nights by Irish Residents","2016Q2","Other","Domestic","Thousand","1114"
"Number of Nights by Irish Residents","2016Q2","Other","Outbound","Thousand","2361"
"Number of Nights by Irish Residents","2016Q3","All types of accommodation","Domestic","Thousand","11574"
"Number of Nights by Irish Residents","2016Q3","All types of accommodation","Outbound","Thousand","21384"
"Number of Nights by Irish Residents","2016Q3","Friends/relatives","Domestic","Thousand","3455"
"Number of Nights by Irish Residents","2016Q3","Friends/relatives","Outbound","Thousand","4903"
"Number of Nights by Irish Residents","2016Q3","Hotel/conference centre","Domestic","Thousand","2340"
"Number of Nights by Irish Residents","2016Q3","Hotel/conference centre","Outbound","Thousand","5575"
"Number of Nights by Irish Residents","2016Q3","Self catering/rented house","Domestic","Thousand","2169"
"Number of Nights by Irish Residents","2016Q3","Self catering/rented house","Outbound","Thousand","6713"
"Number of Nights by Irish Residents","2016Q3","Other","Domestic","Thousand","3611"
"Number of Nights by Irish Residents","2016Q3","Other","Outbound","Thousand","4192"
"Number of Nights by Irish Residents","2016Q4","All types of accommodation","Domestic","Thousand","4498"
"Number of Nights by Irish Residents","2016Q4","All types of accommodation","Outbound","Thousand","10470"
"Number of Nights by Irish Residents","2016Q4","Friends/relatives","Domestic","Thousand","1862"
"Number of Nights by Irish Residents","2016Q4","Friends/relatives","Outbound","Thousand","2879"
"Number of Nights by Irish Residents","2016Q4","Hotel/conference centre","Domestic","Thousand","1630"
"Number of Nights by Irish Residents","2016Q4","Hotel/conference centre","Outbound","Thousand","4468"
"Number of Nights by Irish Residents","2016Q4","Self catering/rented house","Domestic","Thousand","447"
"Number of Nights by Irish Residents","2016Q4","Self catering/rented house","Outbound","Thousand","2020"
"Number of Nights by Irish Residents","2016Q4","Other","Domestic","Thousand","559"
"Number of Nights by Irish Residents","2016Q4","Other","Outbound","Thousand","1103"
"Number of Nights by Irish Residents","2017Q1","All types of accommodation","Domestic","Thousand","3830"
"Number of Nights by Irish Residents","2017Q1","All types of accommodation","Outbound","Thousand","9713"
"Number of Nights by Irish Residents","2017Q1","Friends/relatives","Domestic","Thousand","1465"
"Number of Nights by Irish Residents","2017Q1","Friends/relatives","Outbound","Thousand","2703"
"Number of Nights by Irish Residents","2017Q1","Hotel/conference centre","Domestic","Thousand","1488"
"Number of Nights by Irish Residents","2017Q1","Hotel/conference centre","Outbound","Thousand","3791"
"Number of Nights by Irish Residents","2017Q1","Self catering/rented house","Domestic","Thousand","317"
"Number of Nights by Irish Residents","2017Q1","Self catering/rented house","Outbound","Thousand","1994"
"Number of Nights by Irish Residents","2017Q1","Other","Domestic","Thousand","560"
"Number of Nights by Irish Residents","2017Q1","Other","Outbound","Thousand","1225"
"Number of Nights by Irish Residents","2017Q2","All types of accommodation","Domestic","Thousand","6108"
"Number of Nights by Irish Residents","2017Q2","All types of accommodation","Outbound","Thousand","14535"
"Number of Nights by Irish Residents","2017Q2","Friends/relatives","Domestic","Thousand","1742"
"Number of Nights by Irish Residents","2017Q2","Friends/relatives","Outbound","Thousand","2935"
"Number of Nights by Irish Residents","2017Q2","Hotel/conference centre","Domestic","Thousand","1636"
"Number of Nights by Irish Residents","2017Q2","Hotel/conference centre","Outbound","Thousand","5390"
"Number of Nights by Irish Residents","2017Q2","Self catering/rented house","Domestic","Thousand","912"
"Number of Nights by Irish Residents","2017Q2","Self catering/rented house","Outbound","Thousand","3396"
"Number of Nights by Irish Residents","2017Q2","Other","Domestic","Thousand","1817"
"Number of Nights by Irish Residents","2017Q2","Other","Outbound","Thousand","2813"
"Number of Nights by Irish Residents","2017Q3","All types of accommodation","Domestic","Thousand","10442"
"Number of Nights by Irish Residents","2017Q3","All types of accommodation","Outbound","Thousand","22707"
"Number of Nights by Irish Residents","2017Q3","Friends/relatives","Domestic","Thousand","2906"
"Number of Nights by Irish Residents","2017Q3","Friends/relatives","Outbound","Thousand","4153"
"Number of Nights by Irish Residents","2017Q3","Hotel/conference centre","Domestic","Thousand","2378"
"Number of Nights by Irish Residents","2017Q3","Hotel/conference centre","Outbound","Thousand","6263"
"Number of Nights by Irish Residents","2017Q3","Self catering/rented house","Domestic","Thousand","2245"
"Number of Nights by Irish Residents","2017Q3","Self catering/rented house","Outbound","Thousand","7244"
"Number of Nights by Irish Residents","2017Q3","Other","Domestic","Thousand","2913"
"Number of Nights by Irish Residents","2017Q3","Other","Outbound","Thousand","5046"
"Number of Nights by Irish Residents","2017Q4","All types of accommodation","Domestic","Thousand","5159"
"Number of Nights by Irish Residents","2017Q4","All types of accommodation","Outbound","Thousand","10743"
"Number of Nights by Irish Residents","2017Q4","Friends/relatives","Domestic","Thousand","2191"
"Number of Nights by Irish Residents","2017Q4","Friends/relatives","Outbound","Thousand","2767"
"Number of Nights by Irish Residents","2017Q4","Hotel/conference centre","Domestic","Thousand","1727"
"Number of Nights by Irish Residents","2017Q4","Hotel/conference centre","Outbound","Thousand","3995"
"Number of Nights by Irish Residents","2017Q4","Self catering/rented house","Domestic","Thousand","478"
"Number of Nights by Irish Residents","2017Q4","Self catering/rented house","Outbound","Thousand","2690"
"Number of Nights by Irish Residents","2017Q4","Other","Domestic","Thousand","764"
"Number of Nights by Irish Residents","2017Q4","Other","Outbound","Thousand","1292"
"Number of Nights by Irish Residents","2018Q1","All types of accommodation","Domestic","Thousand","4359"
"Number of Nights by Irish Residents","2018Q1","All types of accommodation","Outbound","Thousand","10211"
"Number of Nights by Irish Residents","2018Q1","Friends/relatives","Domestic","Thousand","1730"
"Number of Nights by Irish Residents","2018Q1","Friends/relatives","Outbound","Thousand","3678"
"Number of Nights by Irish Residents","2018Q1","Hotel/conference centre","Domestic","Thousand","1557"
"Number of Nights by Irish Residents","2018Q1","Hotel/conference centre","Outbound","Thousand","3922"
"Number of Nights by Irish Residents","2018Q1","Self catering/rented house","Domestic","Thousand","260"
"Number of Nights by Irish Residents","2018Q1","Self catering/rented house","Outbound","Thousand","1756"
"Number of Nights by Irish Residents","2018Q1","Other","Domestic","Thousand","811"
"Number of Nights by Irish Residents","2018Q1","Other","Outbound","Thousand","855"
"Number of Nights by Irish Residents","2018Q2","All types of accommodation","Domestic","Thousand","6564"
"Number of Nights by Irish Residents","2018Q2","All types of accommodation","Outbound","Thousand","15271"
"Number of Nights by Irish Residents","2018Q2","Friends/relatives","Domestic","Thousand","1962"
"Number of Nights by Irish Residents","2018Q2","Friends/relatives","Outbound","Thousand","2612"
"Number of Nights by Irish Residents","2018Q2","Hotel/conference centre","Domestic","Thousand","1776"
"Number of Nights by Irish Residents","2018Q2","Hotel/conference centre","Outbound","Thousand","6381"
"Number of Nights by Irish Residents","2018Q2","Self catering/rented house","Domestic","Thousand","712"
"Number of Nights by Irish Residents","2018Q2","Self catering/rented house","Outbound","Thousand","3309"
"Number of Nights by Irish Residents","2018Q2","Other","Domestic","Thousand","2115"
"Number of Nights by Irish Residents","2018Q2","Other","Outbound","Thousand","2969"
"Number of Nights by Irish Residents","2018Q3","All types of accommodation","Domestic","Thousand","12220"
"Number of Nights by Irish Residents","2018Q3","All types of accommodation","Outbound","Thousand","23435"
"Number of Nights by Irish Residents","2018Q3","Friends/relatives","Domestic","Thousand","3304"
"Number of Nights by Irish Residents","2018Q3","Friends/relatives","Outbound","Thousand","5372"
"Number of Nights by Irish Residents","2018Q3","Hotel/conference centre","Domestic","Thousand","2767"
"Number of Nights by Irish Residents","2018Q3","Hotel/conference centre","Outbound","Thousand","6659"
"Number of Nights by Irish Residents","2018Q3","Self catering/rented house","Domestic","Thousand","2204"
"Number of Nights by Irish Residents","2018Q3","Self catering/rented house","Outbound","Thousand","5811"
"Number of Nights by Irish Residents","2018Q3","Other","Domestic","Thousand","3944"
"Number of Nights by Irish Residents","2018Q3","Other","Outbound","Thousand","5593"
"Number of Nights by Irish Residents","2018Q4","All types of accommodation","Domestic","Thousand","5250"
"Number of Nights by Irish Residents","2018Q4","All types of accommodation","Outbound","Thousand","11706"
"Number of Nights by Irish Residents","2018Q4","Friends/relatives","Domestic","Thousand","2463"
"Number of Nights by Irish Residents","2018Q4","Friends/relatives","Outbound","Thousand","3033"
"Number of Nights by Irish Residents","2018Q4","Hotel/conference centre","Domestic","Thousand","1737"
"Number of Nights by Irish Residents","2018Q4","Hotel/conference centre","Outbound","Thousand","5295"
"Number of Nights by Irish Residents","2018Q4","Self catering/rented house","Domestic","Thousand","361"
"Number of Nights by Irish Residents","2018Q4","Self catering/rented house","Outbound","Thousand","2171"
"Number of Nights by Irish Residents","2018Q4","Other","Domestic","Thousand","689"
"Number of Nights by Irish Residents","2018Q4","Other","Outbound","Thousand","1207"
"Number of Nights by Irish Residents","2019Q1","All types of accommodation","Domestic","Thousand","4374"
"Number of Nights by Irish Residents","2019Q1","All types of accommodation","Outbound","Thousand","11364"
"Number of Nights by Irish Residents","2019Q1","Friends/relatives","Domestic","Thousand","1881"
"Number of Nights by Irish Residents","2019Q1","Friends/relatives","Outbound","Thousand","3415"
"Number of Nights by Irish Residents","2019Q1","Hotel/conference centre","Domestic","Thousand","1731"
"Number of Nights by Irish Residents","2019Q1","Hotel/conference centre","Outbound","Thousand","4688"
"Number of Nights by Irish Residents","2019Q1","Self catering/rented house","Domestic","Thousand","267"
"Number of Nights by Irish Residents","2019Q1","Self catering/rented house","Outbound","Thousand","2232"
"Number of Nights by Irish Residents","2019Q1","Other","Domestic","Thousand","495"
"Number of Nights by Irish Residents","2019Q1","Other","Outbound","Thousand","1028"
"Number of Nights by Irish Residents","2019Q2","All types of accommodation","Domestic","Thousand","6794"
"Number of Nights by Irish Residents","2019Q2","All types of accommodation","Outbound","Thousand","16848"
"Number of Nights by Irish Residents","2019Q2","Friends/relatives","Domestic","Thousand","2127"
"Number of Nights by Irish Residents","2019Q2","Friends/relatives","Outbound","Thousand","3515"
"Number of Nights by Irish Residents","2019Q2","Hotel/conference centre","Domestic","Thousand","1958"
"Number of Nights by Irish Residents","2019Q2","Hotel/conference centre","Outbound","Thousand","6341"
"Number of Nights by Irish Residents","2019Q2","Self catering/rented house","Domestic","Thousand","737"
"Number of Nights by Irish Residents","2019Q2","Self catering/rented house","Outbound","Thousand","3601"
"Number of Nights by Irish Residents","2019Q2","Other","Domestic","Thousand","1972"
"Number of Nights by Irish Residents","2019Q2","Other","Outbound","Thousand","3391"
"Number of Nights by Irish Residents","2019Q3","All types of accommodation","Domestic","Thousand","12713"
"Number of Nights by Irish Residents","2019Q3","All types of accommodation","Outbound","Thousand","25867"
"Number of Nights by Irish Residents","2019Q3","Friends/relatives","Domestic","Thousand","3771"
"Number of Nights by Irish Residents","2019Q3","Friends/relatives","Outbound","Thousand","5096"
"Number of Nights by Irish Residents","2019Q3","Hotel/conference centre","Domestic","Thousand","2577"
"Number of Nights by Irish Residents","2019Q3","Hotel/conference centre","Outbound","Thousand","7291"
"Number of Nights by Irish Residents","2019Q3","Self catering/rented house","Domestic","Thousand","2156"
"Number of Nights by Irish Residents","2019Q3","Self catering/rented house","Outbound","Thousand","7991"
"Number of Nights by Irish Residents","2019Q3","Other","Domestic","Thousand","4210"
