"Statistic Label","Quarter","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2003Q3","Other","Outbound","Thousand","99"
"Number of Trips by Irish Residents","2003Q4","All types of accommodation","Domestic","Thousand","1614"
"Number of Trips by Irish Residents","2003Q4","All types of accommodation","Outbound","Thousand","1095"
"Number of Trips by Irish Residents","2003Q4","Friends/relatives","Domestic","Thousand","704"
"Number of Trips by Irish Residents","2003Q4","Friends/relatives","Outbound","Thousand","325"
"Number of Trips by Irish Residents","2003Q4","Hotel/conference centre","Domestic","Thousand","573"
"Number of Trips by Irish Residents","2003Q4","Hotel/conference centre","Outbound","Thousand","458"
"Number of Trips by Irish Residents","2003Q4","Self catering/rented house","Domestic","Thousand","70"
"Number of Trips by Irish Residents","2003Q4","Self catering/rented house","Outbound","Thousand","165"
"Number of Trips by Irish Residents","2003Q4","Other","Domestic","Thousand","57"
"Number of Trips by Irish Residents","2003Q4","Other","Outbound","Thousand","36"
"Number of Trips by Irish Residents","2004Q1","All types of accommodation","Domestic","Thousand","1585"
"Number of Trips by Irish Residents","2004Q1","All types of accommodation","Outbound","Thousand","1069"
"Number of Trips by Irish Residents","2004Q1","Friends/relatives","Domestic","Thousand","653"
"Number of Trips by Irish Residents","2004Q1","Friends/relatives","Outbound","Thousand","279"
"Number of Trips by Irish Residents","2004Q1","Hotel/conference centre","Domestic","Thousand","603"
"Number of Trips by Irish Residents","2004Q1","Hotel/conference centre","Outbound","Thousand","507"
"Number of Trips by Irish Residents","2004Q1","Self catering/rented house","Domestic","Thousand","65"
"Number of Trips by Irish Residents","2004Q1","Self catering/rented house","Outbound","Thousand","133"
"Number of Trips by Irish Residents","2004Q1","Other","Domestic","Thousand","55"
"Number of Trips by Irish Residents","2004Q1","Other","Outbound","Thousand","39"
"Number of Trips by Irish Residents","2004Q2","All types of accommodation","Domestic","Thousand","1533"
"Number of Trips by Irish Residents","2004Q2","All types of accommodation","Outbound","Thousand","1425"
"Number of Trips by Irish Residents","2004Q2","Friends/relatives","Domestic","Thousand","478"
"Number of Trips by Irish Residents","2004Q2","Friends/relatives","Outbound","Thousand","291"
"Number of Trips by Irish Residents","2004Q2","Hotel/conference centre","Domestic","Thousand","510"
"Number of Trips by Irish Residents","2004Q2","Hotel/conference centre","Outbound","Thousand","562"
"Number of Trips by Irish Residents","2004Q2","Self catering/rented house","Domestic","Thousand","121"
"Number of Trips by Irish Residents","2004Q2","Self catering/rented house","Outbound","Thousand","344"
"Number of Trips by Irish Residents","2004Q2","Other","Domestic","Thousand","78"
"Number of Trips by Irish Residents","2004Q2","Other","Outbound","Thousand","58"
"Number of Trips by Irish Residents","2004Q3","All types of accommodation","Domestic","Thousand","2167"
"Number of Trips by Irish Residents","2004Q3","All types of accommodation","Outbound","Thousand","1751"
"Number of Trips by Irish Residents","2004Q3","Friends/relatives","Domestic","Thousand","632"
"Number of Trips by Irish Residents","2004Q3","Friends/relatives","Outbound","Thousand","331"
"Number of Trips by Irish Residents","2004Q3","Hotel/conference centre","Domestic","Thousand","613"
"Number of Trips by Irish Residents","2004Q3","Hotel/conference centre","Outbound","Thousand","635"
"Number of Trips by Irish Residents","2004Q3","Self catering/rented house","Domestic","Thousand","319"
"Number of Trips by Irish Residents","2004Q3","Self catering/rented house","Outbound","Thousand","461"
"Number of Trips by Irish Residents","2004Q3","Other","Domestic","Thousand","98"
"Number of Trips by Irish Residents","2004Q3","Other","Outbound","Thousand","95"
"Number of Trips by Irish Residents","2004Q4","All types of accommodation","Domestic","Thousand","1715"
"Number of Trips by Irish Residents","2004Q4","All types of accommodation","Outbound","Thousand","1220"
"Number of Trips by Irish Residents","2004Q4","Friends/relatives","Domestic","Thousand","748"
"Number of Trips by Irish Residents","2004Q4","Friends/relatives","Outbound","Thousand","344"
"Number of Trips by Irish Residents","2004Q4","Hotel/conference centre","Domestic","Thousand","628"
"Number of Trips by Irish Residents","2004Q4","Hotel/conference centre","Outbound","Thousand","607"
"Number of Trips by Irish Residents","2004Q4","Self catering/rented house","Domestic","Thousand","79"
"Number of Trips by Irish Residents","2004Q4","Self catering/rented house","Outbound","Thousand","151"
"Number of Trips by Irish Residents","2004Q4","Other","Domestic","Thousand","51"
"Number of Trips by Irish Residents","2004Q4","Other","Outbound","Thousand","45"
"Number of Trips by Irish Residents","2005Q1","All types of accommodation","Domestic","Thousand","1490"
"Number of Trips by Irish Residents","2005Q1","All types of accommodation","Outbound","Thousand","1212"
"Number of Trips by Irish Residents","2005Q1","Friends/relatives","Domestic","Thousand","570"
"Number of Trips by Irish Residents","2005Q1","Friends/relatives","Outbound","Thousand","284"
"Number of Trips by Irish Residents","2005Q1","Hotel/conference centre","Domestic","Thousand","597"
"Number of Trips by Irish Residents","2005Q1","Hotel/conference centre","Outbound","Thousand","641"
"Number of Trips by Irish Residents","2005Q1","Self catering/rented house","Domestic","Thousand","61"
"Number of Trips by Irish Residents","2005Q1","Self catering/rented house","Outbound","Thousand","143"
"Number of Trips by Irish Residents","2005Q1","Other","Domestic","Thousand","42"
"Number of Trips by Irish Residents","2005Q1","Other","Outbound","Thousand","46"
"Number of Trips by Irish Residents","2005Q2","All types of accommodation","Domestic","Thousand","1705"
"Number of Trips by Irish Residents","2005Q2","All types of accommodation","Outbound","Thousand","1661"
"Number of Trips by Irish Residents","2005Q2","Friends/relatives","Domestic","Thousand","519"
"Number of Trips by Irish Residents","2005Q2","Friends/relatives","Outbound","Thousand","320"
"Number of Trips by Irish Residents","2005Q2","Hotel/conference centre","Domestic","Thousand","606"
"Number of Trips by Irish Residents","2005Q2","Hotel/conference centre","Outbound","Thousand","720"
"Number of Trips by Irish Residents","2005Q2","Self catering/rented house","Domestic","Thousand","121"
"Number of Trips by Irish Residents","2005Q2","Self catering/rented house","Outbound","Thousand","357"
"Number of Trips by Irish Residents","2005Q2","Other","Domestic","Thousand","76"
"Number of Trips by Irish Residents","2005Q2","Other","Outbound","Thousand","74"
"Number of Trips by Irish Residents","2005Q3","All types of accommodation","Domestic","Thousand","2300"
"Number of Trips by Irish Residents","2005Q3","All types of accommodation","Outbound","Thousand","1961"
