DATAFLOW,LAST UPDATE,freq,unit,meatitem,meat,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2017,1124.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2018,1102.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2019,1106.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2020,1090.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2021,1072.02,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2022,987.47,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DE,2023,992.93,p
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2012,125.40,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2013,125.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2014,125.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2015,120.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2016,129.40,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2017,124.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2018,129.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2019,124.60,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2020,121.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2021,122.20,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2022,119.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,DK,2023,117.73,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2012,7.96,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2013,7.88,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2014,,c
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2015,9.62,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2016,9.43,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2017,9.00,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2018,8.56,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2019,8.57,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2020,8.89,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2021,8.70,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2022,8.37,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EE,2023,7.65,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2012,56.16,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2013,50.12,
ESTAT:TAG00044(1.0),02/04/24 23:00:00,A,THS_T,SL,B1000,EL,2014,46.04,
