freq,animals,month,unit,geo\TIME_PERIOD	1959 	1960 	1961 	1962 	1963 	1964 	1965 	1966 	1967 	1968 	1969 	1970 	1971 	1972 	1973 	1974 	1975 	1976 	1977 	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,A2000,M05_M06,THS_HD,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.20 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4979.00 	4956.00 	4964.00 	4877.00 	4990.00 	5148.60 	5225.00 	5191.00 	5327.00 	5333.00 	5515.60 	5247.00 	5122.00 	4894.78 	4710.63 	4771.83 	4928.00 	5062.07 	4923.86 	4796.00 	4717.00 	4657.00 	4552.00 	4411.00 	4277.00 	4178.00 	4058.00 	4021.00 	3780.00 	3740.54 	3713.00 	3817.00 	3749.00 	3763.00 	3890.00 	3950.00 	3970.00 	3868.00 	3879.00 	4000.00 	4068.00 	4133.85 	4244.52 	4096.11 	3897.13 	3749.97 	3766.30 	3731.75 	3766.14 	3751.78 
A,A2000,M05_M06,THS_HD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	10522.70 	10322.10 	10732.60 	10048.90 	8844.00 	8221.40 	7642.60 	7695.70 	7305.60 	7136.50 	7307.40 	6955.30 	6555.00 	6082.60 	5734.34 	5532.73 	5488.94 	5353.42 	5483.29 	5606.36 	5696.19 	5756.64 	5700.02 	5723.94 	5761.88 	5776.77 	5859.54 	5920.41 	5960.69 	5939.00 	6143.00 	6201.00 	6358.00 	6344.00 	6401.00 	6444.09 	6359.68 
A,A2000,M05_M06,THS_HD,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1330.00 	1387.24 	1380.00 	1348.00 	1388.00 	1386.00 	1345.00 	1339.40 	1337.46 	1346.00 	1323.60 	1323.60 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1664.19 	1722.16 	1722.37 	1711.86 	1750.58 	1723.46 	1680.18 	1607.61 p
A,A2000,M05_M06,THS_HD,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3110.90 	3129.80 	2956.58 	2935.50 	3070.58 	3052.40 	2868.70 	2617.20 	2500.70 	2112.90 	: 	2054.00 	2069.20 	2077.50 	2081.20 	2012.30 	2002.20 	1962.60 	1914.60 	1864.30 	1852.30 	1833.00 
A,A2000,M05_M06,THS_HD,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1777.00 	1809.00 	1827.00 	1776.90 	1790.40 	1780.80 	1738.40 	1713.00 	1683.90 	1651.50 	1638.44 	1606.72 	1628.50 	1619.68 	1590.41 	1590.41 	1558.38 	1538.28 	1536.66 	1511.85 	1500.29 	1505.83 	1493.12 	1475.96 	1488.90 	1501.35 	1506.64 	1466.30 	1452.98 	1453.30 	1449.32 	1444.24 
A,A2000,M05_M06,THS_HD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	489.00 	462.00 	491.59 	499.55 	475.72 	474.72 	478.11 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1622.00 	1627.00 	1645.00 	1655.00 	1577.00 	1363.00 	1142.00 	940.00 	928.00 	934.00 	857.00 	790.00 	697.28 	657.60 	655.85 	641.50 	611.59 	570.47 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A,A2000,M05_M06,THS_HD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14731.49 p	14323.94 	14816.74 p	17338.38 p	18251.33 	18614.99 	18318.38 	17875.67 	16687.77 
A,A2000,M05_M06,THS_HD,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15202.00 	14719.00 	14072.00 	13899.33 	13669.94 	13588.60 	13425.61 	13246.58 	13356.24 	13402.90 	13331.27 	13028.02 	12647.83 	12292.65 	12008.31 	12100.94 	12192.44 	12002.73 	11924.33 	11850.82 	11954.22 	11856.53 	12039.66 	11632.52 	11518.81 	11423.36 	11133.24 	10599.92 	10343.29 	10517.43 	10550.74 	10770.22 	10578.83 	10304.00 	10107.00 	10025.00 	10112.00 	9933.00 	9900.00 	9843.00 	9837.00 	9919.00 	10033.00 	10004.00 	9891.00 	9739.00 	9615.00 	: 	: 	: 
