"Statistic Label","Month","Main Reason for Travel","UNIT","VALUE"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Holiday/leisure/recreation","%","39.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Visit to friends/relatives","%","36.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","Other reason for journey","%","5"
"Percentage of Overnight Trips by Foreign Visitors","2023 November","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Business","%","17.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Holiday/leisure/recreation","%","32.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Visit to friends/relatives","%","40.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","Other reason for journey","%","9.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 December","All reasons for journey","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Business","%","13"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Holiday/leisure/recreation","%","35.3"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Visit to friends/relatives","%","46.8"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","Other reason for journey","%","4.9"
"Percentage of Overnight Trips by Foreign Visitors","2024 January","All reasons for journey","%","100"
"Number of Nights by Foreign Visitors","2023 April","Business","Thousand","604.8"
"Number of Nights by Foreign Visitors","2023 April","Holiday/leisure/recreation","Thousand","982.9"
"Number of Nights by Foreign Visitors","2023 April","Visit to friends/relatives","Thousand","1408"
"Number of Nights by Foreign Visitors","2023 April","Other reason for journey","Thousand","671.8"
"Number of Nights by Foreign Visitors","2023 April","All reasons for journey","Thousand","3667.5"
"Number of Nights by Foreign Visitors","2023 May","Business","Thousand","463.3"
"Number of Nights by Foreign Visitors","2023 May","Holiday/leisure/recreation","Thousand","1493.5"
"Number of Nights by Foreign Visitors","2023 May","Visit to friends/relatives","Thousand","1341.4"
"Number of Nights by Foreign Visitors","2023 May","Other reason for journey","Thousand","1177.9"
"Number of Nights by Foreign Visitors","2023 May","All reasons for journey","Thousand","4476.1"
"Number of Nights by Foreign Visitors","2023 June","Business","Thousand","433.8"
"Number of Nights by Foreign Visitors","2023 June","Holiday/leisure/recreation","Thousand","1946.8"
"Number of Nights by Foreign Visitors","2023 June","Visit to friends/relatives","Thousand","1589.8"
"Number of Nights by Foreign Visitors","2023 June","Other reason for journey","Thousand","547.8"
"Number of Nights by Foreign Visitors","2023 June","All reasons for journey","Thousand","4518.2"
"Number of Nights by Foreign Visitors","2023 July","Business","Thousand","393.9"
"Number of Nights by Foreign Visitors","2023 July","Holiday/leisure/recreation","Thousand","2218.2"
"Number of Nights by Foreign Visitors","2023 July","Visit to friends/relatives","Thousand","2187.5"
"Number of Nights by Foreign Visitors","2023 July","Other reason for journey","Thousand","844.2"
"Number of Nights by Foreign Visitors","2023 July","All reasons for journey","Thousand","5643.8"
"Number of Nights by Foreign Visitors","2023 August","Business","Thousand","815.6"
"Number of Nights by Foreign Visitors","2023 August","Holiday/leisure/recreation","Thousand","2989.7"
"Number of Nights by Foreign Visitors","2023 August","Visit to friends/relatives","Thousand","2685.2"
"Number of Nights by Foreign Visitors","2023 August","Other reason for journey","Thousand","847.3"
"Number of Nights by Foreign Visitors","2023 August","All reasons for journey","Thousand","7337.7"
"Number of Nights by Foreign Visitors","2023 September","Business","Thousand","504.8"
"Number of Nights by Foreign Visitors","2023 September","Holiday/leisure/recreation","Thousand","2117.4"
"Number of Nights by Foreign Visitors","2023 September","Visit to friends/relatives","Thousand","1682.3"
