"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Nights by Foreign Visitors","2023 May","All types of accommodation","Thousand","4476.1"
"Number of Nights by Foreign Visitors","2023 June","Hotel/conference centre","Thousand","1497.1"
"Number of Nights by Foreign Visitors","2023 June","Guest house/bed & breakfast","Thousand","235.7"
"Number of Nights by Foreign Visitors","2023 June","Friends/relatives/own property","Thousand","1938.6"
"Number of Nights by Foreign Visitors","2023 June","Self catering/rented house","Thousand","328.7"
"Number of Nights by Foreign Visitors","2023 June","Other private tourism accommodation n.e.c.","Thousand","518.2"
"Number of Nights by Foreign Visitors","2023 June","All types of accommodation","Thousand","4518.2"
"Number of Nights by Foreign Visitors","2023 July","Hotel/conference centre","Thousand","1455.3"
"Number of Nights by Foreign Visitors","2023 July","Guest house/bed & breakfast","Thousand","220.5"
"Number of Nights by Foreign Visitors","2023 July","Friends/relatives/own property","Thousand","2661.7"
"Number of Nights by Foreign Visitors","2023 July","Self catering/rented house","Thousand","475.7"
"Number of Nights by Foreign Visitors","2023 July","Other private tourism accommodation n.e.c.","Thousand","830.7"
"Number of Nights by Foreign Visitors","2023 July","All types of accommodation","Thousand","5643.8"
"Number of Nights by Foreign Visitors","2023 August","Hotel/conference centre","Thousand","1691"
"Number of Nights by Foreign Visitors","2023 August","Guest house/bed & breakfast","Thousand","471.1"
"Number of Nights by Foreign Visitors","2023 August","Friends/relatives/own property","Thousand","3767.2"
"Number of Nights by Foreign Visitors","2023 August","Self catering/rented house","Thousand","437.5"
"Number of Nights by Foreign Visitors","2023 August","Other private tourism accommodation n.e.c.","Thousand","970.8"
"Number of Nights by Foreign Visitors","2023 August","All types of accommodation","Thousand","7337.7"
"Number of Nights by Foreign Visitors","2023 September","Hotel/conference centre","Thousand","1474.7"
"Number of Nights by Foreign Visitors","2023 September","Guest house/bed & breakfast","Thousand","377.7"
"Number of Nights by Foreign Visitors","2023 September","Friends/relatives/own property","Thousand","2103.7"
