"Statistic Label","Month","Residency","UNIT","VALUE"
"Number of Nights by Foreign Visitors","2023 June","USA & Canada","Thousand","1383.3"
"Number of Nights by Foreign Visitors","2023 June","Other Residencies","Thousand","433"
"Number of Nights by Foreign Visitors","2023 June","All Residencies","Thousand","4518.2"
"Number of Nights by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","Thousand","1266.5"
"Number of Nights by Foreign Visitors","2023 July","Other Europe (3)","Thousand","2306.6"
"Number of Nights by Foreign Visitors","2023 July","USA & Canada","Thousand","1386.1"
"Number of Nights by Foreign Visitors","2023 July","Other Residencies","Thousand","684.6"
"Number of Nights by Foreign Visitors","2023 July","All Residencies","Thousand","5643.8"
"Number of Nights by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","Thousand","1822.1"
"Number of Nights by Foreign Visitors","2023 August","Other Europe (3)","Thousand","3286.8"
"Number of Nights by Foreign Visitors","2023 August","USA & Canada","Thousand","1416.8"
"Number of Nights by Foreign Visitors","2023 August","Other Residencies","Thousand","812"
"Number of Nights by Foreign Visitors","2023 August","All Residencies","Thousand","7337.7"
"Number of Nights by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","Thousand","1244.2"
"Number of Nights by Foreign Visitors","2023 September","Other Europe (3)","Thousand","1594"
"Number of Nights by Foreign Visitors","2023 September","USA & Canada","Thousand","1112"
"Number of Nights by Foreign Visitors","2023 September","Other Residencies","Thousand","699.5"
"Number of Nights by Foreign Visitors","2023 September","All Residencies","Thousand","4649.8"
"Number of Nights by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","Thousand","910.3"
"Number of Nights by Foreign Visitors","2023 October","Other Europe (3)","Thousand","1330.3"
"Number of Nights by Foreign Visitors","2023 October","USA & Canada","Thousand","1171.5"
"Number of Nights by Foreign Visitors","2023 October","Other Residencies","Thousand","546.2"
"Number of Nights by Foreign Visitors","2023 October","All Residencies","Thousand","3958.2"
"Number of Nights by Foreign Visitors","2023 November","Great Britain (England, Scotland & Wales)","Thousand","746.4"
"Number of Nights by Foreign Visitors","2023 November","Other Europe (3)","Thousand","1156.8"
"Number of Nights by Foreign Visitors","2023 November","USA & Canada","Thousand","700.2"
"Number of Nights by Foreign Visitors","2023 November","Other Residencies","Thousand","478.8"
"Number of Nights by Foreign Visitors","2023 November","All Residencies","Thousand","3082.3"
"Number of Nights by Foreign Visitors","2023 December","Great Britain (England, Scotland & Wales)","Thousand","937.3"
"Number of Nights by Foreign Visitors","2023 December","Other Europe (3)","Thousand","2202.9"
"Number of Nights by Foreign Visitors","2023 December","USA & Canada","Thousand","798.2"
"Number of Nights by Foreign Visitors","2023 December","Other Residencies","Thousand","566"
"Number of Nights by Foreign Visitors","2023 December","All Residencies","Thousand","4504.3"
"Number of Nights by Foreign Visitors","2024 January","Great Britain (England, Scotland & Wales)","Thousand","1070.9"
"Number of Nights by Foreign Visitors","2024 January","Other Europe (3)","Thousand","1489.4"
"Number of Nights by Foreign Visitors","2024 January","USA & Canada","Thousand","580.1"
"Number of Nights by Foreign Visitors","2024 January","Other Residencies","Thousand","673.4"
"Number of Nights by Foreign Visitors","2024 January","All Residencies","Thousand","3813.8"
"Percentage of Nights by Foreign Visitors","2023 April","Great Britain (England, Scotland & Wales)","%","29.3"
"Percentage of Nights by Foreign Visitors","2023 April","Other Europe (3)","%","43.3"
"Percentage of Nights by Foreign Visitors","2023 April","USA & Canada","%","20.1"
"Percentage of Nights by Foreign Visitors","2023 April","Other Residencies","%","7.2"
"Percentage of Nights by Foreign Visitors","2023 April","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 May","Great Britain (England, Scotland & Wales)","%","20.2"
"Percentage of Nights by Foreign Visitors","2023 May","Other Europe (3)","%","48"
"Percentage of Nights by Foreign Visitors","2023 May","USA & Canada","%","23.2"
"Percentage of Nights by Foreign Visitors","2023 May","Other Residencies","%","8.6"
"Percentage of Nights by Foreign Visitors","2023 May","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","%","24.5"
"Percentage of Nights by Foreign Visitors","2023 June","Other Europe (3)","%","35.3"
"Percentage of Nights by Foreign Visitors","2023 June","USA & Canada","%","30.6"
"Percentage of Nights by Foreign Visitors","2023 June","Other Residencies","%","9.6"
"Percentage of Nights by Foreign Visitors","2023 June","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","%","22.4"
"Percentage of Nights by Foreign Visitors","2023 July","Other Europe (3)","%","40.9"
"Percentage of Nights by Foreign Visitors","2023 July","USA & Canada","%","24.6"
"Percentage of Nights by Foreign Visitors","2023 July","Other Residencies","%","12.1"
"Percentage of Nights by Foreign Visitors","2023 July","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","%","24.8"
"Percentage of Nights by Foreign Visitors","2023 August","Other Europe (3)","%","44.8"
"Percentage of Nights by Foreign Visitors","2023 August","USA & Canada","%","19.3"
"Percentage of Nights by Foreign Visitors","2023 August","Other Residencies","%","11.1"
"Percentage of Nights by Foreign Visitors","2023 August","All Residencies","%","100"
"Percentage of Nights by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","%","26.8"
"Percentage of Nights by Foreign Visitors","2023 September","Other Europe (3)","%","34.3"
