"Statistic Label","Month","Detailed Residency","UNIT","VALUE"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Canada","%","3.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","United States","%","18.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","Other Residencies","%","2.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 May","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Great Britain (England, Scotland & Wales)","%","36.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Belgium/Netherlands/Luxembourg","%","4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Denmark/Norway/Sweden/Finland","%","2.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","France","%","4.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Germany","%","7.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Italy","%","2.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Spain/Portugal","%","3.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other Europe (2)","%","5.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Australia/New Zealand","%","2.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Canada","%","3.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","United States","%","23.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","Other Residencies","%","3.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 June","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Great Britain (England, Scotland & Wales)","%","37"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Belgium/Netherlands/Luxembourg","%","3.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Denmark/Norway/Sweden/Finland","%","2.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","France","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Germany","%","6.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Italy","%","3.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Spain/Portugal","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other Europe (2)","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Australia/New Zealand","%","2.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Canada","%","2.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","United States","%","21.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","Other Residencies","%","2.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 July","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Great Britain (England, Scotland & Wales)","%","35.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Belgium/Netherlands/Luxembourg","%","4.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Denmark/Norway/Sweden/Finland","%","1.7"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","France","%","7.8"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Germany","%","6.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Italy","%","5.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Spain/Portugal","%","5.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other Europe (2)","%","5.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Australia/New Zealand","%","2.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Canada","%","3.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","United States","%","19.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","Other Residencies","%","3.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 August","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Great Britain (England, Scotland & Wales)","%","35.4"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Belgium/Netherlands/Luxembourg","%","3.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Denmark/Norway/Sweden/Finland","%","2.3"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","France","%","5"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Germany","%","8"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Italy","%","3.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Spain/Portugal","%","5.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other Europe (2)","%","6.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Australia/New Zealand","%","3.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Canada","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","United States","%","20.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","Other Residencies","%","3.6"
"Percentage of Overnight Trips by Foreign Visitors","2023 September","All Residencies","%","100"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Great Britain (England, Scotland & Wales)","%","35.5"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Belgium/Netherlands/Luxembourg","%","3.9"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Denmark/Norway/Sweden/Finland","%","3.2"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","France","%","5.1"
"Percentage of Overnight Trips by Foreign Visitors","2023 October","Germany","%","7.8"
