"Statistic Label","Detailed Area of Residence","Year","UNIT","VALUE"
"Overseas Trips to Ireland","Great Britain","2012","Thousand","2774.2"
"Overseas Trips to Ireland","Great Britain","2013","Thousand","2928.9"
"Overseas Trips to Ireland","Great Britain","2014","Thousand","3163.9"
"Overseas Trips to Ireland","Great Britain","2015","Thousand","3546.9"
"Overseas Trips to Ireland","Great Britain","2016","Thousand","3924.1"
"Overseas Trips to Ireland","Great Britain","2017","Thousand","3728.9"
"Overseas Trips to Ireland","Great Britain","2018","Thousand","3759"
"Overseas Trips to Ireland","Great Britain","2019","Thousand","3787.7"
"Overseas Trips to Ireland","Africa (11)","2010","Thousand",""
"Overseas Trips to Ireland","Africa (11)","2011","Thousand","38.6"
"Overseas Trips to Ireland","Africa (11)","2012","Thousand","41.1"
"Overseas Trips to Ireland","Africa (11)","2013","Thousand","39"
"Overseas Trips to Ireland","Africa (11)","2014","Thousand","44.7"
"Overseas Trips to Ireland","Africa (11)","2015","Thousand","43.6"
"Overseas Trips to Ireland","Africa (11)","2016","Thousand","49.9"
"Overseas Trips to Ireland","Africa (11)","2017","Thousand","55.3"
"Overseas Trips to Ireland","Africa (11)","2018","Thousand","58.1"
"Overseas Trips to Ireland","Africa (11)","2019","Thousand","63.2"
"Overseas Trips to Ireland","Africa (10)","2010","Thousand","36.3"
"Overseas Trips to Ireland","Africa (10)","2011","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2012","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2013","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2014","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2015","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2016","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2017","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2018","Thousand",""
"Overseas Trips to Ireland","Africa (10)","2019","Thousand",""
"Overseas Trips to Ireland","Asia","2010","Thousand","111"
"Overseas Trips to Ireland","Asia","2011","Thousand","127.5"
"Overseas Trips to Ireland","Asia","2012","Thousand","133"
"Overseas Trips to Ireland","Asia","2013","Thousand","154"
"Overseas Trips to Ireland","Asia","2014","Thousand","174.7"
"Overseas Trips to Ireland","Asia","2015","Thousand","220"
"Overseas Trips to Ireland","Asia","2016","Thousand","230.9"
"Overseas Trips to Ireland","Asia","2017","Thousand","276.3"
"Overseas Trips to Ireland","Asia","2018","Thousand","280.6"
"Overseas Trips to Ireland","Asia","2019","Thousand","306.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2010","Thousand","135.3"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2011","Thousand","141.1"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2012","Thousand","155.7"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2013","Thousand","187.7"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2014","Thousand","190"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2015","Thousand","207.6"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2016","Thousand","204.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2017","Thousand","208.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2018","Thousand","228.5"
"Overseas Trips to Ireland","Australia, New Zealand and Other Oceania","2019","Thousand","224.7"
"Overseas Trips to Ireland","Central, South and Other Americas","2010","Thousand","35.2"
"Overseas Trips to Ireland","Central, South and Other Americas","2011","Thousand","49.5"
"Overseas Trips to Ireland","Central, South and Other Americas","2012","Thousand","48.8"
"Overseas Trips to Ireland","Central, South and Other Americas","2013","Thousand","55.2"
"Overseas Trips to Ireland","Central, South and Other Americas","2014","Thousand","64.5"
"Overseas Trips to Ireland","Central, South and Other Americas","2015","Thousand","67.5"
"Overseas Trips to Ireland","Central, South and Other Americas","2016","Thousand","64.9"
"Overseas Trips to Ireland","Central, South and Other Americas","2017","Thousand","79.2"
"Overseas Trips to Ireland","Central, South and Other Americas","2018","Thousand","93.5"
"Overseas Trips to Ireland","Central, South and Other Americas","2019","Thousand","103.2"
"Overseas Trips to Ireland","Other Europe (30)","2010","Thousand","278.1"
"Overseas Trips to Ireland","Other Europe (30)","2011","Thousand","317.5"
"Overseas Trips to Ireland","Other Europe (30)","2012","Thousand","299.6"
"Overseas Trips to Ireland","Other Europe (30)","2013","Thousand","321.9"
"Overseas Trips to Ireland","Other Europe (30)","2014","Thousand","337.4"
"Overseas Trips to Ireland","Other Europe (30)","2015","Thousand","391.6"
"Overseas Trips to Ireland","Other Europe (30)","2016","Thousand","456.8"
"Overseas Trips to Ireland","Other Europe (30)","2017","Thousand","492"
"Overseas Trips to Ireland","Other Europe (30)","2018","Thousand","573"
"Overseas Trips to Ireland","Other Europe (30)","2019","Thousand","648.3"
