"Statistic Label","Detailed Area of Residence","Quarter","UNIT","VALUE"
"Overseas Trips to Ireland","France","2014Q3","Thousand","149.8"
"Overseas Trips to Ireland","France","2014Q4","Thousand","87.6"
"Overseas Trips to Ireland","France","2015Q1","Thousand","87.5"
"Overseas Trips to Ireland","France","2015Q2","Thousand","159.6"
"Overseas Trips to Ireland","France","2015Q3","Thousand","156.3"
"Overseas Trips to Ireland","France","2015Q4","Thousand","101.2"
"Overseas Trips to Ireland","France","2016Q1","Thousand","97.5"
"Overseas Trips to Ireland","France","2016Q2","Thousand","164.7"
"Overseas Trips to Ireland","France","2016Q3","Thousand","171.1"
"Overseas Trips to Ireland","France","2016Q4","Thousand","98.1"
"Overseas Trips to Ireland","France","2017Q1","Thousand","107.1"
"Overseas Trips to Ireland","France","2017Q2","Thousand","169.2"
"Overseas Trips to Ireland","France","2017Q3","Thousand","163.7"
"Overseas Trips to Ireland","France","2017Q4","Thousand","109.3"
"Overseas Trips to Ireland","France","2018Q1","Thousand","97.5"
"Overseas Trips to Ireland","France","2018Q2","Thousand","177.9"
"Overseas Trips to Ireland","France","2018Q3","Thousand","175.1"
"Overseas Trips to Ireland","France","2018Q4","Thousand","114.4"
"Overseas Trips to Ireland","France","2019Q1","Thousand","117.3"
"Overseas Trips to Ireland","France","2019Q2","Thousand","173"
"Overseas Trips to Ireland","France","2019Q3","Thousand","171.7"
"Overseas Trips to Ireland","France","2019Q4","Thousand","114.7"
"Overseas Trips to Ireland","Italy","2010Q1","Thousand","43.4"
"Overseas Trips to Ireland","Italy","2010Q2","Thousand","39.6"
"Overseas Trips to Ireland","Italy","2010Q3","Thousand","90.7"
"Overseas Trips to Ireland","Italy","2010Q4","Thousand","48.1"
"Overseas Trips to Ireland","Italy","2011Q1","Thousand","38"
"Overseas Trips to Ireland","Italy","2011Q2","Thousand","55.7"
"Overseas Trips to Ireland","Italy","2011Q3","Thousand","83.8"
"Overseas Trips to Ireland","Italy","2011Q4","Thousand","42.7"
"Overseas Trips to Ireland","Italy","2012Q1","Thousand","39.7"
"Overseas Trips to Ireland","Italy","2012Q2","Thousand","67.8"
"Overseas Trips to Ireland","Italy","2012Q3","Thousand","94.3"
"Overseas Trips to Ireland","Italy","2012Q4","Thousand","49.8"
"Overseas Trips to Ireland","Italy","2013Q1","Thousand","38.8"
"Overseas Trips to Ireland","Italy","2013Q2","Thousand","63.2"
"Overseas Trips to Ireland","Italy","2013Q3","Thousand","83.3"
"Overseas Trips to Ireland","Italy","2013Q4","Thousand","48.7"
"Overseas Trips to Ireland","Italy","2014Q1","Thousand","43.9"
"Overseas Trips to Ireland","Italy","2014Q2","Thousand","62.2"
"Overseas Trips to Ireland","Italy","2014Q3","Thousand","97.6"
"Overseas Trips to Ireland","Italy","2014Q4","Thousand","54.1"
"Overseas Trips to Ireland","Italy","2015Q1","Thousand","59.8"
"Overseas Trips to Ireland","Italy","2015Q2","Thousand","80.7"
"Overseas Trips to Ireland","Italy","2015Q3","Thousand","115.9"
"Overseas Trips to Ireland","Italy","2015Q4","Thousand","65.1"
"Overseas Trips to Ireland","Italy","2016Q1","Thousand","61.6"
"Overseas Trips to Ireland","Italy","2016Q2","Thousand","96"
"Overseas Trips to Ireland","Italy","2016Q3","Thousand","129.3"
"Overseas Trips to Ireland","Italy","2016Q4","Thousand","57.6"
"Overseas Trips to Ireland","Italy","2017Q1","Thousand","60.1"
"Overseas Trips to Ireland","Italy","2017Q2","Thousand","97.4"
"Overseas Trips to Ireland","Italy","2017Q3","Thousand","130.1"
"Overseas Trips to Ireland","Italy","2017Q4","Thousand","75.7"
"Overseas Trips to Ireland","Italy","2018Q1","Thousand","71.2"
"Overseas Trips to Ireland","Italy","2018Q2","Thousand","108.4"
"Overseas Trips to Ireland","Italy","2018Q3","Thousand","142.1"
"Overseas Trips to Ireland","Italy","2018Q4","Thousand","87.4"
"Overseas Trips to Ireland","Italy","2019Q1","Thousand","66.9"
"Overseas Trips to Ireland","Italy","2019Q2","Thousand","98.1"
"Overseas Trips to Ireland","Italy","2019Q3","Thousand","148.4"
"Overseas Trips to Ireland","Italy","2019Q4","Thousand","78.9"
"Overseas Trips to Ireland","USA and Canada","2010Q1","Thousand","137.3"
"Overseas Trips to Ireland","USA and Canada","2010Q2","Thousand","264"
"Overseas Trips to Ireland","USA and Canada","2010Q3","Thousand","332.8"
"Overseas Trips to Ireland","USA and Canada","2010Q4","Thousand","201.4"
"Overseas Trips to Ireland","USA and Canada","2011Q1","Thousand","154.7"
"Overseas Trips to Ireland","USA and Canada","2011Q2","Thousand","303.8"
"Overseas Trips to Ireland","USA and Canada","2011Q3","Thousand","352.4"
"Overseas Trips to Ireland","USA and Canada","2011Q4","Thousand","176.2"
"Overseas Trips to Ireland","USA and Canada","2012Q1","Thousand","144.7"
"Overseas Trips to Ireland","USA and Canada","2012Q2","Thousand","305.7"
"Overseas Trips to Ireland","USA and Canada","2012Q3","Thousand","365.2"
"Overseas Trips to Ireland","USA and Canada","2012Q4","Thousand","201.3"
"Overseas Trips to Ireland","USA and Canada","2013Q1","Thousand","168.8"
"Overseas Trips to Ireland","USA and Canada","2013Q2","Thousand","350.8"
"Overseas Trips to Ireland","USA and Canada","2013Q3","Thousand","415"
"Overseas Trips to Ireland","USA and Canada","2013Q4","Thousand","223.5"
"Overseas Trips to Ireland","USA and Canada","2014Q1","Thousand","178.9"
"Overseas Trips to Ireland","USA and Canada","2014Q2","Thousand","395.6"
"Overseas Trips to Ireland","USA and Canada","2014Q3","Thousand","490"
"Overseas Trips to Ireland","USA and Canada","2014Q4","Thousand","264.1"
"Overseas Trips to Ireland","USA and Canada","2015Q1","Thousand","191.2"
"Overseas Trips to Ireland","USA and Canada","2015Q2","Thousand","468.1"
"Overseas Trips to Ireland","USA and Canada","2015Q3","Thousand","550.1"
"Overseas Trips to Ireland","USA and Canada","2015Q4","Thousand","304.8"
"Overseas Trips to Ireland","USA and Canada","2016Q1","Thousand","238.2"
"Overseas Trips to Ireland","USA and Canada","2016Q2","Thousand","520.1"
"Overseas Trips to Ireland","USA and Canada","2016Q3","Thousand","637.5"
"Overseas Trips to Ireland","USA and Canada","2016Q4","Thousand","412.1"
"Overseas Trips to Ireland","USA and Canada","2017Q1","Thousand","293.4"
"Overseas Trips to Ireland","USA and Canada","2017Q2","Thousand","628.9"
"Overseas Trips to Ireland","USA and Canada","2017Q3","Thousand","732.6"
"Overseas Trips to Ireland","USA and Canada","2017Q4","Thousand","446.6"
"Overseas Trips to Ireland","USA and Canada","2018Q1","Thousand","331.6"
"Overseas Trips to Ireland","USA and Canada","2018Q2","Thousand","689.2"
"Overseas Trips to Ireland","USA and Canada","2018Q3","Thousand","847.5"
"Overseas Trips to Ireland","USA and Canada","2018Q4","Thousand","515.5"
"Overseas Trips to Ireland","USA and Canada","2019Q1","Thousand","367.2"
"Overseas Trips to Ireland","USA and Canada","2019Q2","Thousand","746.2"
"Overseas Trips to Ireland","USA and Canada","2019Q3","Thousand","824.6"
"Overseas Trips to Ireland","USA and Canada","2019Q4","Thousand","474.5"
"Overseas Trips to Ireland","Great Britain","2010Q1","Thousand","526.6"
"Overseas Trips to Ireland","Great Britain","2010Q2","Thousand","701.7"
"Overseas Trips to Ireland","Great Britain","2010Q3","Thousand","852.6"
"Overseas Trips to Ireland","Great Britain","2010Q4","Thousand","657.6"
"Overseas Trips to Ireland","Great Britain","2011Q1","Thousand","550.7"
"Overseas Trips to Ireland","Great Britain","2011Q2","Thousand","760.7"
"Overseas Trips to Ireland","Great Britain","2011Q3","Thousand","911.6"
"Overseas Trips to Ireland","Great Britain","2011Q4","Thousand","655.2"
"Overseas Trips to Ireland","Great Britain","2012Q1","Thousand","562.4"
"Overseas Trips to Ireland","Great Britain","2012Q2","Thousand","735.2"
"Overseas Trips to Ireland","Great Britain","2012Q3","Thousand","830.2"
