"Trips","Month","Statistic Label","UNIT","VALUE"
"Overseas Trips to Ireland by Non-Residents","2016M01","Overseas Trips to and from Ireland","Thousand","521"
"Overseas Trips to Ireland by Non-Residents","2016M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","759.5"
"Overseas Trips to Ireland by Non-Residents","2016M02","Overseas Trips to and from Ireland","Thousand","561"
"Overseas Trips to Ireland by Non-Residents","2016M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","785.4"
"Overseas Trips to Ireland by Non-Residents","2016M03","Overseas Trips to and from Ireland","Thousand","702.7"
"Overseas Trips to Ireland by Non-Residents","2016M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","777.6"
"Overseas Trips to Ireland by Non-Residents","2016M04","Overseas Trips to and from Ireland","Thousand","798.8"
"Overseas Trips to Ireland by Non-Residents","2016M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","798.6"
"Overseas Trips to Ireland by Non-Residents","2016M05","Overseas Trips to and from Ireland","Thousand","881.3"
"Overseas Trips to Ireland by Non-Residents","2016M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","768.4"
"Overseas Trips to Ireland by Non-Residents","2016M06","Overseas Trips to and from Ireland","Thousand","918.8"
"Overseas Trips to Ireland by Non-Residents","2016M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","800.7"
"Overseas Trips to Ireland by Non-Residents","2016M07","Overseas Trips to and from Ireland","Thousand","1043.3"
"Overseas Trips to Ireland by Non-Residents","2016M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","817.1"
"Overseas Trips to Ireland by Non-Residents","2016M08","Overseas Trips to and from Ireland","Thousand","1125.9"
"Overseas Trips to Ireland by Non-Residents","2016M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","825.3"
"Overseas Trips to Ireland by Non-Residents","2016M09","Overseas Trips to and from Ireland","Thousand","892.4"
"Overseas Trips to Ireland by Non-Residents","2016M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","805.7"
"Overseas Trips to Ireland by Non-Residents","2016M10","Overseas Trips to and from Ireland","Thousand","832.3"
"Overseas Trips to Ireland by Non-Residents","2016M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","805.2"
"Overseas Trips to Ireland by Non-Residents","2016M11","Overseas Trips to and from Ireland","Thousand","642.2"
"Overseas Trips to Ireland by Non-Residents","2016M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","795.6"
"Overseas Trips to Ireland by Non-Residents","2016M12","Overseas Trips to and from Ireland","Thousand","664.8"
"Overseas Trips to Ireland by Non-Residents","2016M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","807.8"
"Overseas Trips to Ireland by Non-Residents","2017M01","Overseas Trips to and from Ireland","Thousand","564.1"
"Overseas Trips to Ireland by Non-Residents","2017M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","810.5"
"Overseas Trips to Ireland by Non-Residents","2017M02","Overseas Trips to and from Ireland","Thousand","512"
"Overseas Trips to Ireland by Non-Residents","2017M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","792.4"
"Overseas Trips to Ireland by Non-Residents","2017M03","Overseas Trips to and from Ireland","Thousand","720"
"Overseas Trips to Ireland by Non-Residents","2017M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","815.3"
"Overseas Trips to Ireland by Non-Residents","2017M04","Overseas Trips to and from Ireland","Thousand","833.3"
"Overseas Trips to Ireland by Non-Residents","2017M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","813.1"
"Overseas Trips to Ireland by Non-Residents","2017M05","Overseas Trips to and from Ireland","Thousand","943.4"
"Overseas Trips to Ireland by Non-Residents","2017M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","825"
"Overseas Trips to Ireland by Non-Residents","2017M06","Overseas Trips to and from Ireland","Thousand","992.7"
"Overseas Trips to Ireland by Non-Residents","2017M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","854.8"
"Overseas Trips to Ireland by Non-Residents","2017M07","Overseas Trips to and from Ireland","Thousand","1031.5"
"Overseas Trips to Ireland by Non-Residents","2017M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","802.8"
"Overseas Trips to Ireland by Non-Residents","2017M08","Overseas Trips to and from Ireland","Thousand","1117.6"
"Overseas Trips to Ireland by Non-Residents","2017M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","819"
"Overseas Trips to Ireland by Non-Residents","2017M09","Overseas Trips to and from Ireland","Thousand","946.6"
"Overseas Trips to Ireland by Non-Residents","2017M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","864.9"
"Overseas Trips to Ireland by Non-Residents","2017M10","Overseas Trips to and from Ireland","Thousand","870.3"
"Overseas Trips to Ireland by Non-Residents","2017M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","831.6"
"Overseas Trips to Ireland by Non-Residents","2017M11","Overseas Trips to and from Ireland","Thousand","718.2"
"Overseas Trips to Ireland by Non-Residents","2017M11","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","876.5"
"Overseas Trips to Ireland by Non-Residents","2017M12","Overseas Trips to and from Ireland","Thousand","682.4"
"Overseas Trips to Ireland by Non-Residents","2017M12","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","829.3"
"Overseas Trips to Ireland by Non-Residents","2018M01","Overseas Trips to and from Ireland","Thousand","585.5"
"Overseas Trips to Ireland by Non-Residents","2018M01","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","840.3"
"Overseas Trips to Ireland by Non-Residents","2018M02","Overseas Trips to and from Ireland","Thousand","575.3"
"Overseas Trips to Ireland by Non-Residents","2018M02","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","869.2"
"Overseas Trips to Ireland by Non-Residents","2018M03","Overseas Trips to and from Ireland","Thousand","759.8"
"Overseas Trips to Ireland by Non-Residents","2018M03","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","843.8"
"Overseas Trips to Ireland by Non-Residents","2018M04","Overseas Trips to and from Ireland","Thousand","899.9"
"Overseas Trips to Ireland by Non-Residents","2018M04","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","887.8"
"Overseas Trips to Ireland by Non-Residents","2018M05","Overseas Trips to and from Ireland","Thousand","1025.6"
"Overseas Trips to Ireland by Non-Residents","2018M05","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","904"
"Overseas Trips to Ireland by Non-Residents","2018M06","Overseas Trips to and from Ireland","Thousand","1026.4"
"Overseas Trips to Ireland by Non-Residents","2018M06","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","887.6"
"Overseas Trips to Ireland by Non-Residents","2018M07","Overseas Trips to and from Ireland","Thousand","1160.5"
"Overseas Trips to Ireland by Non-Residents","2018M07","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","912.4"
"Overseas Trips to Ireland by Non-Residents","2018M08","Overseas Trips to and from Ireland","Thousand","1202.1"
"Overseas Trips to Ireland by Non-Residents","2018M08","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","901.6"
"Overseas Trips to Ireland by Non-Residents","2018M09","Overseas Trips to and from Ireland","Thousand","968.2"
"Overseas Trips to Ireland by Non-Residents","2018M09","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","895.2"
"Overseas Trips to Ireland by Non-Residents","2018M10","Overseas Trips to and from Ireland","Thousand","933.5"
"Overseas Trips to Ireland by Non-Residents","2018M10","Overseas Trips to and from Ireland (Seasonally Adjusted)","Thousand","895.1"
