"Area of Residence","Month","Statistic Label","UNIT","VALUE"
"USA and Canada","2018M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","191.3"
"USA and Canada","2018M04","Overseas Trips to Ireland","Thousand","178.6"
"USA and Canada","2018M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","201.5"
"USA and Canada","2018M05","Overseas Trips to Ireland","Thousand","234.7"
"USA and Canada","2018M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","189.2"
"USA and Canada","2018M06","Overseas Trips to Ireland","Thousand","275.9"
"USA and Canada","2018M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","184.7"
"USA and Canada","2018M07","Overseas Trips to Ireland","Thousand","299.3"
"USA and Canada","2018M07","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","200.3"
"USA and Canada","2018M08","Overseas Trips to Ireland","Thousand","286.8"
"USA and Canada","2018M08","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","200.6"
"USA and Canada","2018M09","Overseas Trips to Ireland","Thousand","261.4"
"USA and Canada","2018M09","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","203.6"
"USA and Canada","2018M10","Overseas Trips to Ireland","Thousand","228.9"
"USA and Canada","2018M10","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","213.2"
"USA and Canada","2018M11","Overseas Trips to Ireland","Thousand","144.9"
"USA and Canada","2018M11","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","212.2"
"USA and Canada","2018M12","Overseas Trips to Ireland","Thousand","141.7"
"USA and Canada","2018M12","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","215.1"
"USA and Canada","2019M01","Overseas Trips to Ireland","Thousand","105.3"
"USA and Canada","2019M01","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","204"
"USA and Canada","2019M02","Overseas Trips to Ireland","Thousand","86.8"
"USA and Canada","2019M02","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","207.5"
"USA and Canada","2019M03","Overseas Trips to Ireland","Thousand","175.2"
"USA and Canada","2019M03","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","211.7"
"USA and Canada","2019M04","Overseas Trips to Ireland","Thousand","185.2"
"USA and Canada","2019M04","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","207.3"
"USA and Canada","2019M05","Overseas Trips to Ireland","Thousand","260.1"
"USA and Canada","2019M05","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","209.8"
"USA and Canada","2019M06","Overseas Trips to Ireland","Thousand","300.9"
"USA and Canada","2019M06","Overseas Trips to Ireland (Seasonally Adjusted)","Thousand","203"
