"Statistic Label","Trips","Quarter","UNIT","VALUE"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2012Q2","Thousand","1817.3"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2012Q3","Thousand","2096.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2012Q4","Thousand","1438"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2013Q1","Thousand","1251.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2013Q2","Thousand","1893"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2013Q3","Thousand","2261"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2013Q4","Thousand","1580.1"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2014Q1","Thousand","1342.5"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2014Q2","Thousand","2126.6"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2014Q3","Thousand","2440.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2014Q4","Thousand","1694.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2015Q1","Thousand","1531.3"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2015Q2","Thousand","2344.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2015Q3","Thousand","2770.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2015Q4","Thousand","1995.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2016Q1","Thousand","1784.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2016Q2","Thousand","2598.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2016Q3","Thousand","3061.5"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2016Q4","Thousand","2139.2"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2017Q1","Thousand","1796.1"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2017Q2","Thousand","2769.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2017Q3","Thousand","3095.6"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2017Q4","Thousand","2270.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2018Q1","Thousand","1920.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2018Q2","Thousand","2951.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2018Q3","Thousand","3330.9"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2018Q4","Thousand","2412.8"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2019Q1","Thousand","2026.7"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2019Q2","Thousand","3021.8"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2019Q3","Thousand","3334.4"
"Overseas Trips to and from Ireland","Overseas Trips to Ireland by Non-Residents","2019Q4","Thousand","2424.6"
