"STATISTIC Label","Month","Direction","Route","UNIT","VALUE"
"Air and Sea Travel","2011 June","Departures","Transatlantic","Thousand","103.8"
"Air and Sea Travel","2011 June","Departures","Other","Thousand","26.4"
"Air and Sea Travel","2011 July","Arrivals","All routes of travel","Thousand","1523.2"
"Air and Sea Travel","2011 July","Arrivals","Cross channel","Thousand","668.5"
"Air and Sea Travel","2011 July","Arrivals","Continental Europe","Thousand","713.5"
"Air and Sea Travel","2011 July","Arrivals","Transatlantic","Thousand","110.3"
"Air and Sea Travel","2011 July","Arrivals","Other","Thousand","30.9"
"Air and Sea Travel","2011 July","Departures","All routes of travel","Thousand","1486"
"Air and Sea Travel","2011 July","Departures","Cross channel","Thousand","629.7"
"Air and Sea Travel","2011 July","Departures","Continental Europe","Thousand","703.2"
"Air and Sea Travel","2011 July","Departures","Transatlantic","Thousand","120.9"
"Air and Sea Travel","2011 July","Departures","Other","Thousand","32.2"
"Air and Sea Travel","2011 August","Arrivals","All routes of travel","Thousand","1534.9"
"Air and Sea Travel","2011 August","Arrivals","Cross channel","Thousand","700.6"
"Air and Sea Travel","2011 August","Arrivals","Continental Europe","Thousand","692.3"
"Air and Sea Travel","2011 August","Arrivals","Transatlantic","Thousand","111.3"
"Air and Sea Travel","2011 August","Arrivals","Other","Thousand","30.6"
"Air and Sea Travel","2011 August","Departures","All routes of travel","Thousand","1493.3"
"Air and Sea Travel","2011 August","Departures","Cross channel","Thousand","694.2"
"Air and Sea Travel","2011 August","Departures","Continental Europe","Thousand","655.9"
"Air and Sea Travel","2011 August","Departures","Transatlantic","Thousand","114.5"
"Air and Sea Travel","2011 August","Departures","Other","Thousand","28.7"
"Air and Sea Travel","2011 September","Arrivals","All routes of travel","Thousand","1196.8"
"Air and Sea Travel","2011 September","Arrivals","Cross channel","Thousand","499.1"
"Air and Sea Travel","2011 September","Arrivals","Continental Europe","Thousand","569.1"
"Air and Sea Travel","2011 September","Arrivals","Transatlantic","Thousand","101.1"
"Air and Sea Travel","2011 September","Arrivals","Other","Thousand","27.5"
"Air and Sea Travel","2011 September","Departures","All routes of travel","Thousand","1204.4"
"Air and Sea Travel","2011 September","Departures","Cross channel","Thousand","533.3"
"Air and Sea Travel","2011 September","Departures","Continental Europe","Thousand","545.4"
"Air and Sea Travel","2011 September","Departures","Transatlantic","Thousand","100.5"
"Air and Sea Travel","2011 September","Departures","Other","Thousand","25.2"
"Air and Sea Travel","2011 October","Arrivals","All routes of travel","Thousand","1060.7"
"Air and Sea Travel","2011 October","Arrivals","Cross channel","Thousand","485"
"Air and Sea Travel","2011 October","Arrivals","Continental Europe","Thousand","484.7"
"Air and Sea Travel","2011 October","Arrivals","Transatlantic","Thousand","72.9"
"Air and Sea Travel","2011 October","Arrivals","Other","Thousand","18.1"
"Air and Sea Travel","2011 October","Departures","All routes of travel","Thousand","1074.5"
"Air and Sea Travel","2011 October","Departures","Cross channel","Thousand","506.9"
"Air and Sea Travel","2011 October","Departures","Continental Europe","Thousand","463.6"
"Air and Sea Travel","2011 October","Departures","Transatlantic","Thousand","84.6"
"Air and Sea Travel","2011 October","Departures","Other","Thousand","19.4"
"Air and Sea Travel","2011 November","Arrivals","All routes of travel","Thousand","845.9"
"Air and Sea Travel","2011 November","Arrivals","Cross channel","Thousand","438.9"
"Air and Sea Travel","2011 November","Arrivals","Continental Europe","Thousand","330.6"
"Air and Sea Travel","2011 November","Arrivals","Transatlantic","Thousand","62.3"
"Air and Sea Travel","2011 November","Arrivals","Other","Thousand","14"
"Air and Sea Travel","2011 November","Departures","All routes of travel","Thousand","830.6"
"Air and Sea Travel","2011 November","Departures","Cross channel","Thousand","436.1"
"Air and Sea Travel","2011 November","Departures","Continental Europe","Thousand","319.3"
"Air and Sea Travel","2011 November","Departures","Transatlantic","Thousand","62.7"
"Air and Sea Travel","2011 November","Departures","Other","Thousand","12.6"
"Air and Sea Travel","2011 December","Arrivals","All routes of travel","Thousand","838.6"
"Air and Sea Travel","2011 December","Arrivals","Cross channel","Thousand","465"
"Air and Sea Travel","2011 December","Arrivals","Continental Europe","Thousand","302.7"
"Air and Sea Travel","2011 December","Arrivals","Transatlantic","Thousand","57.7"
"Air and Sea Travel","2011 December","Arrivals","Other","Thousand","13.2"
"Air and Sea Travel","2011 December","Departures","All routes of travel","Thousand","821.6"
"Air and Sea Travel","2011 December","Departures","Cross channel","Thousand","415.7"
"Air and Sea Travel","2011 December","Departures","Continental Europe","Thousand","335.7"
"Air and Sea Travel","2011 December","Departures","Transatlantic","Thousand","54.7"
"Air and Sea Travel","2011 December","Departures","Other","Thousand","15.4"
"Air and Sea Travel","2012 January","Arrivals","All routes of travel","Thousand","725.8"
"Air and Sea Travel","2012 January","Arrivals","Cross channel","Thousand","346.4"
"Air and Sea Travel","2012 January","Arrivals","Continental Europe","Thousand","317.2"
"Air and Sea Travel","2012 January","Arrivals","Transatlantic","Thousand","44.7"
"Air and Sea Travel","2012 January","Arrivals","Other","Thousand","17.6"
"Air and Sea Travel","2012 January","Departures","All routes of travel","Thousand","760.9"
"Air and Sea Travel","2012 January","Departures","Cross channel","Thousand","402.4"
"Air and Sea Travel","2012 January","Departures","Continental Europe","Thousand","293.5"
"Air and Sea Travel","2012 January","Departures","Transatlantic","Thousand","44.7"
"Air and Sea Travel","2012 January","Departures","Other","Thousand","20.2"
