"STATISTIC Label","Month","Direction","Mode","UNIT","VALUE"
"Air and Sea Travel","2012 October","Arrivals","Air","Thousand","1035.1"
"Air and Sea Travel","2012 October","Arrivals","Sea","Thousand","86.8"
"Air and Sea Travel","2012 October","Departures","All modes of transport","Thousand","1126"
"Air and Sea Travel","2012 October","Departures","Air","Thousand","1041.3"
"Air and Sea Travel","2012 October","Departures","Sea","Thousand","84.7"
"Air and Sea Travel","2012 November","Arrivals","All modes of transport","Thousand","868.8"
"Air and Sea Travel","2012 November","Arrivals","Air","Thousand","812.4"
"Air and Sea Travel","2012 November","Arrivals","Sea","Thousand","56.4"
"Air and Sea Travel","2012 November","Departures","All modes of transport","Thousand","865.3"
"Air and Sea Travel","2012 November","Departures","Air","Thousand","804.1"
"Air and Sea Travel","2012 November","Departures","Sea","Thousand","61.1"
"Air and Sea Travel","2012 December","Arrivals","All modes of transport","Thousand","883.1"
"Air and Sea Travel","2012 December","Arrivals","Air","Thousand","795.5"
"Air and Sea Travel","2012 December","Arrivals","Sea","Thousand","87.6"
"Air and Sea Travel","2012 December","Departures","All modes of transport","Thousand","847"
"Air and Sea Travel","2012 December","Departures","Air","Thousand","782.4"
"Air and Sea Travel","2012 December","Departures","Sea","Thousand","64.6"
"Air and Sea Travel","2013 January","Arrivals","All modes of transport","Thousand","725.5"
"Air and Sea Travel","2013 January","Arrivals","Air","Thousand","684.4"
"Air and Sea Travel","2013 January","Arrivals","Sea","Thousand","41"
"Air and Sea Travel","2013 January","Departures","All modes of transport","Thousand","770.4"
"Air and Sea Travel","2013 January","Departures","Air","Thousand","709.5"
"Air and Sea Travel","2013 January","Departures","Sea","Thousand","60.9"
"Air and Sea Travel","2013 February","Arrivals","All modes of transport","Thousand","753.5"
"Air and Sea Travel","2013 February","Arrivals","Air","Thousand","704.6"
"Air and Sea Travel","2013 February","Arrivals","Sea","Thousand","49"
"Air and Sea Travel","2013 February","Departures","All modes of transport","Thousand","745.3"
"Air and Sea Travel","2013 February","Departures","Air","Thousand","698.7"
"Air and Sea Travel","2013 February","Departures","Sea","Thousand","46.6"
"Air and Sea Travel","2013 March","Arrivals","All modes of transport","Thousand","1016.4"
"Air and Sea Travel","2013 March","Arrivals","Air","Thousand","923.2"
"Air and Sea Travel","2013 March","Arrivals","Sea","Thousand","93.2"
"Air and Sea Travel","2013 March","Departures","All modes of transport","Thousand","1018.6"
"Air and Sea Travel","2013 March","Departures","Air","Thousand","937.3"
"Air and Sea Travel","2013 March","Departures","Sea","Thousand","81.3"
"Air and Sea Travel","2013 April","Arrivals","All modes of transport","Thousand","1095.3"
"Air and Sea Travel","2013 April","Arrivals","Air","Thousand","996.5"
"Air and Sea Travel","2013 April","Arrivals","Sea","Thousand","98.8"
"Air and Sea Travel","2013 April","Departures","All modes of transport","Thousand","1076.1"
"Air and Sea Travel","2013 April","Departures","Air","Thousand","972.3"
"Air and Sea Travel","2013 April","Departures","Sea","Thousand","103.7"
"Air and Sea Travel","2013 May","Arrivals","All modes of transport","Thousand","1236.6"
"Air and Sea Travel","2013 May","Arrivals","Air","Thousand","1112.9"
"Air and Sea Travel","2013 May","Arrivals","Sea","Thousand","123.7"
"Air and Sea Travel","2013 May","Departures","All modes of transport","Thousand","1277.7"
"Air and Sea Travel","2013 May","Departures","Air","Thousand","1160.2"
"Air and Sea Travel","2013 May","Departures","Sea","Thousand","117.5"
"Air and Sea Travel","2013 June","Arrivals","All modes of transport","Thousand","1320.3"
"Air and Sea Travel","2013 June","Arrivals","Air","Thousand","1194.4"
"Air and Sea Travel","2013 June","Arrivals","Sea","Thousand","125.9"
"Air and Sea Travel","2013 June","Departures","All modes of transport","Thousand","1450.7"
"Air and Sea Travel","2013 June","Departures","Air","Thousand","1292.1"
"Air and Sea Travel","2013 June","Departures","Sea","Thousand","158.5"
"Air and Sea Travel","2013 July","Arrivals","All modes of transport","Thousand","1589.3"
"Air and Sea Travel","2013 July","Arrivals","Air","Thousand","1374.9"
"Air and Sea Travel","2013 July","Arrivals","Sea","Thousand","214.5"
"Air and Sea Travel","2013 July","Departures","All modes of transport","Thousand","1525.1"
"Air and Sea Travel","2013 July","Departures","Air","Thousand","1336.7"
"Air and Sea Travel","2013 July","Departures","Sea","Thousand","188.3"
"Air and Sea Travel","2013 August","Arrivals","All modes of transport","Thousand","1619.1"
"Air and Sea Travel","2013 August","Arrivals","Air","Thousand","1366.9"
"Air and Sea Travel","2013 August","Arrivals","Sea","Thousand","252.2"
"Air and Sea Travel","2013 August","Departures","All modes of transport","Thousand","1562.7"
"Air and Sea Travel","2013 August","Departures","Air","Thousand","1314.3"
"Air and Sea Travel","2013 August","Departures","Sea","Thousand","248.4"
"Air and Sea Travel","2013 September","Arrivals","All modes of transport","Thousand","1276.5"
"Air and Sea Travel","2013 September","Arrivals","Air","Thousand","1156.5"
"Air and Sea Travel","2013 September","Arrivals","Sea","Thousand","119.9"
"Air and Sea Travel","2013 September","Departures","All modes of transport","Thousand","1269.4"
"Air and Sea Travel","2013 September","Departures","Air","Thousand","1144.2"
"Air and Sea Travel","2013 September","Departures","Sea","Thousand","125.2"
"Air and Sea Travel","2013 October","Arrivals","All modes of transport","Thousand","1166.9"
"Air and Sea Travel","2013 October","Arrivals","Air","Thousand","1082.6"
"Air and Sea Travel","2013 October","Arrivals","Sea","Thousand","84.3"
"Air and Sea Travel","2013 October","Departures","All modes of transport","Thousand","1167"
"Air and Sea Travel","2013 October","Departures","Air","Thousand","1079.9"
"Air and Sea Travel","2013 October","Departures","Sea","Thousand","87.2"
"Air and Sea Travel","2013 November","Arrivals","All modes of transport","Thousand","897.9"
"Air and Sea Travel","2013 November","Arrivals","Air","Thousand","844.9"
"Air and Sea Travel","2013 November","Arrivals","Sea","Thousand","53"
"Air and Sea Travel","2013 November","Departures","All modes of transport","Thousand","894.4"
"Air and Sea Travel","2013 November","Departures","Air","Thousand","836.5"
"Air and Sea Travel","2013 November","Departures","Sea","Thousand","57.9"
"Air and Sea Travel","2013 December","Arrivals","All modes of transport","Thousand","935.7"
"Air and Sea Travel","2013 December","Arrivals","Air","Thousand","846"
"Air and Sea Travel","2013 December","Arrivals","Sea","Thousand","89.7"
"Air and Sea Travel","2013 December","Departures","All modes of transport","Thousand","897.8"
"Air and Sea Travel","2013 December","Departures","Air","Thousand","832.7"
"Air and Sea Travel","2013 December","Departures","Sea","Thousand","65.1"
"Air and Sea Travel","2014 January","Arrivals","All modes of transport","Thousand","778.9"
"Air and Sea Travel","2014 January","Arrivals","Air","Thousand","738.5"
"Air and Sea Travel","2014 January","Arrivals","Sea","Thousand","40.4"
"Air and Sea Travel","2014 January","Departures","All modes of transport","Thousand","825.4"
"Air and Sea Travel","2014 January","Departures","Air","Thousand","764.7"
"Air and Sea Travel","2014 January","Departures","Sea","Thousand","60.7"
"Air and Sea Travel","2014 February","Arrivals","All modes of transport","Thousand","800.1"
"Air and Sea Travel","2014 February","Arrivals","Air","Thousand","749.5"
"Air and Sea Travel","2014 February","Arrivals","Sea","Thousand","50.6"
"Air and Sea Travel","2014 February","Departures","All modes of transport","Thousand","790.3"
"Air and Sea Travel","2014 February","Departures","Air","Thousand","742.8"
"Air and Sea Travel","2014 February","Departures","Sea","Thousand","47.5"
"Air and Sea Travel","2014 March","Arrivals","All modes of transport","Thousand","972.8"
"Air and Sea Travel","2014 March","Arrivals","Air","Thousand","905.4"
"Air and Sea Travel","2014 March","Arrivals","Sea","Thousand","67.5"
"Air and Sea Travel","2014 March","Departures","All modes of transport","Thousand","958"
"Air and Sea Travel","2014 March","Departures","Air","Thousand","892.5"
"Air and Sea Travel","2014 March","Departures","Sea","Thousand","65.5"
"Air and Sea Travel","2014 April","Arrivals","All modes of transport","Thousand","1231"
"Air and Sea Travel","2014 April","Arrivals","Air","Thousand","1105.8"
"Air and Sea Travel","2014 April","Arrivals","Sea","Thousand","125.2"
"Air and Sea Travel","2014 April","Departures","All modes of transport","Thousand","1232.8"
"Air and Sea Travel","2014 April","Departures","Air","Thousand","1112.7"
"Air and Sea Travel","2014 April","Departures","Sea","Thousand","120.1"
"Air and Sea Travel","2014 May","Arrivals","All modes of transport","Thousand","1310.8"
"Air and Sea Travel","2014 May","Arrivals","Air","Thousand","1188.2"
"Air and Sea Travel","2014 May","Arrivals","Sea","Thousand","122.5"
"Air and Sea Travel","2014 May","Departures","All modes of transport","Thousand","1349.4"
"Air and Sea Travel","2014 May","Departures","Air","Thousand","1223.8"
"Air and Sea Travel","2014 May","Departures","Sea","Thousand","125.6"
"Air and Sea Travel","2014 June","Arrivals","All modes of transport","Thousand","1398.2"
"Air and Sea Travel","2014 June","Arrivals","Air","Thousand","1268.6"
"Air and Sea Travel","2014 June","Arrivals","Sea","Thousand","129.7"
"Air and Sea Travel","2014 June","Departures","All modes of transport","Thousand","1527"
"Air and Sea Travel","2014 June","Departures","Air","Thousand","1361.8"
"Air and Sea Travel","2014 June","Departures","Sea","Thousand","165.1"
"Air and Sea Travel","2014 July","Arrivals","All modes of transport","Thousand","1692.4"
"Air and Sea Travel","2014 July","Arrivals","Air","Thousand","1451"
