"STATISTIC Label","Year","Country","Direction","UNIT","VALUE"
"Air and Sea Travel","2012","Lithuania","Arrivals","Thousand","98.4"
"Air and Sea Travel","2012","Lithuania","Departures","Thousand","97.2"
"Air and Sea Travel","2012","Luxembourg","Arrivals","Thousand","0.1"
"Air and Sea Travel","2012","Luxembourg","Departures","Thousand","0.1"
"Air and Sea Travel","2012","Latvia","Arrivals","Thousand","57.5"
"Air and Sea Travel","2012","Latvia","Departures","Thousand","59.1"
"Air and Sea Travel","2012","Malta","Arrivals","Thousand","28.6"
"Air and Sea Travel","2012","Malta","Departures","Thousand","28.8"
"Air and Sea Travel","2012","Netherlands","Arrivals","Thousand","376.5"
"Air and Sea Travel","2012","Netherlands","Departures","Thousand","382.3"
"Air and Sea Travel","2012","Norway","Arrivals","Thousand","69.1"
"Air and Sea Travel","2012","Norway","Departures","Thousand","70.5"
"Air and Sea Travel","2012","Poland","Arrivals","Thousand","466.2"
"Air and Sea Travel","2012","Poland","Departures","Thousand","464.8"
"Air and Sea Travel","2012","Portugal","Arrivals","Thousand","309"
"Air and Sea Travel","2012","Portugal","Departures","Thousand","307"
"Air and Sea Travel","2012","Qatar","Arrivals","Thousand","0"
"Air and Sea Travel","2012","Qatar","Departures","Thousand","0"
"Air and Sea Travel","2012","Romania","Arrivals","Thousand","36.7"
"Air and Sea Travel","2012","Romania","Departures","Thousand","35.1"
"Air and Sea Travel","2012","Sweden","Arrivals","Thousand","71.9"
"Air and Sea Travel","2012","Sweden","Departures","Thousand","72.1"
"Air and Sea Travel","2012","Slovenia","Arrivals","Thousand","0"
"Air and Sea Travel","2012","Slovenia","Departures","Thousand","0"
"Air and Sea Travel","2012","Slovakia","Arrivals","Thousand","47.7"
"Air and Sea Travel","2012","Slovakia","Departures","Thousand","46.4"
"Air and Sea Travel","2012","Turkey","Arrivals","Thousand","98.3"
"Air and Sea Travel","2012","Turkey","Departures","Thousand","97.9"
"Air and Sea Travel","2012","United States","Arrivals","Thousand","898.6"
"Air and Sea Travel","2012","United States","Departures","Thousand","915.3"
"Air and Sea Travel","2012","Great Britain","Arrivals","Thousand","5904.4"
"Air and Sea Travel","2012","Great Britain","Departures","Thousand","5920.5"
"Air and Sea Travel","2012","Other Europe (33)","Arrivals","Thousand","3.7"
"Air and Sea Travel","2012","Other Europe (33)","Departures","Thousand","4"
