"Method of Booking","Domestic or Outbound","Year","Statistic Label","UNIT","VALUE"
"No pre-booking","Domestic","2006","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"No pre-booking","Domestic","2007","Number of Trips by Irish Residents","Thousand","3557"
"No pre-booking","Domestic","2007","Number of Nights by Irish Residents","Thousand","13087"
"No pre-booking","Domestic","2007","Average Length of Stay by Irish Residents","Nights per Trip","3.7"
"No pre-booking","Domestic","2008","Number of Trips by Irish Residents","Thousand","3844"
"No pre-booking","Domestic","2008","Number of Nights by Irish Residents","Thousand","13594"
"No pre-booking","Domestic","2008","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"No pre-booking","Domestic","2009","Number of Trips by Irish Residents","Thousand","3794"
"No pre-booking","Domestic","2009","Number of Nights by Irish Residents","Thousand","13119"
"No pre-booking","Domestic","2009","Average Length of Stay by Irish Residents","Nights per Trip","3.5"
"No pre-booking","Outbound","2003","Number of Trips by Irish Residents","Thousand",""
"No pre-booking","Outbound","2003","Number of Nights by Irish Residents","Thousand",""
"No pre-booking","Outbound","2003","Average Length of Stay by Irish Residents","Nights per Trip",""
"No pre-booking","Outbound","2004","Number of Trips by Irish Residents","Thousand",""
"No pre-booking","Outbound","2004","Number of Nights by Irish Residents","Thousand",""
"No pre-booking","Outbound","2004","Average Length of Stay by Irish Residents","Nights per Trip",""
"No pre-booking","Outbound","2005","Number of Trips by Irish Residents","Thousand","3094"
"No pre-booking","Outbound","2005","Number of Nights by Irish Residents","Thousand","26548"
"No pre-booking","Outbound","2005","Average Length of Stay by Irish Residents","Nights per Trip","8.6"
"No pre-booking","Outbound","2006","Number of Trips by Irish Residents","Thousand","271"
"No pre-booking","Outbound","2006","Number of Nights by Irish Residents","Thousand","1478"
"No pre-booking","Outbound","2006","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"No pre-booking","Outbound","2007","Number of Trips by Irish Residents","Thousand","231"
"No pre-booking","Outbound","2007","Number of Nights by Irish Residents","Thousand","1271"
"No pre-booking","Outbound","2007","Average Length of Stay by Irish Residents","Nights per Trip","5.5"
"No pre-booking","Outbound","2008","Number of Trips by Irish Residents","Thousand","252"
"No pre-booking","Outbound","2008","Number of Nights by Irish Residents","Thousand","1403"
"No pre-booking","Outbound","2008","Average Length of Stay by Irish Residents","Nights per Trip","5.6"
"No pre-booking","Outbound","2009","Number of Trips by Irish Residents","Thousand","311"
"No pre-booking","Outbound","2009","Number of Nights by Irish Residents","Thousand","1581"
"No pre-booking","Outbound","2009","Average Length of Stay by Irish Residents","Nights per Trip","5.1"
"Employer","Domestic","2003","Number of Trips by Irish Residents","Thousand","314"
