"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"Southern and Eastern","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","3788"
"Southern and Eastern","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","12988"
"Southern and Eastern","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Southern and Eastern","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","3988"
"Southern and Eastern","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","13697"
"Southern and Eastern","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Southern and Eastern","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","4391"
"Southern and Eastern","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","15346"
"Southern and Eastern","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"Southern and Eastern","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","4648"
"Southern and Eastern","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","14987"
"Southern and Eastern","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"Southern and Eastern","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","4485"
"Southern and Eastern","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","14302"
"Southern and Eastern","Southern and Eastern","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.2"
"Southern and Eastern","Dublin","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Dublin","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Dublin","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","Mid-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","Mid-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-East","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-East","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Southern and Eastern","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Southern and Eastern","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","296"
"Dublin","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1164"
"Dublin","Border","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.9"
"Dublin","Border","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","280"
"Dublin","Border","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","1053"
"Dublin","Border","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.8"
"Dublin","Border","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","290"
"Dublin","Border","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","1174"
"Dublin","Border","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"Dublin","Border","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","267"
"Dublin","Border","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","939"
"Dublin","Border","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.5"
"Dublin","Border","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Border","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Border","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Midland","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","116"
"Dublin","Midland","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","294"
"Dublin","Midland","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.5"
"Dublin","Midland","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","129"
"Dublin","Midland","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","271"
"Dublin","Midland","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.1"
"Dublin","Midland","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","110"
"Dublin","Midland","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","281"
"Dublin","Midland","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Dublin","Midland","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","112"
"Dublin","Midland","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","290"
"Dublin","Midland","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.6"
"Dublin","Midland","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Midland","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Midland","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Midland","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","West","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand","429"
"Dublin","West","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand","1754"
"Dublin","West","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4.1"
"Dublin","West","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand","398"
"Dublin","West","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand","1461"
"Dublin","West","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.7"
"Dublin","West","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","396"
"Dublin","West","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","1417"
"Dublin","West","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.6"
"Dublin","West","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","417"
"Dublin","West","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","1655"
"Dublin","West","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","4"
"Dublin","West","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","West","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Dublin","Southern and Eastern","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Dublin","Southern and Eastern","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
