"Region of Residence","Region Visited","Year","Statistic Label","UNIT","VALUE"
"State","South-West","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-West","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"State","South-West","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"State","South-West","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"State","South-West","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border, Midland and Western","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border, Midland and Western","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border, Midland and Western","2003","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border, Midland and Western","2004","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border, Midland and Western","2004","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border, Midland and Western","2004","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip",""
"Border, Midland and Western","Border, Midland and Western","2005","Number of Trips by Irish Residents on Domestic Travel","Thousand","774"
"Border, Midland and Western","Border, Midland and Western","2005","Number of Nights by Irish Residents on Domestic Travel","Thousand","2659"
"Border, Midland and Western","Border, Midland and Western","2005","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","3.4"
"Border, Midland and Western","Border, Midland and Western","2006","Number of Trips by Irish Residents on Domestic Travel","Thousand","793"
"Border, Midland and Western","Border, Midland and Western","2006","Number of Nights by Irish Residents on Domestic Travel","Thousand","2271"
"Border, Midland and Western","Border, Midland and Western","2006","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.9"
"Border, Midland and Western","Border, Midland and Western","2007","Number of Trips by Irish Residents on Domestic Travel","Thousand","793"
"Border, Midland and Western","Border, Midland and Western","2007","Number of Nights by Irish Residents on Domestic Travel","Thousand","2248"
"Border, Midland and Western","Border, Midland and Western","2007","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Border, Midland and Western","Border, Midland and Western","2008","Number of Trips by Irish Residents on Domestic Travel","Thousand","811"
"Border, Midland and Western","Border, Midland and Western","2008","Number of Nights by Irish Residents on Domestic Travel","Thousand","2228"
"Border, Midland and Western","Border, Midland and Western","2008","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.7"
"Border, Midland and Western","Border, Midland and Western","2009","Number of Trips by Irish Residents on Domestic Travel","Thousand","855"
"Border, Midland and Western","Border, Midland and Western","2009","Number of Nights by Irish Residents on Domestic Travel","Thousand","2416"
"Border, Midland and Western","Border, Midland and Western","2009","Average Length of Stay by Irish Residents on Domestic Travel","Nights per Trip","2.8"
"Border, Midland and Western","Border","2003","Number of Trips by Irish Residents on Domestic Travel","Thousand",""
"Border, Midland and Western","Border","2003","Number of Nights by Irish Residents on Domestic Travel","Thousand",""
