"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2020","Guest house/bed &breakfast","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Hotel/conference centre","Domestic","Thousand","5427"
"Number of Nights by Irish Residents","2020","Hotel/conference centre","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Self catering/rented house","Domestic","Thousand","4531"
"Number of Nights by Irish Residents","2020","Self catering/rented house","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Other","Domestic","Thousand","1643"
"Number of Nights by Irish Residents","2020","Other","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","All types of accommodation","Domestic","Thousand","17886"
"Number of Nights by Irish Residents","2021","All types of accommodation","Outbound","Thousand","17443"
"Number of Nights by Irish Residents","2021","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","Friends/relatives","Domestic","Thousand","6464"
"Number of Nights by Irish Residents","2021","Friends/relatives","Outbound","Thousand","7694"
"Number of Nights by Irish Residents","2021","Own holiday home","Domestic","Thousand","1259"
"Number of Nights by Irish Residents","2021","Own holiday home","Outbound","Thousand","1019"
"Number of Nights by Irish Residents","2021","Guest house/bed &breakfast","Domestic","Thousand","641"
"Number of Nights by Irish Residents","2021","Guest house/bed &breakfast","Outbound","Thousand","468"
"Number of Nights by Irish Residents","2021","Hotel/conference centre","Domestic","Thousand","4094"
"Number of Nights by Irish Residents","2021","Hotel/conference centre","Outbound","Thousand","4836"
"Number of Nights by Irish Residents","2021","Self catering/rented house","Domestic","Thousand","3667"
"Number of Nights by Irish Residents","2021","Self catering/rented house","Outbound","Thousand","2566"
"Number of Nights by Irish Residents","2021","Other","Domestic","Thousand","1761"
"Number of Nights by Irish Residents","2021","Other","Outbound","Thousand","860"
"Number of Nights by Irish Residents","2022","All types of accommodation","Domestic","Thousand","34236"
"Number of Nights by Irish Residents","2022","All types of accommodation","Outbound","Thousand","61205"
"Number of Nights by Irish Residents","2022","Caravan/camping","Domestic","Thousand",""
"Number of Nights by Irish Residents","2022","Caravan/camping","Outbound","Thousand",""
"Number of Nights by Irish Residents","2022","Friends/relatives","Domestic","Thousand","11600"
"Number of Nights by Irish Residents","2022","Friends/relatives","Outbound","Thousand","16194"
"Number of Nights by Irish Residents","2022","Own holiday home","Domestic","Thousand","3203"
"Number of Nights by Irish Residents","2022","Own holiday home","Outbound","Thousand","4954"
"Number of Nights by Irish Residents","2022","Guest house/bed &breakfast","Domestic","Thousand","1680"
"Number of Nights by Irish Residents","2022","Guest house/bed &breakfast","Outbound","Thousand","2352"
"Number of Nights by Irish Residents","2022","Hotel/conference centre","Domestic","Thousand","8313"
"Number of Nights by Irish Residents","2022","Hotel/conference centre","Outbound","Thousand","20717"
"Number of Nights by Irish Residents","2022","Self catering/rented house","Domestic","Thousand","6234"
"Number of Nights by Irish Residents","2022","Self catering/rented house","Outbound","Thousand","11870"
"Number of Nights by Irish Residents","2022","Other","Domestic","Thousand","3205"
"Number of Nights by Irish Residents","2022","Other","Outbound","Thousand","5118"
"Average Length of Stay by Irish Residents","2000","All types of accommodation","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2000","All types of accommodation","Outbound","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2000","Caravan/camping","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2000","Caravan/camping","Outbound","Nights per Trip","14.7"
"Average Length of Stay by Irish Residents","2000","Friends/relatives","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2000","Friends/relatives","Outbound","Nights per Trip","9.2"
"Average Length of Stay by Irish Residents","2000","Own holiday home","Domestic","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2000","Own holiday home","Outbound","Nights per Trip","17.2"
"Average Length of Stay by Irish Residents","2000","Guest house/bed &breakfast","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2000","Guest house/bed &breakfast","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2000","Hotel/conference centre","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2000","Hotel/conference centre","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2000","Self catering/rented house","Domestic","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2000","Self catering/rented house","Outbound","Nights per Trip","13.1"
"Average Length of Stay by Irish Residents","2000","Other","Domestic","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2000","Other","Outbound","Nights per Trip","14.7"
"Average Length of Stay by Irish Residents","2001","All types of accommodation","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2001","All types of accommodation","Outbound","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2001","Caravan/camping","Domestic","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2001","Caravan/camping","Outbound","Nights per Trip","15.3"
"Average Length of Stay by Irish Residents","2001","Friends/relatives","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2001","Friends/relatives","Outbound","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2001","Own holiday home","Domestic","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2001","Own holiday home","Outbound","Nights per Trip","13.6"
"Average Length of Stay by Irish Residents","2001","Guest house/bed &breakfast","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2001","Guest house/bed &breakfast","Outbound","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2001","Hotel/conference centre","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2001","Hotel/conference centre","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2001","Self catering/rented house","Domestic","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2001","Self catering/rented house","Outbound","Nights per Trip","12.5"
"Average Length of Stay by Irish Residents","2001","Other","Domestic","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2001","Other","Outbound","Nights per Trip","15.6"
"Average Length of Stay by Irish Residents","2002","All types of accommodation","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2002","All types of accommodation","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2002","Caravan/camping","Domestic","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2002","Caravan/camping","Outbound","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents","2002","Friends/relatives","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2002","Friends/relatives","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2002","Own holiday home","Domestic","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2002","Own holiday home","Outbound","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2002","Guest house/bed &breakfast","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2002","Guest house/bed &breakfast","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2002","Hotel/conference centre","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2002","Hotel/conference centre","Outbound","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2002","Self catering/rented house","Domestic","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2002","Self catering/rented house","Outbound","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2002","Other","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2002","Other","Outbound","Nights per Trip","13.3"
"Average Length of Stay by Irish Residents","2003","All types of accommodation","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2003","All types of accommodation","Outbound","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2003","Caravan/camping","Domestic","Nights per Trip","6.7"
"Average Length of Stay by Irish Residents","2003","Caravan/camping","Outbound","Nights per Trip","13.6"
"Average Length of Stay by Irish Residents","2003","Friends/relatives","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2003","Friends/relatives","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2003","Own holiday home","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2003","Own holiday home","Outbound","Nights per Trip","14.2"
"Average Length of Stay by Irish Residents","2003","Guest house/bed &breakfast","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2003","Guest house/bed &breakfast","Outbound","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2003","Hotel/conference centre","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2003","Hotel/conference centre","Outbound","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2003","Self catering/rented house","Domestic","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2003","Self catering/rented house","Outbound","Nights per Trip","12.3"
"Average Length of Stay by Irish Residents","2003","Other","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2003","Other","Outbound","Nights per Trip","12.4"
"Average Length of Stay by Irish Residents","2004","All types of accommodation","Domestic","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2004","All types of accommodation","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2004","Caravan/camping","Domestic","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2004","Caravan/camping","Outbound","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents","2004","Friends/relatives","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2004","Friends/relatives","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2004","Own holiday home","Domestic","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2004","Own holiday home","Outbound","Nights per Trip","14.2"
"Average Length of Stay by Irish Residents","2004","Guest house/bed &breakfast","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2004","Guest house/bed &breakfast","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2004","Hotel/conference centre","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2004","Hotel/conference centre","Outbound","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2004","Self catering/rented house","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2004","Self catering/rented house","Outbound","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2004","Other","Domestic","Nights per Trip","4.6"
"Average Length of Stay by Irish Residents","2004","Other","Outbound","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2005","All types of accommodation","Domestic","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2005","All types of accommodation","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Caravan/camping","Domestic","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2005","Caravan/camping","Outbound","Nights per Trip","12.5"
"Average Length of Stay by Irish Residents","2005","Friends/relatives","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2005","Friends/relatives","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2005","Own holiday home","Domestic","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2005","Own holiday home","Outbound","Nights per Trip","13.5"
"Average Length of Stay by Irish Residents","2005","Guest house/bed &breakfast","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2005","Guest house/bed &breakfast","Outbound","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2005","Hotel/conference centre","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2005","Hotel/conference centre","Outbound","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2005","Self catering/rented house","Domestic","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2005","Self catering/rented house","Outbound","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2005","Other","Domestic","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2005","Other","Outbound","Nights per Trip","14.6"
"Average Length of Stay by Irish Residents","2006","All types of accommodation","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2006","All types of accommodation","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Caravan/camping","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2006","Caravan/camping","Outbound","Nights per Trip","12.6"
"Average Length of Stay by Irish Residents","2006","Friends/relatives","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2006","Friends/relatives","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2006","Own holiday home","Domestic","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2006","Own holiday home","Outbound","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2006","Guest house/bed &breakfast","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2006","Guest house/bed &breakfast","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2006","Hotel/conference centre","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2006","Hotel/conference centre","Outbound","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2006","Self catering/rented house","Domestic","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2006","Self catering/rented house","Outbound","Nights per Trip","10.5"
"Average Length of Stay by Irish Residents","2006","Other","Domestic","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2006","Other","Outbound","Nights per Trip","11.9"
"Average Length of Stay by Irish Residents","2007","All types of accommodation","Domestic","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2007","All types of accommodation","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2007","Caravan/camping","Domestic","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2007","Caravan/camping","Outbound","Nights per Trip","12.3"
"Average Length of Stay by Irish Residents","2007","Friends/relatives","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2007","Friends/relatives","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2007","Own holiday home","Domestic","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2007","Own holiday home","Outbound","Nights per Trip","12.9"
"Average Length of Stay by Irish Residents","2007","Guest house/bed &breakfast","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2007","Guest house/bed &breakfast","Outbound","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2007","Hotel/conference centre","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2007","Hotel/conference centre","Outbound","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2007","Self catering/rented house","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2007","Self catering/rented house","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2007","Other","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2007","Other","Outbound","Nights per Trip","12.8"
"Average Length of Stay by Irish Residents","2008","All types of accommodation","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2008","All types of accommodation","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Caravan/camping","Domestic","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2008","Caravan/camping","Outbound","Nights per Trip","11.5"
"Average Length of Stay by Irish Residents","2008","Friends/relatives","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2008","Friends/relatives","Outbound","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2008","Own holiday home","Domestic","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2008","Own holiday home","Outbound","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2008","Guest house/bed &breakfast","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2008","Guest house/bed &breakfast","Outbound","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2008","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2008","Hotel/conference centre","Outbound","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2008","Self catering/rented house","Domestic","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2008","Self catering/rented house","Outbound","Nights per Trip","11"
"Average Length of Stay by Irish Residents","2008","Other","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2008","Other","Outbound","Nights per Trip","13.9"
"Average Length of Stay by Irish Residents","2009","All types of accommodation","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","All types of accommodation","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Caravan/camping","Domestic","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2009","Caravan/camping","Outbound","Nights per Trip","12.3"
"Average Length of Stay by Irish Residents","2009","Friends/relatives","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2009","Friends/relatives","Outbound","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Own holiday home","Domestic","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2009","Own holiday home","Outbound","Nights per Trip","11.9"
"Average Length of Stay by Irish Residents","2009","Guest house/bed &breakfast","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2009","Guest house/bed &breakfast","Outbound","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents","2009","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2009","Hotel/conference centre","Outbound","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2009","Self catering/rented house","Domestic","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2009","Self catering/rented house","Outbound","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2009","Other","Domestic","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2009","Other","Outbound","Nights per Trip","13.3"
"Average Length of Stay by Irish Residents","2010","All types of accommodation","Domestic","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","All types of accommodation","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2010","Caravan/camping","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2010","Caravan/camping","Outbound","Nights per Trip","14.4"
"Average Length of Stay by Irish Residents","2010","Friends/relatives","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2010","Friends/relatives","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2010","Own holiday home","Domestic","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2010","Own holiday home","Outbound","Nights per Trip","12.4"
"Average Length of Stay by Irish Residents","2010","Guest house/bed &breakfast","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2010","Guest house/bed &breakfast","Outbound","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2010","Hotel/conference centre","Domestic","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2010","Hotel/conference centre","Outbound","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents","2010","Self catering/rented house","Domestic","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2010","Self catering/rented house","Outbound","Nights per Trip","11.3"
"Average Length of Stay by Irish Residents","2010","Other","Domestic","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2010","Other","Outbound","Nights per Trip","10.9"
"Average Length of Stay by Irish Residents","2011","All types of accommodation","Domestic","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","All types of accommodation","Outbound","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2011","Caravan/camping","Domestic","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2011","Caravan/camping","Outbound","Nights per Trip","11.7"
"Average Length of Stay by Irish Residents","2011","Friends/relatives","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2011","Friends/relatives","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2011","Own holiday home","Domestic","Nights per Trip","4.9"
"Average Length of Stay by Irish Residents","2011","Own holiday home","Outbound","Nights per Trip","16"
"Average Length of Stay by Irish Residents","2011","Guest house/bed &breakfast","Domestic","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2011","Guest house/bed &breakfast","Outbound","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2011","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2011","Hotel/conference centre","Outbound","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2011","Self catering/rented house","Domestic","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2011","Self catering/rented house","Outbound","Nights per Trip","11.2"
"Average Length of Stay by Irish Residents","2011","Other","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2011","Other","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2012","All types of accommodation","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","All types of accommodation","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2012","Friends/relatives","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2012","Own holiday home","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2012","Own holiday home","Outbound","Nights per Trip","17.3"
"Average Length of Stay by Irish Residents","2012","Guest house/bed &breakfast","Domestic","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2012","Guest house/bed &breakfast","Outbound","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2012","Hotel/conference centre","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2012","Hotel/conference centre","Outbound","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2012","Self catering/rented house","Domestic","Nights per Trip","5"
"Average Length of Stay by Irish Residents","2012","Self catering/rented house","Outbound","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2012","Other","Domestic","Nights per Trip","4.8"
"Average Length of Stay by Irish Residents","2012","Other","Outbound","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2013","All types of accommodation","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","All types of accommodation","Outbound","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2013","Friends/relatives","Outbound","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2013","Own holiday home","Domestic","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2013","Own holiday home","Outbound","Nights per Trip","15"
"Average Length of Stay by Irish Residents","2013","Guest house/bed &breakfast","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2013","Guest house/bed &breakfast","Outbound","Nights per Trip","6"
"Average Length of Stay by Irish Residents","2013","Hotel/conference centre","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2013","Hotel/conference centre","Outbound","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2013","Self catering/rented house","Domestic","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2013","Self catering/rented house","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2013","Other","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2013","Other","Outbound","Nights per Trip","11.6"
"Average Length of Stay by Irish Residents","2014","All types of accommodation","Domestic","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","All types of accommodation","Outbound","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014","Friends/relatives","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2014","Friends/relatives","Outbound","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2014","Own holiday home","Domestic","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2014","Own holiday home","Outbound","Nights per Trip","13.8"
"Average Length of Stay by Irish Residents","2014","Guest house/bed &breakfast","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2014","Guest house/bed &breakfast","Outbound","Nights per Trip","6.4"
"Average Length of Stay by Irish Residents","2014","Hotel/conference centre","Domestic","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2014","Hotel/conference centre","Outbound","Nights per Trip","5.8"
"Average Length of Stay by Irish Residents","2014","Self catering/rented house","Domestic","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2014","Self catering/rented house","Outbound","Nights per Trip","11.1"
"Average Length of Stay by Irish Residents","2014","Other","Domestic","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2014","Other","Outbound","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents","2015","All types of accommodation","Domestic","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2015","All types of accommodation","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2015","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2015","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2015","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2015","Friends/relatives","Outbound","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2015","Own holiday home","Domestic","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2015","Own holiday home","Outbound","Nights per Trip","12.7"
"Average Length of Stay by Irish Residents","2015","Guest house/bed &breakfast","Domestic","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents","2015","Guest house/bed &breakfast","Outbound","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2015","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2015","Hotel/conference centre","Outbound","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2015","Self catering/rented house","Domestic","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2015","Self catering/rented house","Outbound","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2015","Other","Domestic","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2015","Other","Outbound","Nights per Trip","11.1"
"Average Length of Stay by Irish Residents","2016","All types of accommodation","Domestic","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","All types of accommodation","Outbound","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Caravan/camping","Domestic","Nights per Trip",""
"Average Length of Stay by Irish Residents","2016","Caravan/camping","Outbound","Nights per Trip",""
"Average Length of Stay by Irish Residents","2016","Friends/relatives","Domestic","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2016","Friends/relatives","Outbound","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2016","Own holiday home","Domestic","Nights per Trip","4.5"
"Average Length of Stay by Irish Residents","2016","Own holiday home","Outbound","Nights per Trip","15.3"
"Average Length of Stay by Irish Residents","2016","Guest house/bed &breakfast","Domestic","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2016","Guest house/bed &breakfast","Outbound","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2016","Hotel/conference centre","Domestic","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents","2016","Hotel/conference centre","Outbound","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2016","Self catering/rented house","Domestic","Nights per Trip","4.4"
