"Statistic Label","Year","Type of Accommodation Used","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2007","Own holiday home","Outbound","Thousand","313"
"Number of Trips by Irish Residents","2007","Guest house/bed &breakfast","Domestic","Thousand","521"
"Number of Trips by Irish Residents","2007","Guest house/bed &breakfast","Outbound","Thousand","267"
"Number of Trips by Irish Residents","2007","Hotel/conference centre","Domestic","Thousand","3201"
"Number of Trips by Irish Residents","2007","Hotel/conference centre","Outbound","Thousand","3670"
"Number of Trips by Irish Residents","2007","Self catering/rented house","Domestic","Thousand","556"
"Number of Trips by Irish Residents","2007","Self catering/rented house","Outbound","Thousand","1385"
"Number of Trips by Irish Residents","2007","Other","Domestic","Thousand","217"
"Number of Trips by Irish Residents","2007","Other","Outbound","Thousand","259"
"Number of Trips by Irish Residents","2008","All types of accommodation","Domestic","Thousand","8339"
"Number of Trips by Irish Residents","2008","All types of accommodation","Outbound","Thousand","8042"
"Number of Trips by Irish Residents","2008","Caravan/camping","Domestic","Thousand","323"
"Number of Trips by Irish Residents","2008","Caravan/camping","Outbound","Thousand","246"
"Number of Trips by Irish Residents","2008","Friends/relatives","Domestic","Thousand","2818"
"Number of Trips by Irish Residents","2008","Friends/relatives","Outbound","Thousand","1923"
"Number of Trips by Irish Residents","2008","Own holiday home","Domestic","Thousand","521"
"Number of Trips by Irish Residents","2008","Own holiday home","Outbound","Thousand","318"
"Number of Trips by Irish Residents","2008","Guest house/bed &breakfast","Domestic","Thousand","479"
"Number of Trips by Irish Residents","2008","Guest house/bed &breakfast","Outbound","Thousand","280"
"Number of Trips by Irish Residents","2008","Hotel/conference centre","Domestic","Thousand","3430"
"Number of Trips by Irish Residents","2008","Hotel/conference centre","Outbound","Thousand","3680"
"Number of Trips by Irish Residents","2008","Self catering/rented house","Domestic","Thousand","541"
"Number of Trips by Irish Residents","2008","Self catering/rented house","Outbound","Thousand","1326"
"Number of Trips by Irish Residents","2008","Other","Domestic","Thousand","228"
"Number of Trips by Irish Residents","2008","Other","Outbound","Thousand","267"
"Number of Trips by Irish Residents","2009","All types of accommodation","Domestic","Thousand","8340"
"Number of Trips by Irish Residents","2009","All types of accommodation","Outbound","Thousand","7292"
"Number of Trips by Irish Residents","2009","Caravan/camping","Domestic","Thousand","309"
"Number of Trips by Irish Residents","2009","Caravan/camping","Outbound","Thousand","235"
"Number of Trips by Irish Residents","2009","Friends/relatives","Domestic","Thousand","2936"
"Number of Trips by Irish Residents","2009","Friends/relatives","Outbound","Thousand","1953"
"Number of Trips by Irish Residents","2009","Own holiday home","Domestic","Thousand","498"
"Number of Trips by Irish Residents","2009","Own holiday home","Outbound","Thousand","304"
"Number of Trips by Irish Residents","2009","Guest house/bed &breakfast","Domestic","Thousand","384"
"Number of Trips by Irish Residents","2009","Guest house/bed &breakfast","Outbound","Thousand","228"
"Number of Trips by Irish Residents","2009","Hotel/conference centre","Domestic","Thousand","3443"
"Number of Trips by Irish Residents","2009","Hotel/conference centre","Outbound","Thousand","3139"
"Number of Trips by Irish Residents","2009","Self catering/rented house","Domestic","Thousand","502"
"Number of Trips by Irish Residents","2009","Self catering/rented house","Outbound","Thousand","1172"
"Number of Trips by Irish Residents","2009","Other","Domestic","Thousand","268"
"Number of Trips by Irish Residents","2009","Other","Outbound","Thousand","261"
"Number of Trips by Irish Residents","2010","All types of accommodation","Domestic","Thousand","7300"
"Number of Trips by Irish Residents","2010","All types of accommodation","Outbound","Thousand","6917"
"Number of Trips by Irish Residents","2010","Caravan/camping","Domestic","Thousand","560"
"Number of Trips by Irish Residents","2010","Caravan/camping","Outbound","Thousand","262"
"Number of Trips by Irish Residents","2010","Friends/relatives","Domestic","Thousand","2044"
"Number of Trips by Irish Residents","2010","Friends/relatives","Outbound","Thousand","1713"
"Number of Trips by Irish Residents","2010","Own holiday home","Domestic","Thousand","596"
"Number of Trips by Irish Residents","2010","Own holiday home","Outbound","Thousand","206"
"Number of Trips by Irish Residents","2010","Guest house/bed &breakfast","Domestic","Thousand","311"
"Number of Trips by Irish Residents","2010","Guest house/bed &breakfast","Outbound","Thousand","222"
"Number of Trips by Irish Residents","2010","Hotel/conference centre","Domestic","Thousand","3040"
"Number of Trips by Irish Residents","2010","Hotel/conference centre","Outbound","Thousand","3011"
"Number of Trips by Irish Residents","2010","Self catering/rented house","Domestic","Thousand","561"
"Number of Trips by Irish Residents","2010","Self catering/rented house","Outbound","Thousand","1238"
"Number of Trips by Irish Residents","2010","Other","Domestic","Thousand","187"
"Number of Trips by Irish Residents","2010","Other","Outbound","Thousand","264"
"Number of Trips by Irish Residents","2011","All types of accommodation","Domestic","Thousand","7169"
"Number of Trips by Irish Residents","2011","All types of accommodation","Outbound","Thousand","6514"
"Number of Trips by Irish Residents","2011","Caravan/camping","Domestic","Thousand","412"
"Number of Trips by Irish Residents","2011","Caravan/camping","Outbound","Thousand","160"
"Number of Trips by Irish Residents","2011","Friends/relatives","Domestic","Thousand","2259"
"Number of Trips by Irish Residents","2011","Friends/relatives","Outbound","Thousand","1771"
"Number of Trips by Irish Residents","2011","Own holiday home","Domestic","Thousand","573"
"Number of Trips by Irish Residents","2011","Own holiday home","Outbound","Thousand","188"
"Number of Trips by Irish Residents","2011","Guest house/bed &breakfast","Domestic","Thousand","317"
"Number of Trips by Irish Residents","2011","Guest house/bed &breakfast","Outbound","Thousand","206"
"Number of Trips by Irish Residents","2011","Hotel/conference centre","Domestic","Thousand","2845"
"Number of Trips by Irish Residents","2011","Hotel/conference centre","Outbound","Thousand","2725"
"Number of Trips by Irish Residents","2011","Self catering/rented house","Domestic","Thousand","570"
"Number of Trips by Irish Residents","2011","Self catering/rented house","Outbound","Thousand","1215"
"Number of Trips by Irish Residents","2011","Other","Domestic","Thousand","192"
"Number of Trips by Irish Residents","2011","Other","Outbound","Thousand","249"
"Number of Trips by Irish Residents","2012","All types of accommodation","Domestic","Thousand","8291"
"Number of Trips by Irish Residents","2012","All types of accommodation","Outbound","Thousand","6623"
"Number of Trips by Irish Residents","2012","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2012","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2012","Friends/relatives","Domestic","Thousand","2896"
"Number of Trips by Irish Residents","2012","Friends/relatives","Outbound","Thousand","1661"
"Number of Trips by Irish Residents","2012","Own holiday home","Domestic","Thousand","477"
"Number of Trips by Irish Residents","2012","Own holiday home","Outbound","Thousand","148"
"Number of Trips by Irish Residents","2012","Guest house/bed &breakfast","Domestic","Thousand","367"
"Number of Trips by Irish Residents","2012","Guest house/bed &breakfast","Outbound","Thousand","234"
"Number of Trips by Irish Residents","2012","Hotel/conference centre","Domestic","Thousand","3313"
"Number of Trips by Irish Residents","2012","Hotel/conference centre","Outbound","Thousand","2690"
"Number of Trips by Irish Residents","2012","Self catering/rented house","Domestic","Thousand","644"
"Number of Trips by Irish Residents","2012","Self catering/rented house","Outbound","Thousand","1364"
"Number of Trips by Irish Residents","2012","Other","Domestic","Thousand","594"
"Number of Trips by Irish Residents","2012","Other","Outbound","Thousand","525"
"Number of Trips by Irish Residents","2013","All types of accommodation","Domestic","Thousand","8413"
"Number of Trips by Irish Residents","2013","All types of accommodation","Outbound","Thousand","6575"
"Number of Trips by Irish Residents","2013","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2013","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2013","Friends/relatives","Domestic","Thousand","2956"
"Number of Trips by Irish Residents","2013","Friends/relatives","Outbound","Thousand","1717"
"Number of Trips by Irish Residents","2013","Own holiday home","Domestic","Thousand","407"
"Number of Trips by Irish Residents","2013","Own holiday home","Outbound","Thousand","181"
"Number of Trips by Irish Residents","2013","Guest house/bed &breakfast","Domestic","Thousand","330"
"Number of Trips by Irish Residents","2013","Guest house/bed &breakfast","Outbound","Thousand","171"
"Number of Trips by Irish Residents","2013","Hotel/conference centre","Domestic","Thousand","3382"
"Number of Trips by Irish Residents","2013","Hotel/conference centre","Outbound","Thousand","2873"
"Number of Trips by Irish Residents","2013","Self catering/rented house","Domestic","Thousand","724"
"Number of Trips by Irish Residents","2013","Self catering/rented house","Outbound","Thousand","1182"
"Number of Trips by Irish Residents","2013","Other","Domestic","Thousand","615"
"Number of Trips by Irish Residents","2013","Other","Outbound","Thousand","451"
"Number of Trips by Irish Residents","2014","All types of accommodation","Domestic","Thousand","8991"
"Number of Trips by Irish Residents","2014","All types of accommodation","Outbound","Thousand","6677"
"Number of Trips by Irish Residents","2014","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2014","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2014","Friends/relatives","Domestic","Thousand","2996"
"Number of Trips by Irish Residents","2014","Friends/relatives","Outbound","Thousand","1650"
"Number of Trips by Irish Residents","2014","Own holiday home","Domestic","Thousand","444"
"Number of Trips by Irish Residents","2014","Own holiday home","Outbound","Thousand","123"
"Number of Trips by Irish Residents","2014","Guest house/bed &breakfast","Domestic","Thousand","425"
"Number of Trips by Irish Residents","2014","Guest house/bed &breakfast","Outbound","Thousand","213"
"Number of Trips by Irish Residents","2014","Hotel/conference centre","Domestic","Thousand","3630"
"Number of Trips by Irish Residents","2014","Hotel/conference centre","Outbound","Thousand","3095"
"Number of Trips by Irish Residents","2014","Self catering/rented house","Domestic","Thousand","830"
"Number of Trips by Irish Residents","2014","Self catering/rented house","Outbound","Thousand","1051"
"Number of Trips by Irish Residents","2014","Other","Domestic","Thousand","666"
"Number of Trips by Irish Residents","2014","Other","Outbound","Thousand","545"
"Number of Trips by Irish Residents","2015","All types of accommodation","Domestic","Thousand","9125"
"Number of Trips by Irish Residents","2015","All types of accommodation","Outbound","Thousand","7094"
"Number of Trips by Irish Residents","2015","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2015","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2015","Friends/relatives","Domestic","Thousand","3011"
"Number of Trips by Irish Residents","2015","Friends/relatives","Outbound","Thousand","1680"
"Number of Trips by Irish Residents","2015","Own holiday home","Domestic","Thousand","544"
"Number of Trips by Irish Residents","2015","Own holiday home","Outbound","Thousand","109"
"Number of Trips by Irish Residents","2015","Guest house/bed &breakfast","Domestic","Thousand","475"
"Number of Trips by Irish Residents","2015","Guest house/bed &breakfast","Outbound","Thousand","144"
"Number of Trips by Irish Residents","2015","Hotel/conference centre","Domestic","Thousand","3704"
"Number of Trips by Irish Residents","2015","Hotel/conference centre","Outbound","Thousand","3367"
"Number of Trips by Irish Residents","2015","Self catering/rented house","Domestic","Thousand","827"
"Number of Trips by Irish Residents","2015","Self catering/rented house","Outbound","Thousand","1211"
"Number of Trips by Irish Residents","2015","Other","Domestic","Thousand","564"
"Number of Trips by Irish Residents","2015","Other","Outbound","Thousand","583"
"Number of Trips by Irish Residents","2016","All types of accommodation","Domestic","Thousand","9359"
"Number of Trips by Irish Residents","2016","All types of accommodation","Outbound","Thousand","7644"
"Number of Trips by Irish Residents","2016","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2016","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2016","Friends/relatives","Domestic","Thousand","3256"
"Number of Trips by Irish Residents","2016","Friends/relatives","Outbound","Thousand","1841"
"Number of Trips by Irish Residents","2016","Own holiday home","Domestic","Thousand","486"
"Number of Trips by Irish Residents","2016","Own holiday home","Outbound","Thousand","150"
"Number of Trips by Irish Residents","2016","Guest house/bed &breakfast","Domestic","Thousand","416"
"Number of Trips by Irish Residents","2016","Guest house/bed &breakfast","Outbound","Thousand","195"
"Number of Trips by Irish Residents","2016","Hotel/conference centre","Domestic","Thousand","3666"
"Number of Trips by Irish Residents","2016","Hotel/conference centre","Outbound","Thousand","3457"
"Number of Trips by Irish Residents","2016","Self catering/rented house","Domestic","Thousand","864"
"Number of Trips by Irish Residents","2016","Self catering/rented house","Outbound","Thousand","1525"
"Number of Trips by Irish Residents","2016","Other","Domestic","Thousand","671"
"Number of Trips by Irish Residents","2016","Other","Outbound","Thousand","476"
"Number of Trips by Irish Residents","2017","All types of accommodation","Domestic","Thousand","9626"
"Number of Trips by Irish Residents","2017","All types of accommodation","Outbound","Thousand","8171"
"Number of Trips by Irish Residents","2017","Caravan/camping","Domestic","Thousand",""
"Number of Trips by Irish Residents","2017","Caravan/camping","Outbound","Thousand",""
"Number of Trips by Irish Residents","2017","Friends/relatives","Domestic","Thousand","3096"
"Number of Trips by Irish Residents","2017","Friends/relatives","Outbound","Thousand","1747"
"Number of Trips by Irish Residents","2017","Own holiday home","Domestic","Thousand","462"
"Number of Trips by Irish Residents","2017","Own holiday home","Outbound","Thousand","165"
"Number of Trips by Irish Residents","2017","Guest house/bed &breakfast","Domestic","Thousand","511"
"Number of Trips by Irish Residents","2017","Guest house/bed &breakfast","Outbound","Thousand","258"
"Number of Trips by Irish Residents","2017","Hotel/conference centre","Domestic","Thousand","3894"
"Number of Trips by Irish Residents","2017","Hotel/conference centre","Outbound","Thousand","3706"
