"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","EU27 excluding Ireland","Thousand","657"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other Europe (20)","Thousand","16"
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other Europe (21)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2012","Other reasons","Other countries (24)","Thousand","42"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","All Countries","Thousand","6575"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","United States and Canada","Thousand","404"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","EU28 excluding Ireland","Thousand","5614"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other Europe (21)","Thousand","191"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","All reasons for journey","Other countries (24)","Thousand","365"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","All Countries","Thousand","3659"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","United States and Canada","Thousand","202"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","EU28 excluding Ireland","Thousand","3186"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","Other Europe (20)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","Other Europe (21)","Thousand","111"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Holiday","Other countries (24)","Thousand","161"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","All Countries","Thousand","652"
"Number of Trips by Irish Residents on Outbound Travel Travel","2013","Business","United States and Canada","Thousand","60"
