"Statistic Label","Year","Reason for Journey","Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","All Countries","Thousand","36691"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","United States and Canada","Thousand","2770"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","EU28 excluding Ireland","Thousand","31070"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","Other Europe (21)","Thousand","540"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Holiday","Other countries (24)","Thousand","2311"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","All Countries","Thousand","2705"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","United States and Canada","Thousand","490"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","EU28 excluding Ireland","Thousand","1568"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","Other Europe (21)","Thousand","136"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Business","Other countries (24)","Thousand","510"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","All Countries","Thousand","11708"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","United States and Canada","Thousand","2194"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7101"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","Other Europe (21)","Thousand","237"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Visiting friends/relatives","Other countries (24)","Thousand","2176"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","All Countries","Thousand","6593"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","United States and Canada","Thousand","1476"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","EU28 excluding Ireland","Thousand","4309"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","Other Europe (21)","Thousand","162"
"Number of Nights by Irish Residents on Outbound TravelTravel","2017","Other reasons","Other countries (24)","Thousand","647"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","All Countries","Thousand","60623"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","United States and Canada","Thousand","6347"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","EU28 excluding Ireland","Thousand","44319"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","Other Europe (21)","Thousand","1618"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","All reasons for journey","Other countries (24)","Thousand","8338"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","All Countries","Thousand","40067"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","United States and Canada","Thousand","3577"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","EU28 excluding Ireland","Thousand","32297"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","Other Europe (21)","Thousand","617"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Holiday","Other countries (24)","Thousand","3576"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","All Countries","Thousand","3129"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","United States and Canada","Thousand","637"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","EU28 excluding Ireland","Thousand","1853"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","Other Europe (21)","Thousand","133"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Business","Other countries (24)","Thousand","507"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","All Countries","Thousand","12954"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","United States and Canada","Thousand","1451"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7485"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","Other Europe (21)","Thousand","720"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Visiting friends/relatives","Other countries (24)","Thousand","3298"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","All Countries","Thousand","4472"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","United States and Canada","Thousand","682"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","EU28 excluding Ireland","Thousand","2685"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","Other Europe (21)","Thousand","148"
"Number of Nights by Irish Residents on Outbound TravelTravel","2018","Other reasons","Other countries (24)","Thousand","958"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","All Countries","Thousand","66927"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","United States and Canada","Thousand","7952"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","EU28 excluding Ireland","Thousand","49886"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","Other Europe (21)","Thousand","1344"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","All reasons for journey","Other countries (24)","Thousand","7745"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","All Countries","Thousand","43783"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","United States and Canada","Thousand","3622"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","EU28 excluding Ireland","Thousand","35988"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","Other Europe (21)","Thousand","907"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Holiday","Other countries (24)","Thousand","3267"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","All Countries","Thousand","3344"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","United States and Canada","Thousand","702"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","EU28 excluding Ireland","Thousand","1951"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","Other Europe (21)","Thousand","141"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Business","Other countries (24)","Thousand","550"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","All Countries","Thousand","12601"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","United States and Canada","Thousand","1904"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","EU28 excluding Ireland","Thousand","7808"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","Other Europe (21)","Thousand","201"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Visiting friends/relatives","Other countries (24)","Thousand","2689"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","All Countries","Thousand","7198"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","United States and Canada","Thousand","1723"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","EU28 excluding Ireland","Thousand","4139"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","Other Europe (21)","Thousand","96"
"Number of Nights by Irish Residents on Outbound TravelTravel","2019","Other reasons","Other countries (24)","Thousand","1240"
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","All Countries","Thousand","15597"
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","All reasons for journey","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","All Countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Holiday","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","All Countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Business","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","All Countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Visiting friends/relatives","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","All Countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","United States and Canada","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","EU27 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other reasons","Other countries (24)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","All Countries","Thousand","17443"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","United States and Canada","Thousand","355"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","EU27 excluding Ireland","Thousand","9509"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","Other Europe (20)","Thousand","5462"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All reasons for journey","Other countries (24)","Thousand","2118"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","All Countries","Thousand","7156"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","United States and Canada","Thousand","291"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","EU27 excluding Ireland","Thousand","4613"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","Other Europe (20)","Thousand","1188"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Holiday","Other countries (24)","Thousand","1064"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","All Countries","Thousand","1151"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","United States and Canada","Thousand","13"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","EU27 excluding Ireland","Thousand","219"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","Other Europe (20)","Thousand","398"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Business","Other countries (24)","Thousand","520"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","All Countries","Thousand","5187"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","United States and Canada","Thousand","44"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","EU27 excluding Ireland","Thousand","1770"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","Other Europe (20)","Thousand","2890"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Visiting friends/relatives","Other countries (24)","Thousand","484"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","All Countries","Thousand","3949"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","United States and Canada","Thousand","6"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","EU27 excluding Ireland","Thousand","2908"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","Other Europe (20)","Thousand","986"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other reasons","Other countries (24)","Thousand","49"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","All Countries","Thousand","61205"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","United States and Canada","Thousand","3907"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","EU27 excluding Ireland","Thousand","41682"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","Other Europe (20)","Thousand","9846"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All reasons for journey","Other countries (24)","Thousand","5769"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","All Countries","Thousand","40147"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","United States and Canada","Thousand","2107"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","EU27 excluding Ireland","Thousand","31173"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","Other Europe (20)","Thousand","3453"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Holiday","Other countries (24)","Thousand","3414"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","All Countries","Thousand","2125"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","United States and Canada","Thousand","619"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","EU27 excluding Ireland","Thousand","624"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","Other Europe (20)","Thousand","738"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Business","Other countries (24)","Thousand","144"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","All Countries","Thousand","13799"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","United States and Canada","Thousand","1088"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","EU27 excluding Ireland","Thousand","6089"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","Other Europe (20)","Thousand","4693"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Visiting friends/relatives","Other countries (24)","Thousand","1929"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","All Countries","Thousand","5134"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","United States and Canada","Thousand","93"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","EU27 excluding Ireland","Thousand","3796"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","Other Europe (20)","Thousand","962"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other reasons","Other countries (24)","Thousand","282"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","All Countries","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","United States and Canada","Nights per Trip","13.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","EU27 excluding Ireland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other Europe (20)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All reasons for journey","Other countries (24)","Nights per Trip","17.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","All Countries","Nights per Trip","9.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","United States and Canada","Nights per Trip","13.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","EU27 excluding Ireland","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","Other Europe (20)","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Holiday","Other countries (24)","Nights per Trip","16.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","All Countries","Nights per Trip","4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","United States and Canada","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","EU27 excluding Ireland","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","Other Europe (20)","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Business","Other countries (24)","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","All Countries","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","United States and Canada","Nights per Trip","13.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","EU27 excluding Ireland","Nights per Trip","6.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other Europe (20)","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Visiting friends/relatives","Other countries (24)","Nights per Trip","26.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","All Countries","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","United States and Canada","Nights per Trip","17.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","EU27 excluding Ireland","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other Europe (20)","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other reasons","Other countries (24)","Nights per Trip","18"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","All Countries","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","United States and Canada","Nights per Trip","14"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","EU27 excluding Ireland","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other Europe (20)","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All reasons for journey","Other countries (24)","Nights per Trip","19.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","All Countries","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","United States and Canada","Nights per Trip","14.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","EU27 excluding Ireland","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","Other Europe (20)","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Holiday","Other countries (24)","Nights per Trip","19.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","All Countries","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","United States and Canada","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","EU27 excluding Ireland","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","Other Europe (20)","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Business","Other countries (24)","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Visiting friends/relatives","All Countries","Nights per Trip","8.1"
