"Statistic Label","Year","Domestic","Mode of Transport","UNIT","VALUE"
"Average Length of Stay by Irish Residents","2008","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2008","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","All modes of transport","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2008","Outbound","Air","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2008","Outbound","Bus/rail","Nights per Trip","6.2"
"Average Length of Stay by Irish Residents","2008","Outbound","Private vehicle","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2008","Outbound","Sea/Cruise","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2008","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2008","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10.7"
"Average Length of Stay by Irish Residents","2009","Domestic","All modes of transport","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Domestic","Air","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2009","Domestic","Bus/rail","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Domestic","Private vehicle","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2009","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2009","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","All modes of transport","Nights per Trip","7.6"
"Average Length of Stay by Irish Residents","2009","Outbound","Air","Nights per Trip","7.8"
"Average Length of Stay by Irish Residents","2009","Outbound","Bus/rail","Nights per Trip","6.5"
"Average Length of Stay by Irish Residents","2009","Outbound","Private vehicle","Nights per Trip","4.7"
"Average Length of Stay by Irish Residents","2009","Outbound","Sea/Cruise","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2009","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2009","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10"
"Average Length of Stay by Irish Residents","2010","Domestic","All modes of transport","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Domestic","Air","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2010","Domestic","Bus/rail","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2010","Domestic","Private vehicle","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2010","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2010","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2010","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2010","Outbound","All modes of transport","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Air","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2010","Outbound","Bus/rail","Nights per Trip","4.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2010","Outbound","Sea/Cruise","Nights per Trip","10.3"
"Average Length of Stay by Irish Residents","2010","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2010","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","6.8"
"Average Length of Stay by Irish Residents","2011","Domestic","All modes of transport","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Domestic","Air","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2011","Domestic","Bus/rail","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2011","Domestic","Private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2011","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2011","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2011","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2011","Outbound","All modes of transport","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2011","Outbound","Air","Nights per Trip","8.6"
"Average Length of Stay by Irish Residents","2011","Outbound","Bus/rail","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2011","Outbound","Private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2011","Outbound","Sea/Cruise","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents","2011","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2011","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2012","Domestic","All modes of transport","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2012","Domestic","Air","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents","2012","Domestic","Bus/rail","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2012","Domestic","Private vehicle","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2012","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2012","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012","Outbound","All modes of transport","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2012","Outbound","Air","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2012","Outbound","Bus/rail","Nights per Trip","5.7"
"Average Length of Stay by Irish Residents","2012","Outbound","Private vehicle","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2012","Outbound","Sea/Cruise","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2012","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2012","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2013","Domestic","All modes of transport","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Air","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2013","Domestic","Bus/rail","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2013","Domestic","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2013","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2013","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013","Outbound","All modes of transport","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents","2013","Outbound","Air","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2013","Outbound","Bus/rail","Nights per Trip","6.3"
"Average Length of Stay by Irish Residents","2013","Outbound","Private vehicle","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2013","Outbound","Sea/Cruise","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2013","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2013","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Domestic","All modes of transport","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Air","Nights per Trip","17.4"
"Average Length of Stay by Irish Residents","2014","Domestic","Bus/rail","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2014","Domestic","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2014","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2014","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014","Outbound","All modes of transport","Nights per Trip","8"
"Average Length of Stay by Irish Residents","2014","Outbound","Air","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2014","Outbound","Bus/rail","Nights per Trip","5.9"
"Average Length of Stay by Irish Residents","2014","Outbound","Private vehicle","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents","2014","Outbound","Sea/Cruise","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents","2014","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2014","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2015","Domestic","All modes of transport","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2015","Domestic","Air","Nights per Trip","1.6"
"Average Length of Stay by Irish Residents","2015","Domestic","Bus/rail","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2015","Domestic","Private vehicle","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2015","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2015","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2015","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2015","Outbound","All modes of transport","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2015","Outbound","Air","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2015","Outbound","Bus/rail","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2015","Outbound","Private vehicle","Nights per Trip","4.4"
"Average Length of Stay by Irish Residents","2015","Outbound","Sea/Cruise","Nights per Trip","8.2"
"Average Length of Stay by Irish Residents","2015","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2015","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","10.8"
"Average Length of Stay by Irish Residents","2016","Domestic","All modes of transport","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Air","Nights per Trip","8.1"
"Average Length of Stay by Irish Residents","2016","Domestic","Bus/rail","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2016","Domestic","Private vehicle","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2016","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2016","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2016","Outbound","All modes of transport","Nights per Trip","7.4"
"Average Length of Stay by Irish Residents","2016","Outbound","Air","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2016","Outbound","Bus/rail","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2016","Outbound","Private vehicle","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents","2016","Outbound","Sea/Cruise","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2016","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2016","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents","2017","Domestic","All modes of transport","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2017","Domestic","Air","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2017","Domestic","Bus/rail","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2017","Domestic","Private vehicle","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2017","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2017","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2017","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2017","Outbound","All modes of transport","Nights per Trip","7.1"
"Average Length of Stay by Irish Residents","2017","Outbound","Air","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2017","Outbound","Bus/rail","Nights per Trip","5.1"
"Average Length of Stay by Irish Residents","2017","Outbound","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2017","Outbound","Sea/Cruise","Nights per Trip","8.7"
"Average Length of Stay by Irish Residents","2017","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2017","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2018","Domestic","All modes of transport","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Air","Nights per Trip","10.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Bus/rail","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2018","Domestic","Private vehicle","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2018","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents","2018","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2018","Outbound","All modes of transport","Nights per Trip","7"
"Average Length of Stay by Irish Residents","2018","Outbound","Air","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents","2018","Outbound","Bus/rail","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents","2018","Outbound","Private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2018","Outbound","Sea/Cruise","Nights per Trip","8.5"
"Average Length of Stay by Irish Residents","2018","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2018","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents","2019","Domestic","All modes of transport","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Air","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2019","Domestic","Bus/rail","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2019","Domestic","Private vehicle","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2019","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents","2019","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2019","Outbound","All modes of transport","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2019","Outbound","Air","Nights per Trip","7.5"
"Average Length of Stay by Irish Residents","2019","Outbound","Bus/rail","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents","2019","Outbound","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2019","Outbound","Sea/Cruise","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents","2019","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2019","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2020","Domestic","All modes of transport","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Air","Nights per Trip","5.3"
"Average Length of Stay by Irish Residents","2020","Domestic","Bus/rail","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Private vehicle","Nights per Trip","3"
"Average Length of Stay by Irish Residents","2020","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.6"
"Average Length of Stay by Irish Residents","2020","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","All modes of transport","Nights per Trip","6.6"
"Average Length of Stay by Irish Residents","2020","Outbound","Air","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Bus/rail","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2020","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","All modes of transport","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Domestic","Air","Nights per Trip","1.3"
"Average Length of Stay by Irish Residents","2021","Domestic","Bus/rail","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2021","Domestic","Private vehicle","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents","2021","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2021","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Outbound","All modes of transport","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2021","Outbound","Air","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2021","Outbound","Bus/rail","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2021","Outbound","Private vehicle","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2021","Outbound","Sea/Cruise","Nights per Trip","9.3"
"Average Length of Stay by Irish Residents","2021","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2021","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","1"
"Average Length of Stay by Irish Residents","2022","Domestic","All modes of transport","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Air","Nights per Trip","4"
"Average Length of Stay by Irish Residents","2022","Domestic","Bus/rail","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Private vehicle","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2022","Domestic","Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Domestic","Other than: Air; bus/rail; private vehicle","Nights per Trip","2"
"Average Length of Stay by Irish Residents","2022","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Outbound","All modes of transport","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Air","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents","2022","Outbound","Bus/rail","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Private vehicle","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2022","Outbound","Sea/Cruise","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents","2022","Outbound","Other than: Air; bus/rail; private vehicle","Nights per Trip",""
"Average Length of Stay by Irish Residents","2022","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Nights per Trip","4"
