"Statistic Label","Year","Domestic","Mode of Transport","UNIT","VALUE"
"Number of Trips by Irish Residents","2012","Domestic","All modes of transport","Thousand","8291"
"Number of Trips by Irish Residents","2012","Domestic","Air","Thousand","22"
"Number of Trips by Irish Residents","2012","Domestic","Bus/rail","Thousand","790"
"Number of Trips by Irish Residents","2012","Domestic","Private vehicle","Thousand","7360"
"Number of Trips by Irish Residents","2012","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2012","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","119"
"Number of Trips by Irish Residents","2012","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2012","Outbound","All modes of transport","Thousand","6623"
"Number of Trips by Irish Residents","2012","Outbound","Air","Thousand","5505"
"Number of Trips by Irish Residents","2012","Outbound","Bus/rail","Thousand","142"
"Number of Trips by Irish Residents","2012","Outbound","Private vehicle","Thousand","466"
"Number of Trips by Irish Residents","2012","Outbound","Sea/Cruise","Thousand","487"
"Number of Trips by Irish Residents","2012","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2012","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","23"
"Number of Trips by Irish Residents","2013","Domestic","All modes of transport","Thousand","8413"
"Number of Trips by Irish Residents","2013","Domestic","Air","Thousand","41"
"Number of Trips by Irish Residents","2013","Domestic","Bus/rail","Thousand","874"
"Number of Trips by Irish Residents","2013","Domestic","Private vehicle","Thousand","7374"
"Number of Trips by Irish Residents","2013","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2013","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","124"
"Number of Trips by Irish Residents","2013","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2013","Outbound","All modes of transport","Thousand","6575"
"Number of Trips by Irish Residents","2013","Outbound","Air","Thousand","5519"
"Number of Trips by Irish Residents","2013","Outbound","Bus/rail","Thousand","124"
"Number of Trips by Irish Residents","2013","Outbound","Private vehicle","Thousand","439"
"Number of Trips by Irish Residents","2013","Outbound","Sea/Cruise","Thousand","449"
"Number of Trips by Irish Residents","2013","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2013","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","44"
"Number of Trips by Irish Residents","2014","Domestic","All modes of transport","Thousand","8991"
"Number of Trips by Irish Residents","2014","Domestic","Air","Thousand","24"
"Number of Trips by Irish Residents","2014","Domestic","Bus/rail","Thousand","825"
"Number of Trips by Irish Residents","2014","Domestic","Private vehicle","Thousand","8008"
"Number of Trips by Irish Residents","2014","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2014","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","133"
"Number of Trips by Irish Residents","2014","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2014","Outbound","All modes of transport","Thousand","6677"
"Number of Trips by Irish Residents","2014","Outbound","Air","Thousand","5644"
"Number of Trips by Irish Residents","2014","Outbound","Bus/rail","Thousand","145"
"Number of Trips by Irish Residents","2014","Outbound","Private vehicle","Thousand","450"
"Number of Trips by Irish Residents","2014","Outbound","Sea/Cruise","Thousand","400"
"Number of Trips by Irish Residents","2014","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2014","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","38"
"Number of Trips by Irish Residents","2015","Domestic","All modes of transport","Thousand","9125"
"Number of Trips by Irish Residents","2015","Domestic","Air","Thousand","15"
"Number of Trips by Irish Residents","2015","Domestic","Bus/rail","Thousand","763"
"Number of Trips by Irish Residents","2015","Domestic","Private vehicle","Thousand","8245"
"Number of Trips by Irish Residents","2015","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2015","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","102"
"Number of Trips by Irish Residents","2015","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2015","Outbound","All modes of transport","Thousand","7094"
"Number of Trips by Irish Residents","2015","Outbound","Air","Thousand","6146"
"Number of Trips by Irish Residents","2015","Outbound","Bus/rail","Thousand","117"
"Number of Trips by Irish Residents","2015","Outbound","Private vehicle","Thousand","379"
"Number of Trips by Irish Residents","2015","Outbound","Sea/Cruise","Thousand","389"
"Number of Trips by Irish Residents","2015","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2015","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","62"
"Number of Trips by Irish Residents","2016","Domestic","All modes of transport","Thousand","9359"
"Number of Trips by Irish Residents","2016","Domestic","Air","Thousand","22"
"Number of Trips by Irish Residents","2016","Domestic","Bus/rail","Thousand","853"
"Number of Trips by Irish Residents","2016","Domestic","Private vehicle","Thousand","8343"
"Number of Trips by Irish Residents","2016","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2016","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","141"
"Number of Trips by Irish Residents","2016","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2016","Outbound","All modes of transport","Thousand","7644"
"Number of Trips by Irish Residents","2016","Outbound","Air","Thousand","6648"
"Number of Trips by Irish Residents","2016","Outbound","Bus/rail","Thousand","73"
"Number of Trips by Irish Residents","2016","Outbound","Private vehicle","Thousand","500"
"Number of Trips by Irish Residents","2016","Outbound","Sea/Cruise","Thousand","399"
"Number of Trips by Irish Residents","2016","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2016","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","24"
"Number of Trips by Irish Residents","2017","Domestic","All modes of transport","Thousand","9626"
"Number of Trips by Irish Residents","2017","Domestic","Air","Thousand","28"
"Number of Trips by Irish Residents","2017","Domestic","Bus/rail","Thousand","844"
"Number of Trips by Irish Residents","2017","Domestic","Private vehicle","Thousand","8593"
"Number of Trips by Irish Residents","2017","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2017","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","162"
"Number of Trips by Irish Residents","2017","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2017","Outbound","All modes of transport","Thousand","8171"
"Number of Trips by Irish Residents","2017","Outbound","Air","Thousand","7164"
"Number of Trips by Irish Residents","2017","Outbound","Bus/rail","Thousand","135"
"Number of Trips by Irish Residents","2017","Outbound","Private vehicle","Thousand","475"
"Number of Trips by Irish Residents","2017","Outbound","Sea/Cruise","Thousand","342"
"Number of Trips by Irish Residents","2017","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2017","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","55"
"Number of Trips by Irish Residents","2018","Domestic","All modes of transport","Thousand","10919"
"Number of Trips by Irish Residents","2018","Domestic","Air","Thousand","20"
"Number of Trips by Irish Residents","2018","Domestic","Bus/rail","Thousand","1085"
"Number of Trips by Irish Residents","2018","Domestic","Private vehicle","Thousand","9605"
"Number of Trips by Irish Residents","2018","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2018","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","208"
"Number of Trips by Irish Residents","2018","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2018","Outbound","All modes of transport","Thousand","8643"
"Number of Trips by Irish Residents","2018","Outbound","Air","Thousand","7505"
"Number of Trips by Irish Residents","2018","Outbound","Bus/rail","Thousand","193"
"Number of Trips by Irish Residents","2018","Outbound","Private vehicle","Thousand","550"
"Number of Trips by Irish Residents","2018","Outbound","Sea/Cruise","Thousand","381"
"Number of Trips by Irish Residents","2018","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2018","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","14"
"Number of Trips by Irish Residents","2019","Domestic","All modes of transport","Thousand","11621"
"Number of Trips by Irish Residents","2019","Domestic","Air","Thousand","42"
"Number of Trips by Irish Residents","2019","Domestic","Bus/rail","Thousand","1110"
"Number of Trips by Irish Residents","2019","Domestic","Private vehicle","Thousand","10292"
"Number of Trips by Irish Residents","2019","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2019","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","176"
"Number of Trips by Irish Residents","2019","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2019","Outbound","All modes of transport","Thousand","9350"
"Number of Trips by Irish Residents","2019","Outbound","Air","Thousand","7969"
"Number of Trips by Irish Residents","2019","Outbound","Bus/rail","Thousand","169"
"Number of Trips by Irish Residents","2019","Outbound","Private vehicle","Thousand","708"
"Number of Trips by Irish Residents","2019","Outbound","Sea/Cruise","Thousand","455"
"Number of Trips by Irish Residents","2019","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2019","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","49"
"Number of Trips by Irish Residents","2020","Domestic","All modes of transport","Thousand","7721"
"Number of Trips by Irish Residents","2020","Domestic","Air","Thousand","41"
"Number of Trips by Irish Residents","2020","Domestic","Bus/rail","Thousand","517"
"Number of Trips by Irish Residents","2020","Domestic","Private vehicle","Thousand","7030"
"Number of Trips by Irish Residents","2020","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2020","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","133"
"Number of Trips by Irish Residents","2020","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","All modes of transport","Thousand","2365"
"Number of Trips by Irish Residents","2020","Outbound","Air","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Bus/rail","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Private vehicle","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2020","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","All modes of transport","Thousand","5663"
"Number of Trips by Irish Residents","2021","Domestic","Air","Thousand","8"
"Number of Trips by Irish Residents","2021","Domestic","Bus/rail","Thousand","333"
"Number of Trips by Irish Residents","2021","Domestic","Private vehicle","Thousand","5222"
"Number of Trips by Irish Residents","2021","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2021","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","100"
"Number of Trips by Irish Residents","2021","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2021","Outbound","All modes of transport","Thousand","2276"
"Number of Trips by Irish Residents","2021","Outbound","Air","Thousand","1551"
"Number of Trips by Irish Residents","2021","Outbound","Bus/rail","Thousand","107"
"Number of Trips by Irish Residents","2021","Outbound","Private vehicle","Thousand","508"
"Number of Trips by Irish Residents","2021","Outbound","Sea/Cruise","Thousand","107"
"Number of Trips by Irish Residents","2021","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2021","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","3"
"Number of Trips by Irish Residents","2022","Domestic","All modes of transport","Thousand","13274"
"Number of Trips by Irish Residents","2022","Domestic","Air","Thousand","23"
"Number of Trips by Irish Residents","2022","Domestic","Bus/rail","Thousand","1904"
"Number of Trips by Irish Residents","2022","Domestic","Private vehicle","Thousand","11059"
"Number of Trips by Irish Residents","2022","Domestic","Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2022","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","289"
"Number of Trips by Irish Residents","2022","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Trips by Irish Residents","2022","Outbound","All modes of transport","Thousand","8546"
"Number of Trips by Irish Residents","2022","Outbound","Air","Thousand","7262"
"Number of Trips by Irish Residents","2022","Outbound","Bus/rail","Thousand","307"
"Number of Trips by Irish Residents","2022","Outbound","Private vehicle","Thousand","683"
"Number of Trips by Irish Residents","2022","Outbound","Sea/Cruise","Thousand","278"
"Number of Trips by Irish Residents","2022","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Trips by Irish Residents","2022","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","15"
"Number of Nights by Irish Residents","2003","Domestic","All modes of transport","Thousand","23616"
"Number of Nights by Irish Residents","2003","Domestic","Air","Thousand","561"
"Number of Nights by Irish Residents","2003","Domestic","Bus/rail","Thousand","2850"
"Number of Nights by Irish Residents","2003","Domestic","Private vehicle","Thousand","19595"
"Number of Nights by Irish Residents","2003","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","610"
"Number of Nights by Irish Residents","2003","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","All modes of transport","Thousand","43702"
"Number of Nights by Irish Residents","2003","Outbound","Air","Thousand","37259"
"Number of Nights by Irish Residents","2003","Outbound","Bus/rail","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Private vehicle","Thousand","1830"
"Number of Nights by Irish Residents","2003","Outbound","Sea/Cruise","Thousand","3467"
"Number of Nights by Irish Residents","2003","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","390"
"Number of Nights by Irish Residents","2004","Domestic","All modes of transport","Thousand","24189"
"Number of Nights by Irish Residents","2004","Domestic","Air","Thousand","631"
"Number of Nights by Irish Residents","2004","Domestic","Bus/rail","Thousand","2564"
"Number of Nights by Irish Residents","2004","Domestic","Private vehicle","Thousand","20327"
"Number of Nights by Irish Residents","2004","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","667"
"Number of Nights by Irish Residents","2004","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","All modes of transport","Thousand","46302"
"Number of Nights by Irish Residents","2004","Outbound","Air","Thousand","39947"
"Number of Nights by Irish Residents","2004","Outbound","Bus/rail","Thousand","586"
"Number of Nights by Irish Residents","2004","Outbound","Private vehicle","Thousand","1681"
"Number of Nights by Irish Residents","2004","Outbound","Sea/Cruise","Thousand","3659"
"Number of Nights by Irish Residents","2004","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","429"
"Number of Nights by Irish Residents","2005","Domestic","All modes of transport","Thousand","24607"
"Number of Nights by Irish Residents","2005","Domestic","Air","Thousand","689"
"Number of Nights by Irish Residents","2005","Domestic","Bus/rail","Thousand","2665"
"Number of Nights by Irish Residents","2005","Domestic","Private vehicle","Thousand","20611"
"Number of Nights by Irish Residents","2005","Domestic","Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2005","Domestic","Other than: Air; bus/rail; private vehicle","Thousand","641"
"Number of Nights by Irish Residents","2005","Domestic","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand",""
"Number of Nights by Irish Residents","2005","Outbound","All modes of transport","Thousand","51503"
"Number of Nights by Irish Residents","2005","Outbound","Air","Thousand","45177"
"Number of Nights by Irish Residents","2005","Outbound","Bus/rail","Thousand","966"
"Number of Nights by Irish Residents","2005","Outbound","Private vehicle","Thousand","1934"
"Number of Nights by Irish Residents","2005","Outbound","Sea/Cruise","Thousand","2905"
"Number of Nights by Irish Residents","2005","Outbound","Other than: Air; bus/rail; private vehicle","Thousand",""
"Number of Nights by Irish Residents","2005","Outbound","Other than: Air; Bus/Rail; Private Vehicle; Sea/Cruise","Thousand","520"
