"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other Europe (20)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2020","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","All Countries","Thousand","17443"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","United States and Canada","Thousand","355"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Africa (8)","Thousand","1505"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Asia (7)","Thousand","591"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Australia, New Zealand and other oceanic countries","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other America (6)","Thousand","22"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","EU27 excluding Ireland","Thousand","9509"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other Europe (20)","Thousand","5462"
"Number of Nights by Irish Residents on Outbound TravelTravel","2021","Other Europe (21)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","All Countries","Thousand","61205"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","United States and Canada","Thousand","3907"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Africa (8)","Thousand","1645"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Asia (7)","Thousand","1399"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Australia, New Zealand and other oceanic countries","Thousand","1262"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other America (6)","Thousand","1464"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","EU27 excluding Ireland","Thousand","41682"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other Europe (20)","Thousand","9846"
"Number of Nights by Irish Residents on Outbound TravelTravel","2022","Other Europe (21)","Thousand",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","All Countries","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","United States and Canada","Nights per Trip","13.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Africa (8)","Nights per Trip","14.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Asia (7)","Nights per Trip","18.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Australia, New Zealand and other oceanic countries","Nights per Trip","29"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other America (6)","Nights per Trip","13.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","EU27 excluding Ireland","Nights per Trip","7.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other Europe (20)","Nights per Trip","8.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2010","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","All Countries","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","United States and Canada","Nights per Trip","14"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Africa (8)","Nights per Trip","19.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Asia (7)","Nights per Trip","17.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Australia, New Zealand and other oceanic countries","Nights per Trip","27.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other America (6)","Nights per Trip","16.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","EU27 excluding Ireland","Nights per Trip","7.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other Europe (20)","Nights per Trip","8.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2011","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","All Countries","Nights per Trip","8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","United States and Canada","Nights per Trip","15"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Africa (8)","Nights per Trip","15.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Asia (7)","Nights per Trip","16.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Australia, New Zealand and other oceanic countries","Nights per Trip","24.8"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other America (6)","Nights per Trip","14.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","EU27 excluding Ireland","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other Europe (20)","Nights per Trip","7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2012","Other Europe (21)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","All Countries","Nights per Trip","7.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","United States and Canada","Nights per Trip","14.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Africa (8)","Nights per Trip","12.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Asia (7)","Nights per Trip","18.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2013","Australia, New Zealand and other oceanic countries","Nights per Trip","31.7"
