"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Northern Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Denmark/Finland/Sweden","Thousand","76"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","EU28 excluding Ireland","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other EU28 (1)","Thousand",""
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","EU27 excluding Ireland","Thousand","4995"
"Number of Trips by Irish Residents on Outbound Travel Travel","2022","Other EU27 (6)","Thousand","680"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Austria","Thousand","579"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Belgium","Thousand","297"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Germany","Thousand","1334"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Spain","Thousand","14348"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","France","Thousand","5952"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","10451"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Italy","Thousand","3073"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Netherlands","Thousand","446"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Poland","Thousand","463"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Portugal","Thousand","3019"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Great Britain","Thousand","9456"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Northern Ireland","Thousand","995"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Denmark/Finland/Sweden","Thousand","438"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","EU28 excluding Ireland","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other EU28 (1)","Thousand",""
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","EU27 excluding Ireland","Thousand","42235"
"Number of Nights by Irish Residents on Outbound TravelTravel","2010","Other EU27 (6)","Thousand","1836"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Austria","Thousand","449"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Belgium","Thousand","267"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Germany","Thousand","1165"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Spain","Thousand","13947"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","France","Thousand","4455"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","United Kingdom (includes Great Britain & Northern Ireland)","Thousand","10679"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Italy","Thousand","2493"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Netherlands","Thousand","597"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Poland","Thousand","428"
"Number of Nights by Irish Residents on Outbound TravelTravel","2011","Portugal","Thousand","3283"
