"Statistic Label","Year","Country and Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other EU28 (1)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","EU27 excluding Ireland","Nights per Trip","9.6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2021","Other EU27 (6)","Nights per Trip","14.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Austria","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Belgium","Nights per Trip","5.5"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Germany","Nights per Trip","6"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Spain","Nights per Trip","9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","France","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","United Kingdom (includes Great Britain & Northern Ireland)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Italy","Nights per Trip","6.9"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Netherlands","Nights per Trip","4.2"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Poland","Nights per Trip","9.1"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Portugal","Nights per Trip","7.7"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Great Britain","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Northern Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Denmark/Finland/Sweden","Nights per Trip","5.4"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","EU28 excluding Ireland","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other EU28 (1)","Nights per Trip",""
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","EU27 excluding Ireland","Nights per Trip","8.3"
"Average Length of Stay by Irish Residents on Outbound Travel Travel","2022","Other EU27 (6)","Nights per Trip","11.1"
