"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Nights by Irish Residents","2020","Domestic","West","Thousand","2048"
"Number of Nights by Irish Residents","2020","Domestic","Southern","Thousand","7221"
"Number of Nights by Irish Residents","2020","Domestic","Mid-West","Thousand","2408"
"Number of Nights by Irish Residents","2020","Domestic","South-East","Thousand","1584"
"Number of Nights by Irish Residents","2020","Domestic","South-West","Thousand","3228"
"Number of Nights by Irish Residents","2020","Domestic","Eastern and Midland","Thousand","12699"
"Number of Nights by Irish Residents","2020","Domestic","Dublin","Thousand","8341"
"Number of Nights by Irish Residents","2020","Domestic","Mid-East","Thousand","3409"
"Number of Nights by Irish Residents","2020","Domestic","Midland","Thousand","950"
"Number of Nights by Irish Residents","2020","Outbound","State","Thousand","15597"
"Number of Nights by Irish Residents","2020","Outbound","Northern and Western","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Southern","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Eastern and Midland","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2020","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2021","Domestic","State","Thousand","17886"
"Number of Nights by Irish Residents","2021","Domestic","Northern and Western","Thousand","3335"
"Number of Nights by Irish Residents","2021","Domestic","Border","Thousand","1280"
"Number of Nights by Irish Residents","2021","Domestic","West","Thousand","2055"
"Number of Nights by Irish Residents","2021","Domestic","Southern","Thousand","5870"
"Number of Nights by Irish Residents","2021","Domestic","Mid-West","Thousand","1733"
"Number of Nights by Irish Residents","2021","Domestic","South-East","Thousand","1331"
"Number of Nights by Irish Residents","2021","Domestic","South-West","Thousand","2805"
"Number of Nights by Irish Residents","2021","Domestic","Eastern and Midland","Thousand","8682"
"Number of Nights by Irish Residents","2021","Domestic","Dublin","Thousand","5573"
"Number of Nights by Irish Residents","2021","Domestic","Mid-East","Thousand","2153"
"Number of Nights by Irish Residents","2021","Domestic","Midland","Thousand","956"
"Number of Nights by Irish Residents","2021","Outbound","State","Thousand","17443"
"Number of Nights by Irish Residents","2021","Outbound","Northern and Western","Thousand","1809"
"Number of Nights by Irish Residents","2021","Outbound","Border","Thousand","670"
"Number of Nights by Irish Residents","2021","Outbound","West","Thousand","1138"
"Number of Nights by Irish Residents","2021","Outbound","Southern","Thousand","4635"
"Number of Nights by Irish Residents","2021","Outbound","Mid-West","Thousand","1365"
"Number of Nights by Irish Residents","2021","Outbound","South-East","Thousand","1007"
"Number of Nights by Irish Residents","2021","Outbound","South-West","Thousand","2264"
"Number of Nights by Irish Residents","2021","Outbound","Eastern and Midland","Thousand","11000"
"Number of Nights by Irish Residents","2021","Outbound","Dublin","Thousand","8400"
"Number of Nights by Irish Residents","2021","Outbound","Mid-East","Thousand","2198"
"Number of Nights by Irish Residents","2021","Outbound","Midland","Thousand","401"
"Number of Nights by Irish Residents","2022","Domestic","State","Thousand","34236"
"Number of Nights by Irish Residents","2022","Domestic","Northern and Western","Thousand","6747"
"Number of Nights by Irish Residents","2022","Domestic","Border","Thousand","2416"
"Number of Nights by Irish Residents","2022","Domestic","West","Thousand","4331"
"Number of Nights by Irish Residents","2022","Domestic","Southern","Thousand","10613"
"Number of Nights by Irish Residents","2022","Domestic","Mid-West","Thousand","2771"
"Number of Nights by Irish Residents","2022","Domestic","South-East","Thousand","2492"
"Number of Nights by Irish Residents","2022","Domestic","South-West","Thousand","5350"
"Number of Nights by Irish Residents","2022","Domestic","Eastern and Midland","Thousand","16876"
"Number of Nights by Irish Residents","2022","Domestic","Dublin","Thousand","9804"
"Number of Nights by Irish Residents","2022","Domestic","Mid-East","Thousand","5016"
"Number of Nights by Irish Residents","2022","Domestic","Midland","Thousand","2056"
"Number of Nights by Irish Residents","2022","Outbound","State","Thousand","61205"
"Number of Nights by Irish Residents","2022","Outbound","Northern and Western","Thousand","8700"
"Number of Nights by Irish Residents","2022","Outbound","Border","Thousand","4151"
"Number of Nights by Irish Residents","2022","Outbound","West","Thousand","4549"
"Number of Nights by Irish Residents","2022","Outbound","Southern","Thousand","13800"
"Number of Nights by Irish Residents","2022","Outbound","Mid-West","Thousand","4033"
"Number of Nights by Irish Residents","2022","Outbound","South-East","Thousand","2560"
"Number of Nights by Irish Residents","2022","Outbound","South-West","Thousand","7207"
"Number of Nights by Irish Residents","2022","Outbound","Eastern and Midland","Thousand","38705"
"Number of Nights by Irish Residents","2022","Outbound","Dublin","Thousand","27867"
"Number of Nights by Irish Residents","2022","Outbound","Mid-East","Thousand","8667"
"Number of Nights by Irish Residents","2022","Outbound","Midland","Thousand","2171"
"Average Length of Stay by Irish Residents","2018","Domestic","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents","2018","Domestic","Northern and Western","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2018","Domestic","Border","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2018","Domestic","West","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents","2018","Domestic","Southern","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2018","Domestic","Mid-West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents","2018","Domestic","South-East","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents","2018","Domestic","South-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents","2018","Domestic","Eastern and Midland","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents","2018","Domestic","Dublin","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2018","Domestic","Mid-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents","2018","Domestic","Midland","Nights per Trip","2.4"
