"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel","2006","State","Thousand","7310"
"Number of Trips by Irish Residents on Domestic Travel","2006","Border, Midland and Western","Thousand","2302"
"Number of Trips by Irish Residents on Domestic Travel","2006","Border","Thousand","766"
"Number of Trips by Irish Residents on Domestic Travel","2006","Midland","Thousand","307"
"Number of Trips by Irish Residents on Domestic Travel","2006","West","Thousand","1229"
"Number of Trips by Irish Residents on Domestic Travel","2006","Southern and Eastern","Thousand","5008"
"Number of Trips by Irish Residents on Domestic Travel","2006","Dublin","Thousand","1207"
"Number of Trips by Irish Residents on Domestic Travel","2006","Mid-East","Thousand","412"
"Number of Trips by Irish Residents on Domestic Travel","2006","Mid-West","Thousand","736"
"Number of Trips by Irish Residents on Domestic Travel","2006","South-East","Thousand","1044"
"Number of Trips by Irish Residents on Domestic Travel","2006","South-West","Thousand","1610"
"Number of Trips by Irish Residents on Domestic Travel","2007","State","Thousand","7942"
"Number of Trips by Irish Residents on Domestic Travel","2007","Border, Midland and Western","Thousand","2479"
"Number of Trips by Irish Residents on Domestic Travel","2007","Border","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","Midland","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","Southern and Eastern","Thousand","5463"
"Number of Trips by Irish Residents on Domestic Travel","2007","Dublin","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","Mid-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","Mid-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","South-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2007","South-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","State","Thousand","8339"
"Number of Trips by Irish Residents on Domestic Travel","2008","Border, Midland and Western","Thousand","2569"
"Number of Trips by Irish Residents on Domestic Travel","2008","Border","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","Midland","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","Southern and Eastern","Thousand","5770"
"Number of Trips by Irish Residents on Domestic Travel","2008","Dublin","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","Mid-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","Mid-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","South-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2008","South-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","State","Thousand","8340"
"Number of Trips by Irish Residents on Domestic Travel","2009","Border, Midland and Western","Thousand","2635"
"Number of Trips by Irish Residents on Domestic Travel","2009","Border","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","Midland","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","Southern and Eastern","Thousand","5704"
"Number of Trips by Irish Residents on Domestic Travel","2009","Dublin","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","Mid-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","Mid-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","South-East","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2009","South-West","Thousand",""
"Number of Trips by Irish Residents on Domestic Travel","2010","State","Thousand","7300"
"Number of Trips by Irish Residents on Domestic Travel","2010","Border, Midland and Western","Thousand","2302"
"Number of Trips by Irish Residents on Domestic Travel","2010","Border","Thousand","827"
"Number of Trips by Irish Residents on Domestic Travel","2010","Midland","Thousand","223"
"Number of Trips by Irish Residents on Domestic Travel","2010","West","Thousand","1253"
"Number of Trips by Irish Residents on Domestic Travel","2010","Southern and Eastern","Thousand","4998"
"Number of Trips by Irish Residents on Domestic Travel","2010","Dublin","Thousand","1116"
"Number of Trips by Irish Residents on Domestic Travel","2010","Mid-East","Thousand","369"
"Number of Trips by Irish Residents on Domestic Travel","2010","Mid-West","Thousand","754"
"Number of Trips by Irish Residents on Domestic Travel","2010","South-East","Thousand","1136"
"Number of Trips by Irish Residents on Domestic Travel","2010","South-West","Thousand","1622"
"Number of Trips by Irish Residents on Domestic Travel","2011","State","Thousand","7169"
"Number of Trips by Irish Residents on Domestic Travel","2011","Border, Midland and Western","Thousand","2102"
"Number of Trips by Irish Residents on Domestic Travel","2011","Border","Thousand","729"
"Number of Trips by Irish Residents on Domestic Travel","2011","Midland","Thousand","284"
"Number of Trips by Irish Residents on Domestic Travel","2011","West","Thousand","1089"
"Number of Trips by Irish Residents on Domestic Travel","2011","Southern and Eastern","Thousand","5067"
"Number of Trips by Irish Residents on Domestic Travel","2011","Dublin","Thousand","1279"
"Number of Trips by Irish Residents on Domestic Travel","2011","Mid-East","Thousand","503"
"Number of Trips by Irish Residents on Domestic Travel","2011","Mid-West","Thousand","692"
"Number of Trips by Irish Residents on Domestic Travel","2011","South-East","Thousand","1101"
"Number of Trips by Irish Residents on Domestic Travel","2011","South-West","Thousand","1493"
"Number of Trips by Irish Residents on Domestic Travel","2012","State","Thousand","8291"
"Number of Trips by Irish Residents on Domestic Travel","2012","Border, Midland and Western","Thousand","2440"
"Number of Trips by Irish Residents on Domestic Travel","2012","Border","Thousand","847"
"Number of Trips by Irish Residents on Domestic Travel","2012","Midland","Thousand","387"
"Number of Trips by Irish Residents on Domestic Travel","2012","West","Thousand","1206"
"Number of Trips by Irish Residents on Domestic Travel","2012","Southern and Eastern","Thousand","5851"
"Number of Trips by Irish Residents on Domestic Travel","2012","Dublin","Thousand","1642"
"Number of Trips by Irish Residents on Domestic Travel","2012","Mid-East","Thousand","586"
"Number of Trips by Irish Residents on Domestic Travel","2012","Mid-West","Thousand","777"
"Number of Trips by Irish Residents on Domestic Travel","2012","South-East","Thousand","1194"
"Number of Trips by Irish Residents on Domestic Travel","2012","South-West","Thousand","1652"
"Number of Trips by Irish Residents on Domestic Travel","2013","State","Thousand","8413"
"Number of Trips by Irish Residents on Domestic Travel","2013","Border, Midland and Western","Thousand","2635"
"Number of Trips by Irish Residents on Domestic Travel","2013","Border","Thousand","911"
"Number of Trips by Irish Residents on Domestic Travel","2013","Midland","Thousand","359"
"Number of Trips by Irish Residents on Domestic Travel","2013","West","Thousand","1365"
"Number of Trips by Irish Residents on Domestic Travel","2013","Southern and Eastern","Thousand","5779"
"Number of Trips by Irish Residents on Domestic Travel","2013","Dublin","Thousand","1525"
"Number of Trips by Irish Residents on Domestic Travel","2013","Mid-East","Thousand","591"
"Number of Trips by Irish Residents on Domestic Travel","2013","Mid-West","Thousand","800"
"Number of Trips by Irish Residents on Domestic Travel","2013","South-East","Thousand","1137"
"Number of Trips by Irish Residents on Domestic Travel","2013","South-West","Thousand","1725"
"Number of Trips by Irish Residents on Domestic Travel","2014","State","Thousand","8991"
"Number of Trips by Irish Residents on Domestic Travel","2014","Border, Midland and Western","Thousand","2898"
"Number of Trips by Irish Residents on Domestic Travel","2014","Border","Thousand","929"
"Number of Trips by Irish Residents on Domestic Travel","2014","Midland","Thousand","412"
"Number of Trips by Irish Residents on Domestic Travel","2014","West","Thousand","1558"
"Number of Trips by Irish Residents on Domestic Travel","2014","Southern and Eastern","Thousand","6093"
"Number of Trips by Irish Residents on Domestic Travel","2014","Dublin","Thousand","1639"
"Number of Trips by Irish Residents on Domestic Travel","2014","Mid-East","Thousand","612"
"Number of Trips by Irish Residents on Domestic Travel","2014","Mid-West","Thousand","803"
"Number of Trips by Irish Residents on Domestic Travel","2014","South-East","Thousand","1204"
"Number of Trips by Irish Residents on Domestic Travel","2014","South-West","Thousand","1835"
"Number of Trips by Irish Residents on Domestic Travel","2015","State","Thousand","9125"
"Number of Trips by Irish Residents on Domestic Travel","2015","Border, Midland and Western","Thousand","2874"
"Number of Trips by Irish Residents on Domestic Travel","2015","Border","Thousand","953"
"Number of Trips by Irish Residents on Domestic Travel","2015","Midland","Thousand","439"
"Number of Trips by Irish Residents on Domestic Travel","2015","West","Thousand","1482"
"Number of Trips by Irish Residents on Domestic Travel","2015","Southern and Eastern","Thousand","6251"
"Number of Trips by Irish Residents on Domestic Travel","2015","Dublin","Thousand","1599"
"Number of Trips by Irish Residents on Domestic Travel","2015","Mid-East","Thousand","715"
"Number of Trips by Irish Residents on Domestic Travel","2015","Mid-West","Thousand","872"
"Number of Trips by Irish Residents on Domestic Travel","2015","South-East","Thousand","1318"
"Number of Trips by Irish Residents on Domestic Travel","2015","South-West","Thousand","1746"
"Number of Trips by Irish Residents on Domestic Travel","2016","State","Thousand","9359"
"Number of Trips by Irish Residents on Domestic Travel","2016","Border, Midland and Western","Thousand","3018"
"Number of Trips by Irish Residents on Domestic Travel","2016","Border","Thousand","1014"
"Number of Trips by Irish Residents on Domestic Travel","2016","Midland","Thousand","404"
"Number of Trips by Irish Residents on Domestic Travel","2016","West","Thousand","1600"
"Number of Trips by Irish Residents on Domestic Travel","2016","Southern and Eastern","Thousand","6341"
"Number of Trips by Irish Residents on Domestic Travel","2016","Dublin","Thousand","1432"
"Number of Trips by Irish Residents on Domestic Travel","2016","Mid-East","Thousand","707"
"Number of Trips by Irish Residents on Domestic Travel","2016","Mid-West","Thousand","823"
"Number of Trips by Irish Residents on Domestic Travel","2016","South-East","Thousand","1357"
"Number of Trips by Irish Residents on Domestic Travel","2016","South-West","Thousand","2022"
"Number of Trips by Irish Residents on Domestic Travel","2017","State","Thousand","9626"
"Number of Trips by Irish Residents on Domestic Travel","2017","Border, Midland and Western","Thousand","3051"
"Number of Trips by Irish Residents on Domestic Travel","2017","Border","Thousand","1008"
"Number of Trips by Irish Residents on Domestic Travel","2017","Midland","Thousand","422"
"Number of Trips by Irish Residents on Domestic Travel","2017","West","Thousand","1622"
"Number of Trips by Irish Residents on Domestic Travel","2017","Southern and Eastern","Thousand","6575"
"Number of Trips by Irish Residents on Domestic Travel","2017","Dublin","Thousand","1497"
"Number of Trips by Irish Residents on Domestic Travel","2017","Mid-East","Thousand","747"
"Number of Trips by Irish Residents on Domestic Travel","2017","Mid-West","Thousand","879"
"Number of Trips by Irish Residents on Domestic Travel","2017","South-East","Thousand","1374"
"Number of Trips by Irish Residents on Domestic Travel","2017","South-West","Thousand","2077"
"Number of Nights by Irish Residents on Domestic Travel","2000","State","Thousand","20703"
"Number of Nights by Irish Residents on Domestic Travel","2000","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2000","Border","Thousand","2329"
"Number of Nights by Irish Residents on Domestic Travel","2000","Midland","Thousand","637"
"Number of Nights by Irish Residents on Domestic Travel","2000","West","Thousand","3708"
"Number of Nights by Irish Residents on Domestic Travel","2000","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2000","Dublin","Thousand","2230"
"Number of Nights by Irish Residents on Domestic Travel","2000","Mid-East","Thousand","1033"
"Number of Nights by Irish Residents on Domestic Travel","2000","Mid-West","Thousand","2273"
"Number of Nights by Irish Residents on Domestic Travel","2000","South-East","Thousand","3403"
"Number of Nights by Irish Residents on Domestic Travel","2000","South-West","Thousand","5090"
"Number of Nights by Irish Residents on Domestic Travel","2001","State","Thousand","23207"
"Number of Nights by Irish Residents on Domestic Travel","2001","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2001","Border","Thousand","2604"
"Number of Nights by Irish Residents on Domestic Travel","2001","Midland","Thousand","587"
"Number of Nights by Irish Residents on Domestic Travel","2001","West","Thousand","4348"
"Number of Nights by Irish Residents on Domestic Travel","2001","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2001","Dublin","Thousand","2331"
"Number of Nights by Irish Residents on Domestic Travel","2001","Mid-East","Thousand","1089"
"Number of Nights by Irish Residents on Domestic Travel","2001","Mid-West","Thousand","2476"
"Number of Nights by Irish Residents on Domestic Travel","2001","South-East","Thousand","3971"
"Number of Nights by Irish Residents on Domestic Travel","2001","South-West","Thousand","5802"
"Number of Nights by Irish Residents on Domestic Travel","2002","State","Thousand","22222"
"Number of Nights by Irish Residents on Domestic Travel","2002","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2002","Border","Thousand","2301"
"Number of Nights by Irish Residents on Domestic Travel","2002","Midland","Thousand","704"
"Number of Nights by Irish Residents on Domestic Travel","2002","West","Thousand","3932"
"Number of Nights by Irish Residents on Domestic Travel","2002","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2002","Dublin","Thousand","2260"
"Number of Nights by Irish Residents on Domestic Travel","2002","Mid-East","Thousand","976"
"Number of Nights by Irish Residents on Domestic Travel","2002","Mid-West","Thousand","2514"
"Number of Nights by Irish Residents on Domestic Travel","2002","South-East","Thousand","3815"
"Number of Nights by Irish Residents on Domestic Travel","2002","South-West","Thousand","5720"
"Number of Nights by Irish Residents on Domestic Travel","2003","State","Thousand","23616"
"Number of Nights by Irish Residents on Domestic Travel","2003","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2003","Border","Thousand","2567"
"Number of Nights by Irish Residents on Domestic Travel","2003","Midland","Thousand","742"
"Number of Nights by Irish Residents on Domestic Travel","2003","West","Thousand","4491"
"Number of Nights by Irish Residents on Domestic Travel","2003","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2003","Dublin","Thousand","2544"
"Number of Nights by Irish Residents on Domestic Travel","2003","Mid-East","Thousand","1049"
"Number of Nights by Irish Residents on Domestic Travel","2003","Mid-West","Thousand","2644"
"Number of Nights by Irish Residents on Domestic Travel","2003","South-East","Thousand","3764"
"Number of Nights by Irish Residents on Domestic Travel","2003","South-West","Thousand","5814"
"Number of Nights by Irish Residents on Domestic Travel","2004","State","Thousand","24189"
"Number of Nights by Irish Residents on Domestic Travel","2004","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2004","Border","Thousand","2501"
"Number of Nights by Irish Residents on Domestic Travel","2004","Midland","Thousand","817"
"Number of Nights by Irish Residents on Domestic Travel","2004","West","Thousand","4339"
"Number of Nights by Irish Residents on Domestic Travel","2004","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2004","Dublin","Thousand","2639"
"Number of Nights by Irish Residents on Domestic Travel","2004","Mid-East","Thousand","1125"
"Number of Nights by Irish Residents on Domestic Travel","2004","Mid-West","Thousand","2340"
"Number of Nights by Irish Residents on Domestic Travel","2004","South-East","Thousand","4128"
"Number of Nights by Irish Residents on Domestic Travel","2004","South-West","Thousand","6300"
"Number of Nights by Irish Residents on Domestic Travel","2005","State","Thousand","24607"
"Number of Nights by Irish Residents on Domestic Travel","2005","Border, Midland and Western","Thousand","8199"
"Number of Nights by Irish Residents on Domestic Travel","2005","Border","Thousand","2973"
"Number of Nights by Irish Residents on Domestic Travel","2005","Midland","Thousand","774"
"Number of Nights by Irish Residents on Domestic Travel","2005","West","Thousand","4452"
"Number of Nights by Irish Residents on Domestic Travel","2005","Southern and Eastern","Thousand","16408"
"Number of Nights by Irish Residents on Domestic Travel","2005","Dublin","Thousand","2817"
"Number of Nights by Irish Residents on Domestic Travel","2005","Mid-East","Thousand","1364"
"Number of Nights by Irish Residents on Domestic Travel","2005","Mid-West","Thousand","2294"
"Number of Nights by Irish Residents on Domestic Travel","2005","South-East","Thousand","3988"
"Number of Nights by Irish Residents on Domestic Travel","2005","South-West","Thousand","5945"
"Number of Nights by Irish Residents on Domestic Travel","2006","State","Thousand","24203"
"Number of Nights by Irish Residents on Domestic Travel","2006","Border, Midland and Western","Thousand","7538"
"Number of Nights by Irish Residents on Domestic Travel","2006","Border","Thousand","2384"
"Number of Nights by Irish Residents on Domestic Travel","2006","Midland","Thousand","860"
"Number of Nights by Irish Residents on Domestic Travel","2006","West","Thousand","4294"
"Number of Nights by Irish Residents on Domestic Travel","2006","Southern and Eastern","Thousand","16665"
"Number of Nights by Irish Residents on Domestic Travel","2006","Dublin","Thousand","2983"
"Number of Nights by Irish Residents on Domestic Travel","2006","Mid-East","Thousand","1089"
"Number of Nights by Irish Residents on Domestic Travel","2006","Mid-West","Thousand","2500"
"Number of Nights by Irish Residents on Domestic Travel","2006","South-East","Thousand","3811"
"Number of Nights by Irish Residents on Domestic Travel","2006","South-West","Thousand","6282"
"Number of Nights by Irish Residents on Domestic Travel","2007","State","Thousand","26328"
"Number of Nights by Irish Residents on Domestic Travel","2007","Border, Midland and Western","Thousand","7947"
"Number of Nights by Irish Residents on Domestic Travel","2007","Border","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","Midland","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","Southern and Eastern","Thousand","18381"
"Number of Nights by Irish Residents on Domestic Travel","2007","Dublin","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","Mid-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","Mid-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","South-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2007","South-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","State","Thousand","26195"
"Number of Nights by Irish Residents on Domestic Travel","2008","Border, Midland and Western","Thousand","8016"
"Number of Nights by Irish Residents on Domestic Travel","2008","Border","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","Midland","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","Southern and Eastern","Thousand","18178"
"Number of Nights by Irish Residents on Domestic Travel","2008","Dublin","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","Mid-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","Mid-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","South-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2008","South-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","State","Thousand","26027"
"Number of Nights by Irish Residents on Domestic Travel","2009","Border, Midland and Western","Thousand","8404"
"Number of Nights by Irish Residents on Domestic Travel","2009","Border","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","Midland","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","Southern and Eastern","Thousand","17623"
"Number of Nights by Irish Residents on Domestic Travel","2009","Dublin","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","Mid-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","Mid-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","South-East","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2009","South-West","Thousand",""
"Number of Nights by Irish Residents on Domestic Travel","2010","State","Thousand","22540"
"Number of Nights by Irish Residents on Domestic Travel","2010","Border, Midland and Western","Thousand","7205"
"Number of Nights by Irish Residents on Domestic Travel","2010","Border","Thousand","2658"
"Number of Nights by Irish Residents on Domestic Travel","2010","Midland","Thousand","472"
"Number of Nights by Irish Residents on Domestic Travel","2010","West","Thousand","4075"
"Number of Nights by Irish Residents on Domestic Travel","2010","Southern and Eastern","Thousand","15335"
"Number of Nights by Irish Residents on Domestic Travel","2010","Dublin","Thousand","2695"
"Number of Nights by Irish Residents on Domestic Travel","2010","Mid-East","Thousand","886"
"Number of Nights by Irish Residents on Domestic Travel","2010","Mid-West","Thousand","2314"
"Number of Nights by Irish Residents on Domestic Travel","2010","South-East","Thousand","3350"
"Number of Nights by Irish Residents on Domestic Travel","2010","South-West","Thousand","6091"
"Number of Nights by Irish Residents on Domestic Travel","2011","State","Thousand","21628"
"Number of Nights by Irish Residents on Domestic Travel","2011","Border, Midland and Western","Thousand","6387"
"Number of Nights by Irish Residents on Domestic Travel","2011","Border","Thousand","2363"
"Number of Nights by Irish Residents on Domestic Travel","2011","Midland","Thousand","565"
"Number of Nights by Irish Residents on Domestic Travel","2011","West","Thousand","3459"
"Number of Nights by Irish Residents on Domestic Travel","2011","Southern and Eastern","Thousand","15241"
"Number of Nights by Irish Residents on Domestic Travel","2011","Dublin","Thousand","2956"
"Number of Nights by Irish Residents on Domestic Travel","2011","Mid-East","Thousand","1215"
"Number of Nights by Irish Residents on Domestic Travel","2011","Mid-West","Thousand","2164"
"Number of Nights by Irish Residents on Domestic Travel","2011","South-East","Thousand","3576"
"Number of Nights by Irish Residents on Domestic Travel","2011","South-West","Thousand","5330"
"Number of Nights by Irish Residents on Domestic Travel","2012","State","Thousand","23703"
"Number of Nights by Irish Residents on Domestic Travel","2012","Border, Midland and Western","Thousand","7078"
"Number of Nights by Irish Residents on Domestic Travel","2012","Border","Thousand","2525"
"Number of Nights by Irish Residents on Domestic Travel","2012","Midland","Thousand","721"
"Number of Nights by Irish Residents on Domestic Travel","2012","West","Thousand","3831"
"Number of Nights by Irish Residents on Domestic Travel","2012","Southern and Eastern","Thousand","16626"
"Number of Nights by Irish Residents on Domestic Travel","2012","Dublin","Thousand","3824"
"Number of Nights by Irish Residents on Domestic Travel","2012","Mid-East","Thousand","1400"
"Number of Nights by Irish Residents on Domestic Travel","2012","Mid-West","Thousand","2276"
"Number of Nights by Irish Residents on Domestic Travel","2012","South-East","Thousand","3487"
"Number of Nights by Irish Residents on Domestic Travel","2012","South-West","Thousand","5638"
"Number of Nights by Irish Residents on Domestic Travel","2013","State","Thousand","24195"
"Number of Nights by Irish Residents on Domestic Travel","2013","Border, Midland and Western","Thousand","8095"
"Number of Nights by Irish Residents on Domestic Travel","2013","Border","Thousand","2792"
"Number of Nights by Irish Residents on Domestic Travel","2013","Midland","Thousand","711"
"Number of Nights by Irish Residents on Domestic Travel","2013","West","Thousand","4592"
"Number of Nights by Irish Residents on Domestic Travel","2013","Southern and Eastern","Thousand","16099"
"Number of Nights by Irish Residents on Domestic Travel","2013","Dublin","Thousand","3179"
"Number of Nights by Irish Residents on Domestic Travel","2013","Mid-East","Thousand","1227"
"Number of Nights by Irish Residents on Domestic Travel","2013","Mid-West","Thousand","2435"
"Number of Nights by Irish Residents on Domestic Travel","2013","South-East","Thousand","3421"
"Number of Nights by Irish Residents on Domestic Travel","2013","South-West","Thousand","5836"
"Number of Nights by Irish Residents on Domestic Travel","2014","State","Thousand","26086"
