"Statistic Label","Year","Sex","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2007","Male","Domestic","Thousand","12419"
"Number of Nights by Irish Residents","2007","Male","Outbound","Thousand","30355"
"Number of Nights by Irish Residents","2007","Female","Domestic","Thousand","13908"
"Number of Nights by Irish Residents","2007","Female","Outbound","Thousand","31881"
"Number of Nights by Irish Residents","2008","Both sexes","Domestic","Thousand","26195"
"Number of Nights by Irish Residents","2008","Both sexes","Outbound","Thousand","63498"
"Number of Nights by Irish Residents","2008","Male","Domestic","Thousand","12153"
"Number of Nights by Irish Residents","2008","Male","Outbound","Thousand","30451"
"Number of Nights by Irish Residents","2008","Female","Domestic","Thousand","14042"
"Number of Nights by Irish Residents","2008","Female","Outbound","Thousand","33047"
"Number of Nights by Irish Residents","2009","Both sexes","Domestic","Thousand","26027"
"Number of Nights by Irish Residents","2009","Both sexes","Outbound","Thousand","55667"
"Number of Nights by Irish Residents","2009","Male","Domestic","Thousand","12179"
"Number of Nights by Irish Residents","2009","Male","Outbound","Thousand","26889"
"Number of Nights by Irish Residents","2009","Female","Domestic","Thousand","13848"
"Number of Nights by Irish Residents","2009","Female","Outbound","Thousand","28777"
"Number of Nights by Irish Residents","2010","Both sexes","Domestic","Thousand","22540"
"Number of Nights by Irish Residents","2010","Both sexes","Outbound","Thousand","57473"
"Number of Nights by Irish Residents","2010","Male","Domestic","Thousand","10206"
"Number of Nights by Irish Residents","2010","Male","Outbound","Thousand","27371"
"Number of Nights by Irish Residents","2010","Female","Domestic","Thousand","12333"
"Number of Nights by Irish Residents","2010","Female","Outbound","Thousand","30102"
"Number of Nights by Irish Residents","2011","Both sexes","Domestic","Thousand","21628"
"Number of Nights by Irish Residents","2011","Both sexes","Outbound","Thousand","54014"
"Number of Nights by Irish Residents","2011","Male","Domestic","Thousand","9731"
"Number of Nights by Irish Residents","2011","Male","Outbound","Thousand","25236"
"Number of Nights by Irish Residents","2011","Female","Domestic","Thousand","11897"
"Number of Nights by Irish Residents","2011","Female","Outbound","Thousand","28778"
"Number of Nights by Irish Residents","2012","Both sexes","Domestic","Thousand","23703"
"Number of Nights by Irish Residents","2012","Both sexes","Outbound","Thousand","53112"
"Number of Nights by Irish Residents","2012","Male","Domestic","Thousand","11053"
"Number of Nights by Irish Residents","2012","Male","Outbound","Thousand","26185"
"Number of Nights by Irish Residents","2012","Female","Domestic","Thousand","12651"
"Number of Nights by Irish Residents","2012","Female","Outbound","Thousand","26928"
"Number of Nights by Irish Residents","2013","Both sexes","Domestic","Thousand","24195"
"Number of Nights by Irish Residents","2013","Both sexes","Outbound","Thousand","51985"
"Number of Nights by Irish Residents","2013","Male","Domestic","Thousand","10932"
"Number of Nights by Irish Residents","2013","Male","Outbound","Thousand","24821"
"Number of Nights by Irish Residents","2013","Female","Domestic","Thousand","13263"
"Number of Nights by Irish Residents","2013","Female","Outbound","Thousand","27164"
"Number of Nights by Irish Residents","2014","Both sexes","Domestic","Thousand","26086"
"Number of Nights by Irish Residents","2014","Both sexes","Outbound","Thousand","53652"
"Number of Nights by Irish Residents","2014","Male","Domestic","Thousand","12094"
"Number of Nights by Irish Residents","2014","Male","Outbound","Thousand","26137"
"Number of Nights by Irish Residents","2014","Female","Domestic","Thousand","13992"
"Number of Nights by Irish Residents","2014","Female","Outbound","Thousand","27516"
"Number of Nights by Irish Residents","2015","Both sexes","Domestic","Thousand","25267"
"Number of Nights by Irish Residents","2015","Both sexes","Outbound","Thousand","53515"
"Number of Nights by Irish Residents","2015","Male","Domestic","Thousand","11790"
"Number of Nights by Irish Residents","2015","Male","Outbound","Thousand","25379"
"Number of Nights by Irish Residents","2015","Female","Domestic","Thousand","13477"
"Number of Nights by Irish Residents","2015","Female","Outbound","Thousand","28137"
"Number of Nights by Irish Residents","2016","Both sexes","Domestic","Thousand","25589"
"Number of Nights by Irish Residents","2016","Both sexes","Outbound","Thousand","56748"
"Number of Nights by Irish Residents","2016","Male","Domestic","Thousand","11617"
"Number of Nights by Irish Residents","2016","Male","Outbound","Thousand","27507"
"Number of Nights by Irish Residents","2016","Female","Domestic","Thousand","13972"
"Number of Nights by Irish Residents","2016","Female","Outbound","Thousand","29240"
"Number of Nights by Irish Residents","2017","Both sexes","Domestic","Thousand","25539"
"Number of Nights by Irish Residents","2017","Both sexes","Outbound","Thousand","57698"
"Number of Nights by Irish Residents","2017","Male","Domestic","Thousand","11721"
"Number of Nights by Irish Residents","2017","Male","Outbound","Thousand","27591"
"Number of Nights by Irish Residents","2017","Female","Domestic","Thousand","13818"
"Number of Nights by Irish Residents","2017","Female","Outbound","Thousand","30107"
"Number of Nights by Irish Residents","2018","Both sexes","Domestic","Thousand","28393"
"Number of Nights by Irish Residents","2018","Both sexes","Outbound","Thousand","60623"
"Number of Nights by Irish Residents","2018","Male","Domestic","Thousand","12594"
"Number of Nights by Irish Residents","2018","Male","Outbound","Thousand","30099"
"Number of Nights by Irish Residents","2018","Female","Domestic","Thousand","15799"
"Number of Nights by Irish Residents","2018","Female","Outbound","Thousand","30523"
"Number of Nights by Irish Residents","2019","Both sexes","Domestic","Thousand","29469"
"Number of Nights by Irish Residents","2019","Both sexes","Outbound","Thousand","66927"
"Number of Nights by Irish Residents","2019","Male","Domestic","Thousand","13518"
"Number of Nights by Irish Residents","2019","Male","Outbound","Thousand","33394"
"Number of Nights by Irish Residents","2019","Female","Domestic","Thousand","15951"
"Number of Nights by Irish Residents","2019","Female","Outbound","Thousand","33532"
"Number of Nights by Irish Residents","2020","Both sexes","Domestic","Thousand","23518"
"Number of Nights by Irish Residents","2020","Both sexes","Outbound","Thousand","15597"
"Number of Nights by Irish Residents","2020","Male","Domestic","Thousand","11157"
"Number of Nights by Irish Residents","2020","Male","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","Female","Domestic","Thousand","12361"
"Number of Nights by Irish Residents","2020","Female","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","Both sexes","Domestic","Thousand","17886"
"Number of Nights by Irish Residents","2021","Both sexes","Outbound","Thousand","17443"
"Number of Nights by Irish Residents","2021","Male","Domestic","Thousand","8257"
"Number of Nights by Irish Residents","2021","Male","Outbound","Thousand","8976"
"Number of Nights by Irish Residents","2021","Female","Domestic","Thousand","9629"
"Number of Nights by Irish Residents","2021","Female","Outbound","Thousand","8467"
"Number of Nights by Irish Residents","2022","Both sexes","Domestic","Thousand","34236"
"Number of Nights by Irish Residents","2022","Both sexes","Outbound","Thousand","61205"
"Number of Nights by Irish Residents","2022","Male","Domestic","Thousand","15807"
"Number of Nights by Irish Residents","2022","Male","Outbound","Thousand","29621"
"Number of Nights by Irish Residents","2022","Female","Domestic","Thousand","18430"
"Number of Nights by Irish Residents","2022","Female","Outbound","Thousand","31584"
"Average Length of Stay by Irish Residents","2000","Both sexes","Domestic","Nights per Trip","3.8"
"Average Length of Stay by Irish Residents","2000","Both sexes","Outbound","Nights per Trip","9.4"
"Average Length of Stay by Irish Residents","2000","Male","Domestic","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents","2000","Male","Outbound","Nights per Trip","8.9"
"Average Length of Stay by Irish Residents","2000","Female","Domestic","Nights per Trip","3.8"
