"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Mid-West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","South-East","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","South-West","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Eastern and Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Dublin","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2018","Midland","Nights per Trip","1.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","State","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Northern and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Border","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Mid-West","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","South-East","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","South-West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Eastern and Midland","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Dublin","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Mid-East","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2019","Midland","Nights per Trip","1.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","State","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Northern and Western","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Border","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","West","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Southern","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Mid-West","Nights per Trip","3.1"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","South-West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Eastern and Midland","Nights per Trip","2.3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Dublin","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Mid-East","Nights per Trip","2.1"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2020","Midland","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","State","Nights per Trip","3.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Northern and Western","Nights per Trip","3.5"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Border","Nights per Trip","3.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Southern","Nights per Trip","3.4"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Mid-West","Nights per Trip","3.3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","South-East","Nights per Trip","3"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","South-West","Nights per Trip","3.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Eastern and Midland","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Dublin","Nights per Trip","2.4"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Mid-East","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2021","Midland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","State","Nights per Trip","2.6"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Northern and Western","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Border","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","West","Nights per Trip","2.7"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Southern","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Mid-West","Nights per Trip","2.5"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","South-East","Nights per Trip","2.9"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","South-West","Nights per Trip","2.8"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Eastern and Midland","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Dublin","Nights per Trip","2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Mid-East","Nights per Trip","2.2"
"Average Length of Stay by Irish Residents on Domestic Travel Travel","2022","Midland","Nights per Trip","2.7"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","State","Euro Million","2006"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Northern and Western","Euro Million","517.2"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Border","Euro Million","179.9"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","West","Euro Million","337.3"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Southern","Euro Million","945.2"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Mid-West","Euro Million","167.3"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","South-East","Euro Million","303.5"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","South-West","Euro Million","474.4"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Eastern and Midland","Euro Million","543.6"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Dublin","Euro Million","343"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Mid-East","Euro Million","120.7"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2018","Midland","Euro Million","79.9"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","State","Euro Million","2146.6"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Northern and Western","Euro Million","570.4"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Border","Euro Million","200.4"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","West","Euro Million","370"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Southern","Euro Million","1039.6"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Mid-West","Euro Million","216.7"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","South-East","Euro Million","311.8"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","South-West","Euro Million","511.1"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Eastern and Midland","Euro Million","536.6"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Dublin","Euro Million","296.5"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Mid-East","Euro Million","162.3"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2019","Midland","Euro Million","77.9"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","State","Euro Million","1554"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Northern and Western","Euro Million","498"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Border","Euro Million","182"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","West","Euro Million","315"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Southern","Euro Million","740"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Mid-West","Euro Million","169"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","South-East","Euro Million","180"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","South-West","Euro Million","391"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Eastern and Midland","Euro Million","316"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Dublin","Euro Million","150"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Mid-East","Euro Million","91"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2020","Midland","Euro Million","76"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","State","Euro Million","1291"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Northern and Western","Euro Million","375"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Border","Euro Million","136"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","West","Euro Million","239"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Southern","Euro Million","621"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Mid-West","Euro Million","117"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","South-East","Euro Million","162"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","South-West","Euro Million","342"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Eastern and Midland","Euro Million","295"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Dublin","Euro Million","157"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Mid-East","Euro Million","90"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2021","Midland","Euro Million","47"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","State","Euro Million","2930"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Northern and Western","Euro Million","809"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Border","Euro Million","350"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","West","Euro Million","459"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Southern","Euro Million","1307"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Mid-West","Euro Million","261"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","South-East","Euro Million","381"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","South-West","Euro Million","665"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Eastern and Midland","Euro Million","814"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Dublin","Euro Million","419"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Mid-East","Euro Million","213"
"Estimated Expenditure by Irish Residents on Domestic Travel Travel","2022","Midland","Euro Million","182"
