"Statistic Label","Year","Domestic","Region of Residence","UNIT","VALUE"
"Number of Trips by Irish Residents","2017","Outbound","State","Thousand","8171"
"Number of Trips by Irish Residents","2017","Outbound","Border, Midland and Western","Thousand","1724"
"Number of Trips by Irish Residents","2017","Outbound","Border","Thousand","822"
"Number of Trips by Irish Residents","2017","Outbound","Midland","Thousand","361"
"Number of Trips by Irish Residents","2017","Outbound","West","Thousand","540"
"Number of Trips by Irish Residents","2017","Outbound","Southern and Eastern","Thousand","6447"
"Number of Trips by Irish Residents","2017","Outbound","Dublin","Thousand","3210"
"Number of Trips by Irish Residents","2017","Outbound","Mid-East","Thousand","1004"
"Number of Trips by Irish Residents","2017","Outbound","Mid-West","Thousand","538"
"Number of Trips by Irish Residents","2017","Outbound","South-East","Thousand","712"
"Number of Trips by Irish Residents","2017","Outbound","South-West","Thousand","983"
"Number of Nights by Irish Residents","2000","Domestic","State","Thousand","20703"
"Number of Nights by Irish Residents","2000","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2000","Domestic","Border","Thousand","1713"
"Number of Nights by Irish Residents","2000","Domestic","Midland","Thousand","938"
"Number of Nights by Irish Residents","2000","Domestic","West","Thousand","1526"
"Number of Nights by Irish Residents","2000","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2000","Domestic","Dublin","Thousand","7359"
"Number of Nights by Irish Residents","2000","Domestic","Mid-East","Thousand","2276"
"Number of Nights by Irish Residents","2000","Domestic","Mid-West","Thousand","1740"
"Number of Nights by Irish Residents","2000","Domestic","South-East","Thousand","1808"
"Number of Nights by Irish Residents","2000","Domestic","South-West","Thousand","3343"
"Number of Nights by Irish Residents","2000","Outbound","State","Thousand","35544"
"Number of Nights by Irish Residents","2000","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2000","Outbound","Border","Thousand","2848"
"Number of Nights by Irish Residents","2000","Outbound","Midland","Thousand","1400"
"Number of Nights by Irish Residents","2000","Outbound","West","Thousand","2502"
"Number of Nights by Irish Residents","2000","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2000","Outbound","Dublin","Thousand","14450"
"Number of Nights by Irish Residents","2000","Outbound","Mid-East","Thousand","3940"
"Number of Nights by Irish Residents","2000","Outbound","Mid-West","Thousand","2488"
"Number of Nights by Irish Residents","2000","Outbound","South-East","Thousand","2755"
"Number of Nights by Irish Residents","2000","Outbound","South-West","Thousand","5161"
"Number of Nights by Irish Residents","2001","Domestic","State","Thousand","23207"
"Number of Nights by Irish Residents","2001","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2001","Domestic","Border","Thousand","1965"
"Number of Nights by Irish Residents","2001","Domestic","Midland","Thousand","980"
"Number of Nights by Irish Residents","2001","Domestic","West","Thousand","1899"
"Number of Nights by Irish Residents","2001","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2001","Domestic","Dublin","Thousand","8031"
"Number of Nights by Irish Residents","2001","Domestic","Mid-East","Thousand","2486"
"Number of Nights by Irish Residents","2001","Domestic","Mid-West","Thousand","2219"
"Number of Nights by Irish Residents","2001","Domestic","South-East","Thousand","2106"
"Number of Nights by Irish Residents","2001","Domestic","South-West","Thousand","3521"
"Number of Nights by Irish Residents","2001","Outbound","State","Thousand","37953"
"Number of Nights by Irish Residents","2001","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2001","Outbound","Border","Thousand","2905"
"Number of Nights by Irish Residents","2001","Outbound","Midland","Thousand","1474"
"Number of Nights by Irish Residents","2001","Outbound","West","Thousand","2860"
"Number of Nights by Irish Residents","2001","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2001","Outbound","Dublin","Thousand","15564"
"Number of Nights by Irish Residents","2001","Outbound","Mid-East","Thousand","4722"
"Number of Nights by Irish Residents","2001","Outbound","Mid-West","Thousand","2632"
"Number of Nights by Irish Residents","2001","Outbound","South-East","Thousand","2903"
"Number of Nights by Irish Residents","2001","Outbound","South-West","Thousand","4894"
"Number of Nights by Irish Residents","2002","Domestic","State","Thousand","22222"
"Number of Nights by Irish Residents","2002","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2002","Domestic","Border","Thousand","1506"
"Number of Nights by Irish Residents","2002","Domestic","Midland","Thousand","924"
"Number of Nights by Irish Residents","2002","Domestic","West","Thousand","1712"
"Number of Nights by Irish Residents","2002","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2002","Domestic","Dublin","Thousand","8375"
"Number of Nights by Irish Residents","2002","Domestic","Mid-East","Thousand","2776"
"Number of Nights by Irish Residents","2002","Domestic","Mid-West","Thousand","2042"
"Number of Nights by Irish Residents","2002","Domestic","South-East","Thousand","1757"
"Number of Nights by Irish Residents","2002","Domestic","South-West","Thousand","3128"
"Number of Nights by Irish Residents","2002","Outbound","State","Thousand","40660"
"Number of Nights by Irish Residents","2002","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2002","Outbound","Border","Thousand","3243"
"Number of Nights by Irish Residents","2002","Outbound","Midland","Thousand","1523"
"Number of Nights by Irish Residents","2002","Outbound","West","Thousand","2850"
"Number of Nights by Irish Residents","2002","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2002","Outbound","Dublin","Thousand","16603"
"Number of Nights by Irish Residents","2002","Outbound","Mid-East","Thousand","4607"
"Number of Nights by Irish Residents","2002","Outbound","Mid-West","Thousand","2885"
"Number of Nights by Irish Residents","2002","Outbound","South-East","Thousand","3527"
"Number of Nights by Irish Residents","2002","Outbound","South-West","Thousand","5423"
"Number of Nights by Irish Residents","2003","Domestic","State","Thousand","23616"
"Number of Nights by Irish Residents","2003","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Border","Thousand","1799"
"Number of Nights by Irish Residents","2003","Domestic","Midland","Thousand","1120"
"Number of Nights by Irish Residents","2003","Domestic","West","Thousand","2039"
"Number of Nights by Irish Residents","2003","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2003","Domestic","Dublin","Thousand","8465"
"Number of Nights by Irish Residents","2003","Domestic","Mid-East","Thousand","2570"
"Number of Nights by Irish Residents","2003","Domestic","Mid-West","Thousand","2214"
"Number of Nights by Irish Residents","2003","Domestic","South-East","Thousand","2005"
"Number of Nights by Irish Residents","2003","Domestic","South-West","Thousand","3403"
"Number of Nights by Irish Residents","2003","Outbound","State","Thousand","43702"
"Number of Nights by Irish Residents","2003","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Border","Thousand","2939"
"Number of Nights by Irish Residents","2003","Outbound","Midland","Thousand","1669"
"Number of Nights by Irish Residents","2003","Outbound","West","Thousand","3417"
"Number of Nights by Irish Residents","2003","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2003","Outbound","Dublin","Thousand","18827"
"Number of Nights by Irish Residents","2003","Outbound","Mid-East","Thousand","5580"
"Number of Nights by Irish Residents","2003","Outbound","Mid-West","Thousand","2926"
"Number of Nights by Irish Residents","2003","Outbound","South-East","Thousand","3008"
"Number of Nights by Irish Residents","2003","Outbound","South-West","Thousand","5335"
"Number of Nights by Irish Residents","2004","Domestic","State","Thousand","24189"
"Number of Nights by Irish Residents","2004","Domestic","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Border","Thousand","2111"
"Number of Nights by Irish Residents","2004","Domestic","Midland","Thousand","1180"
"Number of Nights by Irish Residents","2004","Domestic","West","Thousand","2039"
"Number of Nights by Irish Residents","2004","Domestic","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2004","Domestic","Dublin","Thousand","8628"
"Number of Nights by Irish Residents","2004","Domestic","Mid-East","Thousand","2687"
"Number of Nights by Irish Residents","2004","Domestic","Mid-West","Thousand","2012"
"Number of Nights by Irish Residents","2004","Domestic","South-East","Thousand","2025"
"Number of Nights by Irish Residents","2004","Domestic","South-West","Thousand","3508"
"Number of Nights by Irish Residents","2004","Outbound","State","Thousand","46302"
"Number of Nights by Irish Residents","2004","Outbound","Border, Midland and Western","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Border","Thousand","3858"
"Number of Nights by Irish Residents","2004","Outbound","Midland","Thousand","2209"
"Number of Nights by Irish Residents","2004","Outbound","West","Thousand","3550"
"Number of Nights by Irish Residents","2004","Outbound","Southern and Eastern","Thousand",""
"Number of Nights by Irish Residents","2004","Outbound","Dublin","Thousand","17928"
"Number of Nights by Irish Residents","2004","Outbound","Mid-East","Thousand","5321"
"Number of Nights by Irish Residents","2004","Outbound","Mid-West","Thousand","3553"
"Number of Nights by Irish Residents","2004","Outbound","South-East","Thousand","3441"
"Number of Nights by Irish Residents","2004","Outbound","South-West","Thousand","6441"
"Number of Nights by Irish Residents","2005","Domestic","State","Thousand","24607"
"Number of Nights by Irish Residents","2005","Domestic","Border, Midland and Western","Thousand","6080"
"Number of Nights by Irish Residents","2005","Domestic","Border","Thousand","2403"
"Number of Nights by Irish Residents","2005","Domestic","Midland","Thousand","1252"
"Number of Nights by Irish Residents","2005","Domestic","West","Thousand","2425"
"Number of Nights by Irish Residents","2005","Domestic","Southern and Eastern","Thousand","18527"
"Number of Nights by Irish Residents","2005","Domestic","Dublin","Thousand","7901"
"Number of Nights by Irish Residents","2005","Domestic","Mid-East","Thousand","2548"
"Number of Nights by Irish Residents","2005","Domestic","Mid-West","Thousand","2231"
"Number of Nights by Irish Residents","2005","Domestic","South-East","Thousand","2367"
"Number of Nights by Irish Residents","2005","Domestic","South-West","Thousand","3480"
"Number of Nights by Irish Residents","2005","Outbound","State","Thousand","51503"
"Number of Nights by Irish Residents","2005","Outbound","Border, Midland and Western","Thousand","11474"
"Number of Nights by Irish Residents","2005","Outbound","Border","Thousand","4399"
"Number of Nights by Irish Residents","2005","Outbound","Midland","Thousand","2422"
"Number of Nights by Irish Residents","2005","Outbound","West","Thousand","4653"
"Number of Nights by Irish Residents","2005","Outbound","Southern and Eastern","Thousand","40029"
"Number of Nights by Irish Residents","2005","Outbound","Dublin","Thousand","19358"
"Number of Nights by Irish Residents","2005","Outbound","Mid-East","Thousand","5510"
"Number of Nights by Irish Residents","2005","Outbound","Mid-West","Thousand","3588"
"Number of Nights by Irish Residents","2005","Outbound","South-East","Thousand","4757"
"Number of Nights by Irish Residents","2005","Outbound","South-West","Thousand","6815"
"Number of Nights by Irish Residents","2006","Domestic","State","Thousand","24203"
"Number of Nights by Irish Residents","2006","Domestic","Border, Midland and Western","Thousand","5237"
"Number of Nights by Irish Residents","2006","Domestic","Border","Thousand","2014"
"Number of Nights by Irish Residents","2006","Domestic","Midland","Thousand","1300"
"Number of Nights by Irish Residents","2006","Domestic","West","Thousand","1923"
"Number of Nights by Irish Residents","2006","Domestic","Southern and Eastern","Thousand","18966"
"Number of Nights by Irish Residents","2006","Domestic","Dublin","Thousand","8340"
"Number of Nights by Irish Residents","2006","Domestic","Mid-East","Thousand","2498"
"Number of Nights by Irish Residents","2006","Domestic","Mid-West","Thousand","2234"
"Number of Nights by Irish Residents","2006","Domestic","South-East","Thousand","2394"
"Number of Nights by Irish Residents","2006","Domestic","South-West","Thousand","3499"
"Number of Nights by Irish Residents","2006","Outbound","State","Thousand","54266"
"Number of Nights by Irish Residents","2006","Outbound","Border, Midland and Western","Thousand","11360"
"Number of Nights by Irish Residents","2006","Outbound","Border","Thousand","4612"
"Number of Nights by Irish Residents","2006","Outbound","Midland","Thousand","2377"
"Number of Nights by Irish Residents","2006","Outbound","West","Thousand","4371"
"Number of Nights by Irish Residents","2006","Outbound","Southern and Eastern","Thousand","42906"
"Number of Nights by Irish Residents","2006","Outbound","Dublin","Thousand","21529"
"Number of Nights by Irish Residents","2006","Outbound","Mid-East","Thousand","6215"
"Number of Nights by Irish Residents","2006","Outbound","Mid-West","Thousand","3594"
"Number of Nights by Irish Residents","2006","Outbound","South-East","Thousand","4756"
"Number of Nights by Irish Residents","2006","Outbound","South-West","Thousand","6812"
"Number of Nights by Irish Residents","2007","Domestic","State","Thousand","26328"
"Number of Nights by Irish Residents","2007","Domestic","Border, Midland and Western","Thousand","5283"
"Number of Nights by Irish Residents","2007","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Southern and Eastern","Thousand","21045"
"Number of Nights by Irish Residents","2007","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2007","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","State","Thousand","62236"
"Number of Nights by Irish Residents","2007","Outbound","Border, Midland and Western","Thousand","12650"
"Number of Nights by Irish Residents","2007","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Southern and Eastern","Thousand","49587"
"Number of Nights by Irish Residents","2007","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2007","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","State","Thousand","26195"
"Number of Nights by Irish Residents","2008","Domestic","Border, Midland and Western","Thousand","5419"
"Number of Nights by Irish Residents","2008","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Southern and Eastern","Thousand","20776"
"Number of Nights by Irish Residents","2008","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2008","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","State","Thousand","63498"
"Number of Nights by Irish Residents","2008","Outbound","Border, Midland and Western","Thousand","12898"
"Number of Nights by Irish Residents","2008","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Southern and Eastern","Thousand","50600"
"Number of Nights by Irish Residents","2008","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2008","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","State","Thousand","26027"
"Number of Nights by Irish Residents","2009","Domestic","Border, Midland and Western","Thousand","5736"
"Number of Nights by Irish Residents","2009","Domestic","Border","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Midland","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","West","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Southern and Eastern","Thousand","20291"
"Number of Nights by Irish Residents","2009","Domestic","Dublin","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","South-East","Thousand",""
"Number of Nights by Irish Residents","2009","Domestic","South-West","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","State","Thousand","55667"
"Number of Nights by Irish Residents","2009","Outbound","Border, Midland and Western","Thousand","11630"
"Number of Nights by Irish Residents","2009","Outbound","Border","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Midland","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","West","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Southern and Eastern","Thousand","44038"
"Number of Nights by Irish Residents","2009","Outbound","Dublin","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Mid-East","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","Mid-West","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","South-East","Thousand",""
"Number of Nights by Irish Residents","2009","Outbound","South-West","Thousand",""
"Number of Nights by Irish Residents","2010","Domestic","State","Thousand","22540"
"Number of Nights by Irish Residents","2010","Domestic","Border, Midland and Western","Thousand","4768"
"Number of Nights by Irish Residents","2010","Domestic","Border","Thousand","1656"
"Number of Nights by Irish Residents","2010","Domestic","Midland","Thousand","862"
"Number of Nights by Irish Residents","2010","Domestic","West","Thousand","2251"
"Number of Nights by Irish Residents","2010","Domestic","Southern and Eastern","Thousand","17772"
"Number of Nights by Irish Residents","2010","Domestic","Dublin","Thousand","7471"
"Number of Nights by Irish Residents","2010","Domestic","Mid-East","Thousand","2669"
"Number of Nights by Irish Residents","2010","Domestic","Mid-West","Thousand","1816"
"Number of Nights by Irish Residents","2010","Domestic","South-East","Thousand","2162"
"Number of Nights by Irish Residents","2010","Domestic","South-West","Thousand","3654"
"Number of Nights by Irish Residents","2010","Outbound","State","Thousand","57473"
"Number of Nights by Irish Residents","2010","Outbound","Border, Midland and Western","Thousand","11853"
"Number of Nights by Irish Residents","2010","Outbound","Border","Thousand","5044"
"Number of Nights by Irish Residents","2010","Outbound","Midland","Thousand","2935"
"Number of Nights by Irish Residents","2010","Outbound","West","Thousand","3873"
"Number of Nights by Irish Residents","2010","Outbound","Southern and Eastern","Thousand","45621"
"Number of Nights by Irish Residents","2010","Outbound","Dublin","Thousand","19719"
"Number of Nights by Irish Residents","2010","Outbound","Mid-East","Thousand","8262"
"Number of Nights by Irish Residents","2010","Outbound","Mid-West","Thousand","8731"
"Number of Nights by Irish Residents","2010","Outbound","South-East","Thousand","3754"
"Number of Nights by Irish Residents","2010","Outbound","South-West","Thousand","5156"
"Number of Nights by Irish Residents","2011","Domestic","State","Thousand","21628"
"Number of Nights by Irish Residents","2011","Domestic","Border, Midland and Western","Thousand","4560"
"Number of Nights by Irish Residents","2011","Domestic","Border","Thousand","1704"
"Number of Nights by Irish Residents","2011","Domestic","Midland","Thousand","1117"
"Number of Nights by Irish Residents","2011","Domestic","West","Thousand","1739"
"Number of Nights by Irish Residents","2011","Domestic","Southern and Eastern","Thousand","17068"
"Number of Nights by Irish Residents","2011","Domestic","Dublin","Thousand","7186"
"Number of Nights by Irish Residents","2011","Domestic","Mid-East","Thousand","2996"
"Number of Nights by Irish Residents","2011","Domestic","Mid-West","Thousand","1862"
"Number of Nights by Irish Residents","2011","Domestic","South-East","Thousand","2023"
"Number of Nights by Irish Residents","2011","Domestic","South-West","Thousand","3001"
"Number of Nights by Irish Residents","2011","Outbound","State","Thousand","54014"
"Number of Nights by Irish Residents","2011","Outbound","Border, Midland and Western","Thousand","12044"
"Number of Nights by Irish Residents","2011","Outbound","Border","Thousand","5184"
"Number of Nights by Irish Residents","2011","Outbound","Midland","Thousand","2416"
"Number of Nights by Irish Residents","2011","Outbound","West","Thousand","4444"
"Number of Nights by Irish Residents","2011","Outbound","Southern and Eastern","Thousand","41970"
"Number of Nights by Irish Residents","2011","Outbound","Dublin","Thousand","19376"
"Number of Nights by Irish Residents","2011","Outbound","Mid-East","Thousand","6962"
"Number of Nights by Irish Residents","2011","Outbound","Mid-West","Thousand","7485"
"Number of Nights by Irish Residents","2011","Outbound","South-East","Thousand","3967"
"Number of Nights by Irish Residents","2011","Outbound","South-West","Thousand","4180"
"Number of Nights by Irish Residents","2012","Domestic","State","Thousand","23703"
"Number of Nights by Irish Residents","2012","Domestic","Border, Midland and Western","Thousand","5327"
"Number of Nights by Irish Residents","2012","Domestic","Border","Thousand","1916"
"Number of Nights by Irish Residents","2012","Domestic","Midland","Thousand","1073"
"Number of Nights by Irish Residents","2012","Domestic","West","Thousand","2338"
"Number of Nights by Irish Residents","2012","Domestic","Southern and Eastern","Thousand","18376"
"Number of Nights by Irish Residents","2012","Domestic","Dublin","Thousand","7468"
"Number of Nights by Irish Residents","2012","Domestic","Mid-East","Thousand","2841"
"Number of Nights by Irish Residents","2012","Domestic","Mid-West","Thousand","2492"
"Number of Nights by Irish Residents","2012","Domestic","South-East","Thousand","2154"
"Number of Nights by Irish Residents","2012","Domestic","South-West","Thousand","3421"
"Number of Nights by Irish Residents","2012","Outbound","State","Thousand","53112"
"Number of Nights by Irish Residents","2012","Outbound","Border, Midland and Western","Thousand","11187"
"Number of Nights by Irish Residents","2012","Outbound","Border","Thousand","5015"
"Number of Nights by Irish Residents","2012","Outbound","Midland","Thousand","2277"
"Number of Nights by Irish Residents","2012","Outbound","West","Thousand","3895"
"Number of Nights by Irish Residents","2012","Outbound","Southern and Eastern","Thousand","41925"
"Number of Nights by Irish Residents","2012","Outbound","Dublin","Thousand","19994"
"Number of Nights by Irish Residents","2012","Outbound","Mid-East","Thousand","6090"
"Number of Nights by Irish Residents","2012","Outbound","Mid-West","Thousand","3292"
"Number of Nights by Irish Residents","2012","Outbound","South-East","Thousand","4992"
"Number of Nights by Irish Residents","2012","Outbound","South-West","Thousand","7557"
"Number of Nights by Irish Residents","2013","Domestic","State","Thousand","24195"
"Number of Nights by Irish Residents","2013","Domestic","Border, Midland and Western","Thousand","5239"
"Number of Nights by Irish Residents","2013","Domestic","Border","Thousand","2145"
"Number of Nights by Irish Residents","2013","Domestic","Midland","Thousand","1374"
"Number of Nights by Irish Residents","2013","Domestic","West","Thousand","1721"
"Number of Nights by Irish Residents","2013","Domestic","Southern and Eastern","Thousand","18956"
"Number of Nights by Irish Residents","2013","Domestic","Dublin","Thousand","8236"
"Number of Nights by Irish Residents","2013","Domestic","Mid-East","Thousand","3172"
"Number of Nights by Irish Residents","2013","Domestic","Mid-West","Thousand","2296"
"Number of Nights by Irish Residents","2013","Domestic","South-East","Thousand","1926"
"Number of Nights by Irish Residents","2013","Domestic","South-West","Thousand","3326"
"Number of Nights by Irish Residents","2013","Outbound","State","Thousand","51985"
"Number of Nights by Irish Residents","2013","Outbound","Border, Midland and Western","Thousand","10406"
"Number of Nights by Irish Residents","2013","Outbound","Border","Thousand","5153"
"Number of Nights by Irish Residents","2013","Outbound","Midland","Thousand","1626"
"Number of Nights by Irish Residents","2013","Outbound","West","Thousand","3627"
"Number of Nights by Irish Residents","2013","Outbound","Southern and Eastern","Thousand","41579"
"Number of Nights by Irish Residents","2013","Outbound","Dublin","Thousand","19698"
"Number of Nights by Irish Residents","2013","Outbound","Mid-East","Thousand","6077"
"Number of Nights by Irish Residents","2013","Outbound","Mid-West","Thousand","3919"
"Number of Nights by Irish Residents","2013","Outbound","South-East","Thousand","4414"
"Number of Nights by Irish Residents","2013","Outbound","South-West","Thousand","7471"
"Number of Nights by Irish Residents","2014","Domestic","State","Thousand","26086"
"Number of Nights by Irish Residents","2014","Domestic","Border, Midland and Western","Thousand","5646"
"Number of Nights by Irish Residents","2014","Domestic","Border","Thousand","2184"
"Number of Nights by Irish Residents","2014","Domestic","Midland","Thousand","1205"
"Number of Nights by Irish Residents","2014","Domestic","West","Thousand","2257"
"Number of Nights by Irish Residents","2014","Domestic","Southern and Eastern","Thousand","20440"
"Number of Nights by Irish Residents","2014","Domestic","Dublin","Thousand","8833"
"Number of Nights by Irish Residents","2014","Domestic","Mid-East","Thousand","3542"
"Number of Nights by Irish Residents","2014","Domestic","Mid-West","Thousand","2206"
"Number of Nights by Irish Residents","2014","Domestic","South-East","Thousand","2229"
"Number of Nights by Irish Residents","2014","Domestic","South-West","Thousand","3630"
"Number of Nights by Irish Residents","2014","Outbound","State","Thousand","53652"
"Number of Nights by Irish Residents","2014","Outbound","Border, Midland and Western","Thousand","11433"
"Number of Nights by Irish Residents","2014","Outbound","Border","Thousand","4411"
"Number of Nights by Irish Residents","2014","Outbound","Midland","Thousand","2422"
"Number of Nights by Irish Residents","2014","Outbound","West","Thousand","4601"
"Number of Nights by Irish Residents","2014","Outbound","Southern and Eastern","Thousand","42219"
"Number of Nights by Irish Residents","2014","Outbound","Dublin","Thousand","20202"
"Number of Nights by Irish Residents","2014","Outbound","Mid-East","Thousand","6267"
"Number of Nights by Irish Residents","2014","Outbound","Mid-West","Thousand","3198"
"Number of Nights by Irish Residents","2014","Outbound","South-East","Thousand","4913"
"Number of Nights by Irish Residents","2014","Outbound","South-West","Thousand","7638"
"Number of Nights by Irish Residents","2015","Domestic","State","Thousand","25267"
"Number of Nights by Irish Residents","2015","Domestic","Border, Midland and Western","Thousand","5231"
"Number of Nights by Irish Residents","2015","Domestic","Border","Thousand","1900"
"Number of Nights by Irish Residents","2015","Domestic","Midland","Thousand","1099"
"Number of Nights by Irish Residents","2015","Domestic","West","Thousand","2232"
"Number of Nights by Irish Residents","2015","Domestic","Southern and Eastern","Thousand","20036"
"Number of Nights by Irish Residents","2015","Domestic","Dublin","Thousand","8363"
"Number of Nights by Irish Residents","2015","Domestic","Mid-East","Thousand","3631"
"Number of Nights by Irish Residents","2015","Domestic","Mid-West","Thousand","2667"
"Number of Nights by Irish Residents","2015","Domestic","South-East","Thousand","2125"
"Number of Nights by Irish Residents","2015","Domestic","South-West","Thousand","3249"
"Number of Nights by Irish Residents","2015","Outbound","State","Thousand","53515"
"Number of Nights by Irish Residents","2015","Outbound","Border, Midland and Western","Thousand","11032"
"Number of Nights by Irish Residents","2015","Outbound","Border","Thousand","4833"
"Number of Nights by Irish Residents","2015","Outbound","Midland","Thousand","2487"
"Number of Nights by Irish Residents","2015","Outbound","West","Thousand","3712"
"Number of Nights by Irish Residents","2015","Outbound","Southern and Eastern","Thousand","42483"
"Number of Nights by Irish Residents","2015","Outbound","Dublin","Thousand","19552"
"Number of Nights by Irish Residents","2015","Outbound","Mid-East","Thousand","7071"
"Number of Nights by Irish Residents","2015","Outbound","Mid-West","Thousand","4002"
"Number of Nights by Irish Residents","2015","Outbound","South-East","Thousand","5083"
"Number of Nights by Irish Residents","2015","Outbound","South-West","Thousand","6776"
"Number of Nights by Irish Residents","2016","Domestic","State","Thousand","25589"
"Number of Nights by Irish Residents","2016","Domestic","Border, Midland and Western","Thousand","5351"
"Number of Nights by Irish Residents","2016","Domestic","Border","Thousand","2170"
"Number of Nights by Irish Residents","2016","Domestic","Midland","Thousand","1202"
"Number of Nights by Irish Residents","2016","Domestic","West","Thousand","1979"
"Number of Nights by Irish Residents","2016","Domestic","Southern and Eastern","Thousand","20238"
"Number of Nights by Irish Residents","2016","Domestic","Dublin","Thousand","8635"
"Number of Nights by Irish Residents","2016","Domestic","Mid-East","Thousand","3130"
"Number of Nights by Irish Residents","2016","Domestic","Mid-West","Thousand","2666"
"Number of Nights by Irish Residents","2016","Domestic","South-East","Thousand","2279"
"Number of Nights by Irish Residents","2016","Domestic","South-West","Thousand","3529"
"Number of Nights by Irish Residents","2016","Outbound","State","Thousand","56748"
"Number of Nights by Irish Residents","2016","Outbound","Border, Midland and Western","Thousand","12217"
"Number of Nights by Irish Residents","2016","Outbound","Border","Thousand","5110"
"Number of Nights by Irish Residents","2016","Outbound","Midland","Thousand","2304"
"Number of Nights by Irish Residents","2016","Outbound","West","Thousand","4803"
"Number of Nights by Irish Residents","2016","Outbound","Southern and Eastern","Thousand","44531"
"Number of Nights by Irish Residents","2016","Outbound","Dublin","Thousand","21613"
