"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Nights by Irish Residents","2006","All ages","Outbound","Thousand","54266"
"Number of Nights by Irish Residents","2007","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","0 - 19 years","Domestic","Thousand","7019"
"Number of Nights by Irish Residents","2007","0 - 19 years","Outbound","Thousand","12265"
"Number of Nights by Irish Residents","2007","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","20 - 49 years","Domestic","Thousand","8422"
"Number of Nights by Irish Residents","2007","20 - 49 years","Outbound","Thousand","24031"
"Number of Nights by Irish Residents","2007","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","50 years and over","Domestic","Thousand","10887"
"Number of Nights by Irish Residents","2007","50 years and over","Outbound","Thousand","25940"
"Number of Nights by Irish Residents","2007","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2007","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2007","All ages","Domestic","Thousand","26328"
"Number of Nights by Irish Residents","2007","All ages","Outbound","Thousand","62236"
"Number of Nights by Irish Residents","2008","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","0 - 19 years","Domestic","Thousand","7071"
"Number of Nights by Irish Residents","2008","0 - 19 years","Outbound","Thousand","12776"
"Number of Nights by Irish Residents","2008","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","20 - 49 years","Domestic","Thousand","8516"
"Number of Nights by Irish Residents","2008","20 - 49 years","Outbound","Thousand","23270"
"Number of Nights by Irish Residents","2008","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","50 years and over","Domestic","Thousand","10607"
"Number of Nights by Irish Residents","2008","50 years and over","Outbound","Thousand","27453"
"Number of Nights by Irish Residents","2008","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2008","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2008","All ages","Domestic","Thousand","26195"
"Number of Nights by Irish Residents","2008","All ages","Outbound","Thousand","63498"
"Number of Nights by Irish Residents","2009","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","0 - 19 years","Domestic","Thousand","6669"
"Number of Nights by Irish Residents","2009","0 - 19 years","Outbound","Thousand","10807"
"Number of Nights by Irish Residents","2009","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","20 - 49 years","Domestic","Thousand","8789"
"Number of Nights by Irish Residents","2009","20 - 49 years","Outbound","Thousand","19834"
"Number of Nights by Irish Residents","2009","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","50 years and over","Domestic","Thousand","10568"
"Number of Nights by Irish Residents","2009","50 years and over","Outbound","Thousand","25025"
"Number of Nights by Irish Residents","2009","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2009","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2009","All ages","Domestic","Thousand","26027"
"Number of Nights by Irish Residents","2009","All ages","Outbound","Thousand","55667"
"Number of Nights by Irish Residents","2010","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","0 - 19 years","Domestic","Thousand","5979"
"Number of Nights by Irish Residents","2010","0 - 19 years","Outbound","Thousand","10820"
"Number of Nights by Irish Residents","2010","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","20 - 49 years","Domestic","Thousand","7969"
"Number of Nights by Irish Residents","2010","20 - 49 years","Outbound","Thousand","20354"
"Number of Nights by Irish Residents","2010","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","50 years and over","Domestic","Thousand","8592"
"Number of Nights by Irish Residents","2010","50 years and over","Outbound","Thousand","26300"
"Number of Nights by Irish Residents","2010","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2010","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2010","All ages","Domestic","Thousand","22540"
"Number of Nights by Irish Residents","2010","All ages","Outbound","Thousand","57473"
"Number of Nights by Irish Residents","2011","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","0 - 19 years","Domestic","Thousand","6054"
"Number of Nights by Irish Residents","2011","0 - 19 years","Outbound","Thousand","9650"
"Number of Nights by Irish Residents","2011","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","20 - 49 years","Domestic","Thousand","7319"
"Number of Nights by Irish Residents","2011","20 - 49 years","Outbound","Thousand","19343"
"Number of Nights by Irish Residents","2011","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","50 years and over","Domestic","Thousand","8256"
"Number of Nights by Irish Residents","2011","50 years and over","Outbound","Thousand","25020"
"Number of Nights by Irish Residents","2011","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2011","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2011","All ages","Domestic","Thousand","21628"
"Number of Nights by Irish Residents","2011","All ages","Outbound","Thousand","54014"
"Number of Nights by Irish Residents","2012","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","0 - 19 years","Domestic","Thousand","7350"
"Number of Nights by Irish Residents","2012","0 - 19 years","Outbound","Thousand","12337"
"Number of Nights by Irish Residents","2012","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","20 - 49 years","Domestic","Thousand","9810"
"Number of Nights by Irish Residents","2012","20 - 49 years","Outbound","Thousand","24703"
"Number of Nights by Irish Residents","2012","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","50 years and over","Domestic","Thousand","6543"
"Number of Nights by Irish Residents","2012","50 years and over","Outbound","Thousand","16072"
"Number of Nights by Irish Residents","2012","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2012","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2012","All ages","Domestic","Thousand","23703"
"Number of Nights by Irish Residents","2012","All ages","Outbound","Thousand","53112"
"Number of Nights by Irish Residents","2013","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","0 - 19 years","Domestic","Thousand","8013"
"Number of Nights by Irish Residents","2013","0 - 19 years","Outbound","Thousand","12142"
"Number of Nights by Irish Residents","2013","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","20 - 49 years","Domestic","Thousand","9611"
"Number of Nights by Irish Residents","2013","20 - 49 years","Outbound","Thousand","23283"
"Number of Nights by Irish Residents","2013","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","50 years and over","Domestic","Thousand","6571"
"Number of Nights by Irish Residents","2013","50 years and over","Outbound","Thousand","16559"
"Number of Nights by Irish Residents","2013","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2013","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2013","All ages","Domestic","Thousand","24195"
"Number of Nights by Irish Residents","2013","All ages","Outbound","Thousand","51985"
"Number of Nights by Irish Residents","2014","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","0 - 19 years","Domestic","Thousand","8491"
"Number of Nights by Irish Residents","2014","0 - 19 years","Outbound","Thousand","12753"
"Number of Nights by Irish Residents","2014","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","20 - 49 years","Domestic","Thousand","10776"
"Number of Nights by Irish Residents","2014","20 - 49 years","Outbound","Thousand","23590"
"Number of Nights by Irish Residents","2014","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","50 years and over","Domestic","Thousand","6819"
"Number of Nights by Irish Residents","2014","50 years and over","Outbound","Thousand","17310"
"Number of Nights by Irish Residents","2014","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2014","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2014","All ages","Domestic","Thousand","26086"
"Number of Nights by Irish Residents","2014","All ages","Outbound","Thousand","53652"
"Number of Nights by Irish Residents","2015","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","0 - 19 years","Domestic","Thousand","8806"
"Number of Nights by Irish Residents","2015","0 - 19 years","Outbound","Thousand","13087"
"Number of Nights by Irish Residents","2015","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","20 - 49 years","Domestic","Thousand","9585"
"Number of Nights by Irish Residents","2015","20 - 49 years","Outbound","Thousand","23223"
"Number of Nights by Irish Residents","2015","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","50 years and over","Domestic","Thousand","6876"
"Number of Nights by Irish Residents","2015","50 years and over","Outbound","Thousand","17205"
"Number of Nights by Irish Residents","2015","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2015","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2015","All ages","Domestic","Thousand","25267"
"Number of Nights by Irish Residents","2015","All ages","Outbound","Thousand","53515"
"Number of Nights by Irish Residents","2016","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","0 - 19 years","Domestic","Thousand","8260"
"Number of Nights by Irish Residents","2016","0 - 19 years","Outbound","Thousand","13655"
"Number of Nights by Irish Residents","2016","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","20 - 49 years","Domestic","Thousand","10136"
"Number of Nights by Irish Residents","2016","20 - 49 years","Outbound","Thousand","24706"
"Number of Nights by Irish Residents","2016","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","50 years and over","Domestic","Thousand","7193"
"Number of Nights by Irish Residents","2016","50 years and over","Outbound","Thousand","18387"
"Number of Nights by Irish Residents","2016","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2016","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2016","All ages","Domestic","Thousand","25589"
"Number of Nights by Irish Residents","2016","All ages","Outbound","Thousand","56748"
"Number of Nights by Irish Residents","2017","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","0 - 19 years","Domestic","Thousand","8183"
"Number of Nights by Irish Residents","2017","0 - 19 years","Outbound","Thousand","13408"
"Number of Nights by Irish Residents","2017","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","20 - 49 years","Domestic","Thousand","9889"
"Number of Nights by Irish Residents","2017","20 - 49 years","Outbound","Thousand","25791"
"Number of Nights by Irish Residents","2017","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","50 years and over","Domestic","Thousand","7467"
"Number of Nights by Irish Residents","2017","50 years and over","Outbound","Thousand","18499"
"Number of Nights by Irish Residents","2017","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2017","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2017","All ages","Domestic","Thousand","25539"
"Number of Nights by Irish Residents","2017","All ages","Outbound","Thousand","57698"
"Number of Nights by Irish Residents","2018","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","0 - 19 years","Domestic","Thousand","8682"
"Number of Nights by Irish Residents","2018","0 - 19 years","Outbound","Thousand","14255"
"Number of Nights by Irish Residents","2018","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","20 - 49 years","Domestic","Thousand","11299"
"Number of Nights by Irish Residents","2018","20 - 49 years","Outbound","Thousand","27200"
"Number of Nights by Irish Residents","2018","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","50 years and over","Domestic","Thousand","8411"
"Number of Nights by Irish Residents","2018","50 years and over","Outbound","Thousand","19167"
"Number of Nights by Irish Residents","2018","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2018","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2018","All ages","Domestic","Thousand","28393"
"Number of Nights by Irish Residents","2018","All ages","Outbound","Thousand","60623"
"Number of Nights by Irish Residents","2019","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","0 - 19 years","Domestic","Thousand","8884"
"Number of Nights by Irish Residents","2019","0 - 19 years","Outbound","Thousand","15680"
"Number of Nights by Irish Residents","2019","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","20 - 49 years","Domestic","Thousand","11479"
"Number of Nights by Irish Residents","2019","20 - 49 years","Outbound","Thousand","30073"
"Number of Nights by Irish Residents","2019","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","50 years and over","Domestic","Thousand","9107"
"Number of Nights by Irish Residents","2019","50 years and over","Outbound","Thousand","21173"
"Number of Nights by Irish Residents","2019","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2019","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2019","All ages","Domestic","Thousand","29469"
"Number of Nights by Irish Residents","2019","All ages","Outbound","Thousand","66927"
"Number of Nights by Irish Residents","2020","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","0 - 19 years","Domestic","Thousand","7119"
"Number of Nights by Irish Residents","2020","0 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","20 - 49 years","Domestic","Thousand","9794"
"Number of Nights by Irish Residents","2020","20 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","50 years and over","Domestic","Thousand","6605"
"Number of Nights by Irish Residents","2020","50 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2020","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2020","All ages","Domestic","Thousand","23518"
"Number of Nights by Irish Residents","2020","All ages","Outbound","Thousand","15597"
"Number of Nights by Irish Residents","2021","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","0 - 19 years","Domestic","Thousand","5214"
"Number of Nights by Irish Residents","2021","0 - 19 years","Outbound","Thousand","3556"
"Number of Nights by Irish Residents","2021","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","15 - 19 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","20 - 29 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","20 - 29 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","20 - 49 years","Domestic","Thousand","7603"
"Number of Nights by Irish Residents","2021","20 - 49 years","Outbound","Thousand","8693"
"Number of Nights by Irish Residents","2021","30 - 39 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","30 - 39 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","40 - 49 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","40 - 49 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","50 years and over","Domestic","Thousand","5069"
"Number of Nights by Irish Residents","2021","50 years and over","Outbound","Thousand","5194"
"Number of Nights by Irish Residents","2021","50 - 59 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","50 - 59 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","60 - 69 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","60 - 69 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","70 years and over","Domestic","Thousand",""
"Number of Nights by Irish Residents","2021","70 years and over","Outbound","Thousand",""
"Number of Nights by Irish Residents","2021","All ages","Domestic","Thousand","17886"
"Number of Nights by Irish Residents","2021","All ages","Outbound","Thousand","17443"
"Number of Nights by Irish Residents","2022","0 - 14 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2022","0 - 14 years","Outbound","Thousand",""
"Number of Nights by Irish Residents","2022","0 - 19 years","Domestic","Thousand","9966"
"Number of Nights by Irish Residents","2022","0 - 19 years","Outbound","Thousand","15138"
"Number of Nights by Irish Residents","2022","15 - 19 years","Domestic","Thousand",""
"Number of Nights by Irish Residents","2022","15 - 19 years","Outbound","Thousand",""
