"Statistic Label","Year","Age Group","Domestic","UNIT","VALUE"
"Number of Trips by Irish Residents","2006","40 - 49 years","Domestic","Thousand","1580"
"Number of Trips by Irish Residents","2006","40 - 49 years","Outbound","Thousand","1553"
"Number of Trips by Irish Residents","2006","50 years and over","Domestic","Thousand","2385"
"Number of Trips by Irish Residents","2006","50 years and over","Outbound","Thousand","2456"
"Number of Trips by Irish Residents","2006","50 - 59 years","Domestic","Thousand","1095"
"Number of Trips by Irish Residents","2006","50 - 59 years","Outbound","Thousand","1299"
"Number of Trips by Irish Residents","2006","60 - 69 years","Domestic","Thousand","796"
"Number of Trips by Irish Residents","2006","60 - 69 years","Outbound","Thousand","815"
"Number of Trips by Irish Residents","2006","70 years and over","Domestic","Thousand","494"
"Number of Trips by Irish Residents","2006","70 years and over","Outbound","Thousand","342"
"Number of Trips by Irish Residents","2006","All ages","Domestic","Thousand","7310"
"Number of Trips by Irish Residents","2006","All ages","Outbound","Thousand","6981"
"Number of Trips by Irish Residents","2007","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","0 - 19 years","Domestic","Thousand","1631"
"Number of Trips by Irish Residents","2007","0 - 19 years","Outbound","Thousand","1424"
"Number of Trips by Irish Residents","2007","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","20 - 49 years","Domestic","Thousand","2826"
"Number of Trips by Irish Residents","2007","20 - 49 years","Outbound","Thousand","3002"
"Number of Trips by Irish Residents","2007","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","50 years and over","Domestic","Thousand","3486"
"Number of Trips by Irish Residents","2007","50 years and over","Outbound","Thousand","3404"
"Number of Trips by Irish Residents","2007","50 - 59 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","50 - 59 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","60 - 69 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","60 - 69 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","70 years and over","Domestic","Thousand",""
"Number of Trips by Irish Residents","2007","70 years and over","Outbound","Thousand",""
"Number of Trips by Irish Residents","2007","All ages","Domestic","Thousand","7942"
"Number of Trips by Irish Residents","2007","All ages","Outbound","Thousand","7830"
"Number of Trips by Irish Residents","2008","0 - 14 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","0 - 14 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","0 - 19 years","Domestic","Thousand","1763"
"Number of Trips by Irish Residents","2008","0 - 19 years","Outbound","Thousand","1469"
"Number of Trips by Irish Residents","2008","15 - 19 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","15 - 19 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","20 - 29 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","20 - 29 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","20 - 49 years","Domestic","Thousand","2963"
"Number of Trips by Irish Residents","2008","20 - 49 years","Outbound","Thousand","3037"
"Number of Trips by Irish Residents","2008","30 - 39 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","30 - 39 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","40 - 49 years","Domestic","Thousand",""
"Number of Trips by Irish Residents","2008","40 - 49 years","Outbound","Thousand",""
"Number of Trips by Irish Residents","2008","50 years and over","Domestic","Thousand","3612"
"Number of Trips by Irish Residents","2008","50 years and over","Outbound","Thousand","3535"
"Number of Trips by Irish Residents","2008","50 - 59 years","Domestic","Thousand",""
