"STATISTIC","Statistic Label","C02164V02610","Type of Accommodation Used","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20123","2012Q3","Thousand","1309"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20124","2012Q4","Thousand","2025"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20131","2013Q1","Thousand","1408"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20132","2013Q2","Thousand","1717"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20133","2013Q3","Thousand","1535"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20134","2013Q4","Thousand","2048"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20141","2014Q1","Thousand","1370"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20142","2014Q2","Thousand","1911"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20143","2014Q3","Thousand","1804"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20144","2014Q4","Thousand","2057"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20151","2015Q1","Thousand","1748"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20152","2015Q2","Thousand","1884"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20153","2015Q3","Thousand","1991"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20154","2015Q4","Thousand","2020"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20161","2016Q1","Thousand","1914"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20162","2016Q2","Thousand","2251"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20163","2016Q3","Thousand","2366"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20164","2016Q4","Thousand","2233"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20171","2017Q1","Thousand","1757"
"TMQ17","Number of Bednights Spent in Ireland by Non-residents on Overseas Trips","-","All types of accommodation","3","Business","20172","2017Q2","Thousand","2350"
