"STATISTIC","Statistic Label","C02149V02592","Type of Expenditure","TLIST(Q1)","Quarter","UNIT","VALUE"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20174","2017Q4","Euro Million","331"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20181","2018Q1","Euro Million","284"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20182","2018Q2","Euro Million","495"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20183","2018Q3","Euro Million","593"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20184","2018Q4","Euro Million","353"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20191","2019Q1","Euro Million","266"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20192","2019Q2","Euro Million","499"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20193","2019Q3","Euro Million","624"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","09","Fare receipts of Irish carriers from overseas travellers to Ireland","20194","2019Q4","Euro Million","377"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20121","2012Q1","Euro Million","621"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20122","2012Q2","Euro Million","1048"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20123","2012Q3","Euro Million","1296"
"TMQ06","Estimated Expenditure by Overseas Travellers to Ireland","10","Overseas tourism and travel earnings from trips to Ireland","20124","2012Q4","Euro Million","806"
