"C02173V03830","Area of Residence","C02118V02559","Reason for Journey","TLIST(Q1)","Quarter","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All Countries","-","All reasons for journey","20171","2017Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.6"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1408"
"-","All Countries","-","All reasons for journey","20172","2017Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1736"
"-","All Countries","-","All reasons for journey","20173","2017Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20174","2017Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.9"
"-","All Countries","-","All reasons for journey","20174","2017Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1046"
"-","All Countries","-","All reasons for journey","20174","2017Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20181","2018Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","-","All reasons for journey","20181","2018Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","795"
"-","All Countries","-","All reasons for journey","20181","2018Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20182","2018Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All Countries","-","All reasons for journey","20182","2018Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1475"
"-","All Countries","-","All reasons for journey","20182","2018Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20183","2018Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.4"
"-","All Countries","-","All reasons for journey","20183","2018Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1832"
"-","All Countries","-","All reasons for journey","20183","2018Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20184","2018Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.3"
"-","All Countries","-","All reasons for journey","20184","2018Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1047"
"-","All Countries","-","All reasons for journey","20184","2018Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20191","2019Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6"
"-","All Countries","-","All reasons for journey","20191","2019Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","763"
"-","All Countries","-","All reasons for journey","20191","2019Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20192","2019Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.5"
"-","All Countries","-","All reasons for journey","20192","2019Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1513"
"-","All Countries","-","All reasons for journey","20192","2019Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20193","2019Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7"
"-","All Countries","-","All reasons for journey","20193","2019Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1824"
"-","All Countries","-","All reasons for journey","20193","2019Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","-","All reasons for journey","20194","2019Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.2"
"-","All Countries","-","All reasons for journey","20194","2019Q4","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","1001"
"-","All Countries","-","All reasons for journey","20194","2019Q4","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.2"
"-","All Countries","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","180"
"-","All Countries","1","Holiday/leisure/recreation","20121","2012Q1","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","6.4"
"-","All Countries","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","453"
"-","All Countries","1","Holiday/leisure/recreation","20122","2012Q2","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","7.6"
"-","All Countries","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C2","Expenditure by Overseas Travellers in Ireland (excluding fares)","Euro Million","608"
"-","All Countries","1","Holiday/leisure/recreation","20123","2012Q3","TMQ20C3","Overseas Trips to Ireland by Non-Residents, with at least one overnight in Ireland","%","100"
"-","All Countries","1","Holiday/leisure/recreation","20124","2012Q4","TMQ20C1","Average Length of Stay by Overseas Travellers to Ireland","Nights","5.8"
